game,2011,9,20111106,201111060clt,atl,"Atlanta Falcons",31,clt,"Indianapolis Colts",7
team,201111060clt,atl,First Downs,21,,,,,,
team,201111060clt,clt,First Downs,10,,,,,,
team,201111060clt,atl,Rush-Yds-TDs,41-163-1,,,,,,
team,201111060clt,clt,Rush-Yds-TDs,21-83-0,,,,,,
team,201111060clt,atl,Cmp-Att-Yd-TD-INT,14-24-275-3-1,,,,,,
team,201111060clt,clt,Cmp-Att-Yd-TD-INT,17-33-118-0-1,,,,,,
team,201111060clt,atl,Sacked-Yards,1-6,,,,,,
team,201111060clt,clt,Sacked-Yards,2-15,,,,,,
team,201111060clt,atl,Net Pass Yards,269,,,,,,
team,201111060clt,clt,Net Pass Yards,103,,,,,,
team,201111060clt,atl,Total Yards,432,,,,,,
team,201111060clt,clt,Total Yards,186,,,,,,
team,201111060clt,atl,Fumbles-Lost,0-0,,,,,,
team,201111060clt,clt,Fumbles-Lost,1-1,,,,,,
team,201111060clt,atl,Turnovers,1,,,,,,
team,201111060clt,clt,Turnovers,2,,,,,,
team,201111060clt,atl,Penalties-Yards,1-10,,,,,,
team,201111060clt,clt,Penalties-Yards,6-32,,,,,,
team,201111060clt,atl,Third Down Conv.,6-14,,,,,,
team,201111060clt,clt,Third Down Conv.,4-14,,,,,,
team,201111060clt,atl,Fourth Down Conv.,0-0,,,,,,
team,201111060clt,clt,Fourth Down Conv.,0-0,,,,,,
team,201111060clt,atl,Time of Possession,37:46,,,,,,
team,201111060clt,clt,Time of Possession,22:14,,,,,,
player,201111060clt,atl,RyanMa00,pass_cmp,14,,,,,
player,201111060clt,atl,RyanMa00,pass_att,24,,,,,
player,201111060clt,atl,RyanMa00,pass_yds,275,,,,,
player,201111060clt,atl,RyanMa00,pass_td,3,,,,,
player,201111060clt,atl,RyanMa00,pass_int,1,,,,,
player,201111060clt,atl,RyanMa00,pass_sacked,1,,,,,
player,201111060clt,atl,RyanMa00,pass_sacked_yds,6,,,,,
player,201111060clt,atl,RyanMa00,pass_long,80,,,,,
player,201111060clt,atl,RyanMa00,pass_rating,120.7,,,,,
player,201111060clt,atl,RyanMa00,rush_att,2,,,,,
player,201111060clt,atl,RyanMa00,rush_yds,0,,,,,
player,201111060clt,atl,RyanMa00,rush_td,0,,,,,
player,201111060clt,atl,RyanMa00,rush_long,2,,,,,
player,201111060clt,atl,RyanMa00,targets,0,,,,,
player,201111060clt,atl,RyanMa00,rec,0,,,,,
player,201111060clt,atl,RyanMa00,rec_yds,0,,,,,
player,201111060clt,atl,RyanMa00,rec_td,0,,,,,
player,201111060clt,atl,RyanMa00,rec_long,0,,,,,
player,201111060clt,atl,RyanMa00,fumbles,0,,,,,
player,201111060clt,atl,RyanMa00,fumbles_lost,,,,,,
player,201111060clt,atl,TurnMi00,pass_cmp,0,,,,,
player,201111060clt,atl,TurnMi00,pass_att,0,,,,,
