game,2011,5,20111009,201110090nyg,sea,"Seattle Seahawks",36,nyg,"New York Giants",25
team,201110090nyg,sea,First Downs,26,,,,,,
team,201110090nyg,nyg,First Downs,21,,,,,,
team,201110090nyg,sea,Rush-Yds-TDs,29-145-1,,,,,,
team,201110090nyg,nyg,Rush-Yds-TDs,25-69-0,,,,,,
team,201110090nyg,sea,Cmp-Att-Yd-TD-INT,26-41-315-2-1,,,,,,
team,201110090nyg,nyg,Cmp-Att-Yd-TD-INT,24-39-420-3-3,,,,,,
team,201110090nyg,sea,Sacked-Yards,6-36,,,,,,
team,201110090nyg,nyg,Sacked-Yards,3-25,,,,,,
team,201110090nyg,sea,Net Pass Yards,279,,,,,,
team,201110090nyg,nyg,Net Pass Yards,395,,,,,,
team,201110090nyg,sea,Total Yards,424,,,,,,
team,201110090nyg,nyg,Total Yards,464,,,,,,
team,201110090nyg,sea,Fumbles-Lost,3-2,,,,,,
team,201110090nyg,nyg,Fumbles-Lost,3-2,,,,,,
team,201110090nyg,sea,Turnovers,3,,,,,,
team,201110090nyg,nyg,Turnovers,5,,,,,,
team,201110090nyg,sea,Penalties-Yards,10-70,,,,,,
team,201110090nyg,nyg,Penalties-Yards,7-52,,,,,,
team,201110090nyg,sea,Third Down Conv.,4-15,,,,,,
team,201110090nyg,nyg,Third Down Conv.,1-12,,,,,,
team,201110090nyg,sea,Fourth Down Conv.,1-1,,,,,,
team,201110090nyg,nyg,Fourth Down Conv.,0-0,,,,,,
team,201110090nyg,sea,Time of Possession,28:46,,,,,,
team,201110090nyg,nyg,Time of Possession,31:14,,,,,,
player,201110090nyg,sea,JackTa00,pass_cmp,15,,,,,
player,201110090nyg,sea,JackTa00,pass_att,22,,,,,
player,201110090nyg,sea,JackTa00,pass_yds,166,,,,,
player,201110090nyg,sea,JackTa00,pass_td,1,,,,,
player,201110090nyg,sea,JackTa00,pass_int,1,,,,,
player,201110090nyg,sea,JackTa00,pass_sacked,4,,,,,
player,201110090nyg,sea,JackTa00,pass_sacked_yds,24,,,,,
player,201110090nyg,sea,JackTa00,pass_long,25,,,,,
player,201110090nyg,sea,JackTa00,pass_rating,86.6,,,,,
player,201110090nyg,sea,JackTa00,rush_att,4,,,,,
player,201110090nyg,sea,JackTa00,rush_yds,17,,,,,
player,201110090nyg,sea,JackTa00,rush_td,0,,,,,
player,201110090nyg,sea,JackTa00,rush_long,11,,,,,
player,201110090nyg,sea,JackTa00,targets,0,,,,,
player,201110090nyg,sea,JackTa00,rec,0,,,,,
player,201110090nyg,sea,JackTa00,rec_yds,0,,,,,
player,201110090nyg,sea,JackTa00,rec_td,0,,,,,
player,201110090nyg,sea,JackTa00,rec_long,0,,,,,
player,201110090nyg,sea,JackTa00,fumbles,0,,,,,
player,201110090nyg,sea,JackTa00,fumbles_lost,,,,,,
