game,2011,17,20120101,201201010atl,tam,"Tampa Bay Buccaneers",24,atl,"Atlanta Falcons",45
team,201201010atl,tam,First Downs,18,,,,,,
team,201201010atl,atl,First Downs,22,,,,,,
team,201201010atl,tam,Rush-Yds-TDs,14-35-0,,,,,,
team,201201010atl,atl,Rush-Yds-TDs,38-251-3,,,,,,
team,201201010atl,tam,Cmp-Att-Yd-TD-INT,31-45-274-2-3,,,,,,
team,201201010atl,atl,Cmp-Att-Yd-TD-INT,13-21-177-2-1,,,,,,
team,201201010atl,tam,Sacked-Yards,2-15,,,,,,
team,201201010atl,atl,Sacked-Yards,0-0,,,,,,
team,201201010atl,tam,Net Pass Yards,259,,,,,,
team,201201010atl,atl,Net Pass Yards,177,,,,,,
team,201201010atl,tam,Total Yards,294,,,,,,
team,201201010atl,atl,Total Yards,428,,,,,,
team,201201010atl,tam,Fumbles-Lost,3-1,,,,,,
team,201201010atl,atl,Fumbles-Lost,1-1,,,,,,
team,201201010atl,tam,Turnovers,4,,,,,,
team,201201010atl,atl,Turnovers,2,,,,,,
team,201201010atl,tam,Penalties-Yards,2-20,,,,,,
team,201201010atl,atl,Penalties-Yards,3-20,,,,,,
team,201201010atl,tam,Third Down Conv.,6-12,,,,,,
team,201201010atl,atl,Third Down Conv.,6-11,,,,,,
team,201201010atl,tam,Fourth Down Conv.,0-1,,,,,,
team,201201010atl,atl,Fourth Down Conv.,1-1,,,,,,
team,201201010atl,tam,Time of Possession,29:52,,,,,,
team,201201010atl,atl,Time of Possession,30:08,,,,,,
player,201201010atl,tam,FreeJo00,pass_cmp,31,,,,,
player,201201010atl,tam,FreeJo00,pass_att,45,,,,,
player,201201010atl,tam,FreeJo00,pass_yds,274,,,,,
player,201201010atl,tam,FreeJo00,pass_td,2,,,,,
player,201201010atl,tam,FreeJo00,pass_int,3,,,,,
player,201201010atl,tam,FreeJo00,pass_sacked,2,,,,,
player,201201010atl,tam,FreeJo00,pass_sacked_yds,15,,,,,
player,201201010atl,tam,FreeJo00,pass_long,48,,,,,
player,201201010atl,tam,FreeJo00,pass_rating,71.9,,,,,
player,201201010atl,tam,FreeJo00,rush_att,3,,,,,
player,201201010atl,tam,FreeJo00,rush_yds,14,,,,,
player,201201010atl,tam,FreeJo00,rush_td,0,,,,,
player,201201010atl,tam,FreeJo00,rush_long,12,,,,,
player,201201010atl,tam,FreeJo00,targets,0,,,,,
player,201201010atl,tam,FreeJo00,rec,0,,,,,
player,201201010atl,tam,FreeJo00,rec_yds,0,,,,,
player,201201010atl,tam,FreeJo00,rec_td,0,,,,,
player,201201010atl,tam,FreeJo00,rec_long,0,,,,,
player,201201010atl,tam,FreeJo00,fumbles,1,,,,,
player,201201010atl,tam,FreeJo00,fumbles_lost,1,,,,,
player,201201010atl,tam,BlouLe00,pass_cmp,0,,,,,
player,201201010atl,tam,BlouLe00,pass_att,0,,,,,
player,201201010atl,tam,BlouLe00,pass_yds,0,,,,,
player,201201010atl,tam,BlouLe00,pass_td,0,,,,,
player,201201010atl,tam,BlouLe00,pass_int,0,,,,,
player,201201010atl,tam,BlouLe00,pass_sacked,0,,,,,
player,201201010atl,tam,BlouLe00,pass_sacked_yds,0,,,,,
player,201201010atl,tam,BlouLe00,pass_long,0,,,,,
player,201201010atl,tam,BlouLe00,pass_rating,,,,,,
player,201201010atl,tam,BlouLe00,rush_att,6,,,,,
player,201201010atl,tam,BlouLe00,rush_yds,12,,,,,
player,201201010atl,tam,BlouLe00,rush_td,0,,,,,
player,201201010atl,tam,BlouLe00,rush_long,4,,,,,
player,201201010atl,tam,BlouLe00,targets,4,,,,,
player,201201010atl,tam,BlouLe00,rec,3,,,,,
player,201201010atl,tam,BlouLe00,rec_yds,14,,,,,
player,201201010atl,tam,BlouLe00,rec_td,0,,,,,
player,201201010atl,tam,BlouLe00,rec_long,11,,,,,
player,201201010atl,tam,BlouLe00,fumbles,0,,,,,
player,201201010atl,tam,BlouLe00,fumbles_lost,,,,,,
player,201201010atl,tam,JohnJo05,pass_cmp,0,,,,,
player,201201010atl,tam,JohnJo05,pass_att,0,,,,,
player,201201010atl,tam,JohnJo05,pass_yds,0,,,,,
player,201201010atl,tam,JohnJo05,pass_td,0,,,,,
player,201201010atl,tam,JohnJo05,pass_int,0,,,,,
player,201201010atl,tam,JohnJo05,pass_sacked,0,,,,,
player,201201010atl,tam,JohnJo05,pass_sacked_yds,0,,,,,
player,201201010atl,tam,JohnJo05,pass_long,0,,,,,
player,201201010atl,tam,JohnJo05,pass_rating,,,,,,
player,201201010atl,tam,JohnJo05,rush_att,1,,,,,
player,201201010atl,tam,JohnJo05,rush_yds,5,,,,,
player,201201010atl,tam,JohnJo05,rush_td,0,,,,,
player,201201010atl,tam,JohnJo05,rush_long,5,,,,,
player,201201010atl,tam,JohnJo05,targets,2,,,,,
player,201201010atl,tam,JohnJo05,rec,0,,,,,
player,201201010atl,tam,JohnJo05,rec_yds,0,,,,,
player,201201010atl,tam,JohnJo05,rec_td,0,,,,,
player,201201010atl,tam,JohnJo05,rec_long,0,,,,,
player,201201010atl,tam,JohnJo05,fumbles,0,,,,,
player,201201010atl,tam,JohnJo05,fumbles_lost,,,,,,
player,201201010atl,tam,MaduMo00,pass_cmp,0,,,,,
player,201201010atl,tam,MaduMo00,pass_att,0,,,,,
player,201201010atl,tam,MaduMo00,pass_yds,0,,,,,
player,201201010atl,tam,MaduMo00,pass_td,0,,,,,
