game,2011,10,20111113,201111130phi,crd,"Arizona Cardinals",21,phi,"Philadelphia Eagles",17
team,201111130phi,crd,First Downs,23,,,,,,
team,201111130phi,phi,First Downs,15,,,,,,
team,201111130phi,crd,Rush-Yds-TDs,29-88-0,,,,,,
team,201111130phi,phi,Rush-Yds-TDs,24-166-1,,,,,,
team,201111130phi,crd,Cmp-Att-Yd-TD-INT,21-40-315-3-2,,,,,,
team,201111130phi,phi,Cmp-Att-Yd-TD-INT,16-34-128-0-2,,,,,,
team,201111130phi,crd,Sacked-Yards,4-33,,,,,,
team,201111130phi,phi,Sacked-Yards,2-5,,,,,,
team,201111130phi,crd,Net Pass Yards,282,,,,,,
team,201111130phi,phi,Net Pass Yards,123,,,,,,
team,201111130phi,crd,Total Yards,370,,,,,,
team,201111130phi,phi,Total Yards,289,,,,,,
team,201111130phi,crd,Fumbles-Lost,0-0,,,,,,
team,201111130phi,phi,Fumbles-Lost,1-0,,,,,,
team,201111130phi,crd,Turnovers,2,,,,,,
team,201111130phi,phi,Turnovers,2,,,,,,
team,201111130phi,crd,Penalties-Yards,7-66,,,,,,
team,201111130phi,phi,Penalties-Yards,11-97,,,,,,
team,201111130phi,crd,Third Down Conv.,6-16,,,,,,
team,201111130phi,phi,Third Down Conv.,3-15,,,,,,
team,201111130phi,crd,Fourth Down Conv.,1-1,,,,,,
team,201111130phi,phi,Fourth Down Conv.,0-1,,,,,,
team,201111130phi,crd,Time of Possession,31:42,,,,,,
team,201111130phi,phi,Time of Possession,28:18,,,,,,
player,201111130phi,crd,SkelJo00,pass_cmp,21,,,,,
player,201111130phi,crd,SkelJo00,pass_att,40,,,,,
player,201111130phi,crd,SkelJo00,pass_yds,315,,,,,
player,201111130phi,crd,SkelJo00,pass_td,3,,,,,
player,201111130phi,crd,SkelJo00,pass_int,2,,,,,
player,201111130phi,crd,SkelJo00,pass_sacked,4,,,,,
player,201111130phi,crd,SkelJo00,pass_sacked_yds,33,,,,,
player,201111130phi,crd,SkelJo00,pass_long,42,,,,,
player,201111130phi,crd,SkelJo00,pass_rating,82.8,,,,,
player,201111130phi,crd,SkelJo00,rush_att,4,,,,,
player,201111130phi,crd,SkelJo00,rush_yds,15,,,,,
player,201111130phi,crd,SkelJo00,rush_td,0,,,,,
player,201111130phi,crd,SkelJo00,rush_long,9,,,,,
player,201111130phi,crd,SkelJo00,targets,0,,,,,
player,201111130phi,crd,SkelJo00,rec,0,,,,,
player,201111130phi,crd,SkelJo00,rec_yds,0,,,,,
player,201111130phi,crd,SkelJo00,rec_td,0,,,,,
player,201111130phi,crd,SkelJo00,rec_long,0,,,,,
player,201111130phi,crd,SkelJo00,fumbles,0,,,,,
player,201111130phi,crd,SkelJo00,fumbles_lost,,,,,,
player,201111130phi,crd,WellCh00,pass_cmp,0,,,,,
player,201111130phi,crd,WellCh00,pass_att,0,,,,,
player,201111130phi,crd,WellCh00,pass_yds,0,,,,,
player,201111130phi,crd,WellCh00,pass_td,0,,,,,
player,201111130phi,crd,WellCh00,pass_int,0,,,,,
player,201111130phi,crd,WellCh00,pass_sacked,0,,,,,
player,201111130phi,crd,WellCh00,pass_sacked_yds,0,,,,,
player,201111130phi,crd,WellCh00,pass_long,0,,,,,
player,201111130phi,crd,WellCh00,pass_rating,,,,,,
player,201111130phi,crd,WellCh00,rush_att,23,,,,,
player,201111130phi,crd,WellCh00,rush_yds,62,,,,,
player,201111130phi,crd,WellCh00,rush_td,0,,,,,
player,201111130phi,crd,WellCh00,rush_long,12,,,,,
player,201111130phi,crd,WellCh00,targets,0,,,,,
player,201111130phi,crd,WellCh00,rec,0,,,,,
player,201111130phi,crd,WellCh00,rec_yds,0,,,,,
player,201111130phi,crd,WellCh00,rec_td,0,,,,,
player,201111130phi,crd,WellCh00,rec_long,0,,,,,
player,201111130phi,crd,WellCh00,fumbles,0,,,,,
player,201111130phi,crd,WellCh00,fumbles_lost,,,,,,
player,201111130phi,crd,RobeAn00,pass_cmp,0,,,,,
player,201111130phi,crd,RobeAn00,pass_att,0,,,,,
player,201111130phi,crd,RobeAn00,pass_yds,0,,,,,
player,201111130phi,crd,RobeAn00,pass_td,0,,,,,
player,201111130phi,crd,RobeAn00,pass_int,0,,,,,
player,201111130phi,crd,RobeAn00,pass_sacked,0,,,,,
player,201111130phi,crd,RobeAn00,pass_sacked_yds,0,,,,,
player,201111130phi,crd,RobeAn00,pass_long,0,,,,,
player,201111130phi,crd,RobeAn00,pass_rating,,,,,,
player,201111130phi,crd,RobeAn00,rush_att,1,,,,,
player,201111130phi,crd,RobeAn00,rush_yds,12,,,,,
player,201111130phi,crd,RobeAn00,rush_td,0,,,,,
player,201111130phi,crd,RobeAn00,rush_long,12,,,,,
player,201111130phi,crd,RobeAn00,targets,7,,,,,
player,201111130phi,crd,RobeAn00,rec,4,,,,,
player,201111130phi,crd,RobeAn00,rec_yds,55,,,,,
player,201111130phi,crd,RobeAn00,rec_td,0,,,,,
player,201111130phi,crd,RobeAn00,rec_long,20,,,,,
player,201111130phi,crd,RobeAn00,fumbles,0,,,,,
player,201111130phi,crd,RobeAn00,fumbles_lost,,,,,,
player,201111130phi,crd,FitzLa00,pass_cmp,0,,,,,
player,201111130phi,crd,FitzLa00,pass_att,0,,,,,
player,201111130phi,crd,FitzLa00,pass_yds,0,,,,,
player,201111130phi,crd,FitzLa00,pass_td,0,,,,,
player,201111130phi,crd,FitzLa00,pass_int,0,,,,,
player,201111130phi,crd,FitzLa00,pass_sacked,0,,,,,
player,201111130phi,crd,FitzLa00,pass_sacked_yds,0,,,,,
player,201111130phi,crd,FitzLa00,pass_long,0,,,,,
player,201111130phi,crd,FitzLa00,pass_rating,,,,,,
player,201111130phi,crd,FitzLa00,rush_att,0,,,,,
player,201111130phi,crd,FitzLa00,rush_yds,0,,,,,
player,201111130phi,crd,FitzLa00,rush_td,0,,,,,
player,201111130phi,crd,FitzLa00,rush_long,0,,,,,
player,201111130phi,crd,FitzLa00,targets,13,,,,,
player,201111130phi,crd,FitzLa00,rec,7,,,,,
player,201111130phi,crd,FitzLa00,rec_yds,146,,,,,
player,201111130phi,crd,FitzLa00,rec_td,2,,,,,
player,201111130phi,crd,FitzLa00,rec_long,42,,,,,
player,201111130phi,crd,FitzLa00,fumbles,0,,,,,
player,201111130phi,crd,FitzLa00,fumbles_lost,,,,,,
player,201111130phi,crd,KingJe00,pass_cmp,0,,,,,
player,201111130phi,crd,KingJe00,pass_att,0,,,,,
player,201111130phi,crd,KingJe00,pass_yds,0,,,,,
player,201111130phi,crd,KingJe00,pass_td,0,,,,,
player,201111130phi,crd,KingJe00,pass_int,0,,,,,
player,201111130phi,crd,KingJe00,pass_sacked,0,,,,,
player,201111130phi,crd,KingJe00,pass_sacked_yds,0,,,,,
player,201111130phi,crd,KingJe00,pass_long,0,,,,,
player,201111130phi,crd,KingJe00,pass_rating,,,,,,
player,201111130phi,crd,KingJe00,rush_att,0,,,,,
player,201111130phi,crd,KingJe00,rush_yds,0,,,,,
player,201111130phi,crd,KingJe00,rush_td,0,,,,,
player,201111130phi,crd,KingJe00,rush_long,0,,,,,
player,201111130phi,crd,KingJe00,targets,5,,,,,
player,201111130phi,crd,KingJe00,rec,4,,,,,
player,201111130phi,crd,KingJe00,rec_yds,26,,,,,
player,201111130phi,crd,KingJe00,rec_td,0,,,,,
player,201111130phi,crd,KingJe00,rec_long,13,,,,,
player,201111130phi,crd,KingJe00,fumbles,0,,,,,
player,201111130phi,crd,KingJe00,fumbles_lost,,,,,,
player,201111130phi,crd,DoucEa00,pass_cmp,0,,,,,
player,201111130phi,crd,DoucEa00,pass_att,0,,,,,
player,201111130phi,crd,DoucEa00,pass_yds,0,,,,,
player,201111130phi,crd,DoucEa00,pass_td,0,,,,,
player,201111130phi,crd,DoucEa00,pass_int,0,,,,,
player,201111130phi,crd,DoucEa00,pass_sacked,0,,,,,
player,201111130phi,crd,DoucEa00,pass_sacked_yds,0,,,,,
player,201111130phi,crd,DoucEa00,pass_long,0,,,,,
player,201111130phi,crd,DoucEa00,pass_rating,,,,,,
player,201111130phi,crd,DoucEa00,rush_att,0,,,,,
player,201111130phi,crd,DoucEa00,rush_yds,0,,,,,
player,201111130phi,crd,DoucEa00,rush_td,0,,,,,
player,201111130phi,crd,DoucEa00,rush_long,0,,,,,
player,201111130phi,crd,DoucEa00,targets,4,,,,,
player,201111130phi,crd,DoucEa00,rec,2,,,,,
player,201111130phi,crd,DoucEa00,rec_yds,24,,,,,
player,201111130phi,crd,DoucEa00,rec_td,1,,,,,
player,201111130phi,crd,DoucEa00,rec_long,19,,,,,
player,201111130phi,crd,DoucEa00,fumbles,0,,,,,
player,201111130phi,crd,DoucEa00,fumbles_lost,,,,,,
player,201111130phi,crd,TaylCh01,pass_cmp,0,,,,,
player,201111130phi,crd,TaylCh01,pass_att,0,,,,,
player,201111130phi,crd,TaylCh01,pass_yds,0,,,,,
player,201111130phi,crd,TaylCh01,pass_td,0,,,,,
player,201111130phi,crd,TaylCh01,pass_int,0,,,,,
player,201111130phi,crd,TaylCh01,pass_sacked,0,,,,,
player,201111130phi,crd,TaylCh01,pass_sacked_yds,0,,,,,
player,201111130phi,crd,TaylCh01,pass_long,0,,,,,
player,201111130phi,crd,TaylCh01,pass_rating,,,,,,
player,201111130phi,crd,TaylCh01,rush_att,0,,,,,
player,201111130phi,crd,TaylCh01,rush_yds,0,,,,,
player,201111130phi,crd,TaylCh01,rush_td,0,,,,,
player,201111130phi,crd,TaylCh01,rush_long,0,,,,,
player,201111130phi,crd,TaylCh01,targets,3,,,,,
player,201111130phi,crd,TaylCh01,rec,1,,,,,
player,201111130phi,crd,TaylCh01,rec_yds,17,,,,,
player,201111130phi,crd,TaylCh01,rec_td,0,,,,,
player,201111130phi,crd,TaylCh01,rec_long,17,,,,,
player,201111130phi,crd,TaylCh01,fumbles,0,,,,,
player,201111130phi,crd,TaylCh01,fumbles_lost,,,,,,
player,201111130phi,crd,StucCh20,pass_cmp,0,,,,,
player,201111130phi,crd,StucCh20,pass_att,0,,,,,
player,201111130phi,crd,StucCh20,pass_yds,0,,,,,
player,201111130phi,crd,StucCh20,pass_td,0,,,,,
player,201111130phi,crd,StucCh20,pass_int,0,,,,,
player,201111130phi,crd,StucCh20,pass_sacked,0,,,,,
player,201111130phi,crd,StucCh20,pass_sacked_yds,0,,,,,
player,201111130phi,crd,StucCh20,pass_long,0,,,,,
player,201111130phi,crd,StucCh20,pass_rating,,,,,,
player,201111130phi,crd,StucCh20,rush_att,0,,,,,
player,201111130phi,crd,StucCh20,rush_yds,0,,,,,
player,201111130phi,crd,StucCh20,rush_td,0,,,,,
player,201111130phi,crd,StucCh20,rush_long,0,,,,,
player,201111130phi,crd,StucCh20,targets,2,,,,,
player,201111130phi,crd,StucCh20,rec,1,,,,,
player,201111130phi,crd,StucCh20,rec_yds,8,,,,,
player,201111130phi,crd,StucCh20,rec_td,0,,,,,
player,201111130phi,crd,StucCh20,rec_long,8,,,,,
player,201111130phi,crd,StucCh20,fumbles,0,,,,,
player,201111130phi,crd,StucCh20,fumbles_lost,,,,,,
player,201111130phi,crd,DrayJi00,pass_cmp,0,,,,,
player,201111130phi,crd,DrayJi00,pass_att,0,,,,,
player,201111130phi,crd,DrayJi00,pass_yds,0,,,,,
player,201111130phi,crd,DrayJi00,pass_td,0,,,,,
player,201111130phi,crd,DrayJi00,pass_int,0,,,,,
player,201111130phi,crd,DrayJi00,pass_sacked,0,,,,,
player,201111130phi,crd,DrayJi00,pass_sacked_yds,0,,,,,
player,201111130phi,crd,DrayJi00,pass_long,0,,,,,
player,201111130phi,crd,DrayJi00,pass_rating,,,,,,
player,201111130phi,crd,DrayJi00,rush_att,0,,,,,
player,201111130phi,crd,DrayJi00,rush_yds,0,,,,,
player,201111130phi,crd,DrayJi00,rush_td,0,,,,,
player,201111130phi,crd,DrayJi00,rush_long,0,,,,,
player,201111130phi,crd,DrayJi00,targets,2,,,,,
player,201111130phi,crd,DrayJi00,rec,0,,,,,
player,201111130phi,crd,DrayJi00,rec_yds,0,,,,,
player,201111130phi,crd,DrayJi00,rec_td,0,,,,,
player,201111130phi,crd,DrayJi00,rec_long,0,,,,,
player,201111130phi,crd,DrayJi00,fumbles,0,,,,,
player,201111130phi,crd,DrayJi00,fumbles_lost,,,,,,
player,201111130phi,crd,StepLa00,pass_cmp,0,,,,,
player,201111130phi,crd,StepLa00,pass_att,0,,,,,
player,201111130phi,crd,StepLa00,pass_yds,0,,,,,
player,201111130phi,crd,StepLa00,pass_td,0,,,,,
player,201111130phi,crd,StepLa00,pass_int,0,,,,,
player,201111130phi,crd,StepLa00,pass_sacked,0,,,,,
player,201111130phi,crd,StepLa00,pass_sacked_yds,0,,,,,
player,201111130phi,crd,StepLa00,pass_long,0,,,,,
player,201111130phi,crd,StepLa00,pass_rating,,,,,,
player,201111130phi,crd,StepLa00,rush_att,1,,,,,
player,201111130phi,crd,StepLa00,rush_yds,-1,,,,,
player,201111130phi,crd,StepLa00,rush_td,0,,,,,
player,201111130phi,crd,StepLa00,rush_long,-1,,,,,
player,201111130phi,crd,StepLa00,targets,2,,,,,
player,201111130phi,crd,StepLa00,rec,2,,,,,
player,201111130phi,crd,StepLa00,rec_yds,39,,,,,
player,201111130phi,crd,StepLa00,rec_td,0,,,,,
player,201111130phi,crd,StepLa00,rec_long,30,,,,,
player,201111130phi,crd,StepLa00,fumbles,0,,,,,
player,201111130phi,crd,StepLa00,fumbles_lost,,,,,,
player,201111130phi,phi,VickMi00,pass_cmp,16,,,,,
player,201111130phi,phi,VickMi00,pass_att,34,,,,,
player,201111130phi,phi,VickMi00,pass_yds,128,,,,,
player,201111130phi,phi,VickMi00,pass_td,0,,,,,
player,201111130phi,phi,VickMi00,pass_int,2,,,,,
player,201111130phi,phi,VickMi00,pass_sacked,2,,,,,
player,201111130phi,phi,VickMi00,pass_sacked_yds,5,,,,,
player,201111130phi,phi,VickMi00,pass_long,20,,,,,
player,201111130phi,phi,VickMi00,pass_rating,32.5,,,,,
player,201111130phi,phi,VickMi00,rush_att,8,,,,,
player,201111130phi,phi,VickMi00,rush_yds,79,,,,,
player,201111130phi,phi,VickMi00,rush_td,0,,,,,
player,201111130phi,phi,VickMi00,rush_long,16,,,,,
player,201111130phi,phi,VickMi00,targets,0,,,,,
player,201111130phi,phi,VickMi00,rec,0,,,,,
player,201111130phi,phi,VickMi00,rec_yds,0,,,,,
player,201111130phi,phi,VickMi00,rec_td,0,,,,,
