game,2011,3,20110925,201109250cin,sfo,"San Francisco 49ers",13,cin,"Cincinnati Bengals",8
team,201109250cin,sfo,First Downs,16,,,,,,
team,201109250cin,cin,First Downs,14,,,,,,
team,201109250cin,sfo,Rush-Yds-TDs,29-50-1,,,,,,
team,201109250cin,cin,Rush-Yds-TDs,20-79-0,,,,,,
team,201109250cin,sfo,Cmp-Att-Yd-TD-INT,20-30-201-0-0,,,,,,
team,201109250cin,cin,Cmp-Att-Yd-TD-INT,17-32-157-0-2,,,,,,
team,201109250cin,sfo,Sacked-Yards,5-25,,,,,,
team,201109250cin,cin,Sacked-Yards,1-8,,,,,,
team,201109250cin,sfo,Net Pass Yards,176,,,,,,
team,201109250cin,cin,Net Pass Yards,149,,,,,,
team,201109250cin,sfo,Total Yards,226,,,,,,
team,201109250cin,cin,Total Yards,228,,,,,,
team,201109250cin,sfo,Fumbles-Lost,3-1,,,,,,
team,201109250cin,cin,Fumbles-Lost,1-1,,,,,,
team,201109250cin,sfo,Turnovers,1,,,,,,
team,201109250cin,cin,Turnovers,3,,,,,,
team,201109250cin,sfo,Penalties-Yards,12-70,,,,,,
team,201109250cin,cin,Penalties-Yards,6-40,,,,,,
team,201109250cin,sfo,Third Down Conv.,5-15,,,,,,
team,201109250cin,cin,Third Down Conv.,1-10,,,,,,
team,201109250cin,sfo,Fourth Down Conv.,0-1,,,,,,
team,201109250cin,cin,Fourth Down Conv.,0-0,,,,,,
team,201109250cin,sfo,Time of Possession,35:20,,,,,,
team,201109250cin,cin,Time of Possession,24:40,,,,,,
player,201109250cin,sfo,SmitAl03,pass_cmp,20,,,,,
player,201109250cin,sfo,SmitAl03,pass_att,30,,,,,
player,201109250cin,sfo,SmitAl03,pass_yds,201,,,,,
player,201109250cin,sfo,SmitAl03,pass_td,0,,,,,
player,201109250cin,sfo,SmitAl03,pass_int,0,,,,,
player,201109250cin,sfo,SmitAl03,pass_sacked,5,,,,,
player,201109250cin,sfo,SmitAl03,pass_sacked_yds,25,,,,,
player,201109250cin,sfo,SmitAl03,pass_long,39,,,,,
player,201109250cin,sfo,SmitAl03,pass_rating,85.6,,,,,
player,201109250cin,sfo,SmitAl03,rush_att,0,,,,,
player,201109250cin,sfo,SmitAl03,rush_yds,0,,,,,
player,201109250cin,sfo,SmitAl03,rush_td,0,,,,,
player,201109250cin,sfo,SmitAl03,rush_long,0,,,,,
player,201109250cin,sfo,SmitAl03,targets,0,,,,,
player,201109250cin,sfo,SmitAl03,rec,0,,,,,
player,201109250cin,sfo,SmitAl03,rec_yds,0,,,,,
player,201109250cin,sfo,SmitAl03,rec_td,0,,,,,
player,201109250cin,sfo,SmitAl03,rec_long,0,,,,,
player,201109250cin,sfo,SmitAl03,fumbles,0,,,,,
player,201109250cin,sfo,SmitAl03,fumbles_lost,,,,,,
player,201109250cin,sfo,GoreFr00,pass_cmp,0,,,,,
player,201109250cin,sfo,GoreFr00,pass_att,0,,,,,
player,201109250cin,sfo,GoreFr00,pass_yds,0,,,,,
player,201109250cin,sfo,GoreFr00,pass_td,0,,,,,
player,201109250cin,sfo,GoreFr00,pass_int,0,,,,,
player,201109250cin,sfo,GoreFr00,pass_sacked,0,,,,,
player,201109250cin,sfo,GoreFr00,pass_sacked_yds,0,,,,,
player,201109250cin,sfo,GoreFr00,pass_long,0,,,,,
player,201109250cin,sfo,GoreFr00,pass_rating,,,,,,
player,201109250cin,sfo,GoreFr00,rush_att,17,,,,,
player,201109250cin,sfo,GoreFr00,rush_yds,42,,,,,
player,201109250cin,sfo,GoreFr00,rush_td,0,,,,,
player,201109250cin,sfo,GoreFr00,rush_long,12,,,,,
player,201109250cin,sfo,GoreFr00,targets,2,,,,,
player,201109250cin,sfo,GoreFr00,rec,0,,,,,
player,201109250cin,sfo,GoreFr00,rec_yds,0,,,,,
player,201109250cin,sfo,GoreFr00,rec_td,0,,,,,
player,201109250cin,sfo,GoreFr00,rec_long,0,,,,,
player,201109250cin,sfo,GoreFr00,fumbles,1,,,,,
player,201109250cin,sfo,GoreFr00,fumbles_lost,1,,,,,
player,201109250cin,sfo,HuntKe00,pass_cmp,0,,,,,
player,201109250cin,sfo,HuntKe00,pass_att,0,,,,,
player,201109250cin,sfo,HuntKe00,pass_yds,0,,,,,
player,201109250cin,sfo,HuntKe00,pass_td,0,,,,,
player,201109250cin,sfo,HuntKe00,pass_int,0,,,,,
player,201109250cin,sfo,HuntKe00,pass_sacked,0,,,,,
player,201109250cin,sfo,HuntKe00,pass_sacked_yds,0,,,,,
player,201109250cin,sfo,HuntKe00,pass_long,0,,,,,
player,201109250cin,sfo,HuntKe00,pass_rating,,,,,,
player,201109250cin,sfo,HuntKe00,rush_att,9,,,,,
player,201109250cin,sfo,HuntKe00,rush_yds,26,,,,,
player,201109250cin,sfo,HuntKe00,rush_td,1,,,,,
player,201109250cin,sfo,HuntKe00,rush_long,11,,,,,
player,201109250cin,sfo,HuntKe00,targets,2,,,,,
player,201109250cin,sfo,HuntKe00,rec,2,,,,,
player,201109250cin,sfo,HuntKe00,rec_yds,12,,,,,
player,201109250cin,sfo,HuntKe00,rec_td,0,,,,,
