game,2011,9,20111106,201111060sdg,gnb,"Green Bay Packers",45,sdg,"San Diego Chargers",38
team,201111060sdg,gnb,First Downs,21,,,,,,
team,201111060sdg,sdg,First Downs,28,,,,,,
team,201111060sdg,gnb,Rush-Yds-TDs,26-136-0,,,,,,
team,201111060sdg,sdg,Rush-Yds-TDs,21-85-1,,,,,,
team,201111060sdg,gnb,Cmp-Att-Yd-TD-INT,21-26-247-4-0,,,,,,
team,201111060sdg,sdg,Cmp-Att-Yd-TD-INT,26-46-385-4-3,,,,,,
team,201111060sdg,gnb,Sacked-Yards,4-15,,,,,,
team,201111060sdg,sdg,Sacked-Yards,2-10,,,,,,
team,201111060sdg,gnb,Net Pass Yards,232,,,,,,
team,201111060sdg,sdg,Net Pass Yards,375,,,,,,
team,201111060sdg,gnb,Total Yards,368,,,,,,
team,201111060sdg,sdg,Total Yards,460,,,,,,
team,201111060sdg,gnb,Fumbles-Lost,0-0,,,,,,
team,201111060sdg,sdg,Fumbles-Lost,2-0,,,,,,
team,201111060sdg,gnb,Turnovers,0,,,,,,
team,201111060sdg,sdg,Turnovers,3,,,,,,
team,201111060sdg,gnb,Penalties-Yards,5-33,,,,,,
team,201111060sdg,sdg,Penalties-Yards,8-64,,,,,,
team,201111060sdg,gnb,Third Down Conv.,6-10,,,,,,
team,201111060sdg,sdg,Third Down Conv.,5-11,,,,,,
team,201111060sdg,gnb,Fourth Down Conv.,0-1,,,,,,
team,201111060sdg,sdg,Fourth Down Conv.,0-0,,,,,,
team,201111060sdg,gnb,Time of Possession,29:45,,,,,,
team,201111060sdg,sdg,Time of Possession,30:15,,,,,,
player,201111060sdg,gnb,RodgAa00,pass_cmp,21,,,,,
player,201111060sdg,gnb,RodgAa00,pass_att,26,,,,,
player,201111060sdg,gnb,RodgAa00,pass_yds,247,,,,,
player,201111060sdg,gnb,RodgAa00,pass_td,4,,,,,
player,201111060sdg,gnb,RodgAa00,pass_int,0,,,,,
player,201111060sdg,gnb,RodgAa00,pass_sacked,4,,,,,
player,201111060sdg,gnb,RodgAa00,pass_sacked_yds,15,,,,,
player,201111060sdg,gnb,RodgAa00,pass_long,64,,,,,
player,201111060sdg,gnb,RodgAa00,pass_rating,145.8,,,,,
player,201111060sdg,gnb,RodgAa00,rush_att,8,,,,,
player,201111060sdg,gnb,RodgAa00,rush_yds,52,,,,,
player,201111060sdg,gnb,RodgAa00,rush_td,0,,,,,
player,201111060sdg,gnb,RodgAa00,rush_long,25,,,,,
player,201111060sdg,gnb,RodgAa00,targets,0,,,,,
player,201111060sdg,gnb,RodgAa00,rec,0,,,,,
player,201111060sdg,gnb,RodgAa00,rec_yds,0,,,,,
player,201111060sdg,gnb,RodgAa00,rec_td,0,,,,,
player,201111060sdg,gnb,RodgAa00,rec_long,0,,,,,
player,201111060sdg,gnb,RodgAa00,fumbles,0,,,,,
player,201111060sdg,gnb,RodgAa00,fumbles_lost,,,,,,
player,201111060sdg,gnb,StarJa00,pass_cmp,0,,,,,
player,201111060sdg,gnb,StarJa00,pass_att,0,,,,,
player,201111060sdg,gnb,StarJa00,pass_yds,0,,,,,
player,201111060sdg,gnb,StarJa00,pass_td,0,,,,,
player,201111060sdg,gnb,StarJa00,pass_int,0,,,,,
player,201111060sdg,gnb,StarJa00,pass_sacked,0,,,,,
player,201111060sdg,gnb,StarJa00,pass_sacked_yds,0,,,,,
player,201111060sdg,gnb,StarJa00,pass_long,0,,,,,
player,201111060sdg,gnb,StarJa00,pass_rating,,,,,,
player,201111060sdg,gnb,StarJa00,rush_att,13,,,,,
player,201111060sdg,gnb,StarJa00,rush_yds,66,,,,,
player,201111060sdg,gnb,StarJa00,rush_td,0,,,,,
player,201111060sdg,gnb,StarJa00,rush_long,20,,,,,
player,201111060sdg,gnb,StarJa00,targets,1,,,,,
player,201111060sdg,gnb,StarJa00,rec,1,,,,,
player,201111060sdg,gnb,StarJa00,rec_yds,9,,,,,
player,201111060sdg,gnb,StarJa00,rec_td,0,,,,,
player,201111060sdg,gnb,StarJa00,rec_long,9,,,,,
player,201111060sdg,gnb,StarJa00,fumbles,0,,,,,
player,201111060sdg,gnb,StarJa00,fumbles_lost,,,,,,
player,201111060sdg,gnb,GranRy00,pass_cmp,0,,,,,
player,201111060sdg,gnb,GranRy00,pass_att,0,,,,,
player,201111060sdg,gnb,GranRy00,pass_yds,0,,,,,
player,201111060sdg,gnb,GranRy00,pass_td,0,,,,,
player,201111060sdg,gnb,GranRy00,pass_int,0,,,,,
player,201111060sdg,gnb,GranRy00,pass_sacked,0,,,,,
player,201111060sdg,gnb,GranRy00,pass_sacked_yds,0,,,,,
player,201111060sdg,gnb,GranRy00,pass_long,0,,,,,
player,201111060sdg,gnb,GranRy00,pass_rating,,,,,,
player,201111060sdg,gnb,GranRy00,rush_att,4,,,,,
player,201111060sdg,gnb,GranRy00,rush_yds,16,,,,,
player,201111060sdg,gnb,GranRy00,rush_td,0,,,,,
player,201111060sdg,gnb,GranRy00,rush_long,6,,,,,
player,201111060sdg,gnb,GranRy00,targets,0,,,,,
player,201111060sdg,gnb,GranRy00,rec,0,,,,,
player,201111060sdg,gnb,GranRy00,rec_yds,0,,,,,
player,201111060sdg,gnb,GranRy00,rec_td,0,,,,,
player,201111060sdg,gnb,GranRy00,rec_long,0,,,,,
player,201111060sdg,gnb,GranRy00,fumbles,0,,,,,
player,201111060sdg,gnb,GranRy00,fumbles_lost,,,,,,
player,201111060sdg,gnb,KuhnJo00,pass_cmp,0,,,,,
player,201111060sdg,gnb,KuhnJo00,pass_att,0,,,,,
player,201111060sdg,gnb,KuhnJo00,pass_yds,0,,,,,
player,201111060sdg,gnb,KuhnJo00,pass_td,0,,,,,
player,201111060sdg,gnb,KuhnJo00,pass_int,0,,,,,
player,201111060sdg,gnb,KuhnJo00,pass_sacked,0,,,,,
player,201111060sdg,gnb,KuhnJo00,pass_sacked_yds,0,,,,,
player,201111060sdg,gnb,KuhnJo00,pass_long,0,,,,,
player,201111060sdg,gnb,KuhnJo00,pass_rating,,,,,,
player,201111060sdg,gnb,KuhnJo00,rush_att,1,,,,,
player,201111060sdg,gnb,KuhnJo00,rush_yds,2,,,,,
player,201111060sdg,gnb,KuhnJo00,rush_td,0,,,,,
player,201111060sdg,gnb,KuhnJo00,rush_long,2,,,,,
player,201111060sdg,gnb,KuhnJo00,targets,1,,,,,
player,201111060sdg,gnb,KuhnJo00,rec,1,,,,,
player,201111060sdg,gnb,KuhnJo00,rec_yds,4,,,,,
player,201111060sdg,gnb,KuhnJo00,rec_td,0,,,,,
player,201111060sdg,gnb,KuhnJo00,rec_long,4,,,,,
player,201111060sdg,gnb,KuhnJo00,fumbles,0,,,,,
player,201111060sdg,gnb,KuhnJo00,fumbles_lost,,,,,,
player,201111060sdg,gnb,NelsJo00,pass_cmp,0,,,,,
player,201111060sdg,gnb,NelsJo00,pass_att,0,,,,,
player,201111060sdg,gnb,NelsJo00,pass_yds,0,,,,,
player,201111060sdg,gnb,NelsJo00,pass_td,0,,,,,
player,201111060sdg,gnb,NelsJo00,pass_int,0,,,,,
player,201111060sdg,gnb,NelsJo00,pass_sacked,0,,,,,
player,201111060sdg,gnb,NelsJo00,pass_sacked_yds,0,,,,,
player,201111060sdg,gnb,NelsJo00,pass_long,0,,,,,
player,201111060sdg,gnb,NelsJo00,pass_rating,,,,,,
player,201111060sdg,gnb,NelsJo00,rush_att,0,,,,,
player,201111060sdg,gnb,NelsJo00,rush_yds,0,,,,,
player,201111060sdg,gnb,NelsJo00,rush_td,0,,,,,
player,201111060sdg,gnb,NelsJo00,rush_long,0,,,,,
player,201111060sdg,gnb,NelsJo00,targets,6,,,,,
player,201111060sdg,gnb,NelsJo00,rec,5,,,,,
player,201111060sdg,gnb,NelsJo00,rec_yds,105,,,,,
player,201111060sdg,gnb,NelsJo00,rec_td,1,,,,,
player,201111060sdg,gnb,NelsJo00,rec_long,64,,,,,
player,201111060sdg,gnb,NelsJo00,fumbles,0,,,,,
player,201111060sdg,gnb,NelsJo00,fumbles_lost,,,,,,
player,201111060sdg,gnb,JennGr00,pass_cmp,0,,,,,
player,201111060sdg,gnb,JennGr00,pass_att,0,,,,,
player,201111060sdg,gnb,JennGr00,pass_yds,0,,,,,
player,201111060sdg,gnb,JennGr00,pass_td,0,,,,,
player,201111060sdg,gnb,JennGr00,pass_int,0,,,,,
player,201111060sdg,gnb,JennGr00,pass_sacked,0,,,,,
player,201111060sdg,gnb,JennGr00,pass_sacked_yds,0,,,,,
player,201111060sdg,gnb,JennGr00,pass_long,0,,,,,
player,201111060sdg,gnb,JennGr00,pass_rating,,,,,,
player,201111060sdg,gnb,JennGr00,rush_att,0,,,,,
player,201111060sdg,gnb,JennGr00,rush_yds,0,,,,,
player,201111060sdg,gnb,JennGr00,rush_td,0,,,,,
player,201111060sdg,gnb,JennGr00,rush_long,0,,,,,
player,201111060sdg,gnb,JennGr00,targets,8,,,,,
player,201111060sdg,gnb,JennGr00,rec,6,,,,,
player,201111060sdg,gnb,JennGr00,rec_yds,46,,,,,
player,201111060sdg,gnb,JennGr00,rec_td,1,,,,,
player,201111060sdg,gnb,JennGr00,rec_long,21,,,,,
player,201111060sdg,gnb,JennGr00,fumbles,0,,,,,
player,201111060sdg,gnb,JennGr00,fumbles_lost,,,,,,
player,201111060sdg,gnb,FinlJe00,pass_cmp,0,,,,,
player,201111060sdg,gnb,FinlJe00,pass_att,0,,,,,
player,201111060sdg,gnb,FinlJe00,pass_yds,0,,,,,
player,201111060sdg,gnb,FinlJe00,pass_td,0,,,,,
player,201111060sdg,gnb,FinlJe00,pass_int,0,,,,,
player,201111060sdg,gnb,FinlJe00,pass_sacked,0,,,,,
player,201111060sdg,gnb,FinlJe00,pass_sacked_yds,0,,,,,
player,201111060sdg,gnb,FinlJe00,pass_long,0,,,,,
player,201111060sdg,gnb,FinlJe00,pass_rating,,,,,,
player,201111060sdg,gnb,FinlJe00,rush_att,0,,,,,
player,201111060sdg,gnb,FinlJe00,rush_yds,0,,,,,
player,201111060sdg,gnb,FinlJe00,rush_td,0,,,,,
player,201111060sdg,gnb,FinlJe00,rush_long,0,,,,,
player,201111060sdg,gnb,FinlJe00,targets,7,,,,,
player,201111060sdg,gnb,FinlJe00,rec,5,,,,,
player,201111060sdg,gnb,FinlJe00,rec_yds,44,,,,,
player,201111060sdg,gnb,FinlJe00,rec_td,1,,,,,
player,201111060sdg,gnb,FinlJe00,rec_long,13,,,,,
player,201111060sdg,gnb,FinlJe00,fumbles,0,,,,,
player,201111060sdg,gnb,FinlJe00,fumbles_lost,,,,,,
player,201111060sdg,gnb,JoneJa04,pass_cmp,0,,,,,
player,201111060sdg,gnb,JoneJa04,pass_att,0,,,,,
player,201111060sdg,gnb,JoneJa04,pass_yds,0,,,,,
player,201111060sdg,gnb,JoneJa04,pass_td,0,,,,,
player,201111060sdg,gnb,JoneJa04,pass_int,0,,,,,
player,201111060sdg,gnb,JoneJa04,pass_sacked,0,,,,,
player,201111060sdg,gnb,JoneJa04,pass_sacked_yds,0,,,,,
player,201111060sdg,gnb,JoneJa04,pass_long,0,,,,,
player,201111060sdg,gnb,JoneJa04,pass_rating,,,,,,
player,201111060sdg,gnb,JoneJa04,rush_att,0,,,,,
player,201111060sdg,gnb,JoneJa04,rush_yds,0,,,,,
player,201111060sdg,gnb,JoneJa04,rush_td,0,,,,,
player,201111060sdg,gnb,JoneJa04,rush_long,0,,,,,
player,201111060sdg,gnb,JoneJa04,targets,1,,,,,
player,201111060sdg,gnb,JoneJa04,rec,1,,,,,
player,201111060sdg,gnb,JoneJa04,rec_yds,21,,,,,
player,201111060sdg,gnb,JoneJa04,rec_td,1,,,,,
player,201111060sdg,gnb,JoneJa04,rec_long,21,,,,,
player,201111060sdg,gnb,JoneJa04,fumbles,0,,,,,
player,201111060sdg,gnb,JoneJa04,fumbles_lost,,,,,,
player,201111060sdg,gnb,DrivDo00,pass_cmp,0,,,,,
player,201111060sdg,gnb,DrivDo00,pass_att,0,,,,,
player,201111060sdg,gnb,DrivDo00,pass_yds,0,,,,,
player,201111060sdg,gnb,DrivDo00,pass_td,0,,,,,
player,201111060sdg,gnb,DrivDo00,pass_int,0,,,,,
player,201111060sdg,gnb,DrivDo00,pass_sacked,0,,,,,
player,201111060sdg,gnb,DrivDo00,pass_sacked_yds,0,,,,,
player,201111060sdg,gnb,DrivDo00,pass_long,0,,,,,
player,201111060sdg,gnb,DrivDo00,pass_rating,,,,,,
player,201111060sdg,gnb,DrivDo00,rush_att,0,,,,,
player,201111060sdg,gnb,DrivDo00,rush_yds,0,,,,,
player,201111060sdg,gnb,DrivDo00,rush_td,0,,,,,
player,201111060sdg,gnb,DrivDo00,rush_long,0,,,,,
player,201111060sdg,gnb,DrivDo00,targets,2,,,,,
player,201111060sdg,gnb,DrivDo00,rec,2,,,,,
player,201111060sdg,gnb,DrivDo00,rec_yds,18,,,,,
player,201111060sdg,gnb,DrivDo00,rec_td,0,,,,,
player,201111060sdg,gnb,DrivDo00,rec_long,10,,,,,
player,201111060sdg,gnb,DrivDo00,fumbles,0,,,,,
player,201111060sdg,gnb,DrivDo00,fumbles_lost,,,,,,
player,201111060sdg,sdg,RivePh00,pass_cmp,26,,,,,
player,201111060sdg,sdg,RivePh00,pass_att,46,,,,,
player,201111060sdg,sdg,RivePh00,pass_yds,385,,,,,
player,201111060sdg,sdg,RivePh00,pass_td,4,,,,,
player,201111060sdg,sdg,RivePh00,pass_int,3,,,,,
player,201111060sdg,sdg,RivePh00,pass_sacked,2,,,,,
player,201111060sdg,sdg,RivePh00,pass_sacked_yds,10,,,,,
player,201111060sdg,sdg,RivePh00,pass_long,38,,,,,
player,201111060sdg,sdg,RivePh00,pass_rating,85.9,,,,,
player,201111060sdg,sdg,RivePh00,rush_att,1,,,,,
player,201111060sdg,sdg,RivePh00,rush_yds,-1,,,,,
player,201111060sdg,sdg,RivePh00,rush_td,0,,,,,
player,201111060sdg,sdg,RivePh00,rush_long,-1,,,,,
player,201111060sdg,sdg,RivePh00,targets,0,,,,,
player,201111060sdg,sdg,RivePh00,rec,0,,,,,
player,201111060sdg,sdg,RivePh00,rec_yds,0,,,,,
player,201111060sdg,sdg,RivePh00,rec_td,0,,,,,
player,201111060sdg,sdg,RivePh00,rec_long,0,,,,,
player,201111060sdg,sdg,RivePh00,fumbles,1,,,,,
player,201111060sdg,sdg,RivePh00,fumbles_lost,0,,,,,
player,201111060sdg,sdg,TolbMi00,pass_cmp,0,,,,,
player,201111060sdg,sdg,TolbMi00,pass_att,0,,,,,
player,201111060sdg,sdg,TolbMi00,pass_yds,0,,,,,
player,201111060sdg,sdg,TolbMi00,pass_td,0,,,,,
player,201111060sdg,sdg,TolbMi00,pass_int,0,,,,,
player,201111060sdg,sdg,TolbMi00,pass_sacked,0,,,,,
player,201111060sdg,sdg,TolbMi00,pass_sacked_yds,0,,,,,
player,201111060sdg,sdg,TolbMi00,pass_long,0,,,,,
player,201111060sdg,sdg,TolbMi00,pass_rating,,,,,,
player,201111060sdg,sdg,TolbMi00,rush_att,19,,,,,
player,201111060sdg,sdg,TolbMi00,rush_yds,83,,,,,
player,201111060sdg,sdg,TolbMi00,rush_td,1,,,,,
player,201111060sdg,sdg,TolbMi00,rush_long,9,,,,,
player,201111060sdg,sdg,TolbMi00,targets,9,,,,,
player,201111060sdg,sdg,TolbMi00,rec,4,,,,,
player,201111060sdg,sdg,TolbMi00,rec_yds,59,,,,,
player,201111060sdg,sdg,TolbMi00,rec_td,0,,,,,
player,201111060sdg,sdg,TolbMi00,rec_long,27,,,,,
player,201111060sdg,sdg,TolbMi00,fumbles,0,,,,,
player,201111060sdg,sdg,TolbMi00,fumbles_lost,,,,,,
player,201111060sdg,sdg,HestJa00,pass_cmp,0,,,,,
player,201111060sdg,sdg,HestJa00,pass_att,0,,,,,
player,201111060sdg,sdg,HestJa00,pass_yds,0,,,,,
player,201111060sdg,sdg,HestJa00,pass_td,0,,,,,
player,201111060sdg,sdg,HestJa00,pass_int,0,,,,,
player,201111060sdg,sdg,HestJa00,pass_sacked,0,,,,,
player,201111060sdg,sdg,HestJa00,pass_sacked_yds,0,,,,,
player,201111060sdg,sdg,HestJa00,pass_long,0,,,,,
player,201111060sdg,sdg,HestJa00,pass_rating,,,,,,
player,201111060sdg,sdg,HestJa00,rush_att,1,,,,,
player,201111060sdg,sdg,HestJa00,rush_yds,3,,,,,
player,201111060sdg,sdg,HestJa00,rush_td,0,,,,,
player,201111060sdg,sdg,HestJa00,rush_long,3,,,,,
player,201111060sdg,sdg,HestJa00,targets,2,,,,,
player,201111060sdg,sdg,HestJa00,rec,1,,,,,
player,201111060sdg,sdg,HestJa00,rec_yds,2,,,,,
player,201111060sdg,sdg,HestJa00,rec_td,0,,,,,
player,201111060sdg,sdg,HestJa00,rec_long,2,,,,,
player,201111060sdg,sdg,HestJa00,fumbles,1,,,,,
player,201111060sdg,sdg,HestJa00,fumbles_lost,0,,,,,
player,201111060sdg,sdg,JackVi00,pass_cmp,0,,,,,
player,201111060sdg,sdg,JackVi00,pass_att,0,,,,,
player,201111060sdg,sdg,JackVi00,pass_yds,0,,,,,
player,201111060sdg,sdg,JackVi00,pass_td,0,,,,,
player,201111060sdg,sdg,JackVi00,pass_int,0,,,,,
player,201111060sdg,sdg,JackVi00,pass_sacked,0,,,,,
player,201111060sdg,sdg,JackVi00,pass_sacked_yds,0,,,,,
player,201111060sdg,sdg,JackVi00,pass_long,0,,,,,
player,201111060sdg,sdg,JackVi00,pass_rating,,,,,,
player,201111060sdg,sdg,JackVi00,rush_att,0,,,,,
player,201111060sdg,sdg,JackVi00,rush_yds,0,,,,,
player,201111060sdg,sdg,JackVi00,rush_td,0,,,,,
player,201111060sdg,sdg,JackVi00,rush_long,0,,,,,
player,201111060sdg,sdg,JackVi00,targets,12,,,,,
player,201111060sdg,sdg,JackVi00,rec,7,,,,,
player,201111060sdg,sdg,JackVi00,rec_yds,141,,,,,
player,201111060sdg,sdg,JackVi00,rec_td,3,,,,,
player,201111060sdg,sdg,JackVi00,rec_long,38,,,,,
player,201111060sdg,sdg,JackVi00,fumbles,0,,,,,
player,201111060sdg,sdg,JackVi00,fumbles_lost,,,,,,
player,201111060sdg,sdg,GateAn00,pass_cmp,0,,,,,
player,201111060sdg,sdg,GateAn00,pass_att,0,,,,,
player,201111060sdg,sdg,GateAn00,pass_yds,0,,,,,
player,201111060sdg,sdg,GateAn00,pass_td,0,,,,,
player,201111060sdg,sdg,GateAn00,pass_int,0,,,,,
player,201111060sdg,sdg,GateAn00,pass_sacked,0,,,,,
player,201111060sdg,sdg,GateAn00,pass_sacked_yds,0,,,,,
player,201111060sdg,sdg,GateAn00,pass_long,0,,,,,
player,201111060sdg,sdg,GateAn00,pass_rating,,,,,,
