game,2011,5,20111009,201110090pit,oti,"Tennessee Titans",17,pit,"Pittsburgh Steelers",38
player,201110090pit,oti,WillDa04,pass_att,0,,,,,
player,201110090pit,oti,WillDa04,pass_yds,0,,,,,
player,201110090pit,oti,WillDa04,pass_td,0,,,,,
player,201110090pit,oti,WillDa04,pass_int,0,,,,,
player,201110090pit,oti,WillDa04,pass_sacked,0,,,,,
player,201110090pit,oti,WillDa04,pass_sacked_yds,0,,,,,
player,201110090pit,oti,WillDa04,pass_long,0,,,,,
player,201110090pit,oti,WillDa04,pass_rating,,,,,,
player,201110090pit,oti,WillDa04,rush_att,0,,,,,
player,201110090pit,oti,WillDa04,rush_yds,0,,,,,
player,201110090pit,oti,WillDa04,rush_td,0,,,,,
player,201110090pit,oti,WillDa04,rush_long,0,,,,,
player,201110090pit,oti,WillDa04,targets,11,,,,,
player,201110090pit,oti,WillDa04,rec,6,,,,,
player,201110090pit,oti,WillDa04,rec_yds,66,,,,,
player,201110090pit,oti,WillDa04,rec_td,1,,,,,
player,201110090pit,oti,WillDa04,rec_long,19,,,,,
player,201110090pit,oti,WillDa04,fumbles,0,,,,,
player,201110090pit,oti,WillDa04,fumbles_lost,,,,,,
player,201110090pit,oti,CookJa02,pass_cmp,0,,,,,
player,201110090pit,oti,CookJa02,pass_att,0,,,,,
player,201110090pit,oti,CookJa02,pass_yds,0,,,,,
player,201110090pit,oti,CookJa02,pass_td,0,,,,,
player,201110090pit,oti,CookJa02,pass_int,0,,,,,
player,201110090pit,oti,CookJa02,pass_sacked,0,,,,,
player,201110090pit,oti,CookJa02,pass_sacked_yds,0,,,,,
player,201110090pit,oti,CookJa02,pass_long,0,,,,,
player,201110090pit,oti,CookJa02,pass_rating,,,,,,
player,201110090pit,oti,CookJa02,rush_att,0,,,,,
player,201110090pit,oti,CookJa02,rush_yds,0,,,,,
player,201110090pit,oti,CookJa02,rush_td,0,,,,,
player,201110090pit,oti,CookJa02,rush_long,0,,,,,
player,201110090pit,oti,CookJa02,targets,9,,,,,
player,201110090pit,oti,CookJa02,rec,4,,,,,
player,201110090pit,oti,CookJa02,rec_yds,59,,,,,
player,201110090pit,oti,CookJa02,rec_td,0,,,,,
player,201110090pit,oti,CookJa02,rec_long,19,,,,,
player,201110090pit,oti,CookJa02,fumbles,0,,,,,
player,201110090pit,oti,CookJa02,fumbles_lost,,,,,,
player,201110090pit,oti,HawkLa00,pass_cmp,0,,,,,
player,201110090pit,oti,HawkLa00,pass_att,0,,,,,
player,201110090pit,oti,HawkLa00,pass_yds,0,,,,,
player,201110090pit,oti,HawkLa00,pass_td,0,,,,,
player,201110090pit,oti,HawkLa00,pass_int,0,,,,,
player,201110090pit,oti,HawkLa00,pass_sacked,0,,,,,
player,201110090pit,oti,HawkLa00,pass_sacked_yds,0,,,,,
player,201110090pit,oti,HawkLa00,pass_long,0,,,,,
player,201110090pit,oti,HawkLa00,pass_rating,,,,,,
player,201110090pit,oti,HawkLa00,rush_att,0,,,,,
player,201110090pit,oti,HawkLa00,rush_yds,0,,,,,
player,201110090pit,oti,HawkLa00,rush_td,0,,,,,
player,201110090pit,oti,HawkLa00,rush_long,0,,,,,
player,201110090pit,oti,HawkLa00,targets,8,,,,,
player,201110090pit,oti,HawkLa00,rec,4,,,,,
player,201110090pit,oti,HawkLa00,rec_yds,33,,,,,
player,201110090pit,oti,HawkLa00,rec_td,0,,,,,
player,201110090pit,oti,HawkLa00,rec_long,16,,,,,
player,201110090pit,oti,HawkLa00,fumbles,0,,,,,
player,201110090pit,oti,HawkLa00,fumbles_lost,,,,,,
player,201110090pit,oti,MariMa00,pass_cmp,0,,,,,
player,201110090pit,oti,MariMa00,pass_att,0,,,,,
player,201110090pit,oti,MariMa00,pass_yds,0,,,,,
player,201110090pit,oti,MariMa00,pass_td,0,,,,,
player,201110090pit,oti,MariMa00,pass_int,0,,,,,
player,201110090pit,oti,MariMa00,pass_sacked,0,,,,,
player,201110090pit,oti,MariMa00,pass_sacked_yds,0,,,,,
player,201110090pit,oti,MariMa00,pass_long,0,,,,,
player,201110090pit,oti,MariMa00,pass_rating,,,,,,
player,201110090pit,oti,MariMa00,rush_att,0,,,,,
player,201110090pit,oti,MariMa00,rush_yds,0,,,,,
player,201110090pit,oti,MariMa00,rush_td,0,,,,,
player,201110090pit,oti,MariMa00,rush_long,0,,,,,
player,201110090pit,oti,MariMa00,targets,2,,,,,
player,201110090pit,oti,MariMa00,rec,1,,,,,
player,201110090pit,oti,MariMa00,rec_yds,5,,,,,
player,201110090pit,oti,MariMa00,rec_td,0,,,,,
player,201110090pit,oti,MariMa00,rec_long,5,,,,,
player,201110090pit,oti,MariMa00,fumbles,0,,,,,
player,201110090pit,oti,MariMa00,fumbles_lost,,,,,,
player,201110090pit,oti,GrahDa00,pass_cmp,0,,,,,
player,201110090pit,oti,GrahDa00,pass_att,0,,,,,
player,201110090pit,oti,GrahDa00,pass_yds,0,,,,,
player,201110090pit,oti,GrahDa00,pass_td,0,,,,,
player,201110090pit,oti,GrahDa00,pass_int,0,,,,,
player,201110090pit,oti,GrahDa00,pass_sacked,0,,,,,
player,201110090pit,oti,GrahDa00,pass_sacked_yds,0,,,,,
player,201110090pit,oti,GrahDa00,pass_long,0,,,,,
player,201110090pit,oti,GrahDa00,pass_rating,,,,,,
player,201110090pit,oti,GrahDa00,rush_att,0,,,,,
player,201110090pit,oti,GrahDa00,rush_yds,0,,,,,
player,201110090pit,oti,GrahDa00,rush_td,0,,,,,
player,201110090pit,oti,GrahDa00,rush_long,0,,,,,
player,201110090pit,oti,GrahDa00,targets,1,,,,,
player,201110090pit,oti,GrahDa00,rec,0,,,,,
player,201110090pit,oti,GrahDa00,rec_yds,0,,,,,
player,201110090pit,oti,GrahDa00,rec_td,0,,,,,
player,201110090pit,oti,GrahDa00,rec_long,0,,,,,
player,201110090pit,oti,GrahDa00,fumbles,0,,,,,
player,201110090pit,oti,GrahDa00,fumbles_lost,,,,,,
player,201110090pit,oti,OttoMi20,pass_cmp,0,,,,,
player,201110090pit,oti,OttoMi20,pass_att,0,,,,,
player,201110090pit,oti,OttoMi20,pass_yds,0,,,,,
player,201110090pit,oti,OttoMi20,pass_td,0,,,,,
player,201110090pit,oti,OttoMi20,pass_int,0,,,,,
player,201110090pit,oti,OttoMi20,pass_sacked,0,,,,,
player,201110090pit,oti,OttoMi20,pass_sacked_yds,0,,,,,
player,201110090pit,oti,OttoMi20,pass_long,0,,,,,
player,201110090pit,oti,OttoMi20,pass_rating,,,,,,
player,201110090pit,oti,OttoMi20,rush_att,0,,,,,
player,201110090pit,oti,OttoMi20,rush_yds,0,,,,,
player,201110090pit,oti,OttoMi20,rush_td,0,,,,,
player,201110090pit,oti,OttoMi20,rush_long,0,,,,,
player,201110090pit,oti,OttoMi20,targets,1,,,,,
player,201110090pit,oti,OttoMi20,rec,0,,,,,
player,201110090pit,oti,OttoMi20,rec_yds,0,,,,,
player,201110090pit,oti,OttoMi20,rec_td,0,,,,,
player,201110090pit,oti,OttoMi20,rec_long,0,,,,,
player,201110090pit,oti,OttoMi20,fumbles,0,,,,,
player,201110090pit,oti,OttoMi20,fumbles_lost,,,,,,
player,201110090pit,pit,RoetBe00,pass_cmp,24,,,,,
player,201110090pit,pit,RoetBe00,pass_att,34,,,,,
player,201110090pit,pit,RoetBe00,pass_yds,228,,,,,
player,201110090pit,pit,RoetBe00,pass_td,5,,,,,
player,201110090pit,pit,RoetBe00,pass_int,1,,,,,
player,201110090pit,pit,RoetBe00,pass_sacked,1,,,,,
player,201110090pit,pit,RoetBe00,pass_sacked_yds,4,,,,,
player,201110090pit,pit,RoetBe00,pass_long,40,,,,,
player,201110090pit,pit,RoetBe00,pass_rating,116.2,,,,,
player,201110090pit,pit,RoetBe00,rush_att,0,,,,,
player,201110090pit,pit,RoetBe00,rush_yds,0,,,,,
player,201110090pit,pit,RoetBe00,rush_td,0,,,,,
player,201110090pit,pit,RoetBe00,rush_long,0,,,,,
player,201110090pit,pit,RoetBe00,targets,0,,,,,
player,201110090pit,pit,RoetBe00,rec,0,,,,,
player,201110090pit,pit,RoetBe00,rec_yds,0,,,,,
player,201110090pit,pit,RoetBe00,rec_td,0,,,,,
player,201110090pit,pit,RoetBe00,rec_long,0,,,,,
player,201110090pit,pit,RoetBe00,fumbles,0,,,,,
player,201110090pit,pit,RoetBe00,fumbles_lost,,,,,,
player,201110090pit,pit,SepuDa20,pass_cmp,1,,,,,
player,201110090pit,pit,SepuDa20,pass_att,1,,,,,
player,201110090pit,pit,SepuDa20,pass_yds,33,,,,,
player,201110090pit,pit,SepuDa20,pass_td,0,,,,,
player,201110090pit,pit,SepuDa20,pass_int,0,,,,,
player,201110090pit,pit,SepuDa20,pass_sacked,0,,,,,
player,201110090pit,pit,SepuDa20,pass_sacked_yds,0,,,,,
player,201110090pit,pit,SepuDa20,pass_long,33,,,,,
player,201110090pit,pit,SepuDa20,pass_rating,118.7,,,,,
player,201110090pit,pit,SepuDa20,rush_att,0,,,,,
player,201110090pit,pit,SepuDa20,rush_yds,0,,,,,
player,201110090pit,pit,SepuDa20,rush_td,0,,,,,
player,201110090pit,pit,SepuDa20,rush_long,0,,,,,
player,201110090pit,pit,SepuDa20,targets,0,,,,,
player,201110090pit,pit,SepuDa20,rec,0,,,,,
player,201110090pit,pit,SepuDa20,rec_yds,0,,,,,
player,201110090pit,pit,SepuDa20,rec_td,0,,,,,
player,201110090pit,pit,SepuDa20,rec_long,0,,,,,
player,201110090pit,pit,SepuDa20,fumbles,0,,,,,
player,201110090pit,pit,SepuDa20,fumbles_lost,,,,,,
player,201110090pit,pit,DwyeJo00,pass_cmp,0,,,,,
player,201110090pit,pit,DwyeJo00,pass_att,0,,,,,
player,201110090pit,pit,DwyeJo00,pass_yds,0,,,,,
player,201110090pit,pit,DwyeJo00,pass_td,0,,,,,
