game,2011,9,20111106,201111060htx,cle,"Cleveland Browns",12,htx,"Houston Texans",30
team,201111060htx,cle,First Downs,10,,,,,,
team,201111060htx,htx,First Downs,21,,,,,,
team,201111060htx,cle,Rush-Yds-TDs,21-44-0,,,,,,
team,201111060htx,htx,Rush-Yds-TDs,40-261-3,,,,,,
team,201111060htx,cle,Cmp-Att-Yd-TD-INT,14-22-146-1-1,,,,,,
team,201111060htx,htx,Cmp-Att-Yd-TD-INT,14-23-119-0-1,,,,,,
team,201111060htx,cle,Sacked-Yards,4-18,,,,,,
team,201111060htx,htx,Sacked-Yards,0-0,,,,,,
team,201111060htx,cle,Net Pass Yards,128,,,,,,
team,201111060htx,htx,Net Pass Yards,119,,,,,,
team,201111060htx,cle,Total Yards,172,,,,,,
team,201111060htx,htx,Total Yards,380,,,,,,
team,201111060htx,cle,Fumbles-Lost,1-1,,,,,,
team,201111060htx,htx,Fumbles-Lost,0-0,,,,,,
team,201111060htx,cle,Turnovers,2,,,,,,
team,201111060htx,htx,Turnovers,1,,,,,,
team,201111060htx,cle,Penalties-Yards,4-35,,,,,,
team,201111060htx,htx,Penalties-Yards,2-15,,,,,,
team,201111060htx,cle,Third Down Conv.,4-12,,,,,,
team,201111060htx,htx,Third Down Conv.,9-14,,,,,,
team,201111060htx,cle,Fourth Down Conv.,2-2,,,,,,
team,201111060htx,htx,Fourth Down Conv.,1-1,,,,,,
team,201111060htx,cle,Time of Possession,24:45,,,,,,
team,201111060htx,htx,Time of Possession,35:15,,,,,,
player,201111060htx,cle,McCoCo00,pass_cmp,14,,,,,
player,201111060htx,cle,McCoCo00,pass_att,22,,,,,
player,201111060htx,cle,McCoCo00,pass_yds,146,,,,,
player,201111060htx,cle,McCoCo00,pass_td,1,,,,,
player,201111060htx,cle,McCoCo00,pass_int,1,,,,,
player,201111060htx,cle,McCoCo00,pass_sacked,4,,,,,
player,201111060htx,cle,McCoCo00,pass_sacked_yds,18,,,,,
player,201111060htx,cle,McCoCo00,pass_long,24,,,,,
player,201111060htx,cle,McCoCo00,pass_rating,79.0,,,,,
player,201111060htx,cle,McCoCo00,rush_att,3,,,,,
player,201111060htx,cle,McCoCo00,rush_yds,6,,,,,
player,201111060htx,cle,McCoCo00,rush_td,0,,,,,
player,201111060htx,cle,McCoCo00,rush_long,4,,,,,
player,201111060htx,cle,McCoCo00,targets,0,,,,,
player,201111060htx,cle,McCoCo00,rec,0,,,,,
player,201111060htx,cle,McCoCo00,rec_yds,0,,,,,
player,201111060htx,cle,McCoCo00,rec_td,0,,,,,
player,201111060htx,cle,McCoCo00,rec_long,0,,,,,
player,201111060htx,cle,McCoCo00,fumbles,0,,,,,
player,201111060htx,cle,McCoCo00,fumbles_lost,,,,,,
player,201111060htx,cle,OgboCh00,pass_cmp,0,,,,,
player,201111060htx,cle,OgboCh00,pass_att,0,,,,,
player,201111060htx,cle,OgboCh00,pass_yds,0,,,,,
player,201111060htx,cle,OgboCh00,pass_td,0,,,,,
player,201111060htx,cle,OgboCh00,pass_int,0,,,,,
player,201111060htx,cle,OgboCh00,pass_sacked,0,,,,,
player,201111060htx,cle,OgboCh00,pass_sacked_yds,0,,,,,
player,201111060htx,cle,OgboCh00,pass_long,0,,,,,
player,201111060htx,cle,OgboCh00,pass_rating,,,,,,
player,201111060htx,cle,OgboCh00,rush_att,13,,,,,
player,201111060htx,cle,OgboCh00,rush_yds,28,,,,,
player,201111060htx,cle,OgboCh00,rush_td,0,,,,,
player,201111060htx,cle,OgboCh00,rush_long,10,,,,,
player,201111060htx,cle,OgboCh00,targets,1,,,,,
player,201111060htx,cle,OgboCh00,rec,1,,,,,
player,201111060htx,cle,OgboCh00,rec_yds,13,,,,,
player,201111060htx,cle,OgboCh00,rec_td,0,,,,,
player,201111060htx,cle,OgboCh00,rec_long,13,,,,,
player,201111060htx,cle,OgboCh00,fumbles,1,,,,,
player,201111060htx,cle,OgboCh00,fumbles_lost,1,,,,,
player,201111060htx,cle,ClayTh00,pass_cmp,0,,,,,
player,201111060htx,cle,ClayTh00,pass_att,0,,,,,
player,201111060htx,cle,ClayTh00,pass_yds,0,,,,,
player,201111060htx,cle,ClayTh00,pass_td,0,,,,,
player,201111060htx,cle,ClayTh00,pass_int,0,,,,,
player,201111060htx,cle,ClayTh00,pass_sacked,0,,,,,
player,201111060htx,cle,ClayTh00,pass_sacked_yds,0,,,,,
player,201111060htx,cle,ClayTh00,pass_long,0,,,,,
player,201111060htx,cle,ClayTh00,pass_rating,,,,,,
player,201111060htx,cle,ClayTh00,rush_att,5,,,,,
player,201111060htx,cle,ClayTh00,rush_yds,10,,,,,
player,201111060htx,cle,ClayTh00,rush_td,0,,,,,
player,201111060htx,cle,ClayTh00,rush_long,4,,,,,
player,201111060htx,cle,ClayTh00,targets,0,,,,,
player,201111060htx,cle,ClayTh00,rec,0,,,,,
player,201111060htx,cle,ClayTh00,rec_yds,0,,,,,
player,201111060htx,cle,ClayTh00,rec_td,0,,,,,
player,201111060htx,cle,ClayTh00,rec_long,0,,,,,
player,201111060htx,cle,ClayTh00,fumbles,0,,,,,
player,201111060htx,cle,ClayTh00,fumbles_lost,,,,,,
player,201111060htx,cle,CribJo01,pass_cmp,0,,,,,
player,201111060htx,cle,CribJo01,pass_att,0,,,,,
player,201111060htx,cle,CribJo01,pass_yds,0,,,,,
player,201111060htx,cle,CribJo01,pass_td,0,,,,,
player,201111060htx,cle,CribJo01,pass_int,0,,,,,
player,201111060htx,cle,CribJo01,pass_sacked,0,,,,,
player,201111060htx,cle,CribJo01,pass_sacked_yds,0,,,,,
player,201111060htx,cle,CribJo01,pass_long,0,,,,,
player,201111060htx,cle,CribJo01,pass_rating,,,,,,
player,201111060htx,cle,CribJo01,rush_att,0,,,,,
player,201111060htx,cle,CribJo01,rush_yds,0,,,,,
player,201111060htx,cle,CribJo01,rush_td,0,,,,,
player,201111060htx,cle,CribJo01,rush_long,0,,,,,
player,201111060htx,cle,CribJo01,targets,5,,,,,
player,201111060htx,cle,CribJo01,rec,5,,,,,
player,201111060htx,cle,CribJo01,rec_yds,50,,,,,
player,201111060htx,cle,CribJo01,rec_td,1,,,,,
player,201111060htx,cle,CribJo01,rec_long,20,,,,,
player,201111060htx,cle,CribJo01,fumbles,0,,,,,
player,201111060htx,cle,CribJo01,fumbles_lost,,,,,,
player,201111060htx,cle,LittGr00,pass_cmp,0,,,,,
player,201111060htx,cle,LittGr00,pass_att,0,,,,,
player,201111060htx,cle,LittGr00,pass_yds,0,,,,,
player,201111060htx,cle,LittGr00,pass_td,0,,,,,
player,201111060htx,cle,LittGr00,pass_int,0,,,,,
player,201111060htx,cle,LittGr00,pass_sacked,0,,,,,
player,201111060htx,cle,LittGr00,pass_sacked_yds,0,,,,,
player,201111060htx,cle,LittGr00,pass_long,0,,,,,
player,201111060htx,cle,LittGr00,pass_rating,,,,,,
