game,2011,6,20111016,201110160gnb,ram,"St. Louis Rams",3,gnb,"Green Bay Packers",24
team,201110160gnb,ram,First Downs,22,,,,,,
team,201110160gnb,gnb,First Downs,20,,,,,,
team,201110160gnb,ram,Rush-Yds-TDs,24-118-0,,,,,,
team,201110160gnb,gnb,Rush-Yds-TDs,31-90-0,,,,,,
team,201110160gnb,ram,Cmp-Att-Yd-TD-INT,29-45-328-0-1,,,,,,
team,201110160gnb,gnb,Cmp-Att-Yd-TD-INT,18-29-316-3-1,,,,,,
team,201110160gnb,ram,Sacked-Yards,3-22,,,,,,
team,201110160gnb,gnb,Sacked-Yards,1-7,,,,,,
team,201110160gnb,ram,Net Pass Yards,306,,,,,,
team,201110160gnb,gnb,Net Pass Yards,309,,,,,,
team,201110160gnb,ram,Total Yards,424,,,,,,
team,201110160gnb,gnb,Total Yards,399,,,,,,
team,201110160gnb,ram,Fumbles-Lost,2-0,,,,,,
team,201110160gnb,gnb,Fumbles-Lost,0-0,,,,,,
team,201110160gnb,ram,Turnovers,1,,,,,,
team,201110160gnb,gnb,Turnovers,1,,,,,,
team,201110160gnb,ram,Penalties-Yards,7-45,,,,,,
team,201110160gnb,gnb,Penalties-Yards,3-16,,,,,,
team,201110160gnb,ram,Third Down Conv.,3-13,,,,,,
team,201110160gnb,gnb,Third Down Conv.,4-13,,,,,,
team,201110160gnb,ram,Fourth Down Conv.,1-4,,,,,,
team,201110160gnb,gnb,Fourth Down Conv.,1-1,,,,,,
team,201110160gnb,ram,Time of Possession,30:41,,,,,,
team,201110160gnb,gnb,Time of Possession,29:19,,,,,,
player,201110160gnb,ram,BradSa00,pass_cmp,29,,,,,
player,201110160gnb,ram,BradSa00,pass_att,45,,,,,
player,201110160gnb,ram,BradSa00,pass_yds,328,,,,,
player,201110160gnb,ram,BradSa00,pass_td,0,,,,,
player,201110160gnb,ram,BradSa00,pass_int,1,,,,,
player,201110160gnb,ram,BradSa00,pass_sacked,3,,,,,
player,201110160gnb,ram,BradSa00,pass_sacked_yds,22,,,,,
player,201110160gnb,ram,BradSa00,pass_long,45,,,,,
player,201110160gnb,ram,BradSa00,pass_rating,76.9,,,,,
player,201110160gnb,ram,BradSa00,rush_att,2,,,,,
player,201110160gnb,ram,BradSa00,rush_yds,0,,,,,
player,201110160gnb,ram,BradSa00,rush_td,0,,,,,
player,201110160gnb,ram,BradSa00,rush_long,0,,,,,
player,201110160gnb,ram,BradSa00,targets,0,,,,,
player,201110160gnb,ram,BradSa00,rec,0,,,,,
player,201110160gnb,ram,BradSa00,rec_yds,0,,,,,
player,201110160gnb,ram,BradSa00,rec_td,0,,,,,
player,201110160gnb,ram,BradSa00,rec_long,0,,,,,
player,201110160gnb,ram,BradSa00,fumbles,1,,,,,
player,201110160gnb,ram,BradSa00,fumbles_lost,0,,,,,
player,201110160gnb,ram,JackSt00,pass_cmp,0,,,,,
player,201110160gnb,ram,JackSt00,pass_att,0,,,,,
player,201110160gnb,ram,JackSt00,pass_yds,0,,,,,
player,201110160gnb,ram,JackSt00,pass_td,0,,,,,
player,201110160gnb,ram,JackSt00,pass_int,0,,,,,
player,201110160gnb,ram,JackSt00,pass_sacked,0,,,,,
player,201110160gnb,ram,JackSt00,pass_sacked_yds,0,,,,,
player,201110160gnb,ram,JackSt00,pass_long,0,,,,,
player,201110160gnb,ram,JackSt00,pass_rating,,,,,,
player,201110160gnb,ram,JackSt00,rush_att,18,,,,,
player,201110160gnb,ram,JackSt00,rush_yds,96,,,,,
player,201110160gnb,ram,JackSt00,rush_td,0,,,,,
player,201110160gnb,ram,JackSt00,rush_long,13,,,,,
player,201110160gnb,ram,JackSt00,targets,5,,,,,
player,201110160gnb,ram,JackSt00,rec,4,,,,,
player,201110160gnb,ram,JackSt00,rec_yds,29,,,,,
player,201110160gnb,ram,JackSt00,rec_td,0,,,,,
player,201110160gnb,ram,JackSt00,rec_long,13,,,,,
player,201110160gnb,ram,JackSt00,fumbles,1,,,,,
player,201110160gnb,ram,JackSt00,fumbles_lost,0,,,,,
player,201110160gnb,ram,WillCa02,pass_cmp,0,,,,,
player,201110160gnb,ram,WillCa02,pass_att,0,,,,,
player,201110160gnb,ram,WillCa02,pass_yds,0,,,,,
player,201110160gnb,ram,WillCa02,pass_td,0,,,,,
player,201110160gnb,ram,WillCa02,pass_int,0,,,,,
player,201110160gnb,ram,WillCa02,pass_sacked,0,,,,,
player,201110160gnb,ram,WillCa02,pass_sacked_yds,0,,,,,
player,201110160gnb,ram,WillCa02,pass_long,0,,,,,
player,201110160gnb,ram,WillCa02,pass_rating,,,,,,
player,201110160gnb,ram,WillCa02,rush_att,3,,,,,
player,201110160gnb,ram,WillCa02,rush_yds,17,,,,,
player,201110160gnb,ram,WillCa02,rush_td,0,,,,,
player,201110160gnb,ram,WillCa02,rush_long,13,,,,,
player,201110160gnb,ram,WillCa02,targets,4,,,,,
player,201110160gnb,ram,WillCa02,rec,3,,,,,
player,201110160gnb,ram,WillCa02,rec_yds,17,,,,,
player,201110160gnb,ram,WillCa02,rec_td,0,,,,,
player,201110160gnb,ram,WillCa02,rec_long,9,,,,,
player,201110160gnb,ram,WillCa02,fumbles,0,,,,,
player,201110160gnb,ram,WillCa02,fumbles_lost,,,,,,
player,201110160gnb,ram,GibsBr00,pass_cmp,0,,,,,
player,201110160gnb,ram,GibsBr00,pass_att,0,,,,,
player,201110160gnb,ram,GibsBr00,pass_yds,0,,,,,
player,201110160gnb,ram,GibsBr00,pass_td,0,,,,,
player,201110160gnb,ram,GibsBr00,pass_int,0,,,,,
player,201110160gnb,ram,GibsBr00,pass_sacked,0,,,,,
player,201110160gnb,ram,GibsBr00,pass_sacked_yds,0,,,,,
player,201110160gnb,ram,GibsBr00,pass_long,0,,,,,
player,201110160gnb,ram,GibsBr00,pass_rating,,,,,,
player,201110160gnb,ram,GibsBr00,rush_att,1,,,,,
player,201110160gnb,ram,GibsBr00,rush_yds,5,,,,,
player,201110160gnb,ram,GibsBr00,rush_td,0,,,,,
player,201110160gnb,ram,GibsBr00,rush_long,5,,,,,
player,201110160gnb,ram,GibsBr00,targets,10,,,,,
player,201110160gnb,ram,GibsBr00,rec,4,,,,,
player,201110160gnb,ram,GibsBr00,rec_yds,43,,,,,
player,201110160gnb,ram,GibsBr00,rec_td,0,,,,,
player,201110160gnb,ram,GibsBr00,rec_long,21,,,,,
player,201110160gnb,ram,GibsBr00,fumbles,0,,,,,
player,201110160gnb,ram,GibsBr00,fumbles_lost,,,,,,
player,201110160gnb,ram,AlexDa00,pass_cmp,0,,,,,
player,201110160gnb,ram,AlexDa00,pass_att,0,,,,,
player,201110160gnb,ram,AlexDa00,pass_yds,0,,,,,
player,201110160gnb,ram,AlexDa00,pass_td,0,,,,,
player,201110160gnb,ram,AlexDa00,pass_int,0,,,,,
player,201110160gnb,ram,AlexDa00,pass_sacked,0,,,,,
player,201110160gnb,ram,AlexDa00,pass_sacked_yds,0,,,,,
player,201110160gnb,ram,AlexDa00,pass_long,0,,,,,
player,201110160gnb,ram,AlexDa00,pass_rating,,,,,,
player,201110160gnb,ram,AlexDa00,rush_att,0,,,,,
player,201110160gnb,ram,AlexDa00,rush_yds,0,,,,,
player,201110160gnb,ram,AlexDa00,rush_td,0,,,,,
player,201110160gnb,ram,AlexDa00,rush_long,0,,,,,
player,201110160gnb,ram,AlexDa00,targets,10,,,,,
player,201110160gnb,ram,AlexDa00,rec,6,,,,,
player,201110160gnb,ram,AlexDa00,rec_yds,91,,,,,
player,201110160gnb,ram,AlexDa00,rec_td,0,,,,,
player,201110160gnb,ram,AlexDa00,rec_long,32,,,,,
player,201110160gnb,ram,AlexDa00,fumbles,0,,,,,
player,201110160gnb,ram,AlexDa00,fumbles_lost,,,,,,
player,201110160gnb,ram,SalaGr00,pass_cmp,0,,,,,
player,201110160gnb,ram,SalaGr00,pass_att,0,,,,,
player,201110160gnb,ram,SalaGr00,pass_yds,0,,,,,
player,201110160gnb,ram,SalaGr00,pass_td,0,,,,,
player,201110160gnb,ram,SalaGr00,pass_int,0,,,,,
player,201110160gnb,ram,SalaGr00,pass_sacked,0,,,,,
player,201110160gnb,ram,SalaGr00,pass_sacked_yds,0,,,,,
player,201110160gnb,ram,SalaGr00,pass_long,0,,,,,
player,201110160gnb,ram,SalaGr00,pass_rating,,,,,,
player,201110160gnb,ram,SalaGr00,rush_att,0,,,,,
player,201110160gnb,ram,SalaGr00,rush_yds,0,,,,,
player,201110160gnb,ram,SalaGr00,rush_td,0,,,,,
player,201110160gnb,ram,SalaGr00,rush_long,0,,,,,
player,201110160gnb,ram,SalaGr00,targets,10,,,,,
player,201110160gnb,ram,SalaGr00,rec,8,,,,,
player,201110160gnb,ram,SalaGr00,rec_yds,77,,,,,
