game,2011,11,20111120,201111200cle,jax,"Jacksonville Jaguars",10,cle,"Cleveland Browns",14
player,201111200cle,jax,LewiMa00,pass_cmp,0,,,,,
player,201111200cle,jax,LewiMa00,pass_att,0,,,,,
player,201111200cle,jax,LewiMa00,pass_yds,0,,,,,
player,201111200cle,jax,LewiMa00,pass_td,0,,,,,
player,201111200cle,jax,LewiMa00,pass_int,0,,,,,
player,201111200cle,jax,LewiMa00,pass_sacked,0,,,,,
player,201111200cle,jax,LewiMa00,pass_sacked_yds,0,,,,,
player,201111200cle,jax,LewiMa00,pass_long,0,,,,,
player,201111200cle,jax,LewiMa00,pass_rating,,,,,,
player,201111200cle,jax,LewiMa00,rush_att,0,,,,,
player,201111200cle,jax,LewiMa00,rush_yds,0,,,,,
player,201111200cle,jax,LewiMa00,rush_td,0,,,,,
player,201111200cle,jax,LewiMa00,rush_long,0,,,,,
player,201111200cle,jax,LewiMa00,targets,11,,,,,
player,201111200cle,jax,LewiMa00,rec,7,,,,,
player,201111200cle,jax,LewiMa00,rec_yds,64,,,,,
player,201111200cle,jax,LewiMa00,rec_td,0,,,,,
player,201111200cle,jax,LewiMa00,rec_long,18,,,,,
player,201111200cle,jax,LewiMa00,fumbles,0,,,,,
player,201111200cle,jax,LewiMa00,fumbles_lost,,,,,,
player,201111200cle,jax,HillJa00,pass_cmp,0,,,,,
player,201111200cle,jax,HillJa00,pass_att,0,,,,,
player,201111200cle,jax,HillJa00,pass_yds,0,,,,,
player,201111200cle,jax,HillJa00,pass_td,0,,,,,
player,201111200cle,jax,HillJa00,pass_int,0,,,,,
player,201111200cle,jax,HillJa00,pass_sacked,0,,,,,
player,201111200cle,jax,HillJa00,pass_sacked_yds,0,,,,,
player,201111200cle,jax,HillJa00,pass_long,0,,,,,
player,201111200cle,jax,HillJa00,pass_rating,,,,,,
player,201111200cle,jax,HillJa00,rush_att,0,,,,,
player,201111200cle,jax,HillJa00,rush_yds,0,,,,,
player,201111200cle,jax,HillJa00,rush_td,0,,,,,
player,201111200cle,jax,HillJa00,rush_long,0,,,,,
player,201111200cle,jax,HillJa00,targets,7,,,,,
player,201111200cle,jax,HillJa00,rec,3,,,,,
player,201111200cle,jax,HillJa00,rec_yds,49,,,,,
player,201111200cle,jax,HillJa00,rec_td,0,,,,,
player,201111200cle,jax,HillJa00,rec_long,28,,,,,
player,201111200cle,jax,HillJa00,fumbles,0,,,,,
player,201111200cle,jax,HillJa00,fumbles_lost,,,,,,
player,201111200cle,jax,DillJa00,pass_cmp,0,,,,,
player,201111200cle,jax,DillJa00,pass_att,0,,,,,
player,201111200cle,jax,DillJa00,pass_yds,0,,,,,
player,201111200cle,jax,DillJa00,pass_td,0,,,,,
player,201111200cle,jax,DillJa00,pass_int,0,,,,,
player,201111200cle,jax,DillJa00,pass_sacked,0,,,,,
player,201111200cle,jax,DillJa00,pass_sacked_yds,0,,,,,
player,201111200cle,jax,DillJa00,pass_long,0,,,,,
player,201111200cle,jax,DillJa00,pass_rating,,,,,,
player,201111200cle,jax,DillJa00,rush_att,0,,,,,
player,201111200cle,jax,DillJa00,rush_yds,0,,,,,
player,201111200cle,jax,DillJa00,rush_td,0,,,,,
player,201111200cle,jax,DillJa00,rush_long,0,,,,,
player,201111200cle,jax,DillJa00,targets,3,,,,,
player,201111200cle,jax,DillJa00,rec,3,,,,,
player,201111200cle,jax,DillJa00,rec_yds,29,,,,,
player,201111200cle,jax,DillJa00,rec_td,0,,,,,
player,201111200cle,jax,DillJa00,rec_long,19,,,,,
player,201111200cle,jax,DillJa00,fumbles,0,,,,,
player,201111200cle,jax,DillJa00,fumbles_lost,,,,,,
player,201111200cle,jax,ThomMi01,pass_cmp,0,,,,,
player,201111200cle,jax,ThomMi01,pass_att,0,,,,,
player,201111200cle,jax,ThomMi01,pass_yds,0,,,,,
player,201111200cle,jax,ThomMi01,pass_td,0,,,,,
player,201111200cle,jax,ThomMi01,pass_int,0,,,,,
player,201111200cle,jax,ThomMi01,pass_sacked,0,,,,,
player,201111200cle,jax,ThomMi01,pass_sacked_yds,0,,,,,
player,201111200cle,jax,ThomMi01,pass_long,0,,,,,
player,201111200cle,jax,ThomMi01,pass_rating,,,,,,
player,201111200cle,jax,ThomMi01,rush_att,0,,,,,
player,201111200cle,jax,ThomMi01,rush_yds,0,,,,,
player,201111200cle,jax,ThomMi01,rush_td,0,,,,,
player,201111200cle,jax,ThomMi01,rush_long,0,,,,,
player,201111200cle,jax,ThomMi01,targets,11,,,,,
player,201111200cle,jax,ThomMi01,rec,3,,,,,
player,201111200cle,jax,ThomMi01,rec_yds,23,,,,,
player,201111200cle,jax,ThomMi01,rec_td,0,,,,,
player,201111200cle,jax,ThomMi01,rec_long,9,,,,,
player,201111200cle,jax,ThomMi01,fumbles,0,,,,,
player,201111200cle,jax,ThomMi01,fumbles_lost,,,,,,
player,201111200cle,jax,WestCh00,pass_cmp,0,,,,,
player,201111200cle,jax,WestCh00,pass_att,0,,,,,
player,201111200cle,jax,WestCh00,pass_yds,0,,,,,
player,201111200cle,jax,WestCh00,pass_td,0,,,,,
player,201111200cle,jax,WestCh00,pass_int,0,,,,,
player,201111200cle,jax,WestCh00,pass_sacked,0,,,,,
player,201111200cle,jax,WestCh00,pass_sacked_yds,0,,,,,
player,201111200cle,jax,WestCh00,pass_long,0,,,,,
player,201111200cle,jax,WestCh00,pass_rating,,,,,,
player,201111200cle,jax,WestCh00,rush_att,0,,,,,
player,201111200cle,jax,WestCh00,rush_yds,0,,,,,
player,201111200cle,jax,WestCh00,rush_td,0,,,,,
player,201111200cle,jax,WestCh00,rush_long,0,,,,,
player,201111200cle,jax,WestCh00,targets,3,,,,,
player,201111200cle,jax,WestCh00,rec,2,,,,,
player,201111200cle,jax,WestCh00,rec_yds,14,,,,,
player,201111200cle,jax,WestCh00,rec_td,0,,,,,
player,201111200cle,jax,WestCh00,rec_long,9,,,,,
player,201111200cle,jax,WestCh00,fumbles,0,,,,,
player,201111200cle,jax,WestCh00,fumbles_lost,,,,,,
player,201111200cle,cle,McCoCo00,pass_cmp,17,,,,,
player,201111200cle,cle,McCoCo00,pass_att,24,,,,,
player,201111200cle,cle,McCoCo00,pass_yds,199,,,,,
player,201111200cle,cle,McCoCo00,pass_td,1,,,,,
player,201111200cle,cle,McCoCo00,pass_int,1,,,,,
player,201111200cle,cle,McCoCo00,pass_sacked,2,,,,,
player,201111200cle,cle,McCoCo00,pass_sacked_yds,13,,,,,
player,201111200cle,cle,McCoCo00,pass_long,51,,,,,
player,201111200cle,cle,McCoCo00,pass_rating,92.2,,,,,
player,201111200cle,cle,McCoCo00,rush_att,5,,,,,
player,201111200cle,cle,McCoCo00,rush_yds,27,,,,,
player,201111200cle,cle,McCoCo00,rush_td,0,,,,,
player,201111200cle,cle,McCoCo00,rush_long,15,,,,,
player,201111200cle,cle,McCoCo00,targets,0,,,,,
player,201111200cle,cle,McCoCo00,rec,0,,,,,
player,201111200cle,cle,McCoCo00,rec_yds,0,,,,,
player,201111200cle,cle,McCoCo00,rec_td,0,,,,,
player,201111200cle,cle,McCoCo00,rec_long,0,,,,,
player,201111200cle,cle,McCoCo00,fumbles,0,,,,,
player,201111200cle,cle,McCoCo00,fumbles_lost,,,,,,
player,201111200cle,cle,OgboCh00,pass_cmp,0,,,,,
player,201111200cle,cle,OgboCh00,pass_att,0,,,,,
player,201111200cle,cle,OgboCh00,pass_yds,0,,,,,
player,201111200cle,cle,OgboCh00,pass_td,0,,,,,
player,201111200cle,cle,OgboCh00,pass_int,0,,,,,
player,201111200cle,cle,OgboCh00,pass_sacked,0,,,,,
player,201111200cle,cle,OgboCh00,pass_sacked_yds,0,,,,,
player,201111200cle,cle,OgboCh00,pass_long,0,,,,,
player,201111200cle,cle,OgboCh00,pass_rating,,,,,,
player,201111200cle,cle,OgboCh00,rush_att,21,,,,,
player,201111200cle,cle,OgboCh00,rush_yds,115,,,,,
player,201111200cle,cle,OgboCh00,rush_td,1,,,,,
player,201111200cle,cle,OgboCh00,rush_long,40,,,,,
player,201111200cle,cle,OgboCh00,targets,3,,,,,
player,201111200cle,cle,OgboCh00,rec,2,,,,,
player,201111200cle,cle,OgboCh00,rec_yds,19,,,,,
player,201111200cle,cle,OgboCh00,rec_td,0,,,,,
