game,2011,2,20110918,201109180nwe,sdg,"San Diego Chargers",21,nwe,"New England Patriots",35
team,201109180nwe,sdg,First Downs,29,,,,,,
team,201109180nwe,nwe,First Downs,28,,,,,,
team,201109180nwe,sdg,Rush-Yds-TDs,24-98-1,,,,,,
team,201109180nwe,nwe,Rush-Yds-TDs,25-94-1,,,,,,
team,201109180nwe,sdg,Cmp-Att-Yd-TD-INT,29-40-378-2-2,,,,,,
team,201109180nwe,nwe,Cmp-Att-Yd-TD-INT,31-40-423-3-0,,,,,,
team,201109180nwe,sdg,Sacked-Yards,2-6,,,,,,
team,201109180nwe,nwe,Sacked-Yards,2-13,,,,,,
team,201109180nwe,sdg,Net Pass Yards,372,,,,,,
team,201109180nwe,nwe,Net Pass Yards,410,,,,,,
team,201109180nwe,sdg,Total Yards,470,,,,,,
team,201109180nwe,nwe,Total Yards,504,,,,,,
team,201109180nwe,sdg,Fumbles-Lost,2-2,,,,,,
team,201109180nwe,nwe,Fumbles-Lost,0-0,,,,,,
team,201109180nwe,sdg,Turnovers,4,,,,,,
team,201109180nwe,nwe,Turnovers,0,,,,,,
team,201109180nwe,sdg,Penalties-Yards,6-44,,,,,,
team,201109180nwe,nwe,Penalties-Yards,8-80,,,,,,
team,201109180nwe,sdg,Third Down Conv.,10-12,,,,,,
team,201109180nwe,nwe,Third Down Conv.,7-11,,,,,,
team,201109180nwe,sdg,Fourth Down Conv.,0-1,,,,,,
team,201109180nwe,nwe,Fourth Down Conv.,0-1,,,,,,
team,201109180nwe,sdg,Time of Possession,30:58,,,,,,
team,201109180nwe,nwe,Time of Possession,29:02,,,,,,
player,201109180nwe,sdg,RivePh00,pass_cmp,29,,,,,
player,201109180nwe,sdg,RivePh00,pass_att,40,,,,,
player,201109180nwe,sdg,RivePh00,pass_yds,378,,,,,
player,201109180nwe,sdg,RivePh00,pass_td,2,,,,,
player,201109180nwe,sdg,RivePh00,pass_int,2,,,,,
player,201109180nwe,sdg,RivePh00,pass_sacked,2,,,,,
player,201109180nwe,sdg,RivePh00,pass_sacked_yds,6,,,,,
player,201109180nwe,sdg,RivePh00,pass_long,36,,,,,
player,201109180nwe,sdg,RivePh00,pass_rating,97.7,,,,,
player,201109180nwe,sdg,RivePh00,rush_att,2,,,,,
player,201109180nwe,sdg,RivePh00,rush_yds,12,,,,,
player,201109180nwe,sdg,RivePh00,rush_td,0,,,,,
player,201109180nwe,sdg,RivePh00,rush_long,11,,,,,
player,201109180nwe,sdg,RivePh00,targets,0,,,,,
player,201109180nwe,sdg,RivePh00,rec,0,,,,,
player,201109180nwe,sdg,RivePh00,rec_yds,0,,,,,
player,201109180nwe,sdg,RivePh00,rec_td,0,,,,,
player,201109180nwe,sdg,RivePh00,rec_long,0,,,,,
player,201109180nwe,sdg,RivePh00,fumbles,1,,,,,
player,201109180nwe,sdg,RivePh00,fumbles_lost,1,,,,,
player,201109180nwe,sdg,MathRy00,pass_cmp,0,,,,,
player,201109180nwe,sdg,MathRy00,pass_att,0,,,,,
player,201109180nwe,sdg,MathRy00,pass_yds,0,,,,,
player,201109180nwe,sdg,MathRy00,pass_td,0,,,,,
player,201109180nwe,sdg,MathRy00,pass_int,0,,,,,
