game,2011,4,20111002,201110020htx,pit,"Pittsburgh Steelers",10,htx,"Houston Texans",17
team,201110020htx,pit,First Downs,20,,,,,,
team,201110020htx,htx,First Downs,17,,,,,,
team,201110020htx,pit,Rush-Yds-TDs,22-118-1,,,,,,
team,201110020htx,htx,Rush-Yds-TDs,35-180-1,,,,,,
team,201110020htx,pit,Cmp-Att-Yd-TD-INT,16-30-206-0-1,,,,,,
team,201110020htx,htx,Cmp-Att-Yd-TD-INT,14-21-138-1-0,,,,,,
team,201110020htx,pit,Sacked-Yards,5-28,,,,,,
team,201110020htx,htx,Sacked-Yards,0-0,,,,,,
team,201110020htx,pit,Net Pass Yards,178,,,,,,
team,201110020htx,htx,Net Pass Yards,138,,,,,,
team,201110020htx,pit,Total Yards,296,,,,,,
team,201110020htx,htx,Total Yards,318,,,,,,
team,201110020htx,pit,Fumbles-Lost,0-0,,,,,,
team,201110020htx,htx,Fumbles-Lost,1-0,,,,,,
team,201110020htx,pit,Turnovers,1,,,,,,
team,201110020htx,htx,Turnovers,0,,,,,,
team,201110020htx,pit,Penalties-Yards,5-45,,,,,,
team,201110020htx,htx,Penalties-Yards,9-64,,,,,,
team,201110020htx,pit,Third Down Conv.,5-12,,,,,,
team,201110020htx,htx,Third Down Conv.,6-12,,,,,,
team,201110020htx,pit,Fourth Down Conv.,0-1,,,,,,
team,201110020htx,htx,Fourth Down Conv.,0-0,,,,,,
team,201110020htx,pit,Time of Possession,28:17,,,,,,
team,201110020htx,htx,Time of Possession,31:43,,,,,,
player,201110020htx,pit,RoetBe00,pass_cmp,16,,,,,
player,201110020htx,pit,RoetBe00,pass_att,30,,,,,
player,201110020htx,pit,RoetBe00,pass_yds,206,,,,,
player,201110020htx,pit,RoetBe00,pass_td,0,,,,,
player,201110020htx,pit,RoetBe00,pass_int,1,,,,,
player,201110020htx,pit,RoetBe00,pass_sacked,5,,,,,
player,201110020htx,pit,RoetBe00,pass_sacked_yds,28,,,,,
player,201110020htx,pit,RoetBe00,pass_long,40,,,,,
player,201110020htx,pit,RoetBe00,pass_rating,61.3,,,,,
player,201110020htx,pit,RoetBe00,rush_att,2,,,,,
player,201110020htx,pit,RoetBe00,rush_yds,11,,,,,
player,201110020htx,pit,RoetBe00,rush_td,0,,,,,
player,201110020htx,pit,RoetBe00,rush_long,8,,,,,
player,201110020htx,pit,RoetBe00,targets,0,,,,,
player,201110020htx,pit,RoetBe00,rec,0,,,,,
player,201110020htx,pit,RoetBe00,rec_yds,0,,,,,
player,201110020htx,pit,RoetBe00,rec_td,0,,,,,
player,201110020htx,pit,RoetBe00,rec_long,0,,,,,
player,201110020htx,pit,RoetBe00,fumbles,0,,,,,
player,201110020htx,pit,RoetBe00,fumbles_lost,,,,,,
player,201110020htx,pit,RedmIs20,pass_cmp,0,,,,,
player,201110020htx,pit,RedmIs20,pass_att,0,,,,,
player,201110020htx,pit,RedmIs20,pass_yds,0,,,,,
player,201110020htx,pit,RedmIs20,pass_td,0,,,,,
player,201110020htx,pit,RedmIs20,pass_int,0,,,,,
player,201110020htx,pit,RedmIs20,pass_sacked,0,,,,,
player,201110020htx,pit,RedmIs20,pass_sacked_yds,0,,,,,
player,201110020htx,pit,RedmIs20,pass_long,0,,,,,
player,201110020htx,pit,RedmIs20,pass_rating,,,,,,
player,201110020htx,pit,RedmIs20,rush_att,6,,,,,
player,201110020htx,pit,RedmIs20,rush_yds,40,,,,,
player,201110020htx,pit,RedmIs20,rush_td,0,,,,,
player,201110020htx,pit,RedmIs20,rush_long,18,,,,,
player,201110020htx,pit,RedmIs20,targets,1,,,,,
player,201110020htx,pit,RedmIs20,rec,1,,,,,
player,201110020htx,pit,RedmIs20,rec_yds,12,,,,,
player,201110020htx,pit,RedmIs20,rec_td,0,,,,,
player,201110020htx,pit,RedmIs20,rec_long,12,,,,,
player,201110020htx,pit,RedmIs20,fumbles,0,,,,,
player,201110020htx,pit,RedmIs20,fumbles_lost,,,,,,
player,201110020htx,pit,MoorMe00,pass_cmp,0,,,,,
player,201110020htx,pit,MoorMe00,pass_att,0,,,,,
player,201110020htx,pit,MoorMe00,pass_yds,0,,,,,
player,201110020htx,pit,MoorMe00,pass_td,0,,,,,
player,201110020htx,pit,MoorMe00,pass_int,0,,,,,
player,201110020htx,pit,MoorMe00,pass_sacked,0,,,,,
player,201110020htx,pit,MoorMe00,pass_sacked_yds,0,,,,,
player,201110020htx,pit,MoorMe00,pass_long,0,,,,,
player,201110020htx,pit,MoorMe00,pass_rating,,,,,,
player,201110020htx,pit,MoorMe00,rush_att,4,,,,,
player,201110020htx,pit,MoorMe00,rush_yds,34,,,,,
player,201110020htx,pit,MoorMe00,rush_td,0,,,,,
player,201110020htx,pit,MoorMe00,rush_long,15,,,,,
player,201110020htx,pit,MoorMe00,targets,0,,,,,
player,201110020htx,pit,MoorMe00,rec,0,,,,,
player,201110020htx,pit,MoorMe00,rec_yds,0,,,,,
player,201110020htx,pit,MoorMe00,rec_td,0,,,,,
player,201110020htx,pit,MoorMe00,rec_long,0,,,,,
player,201110020htx,pit,MoorMe00,fumbles,0,,,,,
player,201110020htx,pit,MoorMe00,fumbles_lost,,,,,,
player,201110020htx,pit,MendRa00,pass_cmp,0,,,,,
player,201110020htx,pit,MendRa00,pass_att,0,,,,,
player,201110020htx,pit,MendRa00,pass_yds,0,,,,,
player,201110020htx,pit,MendRa00,pass_td,0,,,,,
player,201110020htx,pit,MendRa00,pass_int,0,,,,,
player,201110020htx,pit,MendRa00,pass_sacked,0,,,,,
player,201110020htx,pit,MendRa00,pass_sacked_yds,0,,,,,
player,201110020htx,pit,MendRa00,pass_long,0,,,,,
player,201110020htx,pit,MendRa00,pass_rating,,,,,,
player,201110020htx,pit,MendRa00,rush_att,9,,,,,
player,201110020htx,pit,MendRa00,rush_yds,25,,,,,
player,201110020htx,pit,MendRa00,rush_td,1,,,,,
player,201110020htx,pit,MendRa00,rush_long,9,,,,,
player,201110020htx,pit,MendRa00,targets,2,,,,,
player,201110020htx,pit,MendRa00,rec,0,,,,,
player,201110020htx,pit,MendRa00,rec_yds,0,,,,,
player,201110020htx,pit,MendRa00,rec_td,0,,,,,
player,201110020htx,pit,MendRa00,rec_long,0,,,,,
player,201110020htx,pit,MendRa00,fumbles,0,,,,,
player,201110020htx,pit,MendRa00,fumbles_lost,,,,,,
player,201110020htx,pit,BrowAn04,pass_cmp,0,,,,,
player,201110020htx,pit,BrowAn04,pass_att,0,,,,,
player,201110020htx,pit,BrowAn04,pass_yds,0,,,,,
player,201110020htx,pit,BrowAn04,pass_td,0,,,,,
player,201110020htx,pit,BrowAn04,pass_int,0,,,,,
player,201110020htx,pit,BrowAn04,pass_sacked,0,,,,,
player,201110020htx,pit,BrowAn04,pass_sacked_yds,0,,,,,
player,201110020htx,pit,BrowAn04,pass_long,0,,,,,
player,201110020htx,pit,BrowAn04,pass_rating,,,,,,
