game,2011,11,20111120,201111200gnb,tam,"Tampa Bay Buccaneers",26,gnb,"Green Bay Packers",35
team,201111200gnb,tam,First Downs,22,,,,,,
team,201111200gnb,gnb,First Downs,24,,,,,,
team,201111200gnb,tam,Rush-Yds-TDs,20-121-1,,,,,,
team,201111200gnb,gnb,Rush-Yds-TDs,23-91-2,,,,,,
team,201111200gnb,tam,Cmp-Att-Yd-TD-INT,28-38-342-2-2,,,,,,
team,201111200gnb,gnb,Cmp-Att-Yd-TD-INT,23-34-299-3-1,,,,,,
team,201111200gnb,tam,Sacked-Yards,2-8,,,,,,
team,201111200gnb,gnb,Sacked-Yards,2-12,,,,,,
team,201111200gnb,tam,Net Pass Yards,334,,,,,,
team,201111200gnb,gnb,Net Pass Yards,287,,,,,,
team,201111200gnb,tam,Total Yards,455,,,,,,
team,201111200gnb,gnb,Total Yards,378,,,,,,
team,201111200gnb,tam,Fumbles-Lost,1-0,,,,,,
team,201111200gnb,gnb,Fumbles-Lost,2-0,,,,,,
team,201111200gnb,tam,Turnovers,2,,,,,,
team,201111200gnb,gnb,Turnovers,1,,,,,,
team,201111200gnb,tam,Penalties-Yards,9-55,,,,,,
team,201111200gnb,gnb,Penalties-Yards,5-37,,,,,,
team,201111200gnb,tam,Third Down Conv.,5-11,,,,,,
team,201111200gnb,gnb,Third Down Conv.,7-12,,,,,,
team,201111200gnb,tam,Fourth Down Conv.,0-1,,,,,,
team,201111200gnb,gnb,Fourth Down Conv.,1-1,,,,,,
team,201111200gnb,tam,Time of Possession,31:21,,,,,,
team,201111200gnb,gnb,Time of Possession,28:39,,,,,,
player,201111200gnb,tam,FreeJo00,pass_cmp,28,,,,,
player,201111200gnb,tam,FreeJo00,pass_att,38,,,,,
player,201111200gnb,tam,FreeJo00,pass_yds,342,,,,,
player,201111200gnb,tam,FreeJo00,pass_td,2,,,,,
player,201111200gnb,tam,FreeJo00,pass_int,2,,,,,
player,201111200gnb,tam,FreeJo00,pass_sacked,2,,,,,
player,201111200gnb,tam,FreeJo00,pass_sacked_yds,8,,,,,
player,201111200gnb,tam,FreeJo00,pass_long,37,,,,,
player,201111200gnb,tam,FreeJo00,pass_rating,96.6,,,,,
player,201111200gnb,tam,FreeJo00,rush_att,1,,,,,
player,201111200gnb,tam,FreeJo00,rush_yds,5,,,,,
player,201111200gnb,tam,FreeJo00,rush_td,0,,,,,
player,201111200gnb,tam,FreeJo00,rush_long,5,,,,,
player,201111200gnb,tam,FreeJo00,targets,0,,,,,
player,201111200gnb,tam,FreeJo00,rec,0,,,,,
player,201111200gnb,tam,FreeJo00,rec_yds,0,,,,,
player,201111200gnb,tam,FreeJo00,rec_td,0,,,,,
player,201111200gnb,tam,FreeJo00,rec_long,0,,,,,
player,201111200gnb,tam,FreeJo00,fumbles,0,,,,,
player,201111200gnb,tam,FreeJo00,fumbles_lost,,,,,,
player,201111200gnb,tam,BlouLe00,pass_cmp,0,,,,,
player,201111200gnb,tam,BlouLe00,pass_att,0,,,,,
