game,2011,3,20110925,201109250ram,rav,"Baltimore Ravens",37,ram,"St. Louis Rams",7
player,201109250ram,rav,FlacJo00,rec,0,,,,,
player,201109250ram,rav,FlacJo00,rec_yds,0,,,,,
player,201109250ram,rav,FlacJo00,rec_td,0,,,,,
player,201109250ram,rav,FlacJo00,rec_long,0,,,,,
player,201109250ram,rav,FlacJo00,fumbles,2,,,,,
player,201109250ram,rav,FlacJo00,fumbles_lost,1,,,,,
player,201109250ram,rav,RiceRa00,pass_cmp,0,,,,,
player,201109250ram,rav,RiceRa00,pass_att,0,,,,,
player,201109250ram,rav,RiceRa00,pass_yds,0,,,,,
player,201109250ram,rav,RiceRa00,pass_td,0,,,,,
player,201109250ram,rav,RiceRa00,pass_int,0,,,,,
player,201109250ram,rav,RiceRa00,pass_sacked,0,,,,,
player,201109250ram,rav,RiceRa00,pass_sacked_yds,0,,,,,
player,201109250ram,rav,RiceRa00,pass_long,0,,,,,
player,201109250ram,rav,RiceRa00,pass_rating,,,,,,
player,201109250ram,rav,RiceRa00,rush_att,9,,,,,
player,201109250ram,rav,RiceRa00,rush_yds,81,,,,,
player,201109250ram,rav,RiceRa00,rush_td,0,,,,,
player,201109250ram,rav,RiceRa00,rush_long,53,,,,,
player,201109250ram,rav,RiceRa00,targets,7,,,,,
player,201109250ram,rav,RiceRa00,rec,5,,,,,
player,201109250ram,rav,RiceRa00,rec_yds,83,,,,,
player,201109250ram,rav,RiceRa00,rec_td,0,,,,,
player,201109250ram,rav,RiceRa00,rec_long,22,,,,,
player,201109250ram,rav,RiceRa00,fumbles,0,,,,,
player,201109250ram,rav,RiceRa00,fumbles_lost,,,,,,
player,201109250ram,rav,WillRi00,pass_cmp,0,,,,,
player,201109250ram,rav,WillRi00,pass_att,0,,,,,
player,201109250ram,rav,WillRi00,pass_yds,0,,,,,
player,201109250ram,rav,WillRi00,pass_td,0,,,,,
player,201109250ram,rav,WillRi00,pass_int,0,,,,,
player,201109250ram,rav,WillRi00,pass_sacked,0,,,,,
player,201109250ram,rav,WillRi00,pass_sacked_yds,0,,,,,
player,201109250ram,rav,WillRi00,pass_long,0,,,,,
player,201109250ram,rav,WillRi00,pass_rating,,,,,,
player,201109250ram,rav,WillRi00,rush_att,5,,,,,
player,201109250ram,rav,WillRi00,rush_yds,42,,,,,
