game,2011,4,20111002,201110020sdg,mia,"Miami Dolphins",16,sdg,"San Diego Chargers",26
team,201110020sdg,mia,First Downs,16,,,,,,
team,201110020sdg,sdg,First Downs,21,,,,,,
team,201110020sdg,mia,Rush-Yds-TDs,22-72-1,,,,,,
team,201110020sdg,sdg,Rush-Yds-TDs,28-116-1,,,,,,
team,201110020sdg,mia,Cmp-Att-Yd-TD-INT,20-30-194-0-2,,,,,,
team,201110020sdg,sdg,Cmp-Att-Yd-TD-INT,21-31-307-1-0,,,,,,
team,201110020sdg,mia,Sacked-Yards,3-18,,,,,,
team,201110020sdg,sdg,Sacked-Yards,2-12,,,,,,
team,201110020sdg,mia,Net Pass Yards,176,,,,,,
team,201110020sdg,sdg,Net Pass Yards,295,,,,,,
team,201110020sdg,mia,Total Yards,248,,,,,,
team,201110020sdg,sdg,Total Yards,411,,,,,,
team,201110020sdg,mia,Fumbles-Lost,0-0,,,,,,
team,201110020sdg,sdg,Fumbles-Lost,2-0,,,,,,
team,201110020sdg,mia,Turnovers,2,,,,,,
team,201110020sdg,sdg,Turnovers,0,,,,,,
team,201110020sdg,mia,Penalties-Yards,2-41,,,,,,
team,201110020sdg,sdg,Penalties-Yards,8-80,,,,,,
team,201110020sdg,mia,Third Down Conv.,3-10,,,,,,
team,201110020sdg,sdg,Third Down Conv.,7-14,,,,,,
team,201110020sdg,mia,Fourth Down Conv.,0-0,,,,,,
team,201110020sdg,sdg,Fourth Down Conv.,0-0,,,,,,
team,201110020sdg,mia,Time of Possession,26:42,,,,,,
team,201110020sdg,sdg,Time of Possession,33:18,,,,,,
player,201110020sdg,mia,MoorMa01,pass_cmp,17,,,,,
player,201110020sdg,mia,MoorMa01,pass_att,26,,,,,
player,201110020sdg,mia,MoorMa01,pass_yds,167,,,,,
player,201110020sdg,mia,MoorMa01,pass_td,0,,,,,
player,201110020sdg,mia,MoorMa01,pass_int,1,,,,,
player,201110020sdg,mia,MoorMa01,pass_sacked,3,,,,,
player,201110020sdg,mia,MoorMa01,pass_sacked_yds,18,,,,,
player,201110020sdg,mia,MoorMa01,pass_long,31,,,,,
player,201110020sdg,mia,MoorMa01,pass_rating,67.3,,,,,
player,201110020sdg,mia,MoorMa01,rush_att,1,,,,,
player,201110020sdg,mia,MoorMa01,rush_yds,-1,,,,,
player,201110020sdg,mia,MoorMa01,rush_td,0,,,,,
player,201110020sdg,mia,MoorMa01,rush_long,-1,,,,,
player,201110020sdg,mia,MoorMa01,targets,0,,,,,
player,201110020sdg,mia,MoorMa01,rec,0,,,,,
player,201110020sdg,mia,MoorMa01,rec_yds,0,,,,,
player,201110020sdg,mia,MoorMa01,rec_td,0,,,,,
player,201110020sdg,mia,MoorMa01,rec_long,0,,,,,
player,201110020sdg,mia,MoorMa01,fumbles,0,,,,,
