game,2011,3,20110925,201109250rai,nyj,"New York Jets",24,rai,"Oakland Raiders",34
team,201109250rai,nyj,First Downs,25,,,,,,
team,201109250rai,rai,First Downs,23,,,,,,
team,201109250rai,nyj,Rush-Yds-TDs,25-100-1,,,,,,
team,201109250rai,rai,Rush-Yds-TDs,32-234-4,,,,,,
team,201109250rai,nyj,Cmp-Att-Yd-TD-INT,27-44-369-2-1,,,,,,
team,201109250rai,rai,Cmp-Att-Yd-TD-INT,18-27-156-0-0,,,,,,
team,201109250rai,nyj,Sacked-Yards,4-30,,,,,,
team,201109250rai,rai,Sacked-Yards,1-7,,,,,,
team,201109250rai,nyj,Net Pass Yards,339,,,,,,
team,201109250rai,rai,Net Pass Yards,149,,,,,,
team,201109250rai,nyj,Total Yards,439,,,,,,
team,201109250rai,rai,Total Yards,383,,,,,,
team,201109250rai,nyj,Fumbles-Lost,1-1,,,,,,
team,201109250rai,rai,Fumbles-Lost,0-0,,,,,,
team,201109250rai,nyj,Turnovers,2,,,,,,
team,201109250rai,rai,Turnovers,0,,,,,,
team,201109250rai,nyj,Penalties-Yards,7-61,,,,,,
team,201109250rai,rai,Penalties-Yards,7-55,,,,,,
team,201109250rai,nyj,Third Down Conv.,6-14,,,,,,
team,201109250rai,rai,Third Down Conv.,0-8,,,,,,
team,201109250rai,nyj,Fourth Down Conv.,0-2,,,,,,
team,201109250rai,rai,Fourth Down Conv.,0-0,,,,,,
team,201109250rai,nyj,Time of Possession,33:20,,,,,,
team,201109250rai,rai,Time of Possession,26:40,,,,,,
player,201109250rai,nyj,SancMa00,pass_cmp,27,,,,,
player,201109250rai,nyj,SancMa00,pass_att,44,,,,,
player,201109250rai,nyj,SancMa00,pass_yds,369,,,,,
player,201109250rai,nyj,SancMa00,pass_td,2,,,,,
player,201109250rai,nyj,SancMa00,pass_int,1,,,,,
player,201109250rai,nyj,SancMa00,pass_sacked,4,,,,,
player,201109250rai,nyj,SancMa00,pass_sacked_yds,30,,,,,
player,201109250rai,nyj,SancMa00,pass_long,74,,,,,
player,201109250rai,nyj,SancMa00,pass_rating,93.8,,,,,
player,201109250rai,nyj,SancMa00,rush_att,2,,,,,
player,201109250rai,nyj,SancMa00,rush_yds,2,,,,,
player,201109250rai,nyj,SancMa00,rush_td,1,,,,,
player,201109250rai,nyj,SancMa00,rush_long,1,,,,,
player,201109250rai,nyj,SancMa00,targets,0,,,,,
player,201109250rai,nyj,SancMa00,rec,0,,,,,
player,201109250rai,nyj,SancMa00,rec_yds,0,,,,,
player,201109250rai,nyj,SancMa00,rec_td,0,,,,,
player,201109250rai,nyj,SancMa00,rec_long,0,,,,,
player,201109250rai,nyj,SancMa00,fumbles,0,,,,,
player,201109250rai,nyj,SancMa00,fumbles_lost,,,,,,
player,201109250rai,nyj,GreeSh00,pass_cmp,0,,,,,
player,201109250rai,nyj,GreeSh00,pass_att,0,,,,,
player,201109250rai,nyj,GreeSh00,pass_yds,0,,,,,
player,201109250rai,nyj,GreeSh00,pass_td,0,,,,,
player,201109250rai,nyj,GreeSh00,pass_int,0,,,,,
player,201109250rai,nyj,GreeSh00,pass_sacked,0,,,,,
player,201109250rai,nyj,GreeSh00,pass_sacked_yds,0,,,,,
player,201109250rai,nyj,GreeSh00,pass_long,0,,,,,
player,201109250rai,nyj,GreeSh00,pass_rating,,,,,,
player,201109250rai,nyj,GreeSh00,rush_att,15,,,,,
player,201109250rai,nyj,GreeSh00,rush_yds,59,,,,,
player,201109250rai,nyj,GreeSh00,rush_td,0,,,,,
player,201109250rai,nyj,GreeSh00,rush_long,15,,,,,
player,201109250rai,nyj,GreeSh00,targets,7,,,,,
player,201109250rai,nyj,GreeSh00,rec,7,,,,,
player,201109250rai,nyj,GreeSh00,rec_yds,47,,,,,
player,201109250rai,nyj,GreeSh00,rec_td,0,,,,,
player,201109250rai,nyj,GreeSh00,rec_long,15,,,,,
player,201109250rai,nyj,GreeSh00,fumbles,0,,,,,
player,201109250rai,nyj,GreeSh00,fumbles_lost,,,,,,
player,201109250rai,nyj,TomlLa00,pass_cmp,0,,,,,
player,201109250rai,nyj,TomlLa00,pass_att,0,,,,,
player,201109250rai,nyj,TomlLa00,pass_yds,0,,,,,
