game,2011,12,20111124,201111240dal,mia,"Miami Dolphins",19,dal,"Dallas Cowboys",20
team,201111240dal,mia,First Downs,18,,,,,,
team,201111240dal,dal,First Downs,19,,,,,,
team,201111240dal,mia,Rush-Yds-TDs,25-89-0,,,,,,
team,201111240dal,dal,Rush-Yds-TDs,23-85-0,,,,,,
team,201111240dal,mia,Cmp-Att-Yd-TD-INT,19-32-288-1-0,,,,,,
team,201111240dal,dal,Cmp-Att-Yd-TD-INT,22-34-226-2-2,,,,,,
team,201111240dal,mia,Sacked-Yards,4-25,,,,,,
team,201111240dal,dal,Sacked-Yards,1-8,,,,,,
team,201111240dal,mia,Net Pass Yards,263,,,,,,
team,201111240dal,dal,Net Pass Yards,218,,,,,,
team,201111240dal,mia,Total Yards,352,,,,,,
team,201111240dal,dal,Total Yards,303,,,,,,
team,201111240dal,mia,Fumbles-Lost,3-1,,,,,,
team,201111240dal,dal,Fumbles-Lost,0-0,,,,,,
team,201111240dal,mia,Turnovers,1,,,,,,
team,201111240dal,dal,Turnovers,2,,,,,,
team,201111240dal,mia,Penalties-Yards,6-55,,,,,,
team,201111240dal,dal,Penalties-Yards,11-69,,,,,,
team,201111240dal,mia,Third Down Conv.,3-12,,,,,,
team,201111240dal,dal,Third Down Conv.,2-9,,,,,,
team,201111240dal,mia,Fourth Down Conv.,0-0,,,,,,
team,201111240dal,dal,Fourth Down Conv.,0-0,,,,,,
team,201111240dal,mia,Time of Possession,31:28,,,,,,
team,201111240dal,dal,Time of Possession,28:32,,,,,,
player,201111240dal,mia,MoorMa01,pass_cmp,19,,,,,
player,201111240dal,mia,MoorMa01,pass_att,32,,,,,
player,201111240dal,mia,MoorMa01,pass_yds,288,,,,,
player,201111240dal,mia,MoorMa01,pass_td,1,,,,,
player,201111240dal,mia,MoorMa01,pass_int,0,,,,,
player,201111240dal,mia,MoorMa01,pass_sacked,4,,,,,
player,201111240dal,mia,MoorMa01,pass_sacked_yds,25,,,,,
player,201111240dal,mia,MoorMa01,pass_long,41,,,,,
player,201111240dal,mia,MoorMa01,pass_rating,99.5,,,,,
player,201111240dal,mia,MoorMa01,rush_att,3,,,,,
player,201111240dal,mia,MoorMa01,rush_yds,3,,,,,
player,201111240dal,mia,MoorMa01,rush_td,0,,,,,
player,201111240dal,mia,MoorMa01,rush_long,3,,,,,
player,201111240dal,mia,MoorMa01,targets,0,,,,,
player,201111240dal,mia,MoorMa01,rec,0,,,,,
player,201111240dal,mia,MoorMa01,rec_yds,0,,,,,
player,201111240dal,mia,MoorMa01,rec_td,0,,,,,
player,201111240dal,mia,MoorMa01,rec_long,0,,,,,
player,201111240dal,mia,MoorMa01,fumbles,3,,,,,
player,201111240dal,mia,MoorMa01,fumbles_lost,,,,,,
player,201111240dal,mia,BushRe00,pass_cmp,0,,,,,
player,201111240dal,mia,BushRe00,pass_att,0,,,,,
player,201111240dal,mia,BushRe00,pass_yds,0,,,,,
player,201111240dal,mia,BushRe00,pass_td,0,,,,,
player,201111240dal,mia,BushRe00,pass_int,0,,,,,
player,201111240dal,mia,BushRe00,pass_sacked,0,,,,,
player,201111240dal,mia,BushRe00,pass_sacked_yds,0,,,,,
player,201111240dal,mia,BushRe00,pass_long,0,,,,,
