game,2011,17,20120101,201201010cin,rav,"Baltimore Ravens",24,cin,"Cincinnati Bengals",16
team,201201010cin,rav,First Downs,15,,,,,,
team,201201010cin,cin,First Downs,19,,,,,,
team,201201010cin,rav,Rush-Yds-TDs,32-221-2,,,,,,
team,201201010cin,cin,Rush-Yds-TDs,24-105-1,,,,,,
team,201201010cin,rav,Cmp-Att-Yd-TD-INT,15-19-130-1-0,,,,,,
team,201201010cin,cin,Cmp-Att-Yd-TD-INT,22-44-232-0-0,,,,,,
team,201201010cin,rav,Sacked-Yards,1-4,,,,,,
team,201201010cin,cin,Sacked-Yards,1-1,,,,,,
team,201201010cin,rav,Net Pass Yards,126,,,,,,
team,201201010cin,cin,Net Pass Yards,231,,,,,,
team,201201010cin,rav,Total Yards,347,,,,,,
team,201201010cin,cin,Total Yards,336,,,,,,
team,201201010cin,rav,Fumbles-Lost,0-0,,,,,,
team,201201010cin,cin,Fumbles-Lost,1-1,,,,,,
team,201201010cin,rav,Turnovers,0,,,,,,
team,201201010cin,cin,Turnovers,1,,,,,,
team,201201010cin,rav,Penalties-Yards,7-59,,,,,,
team,201201010cin,cin,Penalties-Yards,4-35,,,,,,
team,201201010cin,rav,Third Down Conv.,5-13,,,,,,
team,201201010cin,cin,Third Down Conv.,8-17,,,,,,
team,201201010cin,rav,Fourth Down Conv.,0-0,,,,,,
team,201201010cin,cin,Fourth Down Conv.,0-0,,,,,,
team,201201010cin,rav,Time of Possession,29:26,,,,,,
team,201201010cin,cin,Time of Possession,30:34,,,,,,
player,201201010cin,rav,FlacJo00,pass_cmp,15,,,,,
player,201201010cin,rav,FlacJo00,pass_att,19,,,,,
player,201201010cin,rav,FlacJo00,pass_yds,130,,,,,
player,201201010cin,rav,FlacJo00,pass_td,1,,,,,
player,201201010cin,rav,FlacJo00,pass_int,0,,,,,
player,201201010cin,rav,FlacJo00,pass_sacked,1,,,,,
player,201201010cin,rav,FlacJo00,pass_sacked_yds,4,,,,,
player,201201010cin,rav,FlacJo00,pass_long,39,,,,,
player,201201010cin,rav,FlacJo00,pass_rating,112.7,,,,,
player,201201010cin,rav,FlacJo00,rush_att,1,,,,,
player,201201010cin,rav,FlacJo00,rush_yds,1,,,,,
player,201201010cin,rav,FlacJo00,rush_td,0,,,,,
player,201201010cin,rav,FlacJo00,rush_long,1,,,,,
player,201201010cin,rav,FlacJo00,targets,0,,,,,
player,201201010cin,rav,FlacJo00,rec,0,,,,,
player,201201010cin,rav,FlacJo00,rec_yds,0,,,,,
player,201201010cin,rav,FlacJo00,rec_td,0,,,,,
player,201201010cin,rav,FlacJo00,rec_long,0,,,,,
player,201201010cin,rav,FlacJo00,fumbles,0,,,,,
player,201201010cin,rav,FlacJo00,fumbles_lost,,,,,,
player,201201010cin,rav,RiceRa00,pass_cmp,0,,,,,
player,201201010cin,rav,RiceRa00,pass_att,0,,,,,
player,201201010cin,rav,RiceRa00,pass_yds,0,,,,,
player,201201010cin,rav,RiceRa00,pass_td,0,,,,,
player,201201010cin,rav,RiceRa00,pass_int,0,,,,,
player,201201010cin,rav,RiceRa00,pass_sacked,0,,,,,
player,201201010cin,rav,RiceRa00,pass_sacked_yds,0,,,,,
player,201201010cin,rav,RiceRa00,pass_long,0,,,,,
player,201201010cin,rav,RiceRa00,pass_rating,,,,,,
player,201201010cin,rav,RiceRa00,rush_att,24,,,,,
player,201201010cin,rav,RiceRa00,rush_yds,191,,,,,
player,201201010cin,rav,RiceRa00,rush_td,2,,,,,
player,201201010cin,rav,RiceRa00,rush_long,70,,,,,
player,201201010cin,rav,RiceRa00,targets,2,,,,,
player,201201010cin,rav,RiceRa00,rec,2,,,,,
player,201201010cin,rav,RiceRa00,rec_yds,8,,,,,
player,201201010cin,rav,RiceRa00,rec_td,0,,,,,
player,201201010cin,rav,RiceRa00,rec_long,5,,,,,
player,201201010cin,rav,RiceRa00,fumbles,0,,,,,
player,201201010cin,rav,RiceRa00,fumbles_lost,,,,,,
player,201201010cin,rav,WillRi00,pass_cmp,0,,,,,
player,201201010cin,rav,WillRi00,pass_att,0,,,,,
player,201201010cin,rav,WillRi00,pass_yds,0,,,,,
player,201201010cin,rav,WillRi00,pass_td,0,,,,,
player,201201010cin,rav,WillRi00,pass_int,0,,,,,
player,201201010cin,rav,WillRi00,pass_sacked,0,,,,,
player,201201010cin,rav,WillRi00,pass_sacked_yds,0,,,,,
player,201201010cin,rav,WillRi00,pass_long,0,,,,,
player,201201010cin,rav,WillRi00,pass_rating,,,,,,
player,201201010cin,rav,WillRi00,rush_att,6,,,,,
player,201201010cin,rav,WillRi00,rush_yds,28,,,,,
player,201201010cin,rav,WillRi00,rush_td,0,,,,,
player,201201010cin,rav,WillRi00,rush_long,10,,,,,
player,201201010cin,rav,WillRi00,targets,0,,,,,
player,201201010cin,rav,WillRi00,rec,0,,,,,
player,201201010cin,rav,WillRi00,rec_yds,0,,,,,
player,201201010cin,rav,WillRi00,rec_td,0,,,,,
player,201201010cin,rav,WillRi00,rec_long,0,,,,,
player,201201010cin,rav,WillRi00,fumbles,0,,,,,
player,201201010cin,rav,WillRi00,fumbles_lost,,,,,,
player,201201010cin,rav,LeacVo00,pass_cmp,0,,,,,
player,201201010cin,rav,LeacVo00,pass_att,0,,,,,
player,201201010cin,rav,LeacVo00,pass_yds,0,,,,,
player,201201010cin,rav,LeacVo00,pass_td,0,,,,,
player,201201010cin,rav,LeacVo00,pass_int,0,,,,,
player,201201010cin,rav,LeacVo00,pass_sacked,0,,,,,
player,201201010cin,rav,LeacVo00,pass_sacked_yds,0,,,,,
player,201201010cin,rav,LeacVo00,pass_long,0,,,,,
player,201201010cin,rav,LeacVo00,pass_rating,,,,,,
player,201201010cin,rav,LeacVo00,rush_att,1,,,,,
player,201201010cin,rav,LeacVo00,rush_yds,1,,,,,
player,201201010cin,rav,LeacVo00,rush_td,0,,,,,
player,201201010cin,rav,LeacVo00,rush_long,1,,,,,
player,201201010cin,rav,LeacVo00,targets,1,,,,,
player,201201010cin,rav,LeacVo00,rec,1,,,,,
player,201201010cin,rav,LeacVo00,rec_yds,7,,,,,
player,201201010cin,rav,LeacVo00,rec_td,0,,,,,
player,201201010cin,rav,LeacVo00,rec_long,7,,,,,
player,201201010cin,rav,LeacVo00,fumbles,0,,,,,
player,201201010cin,rav,LeacVo00,fumbles_lost,,,,,,
player,201201010cin,rav,PittDe00,pass_cmp,0,,,,,
player,201201010cin,rav,PittDe00,pass_att,0,,,,,
player,201201010cin,rav,PittDe00,pass_yds,0,,,,,
player,201201010cin,rav,PittDe00,pass_td,0,,,,,
player,201201010cin,rav,PittDe00,pass_int,0,,,,,
player,201201010cin,rav,PittDe00,pass_sacked,0,,,,,
player,201201010cin,rav,PittDe00,pass_sacked_yds,0,,,,,
player,201201010cin,rav,PittDe00,pass_long,0,,,,,
player,201201010cin,rav,PittDe00,pass_rating,,,,,,
player,201201010cin,rav,PittDe00,rush_att,0,,,,,
player,201201010cin,rav,PittDe00,rush_yds,0,,,,,
player,201201010cin,rav,PittDe00,rush_td,0,,,,,
player,201201010cin,rav,PittDe00,rush_long,0,,,,,
player,201201010cin,rav,PittDe00,targets,7,,,,,
player,201201010cin,rav,PittDe00,rec,6,,,,,
player,201201010cin,rav,PittDe00,rec_yds,62,,,,,
player,201201010cin,rav,PittDe00,rec_td,1,,,,,
player,201201010cin,rav,PittDe00,rec_long,39,,,,,
player,201201010cin,rav,PittDe00,fumbles,0,,,,,
player,201201010cin,rav,PittDe00,fumbles_lost,,,,,,
player,201201010cin,rav,SmitTo02,pass_cmp,0,,,,,
player,201201010cin,rav,SmitTo02,pass_att,0,,,,,
player,201201010cin,rav,SmitTo02,pass_yds,0,,,,,
player,201201010cin,rav,SmitTo02,pass_td,0,,,,,
player,201201010cin,rav,SmitTo02,pass_int,0,,,,,
player,201201010cin,rav,SmitTo02,pass_sacked,0,,,,,
player,201201010cin,rav,SmitTo02,pass_sacked_yds,0,,,,,
player,201201010cin,rav,SmitTo02,pass_long,0,,,,,
player,201201010cin,rav,SmitTo02,pass_rating,,,,,,
player,201201010cin,rav,SmitTo02,rush_att,0,,,,,
player,201201010cin,rav,SmitTo02,rush_yds,0,,,,,
player,201201010cin,rav,SmitTo02,rush_td,0,,,,,
player,201201010cin,rav,SmitTo02,rush_long,0,,,,,
player,201201010cin,rav,SmitTo02,targets,7,,,,,
player,201201010cin,rav,SmitTo02,rec,5,,,,,
player,201201010cin,rav,SmitTo02,rec_yds,33,,,,,
player,201201010cin,rav,SmitTo02,rec_td,0,,,,,
player,201201010cin,rav,SmitTo02,rec_long,13,,,,,
player,201201010cin,rav,SmitTo02,fumbles,0,,,,,
player,201201010cin,rav,SmitTo02,fumbles_lost,,,,,,
player,201201010cin,rav,DickEd00,pass_cmp,0,,,,,
player,201201010cin,rav,DickEd00,pass_att,0,,,,,
player,201201010cin,rav,DickEd00,pass_yds,0,,,,,
player,201201010cin,rav,DickEd00,pass_td,0,,,,,
player,201201010cin,rav,DickEd00,pass_int,0,,,,,
player,201201010cin,rav,DickEd00,pass_sacked,0,,,,,
player,201201010cin,rav,DickEd00,pass_sacked_yds,0,,,,,
player,201201010cin,rav,DickEd00,pass_long,0,,,,,
player,201201010cin,rav,DickEd00,pass_rating,,,,,,
player,201201010cin,rav,DickEd00,rush_att,0,,,,,
player,201201010cin,rav,DickEd00,rush_yds,0,,,,,
player,201201010cin,rav,DickEd00,rush_td,0,,,,,
player,201201010cin,rav,DickEd00,rush_long,0,,,,,
player,201201010cin,rav,DickEd00,targets,1,,,,,
player,201201010cin,rav,DickEd00,rec,1,,,,,
player,201201010cin,rav,DickEd00,rec_yds,20,,,,,
player,201201010cin,rav,DickEd00,rec_td,0,,,,,
player,201201010cin,rav,DickEd00,rec_long,20,,,,,
player,201201010cin,rav,DickEd00,fumbles,0,,,,,
player,201201010cin,rav,DickEd00,fumbles_lost,,,,,,
player,201201010cin,rav,EvanLe00,pass_cmp,0,,,,,
player,201201010cin,rav,EvanLe00,pass_att,0,,,,,
player,201201010cin,rav,EvanLe00,pass_yds,0,,,,,
player,201201010cin,rav,EvanLe00,pass_td,0,,,,,
player,201201010cin,rav,EvanLe00,pass_int,0,,,,,
player,201201010cin,rav,EvanLe00,pass_sacked,0,,,,,
player,201201010cin,rav,EvanLe00,pass_sacked_yds,0,,,,,
player,201201010cin,rav,EvanLe00,pass_long,0,,,,,
player,201201010cin,rav,EvanLe00,pass_rating,,,,,,
player,201201010cin,rav,EvanLe00,rush_att,0,,,,,
player,201201010cin,rav,EvanLe00,rush_yds,0,,,,,
player,201201010cin,rav,EvanLe00,rush_td,0,,,,,
player,201201010cin,rav,EvanLe00,rush_long,0,,,,,
player,201201010cin,rav,EvanLe00,targets,1,,,,,
player,201201010cin,rav,EvanLe00,rec,0,,,,,
player,201201010cin,rav,EvanLe00,rec_yds,0,,,,,
player,201201010cin,rav,EvanLe00,rec_td,0,,,,,
player,201201010cin,rav,EvanLe00,rec_long,0,,,,,
player,201201010cin,rav,EvanLe00,fumbles,0,,,,,
player,201201010cin,rav,EvanLe00,fumbles_lost,,,,,,
player,201201010cin,cin,DaltAn00,pass_cmp,22,,,,,
player,201201010cin,cin,DaltAn00,pass_att,44,,,,,
player,201201010cin,cin,DaltAn00,pass_yds,232,,,,,
player,201201010cin,cin,DaltAn00,pass_td,0,,,,,
