game,2011,13,20111201,201112010sea,phi,"Philadelphia Eagles",14,sea,"Seattle Seahawks",31
team,201112010sea,phi,First Downs,20,,,,,,
team,201112010sea,sea,First Downs,15,,,,,,
team,201112010sea,phi,Rush-Yds-TDs,25-132-1,,,,,,
team,201112010sea,sea,Rush-Yds-TDs,33-174-2,,,,,,
team,201112010sea,phi,Cmp-Att-Yd-TD-INT,17-29-208-1-4,,,,,,
team,201112010sea,sea,Cmp-Att-Yd-TD-INT,13-16-190-1-0,,,,,,
team,201112010sea,phi,Sacked-Yards,2-10,,,,,,
team,201112010sea,sea,Sacked-Yards,3-17,,,,,,
team,201112010sea,phi,Net Pass Yards,198,,,,,,
team,201112010sea,sea,Net Pass Yards,173,,,,,,
team,201112010sea,phi,Total Yards,330,,,,,,
team,201112010sea,sea,Total Yards,347,,,,,,
team,201112010sea,phi,Fumbles-Lost,1-0,,,,,,
team,201112010sea,sea,Fumbles-Lost,2-0,,,,,,
team,201112010sea,phi,Turnovers,4,,,,,,
team,201112010sea,sea,Turnovers,0,,,,,,
team,201112010sea,phi,Penalties-Yards,5-28,,,,,,
team,201112010sea,sea,Penalties-Yards,5-30,,,,,,
team,201112010sea,phi,Third Down Conv.,2-8,,,,,,
team,201112010sea,sea,Third Down Conv.,5-12,,,,,,
team,201112010sea,phi,Fourth Down Conv.,1-1,,,,,,
team,201112010sea,sea,Fourth Down Conv.,1-1,,,,,,
team,201112010sea,phi,Time of Possession,29:40,,,,,,
team,201112010sea,sea,Time of Possession,30:20,,,,,,
player,201112010sea,phi,YounVi00,pass_cmp,17,,,,,
player,201112010sea,phi,YounVi00,pass_att,29,,,,,
player,201112010sea,phi,YounVi00,pass_yds,208,,,,,
player,201112010sea,phi,YounVi00,pass_td,1,,,,,
player,201112010sea,phi,YounVi00,pass_int,4,,,,,
player,201112010sea,phi,YounVi00,pass_sacked,2,,,,,
player,201112010sea,phi,YounVi00,pass_sacked_yds,10,,,,,
player,201112010sea,phi,YounVi00,pass_long,47,,,,,
player,201112010sea,phi,YounVi00,pass_rating,52.7,,,,,
player,201112010sea,phi,YounVi00,rush_att,5,,,,,
player,201112010sea,phi,YounVi00,rush_yds,32,,,,,
player,201112010sea,phi,YounVi00,rush_td,0,,,,,
player,201112010sea,phi,YounVi00,rush_long,13,,,,,
player,201112010sea,phi,YounVi00,targets,0,,,,,
player,201112010sea,phi,YounVi00,rec,0,,,,,
player,201112010sea,phi,YounVi00,rec_yds,0,,,,,
player,201112010sea,phi,YounVi00,rec_td,0,,,,,
player,201112010sea,phi,YounVi00,rec_long,0,,,,,
player,201112010sea,phi,YounVi00,fumbles,1,,,,,
player,201112010sea,phi,YounVi00,fumbles_lost,0,,,,,
player,201112010sea,phi,McCoLe01,pass_cmp,0,,,,,
player,201112010sea,phi,McCoLe01,pass_att,0,,,,,
player,201112010sea,phi,McCoLe01,pass_yds,0,,,,,
player,201112010sea,phi,McCoLe01,pass_td,0,,,,,
player,201112010sea,phi,McCoLe01,pass_int,0,,,,,
player,201112010sea,phi,McCoLe01,pass_sacked,0,,,,,
player,201112010sea,phi,McCoLe01,pass_sacked_yds,0,,,,,
player,201112010sea,phi,McCoLe01,pass_long,0,,,,,
player,201112010sea,phi,McCoLe01,pass_rating,,,,,,
player,201112010sea,phi,McCoLe01,rush_att,17,,,,,
player,201112010sea,phi,McCoLe01,rush_yds,84,,,,,
player,201112010sea,phi,McCoLe01,rush_td,1,,,,,
player,201112010sea,phi,McCoLe01,rush_long,20,,,,,
player,201112010sea,phi,McCoLe01,targets,5,,,,,
player,201112010sea,phi,McCoLe01,rec,4,,,,,
player,201112010sea,phi,McCoLe01,rec_yds,49,,,,,
player,201112010sea,phi,McCoLe01,rec_td,1,,,,,
player,201112010sea,phi,McCoLe01,rec_long,24,,,,,
player,201112010sea,phi,McCoLe01,fumbles,0,,,,,
player,201112010sea,phi,McCoLe01,fumbles_lost,,,,,,
player,201112010sea,phi,BrowRo05,pass_cmp,0,,,,,
player,201112010sea,phi,BrowRo05,pass_att,0,,,,,
player,201112010sea,phi,BrowRo05,pass_yds,0,,,,,
player,201112010sea,phi,BrowRo05,pass_td,0,,,,,
player,201112010sea,phi,BrowRo05,pass_int,0,,,,,
player,201112010sea,phi,BrowRo05,pass_sacked,0,,,,,
player,201112010sea,phi,BrowRo05,pass_sacked_yds,0,,,,,
player,201112010sea,phi,BrowRo05,pass_long,0,,,,,
player,201112010sea,phi,BrowRo05,pass_rating,,,,,,
player,201112010sea,phi,BrowRo05,rush_att,2,,,,,
player,201112010sea,phi,BrowRo05,rush_yds,11,,,,,
player,201112010sea,phi,BrowRo05,rush_td,0,,,,,
player,201112010sea,phi,BrowRo05,rush_long,7,,,,,
player,201112010sea,phi,BrowRo05,targets,0,,,,,
player,201112010sea,phi,BrowRo05,rec,0,,,,,
player,201112010sea,phi,BrowRo05,rec_yds,0,,,,,
player,201112010sea,phi,BrowRo05,rec_td,0,,,,,
player,201112010sea,phi,BrowRo05,rec_long,0,,,,,
player,201112010sea,phi,BrowRo05,fumbles,0,,,,,
player,201112010sea,phi,BrowRo05,fumbles_lost,,,,,,
player,201112010sea,phi,JackDe00,pass_cmp,0,,,,,
player,201112010sea,phi,JackDe00,pass_att,0,,,,,
player,201112010sea,phi,JackDe00,pass_yds,0,,,,,
player,201112010sea,phi,JackDe00,pass_td,0,,,,,
player,201112010sea,phi,JackDe00,pass_int,0,,,,,
player,201112010sea,phi,JackDe00,pass_sacked,0,,,,,
player,201112010sea,phi,JackDe00,pass_sacked_yds,0,,,,,
player,201112010sea,phi,JackDe00,pass_long,0,,,,,
player,201112010sea,phi,JackDe00,pass_rating,,,,,,
player,201112010sea,phi,JackDe00,rush_att,1,,,,,
player,201112010sea,phi,JackDe00,rush_yds,5,,,,,
player,201112010sea,phi,JackDe00,rush_td,0,,,,,
player,201112010sea,phi,JackDe00,rush_long,5,,,,,
player,201112010sea,phi,JackDe00,targets,5,,,,,
player,201112010sea,phi,JackDe00,rec,4,,,,,
