game,2011,6,20111016,201110160rai,cle,"Cleveland Browns",17,rai,"Oakland Raiders",24
team,201110160rai,cle,First Downs,18,,,,,,
team,201110160rai,rai,First Downs,18,,,,,,
team,201110160rai,cle,Rush-Yds-TDs,21-65-0,,,,,,
team,201110160rai,rai,Rush-Yds-TDs,40-151-1,,,,,,
team,201110160rai,cle,Cmp-Att-Yd-TD-INT,21-45-215-2-0,,,,,,
team,201110160rai,rai,Cmp-Att-Yd-TD-INT,15-24-187-1-0,,,,,,
team,201110160rai,cle,Sacked-Yards,2-12,,,,,,
team,201110160rai,rai,Sacked-Yards,2-9,,,,,,
team,201110160rai,cle,Net Pass Yards,203,,,,,,
team,201110160rai,rai,Net Pass Yards,178,,,,,,
team,201110160rai,cle,Total Yards,268,,,,,,
team,201110160rai,rai,Total Yards,329,,,,,,
team,201110160rai,cle,Fumbles-Lost,1-1,,,,,,
team,201110160rai,rai,Fumbles-Lost,3-1,,,,,,
team,201110160rai,cle,Turnovers,1,,,,,,
team,201110160rai,rai,Turnovers,1,,,,,,
team,201110160rai,cle,Penalties-Yards,5-34,,,,,,
team,201110160rai,rai,Penalties-Yards,5-35,,,,,,
team,201110160rai,cle,Third Down Conv.,8-16,,,,,,
team,201110160rai,rai,Third Down Conv.,8-16,,,,,,
team,201110160rai,cle,Fourth Down Conv.,0-1,,,,,,
team,201110160rai,rai,Fourth Down Conv.,2-3,,,,,,
team,201110160rai,cle,Time of Possession,25:19,,,,,,
team,201110160rai,rai,Time of Possession,34:41,,,,,,
player,201110160rai,cle,McCoCo00,pass_cmp,21,,,,,
player,201110160rai,cle,McCoCo00,pass_att,45,,,,,
player,201110160rai,cle,McCoCo00,pass_yds,215,,,,,
player,201110160rai,cle,McCoCo00,pass_td,2,,,,,
player,201110160rai,cle,McCoCo00,pass_int,0,,,,,
player,201110160rai,cle,McCoCo00,pass_sacked,2,,,,,
player,201110160rai,cle,McCoCo00,pass_sacked_yds,12,,,,,
player,201110160rai,cle,McCoCo00,pass_long,23,,,,,
player,201110160rai,cle,McCoCo00,pass_rating,75.7,,,,,
player,201110160rai,cle,McCoCo00,rush_att,4,,,,,
player,201110160rai,cle,McCoCo00,rush_yds,16,,,,,
player,201110160rai,cle,McCoCo00,rush_td,0,,,,,
player,201110160rai,cle,McCoCo00,rush_long,9,,,,,
player,201110160rai,cle,McCoCo00,targets,0,,,,,
player,201110160rai,cle,McCoCo00,rec,0,,,,,
player,201110160rai,cle,McCoCo00,rec_yds,0,,,,,
player,201110160rai,cle,McCoCo00,rec_td,0,,,,,
player,201110160rai,cle,McCoCo00,rec_long,0,,,,,
player,201110160rai,cle,McCoCo00,fumbles,1,,,,,
player,201110160rai,cle,McCoCo00,fumbles_lost,1,,,,,
player,201110160rai,cle,HardMo00,pass_cmp,0,,,,,
player,201110160rai,cle,HardMo00,pass_att,0,,,,,
player,201110160rai,cle,HardMo00,pass_yds,0,,,,,
player,201110160rai,cle,HardMo00,pass_td,0,,,,,
player,201110160rai,cle,HardMo00,pass_int,0,,,,,
player,201110160rai,cle,HardMo00,pass_sacked,0,,,,,
player,201110160rai,cle,HardMo00,pass_sacked_yds,0,,,,,
player,201110160rai,cle,HardMo00,pass_long,0,,,,,
player,201110160rai,cle,HardMo00,pass_rating,,,,,,
player,201110160rai,cle,HardMo00,rush_att,11,,,,,
player,201110160rai,cle,HardMo00,rush_yds,35,,,,,
player,201110160rai,cle,HardMo00,rush_td,0,,,,,
player,201110160rai,cle,HardMo00,rush_long,7,,,,,
player,201110160rai,cle,HardMo00,targets,4,,,,,
player,201110160rai,cle,HardMo00,rec,2,,,,,
player,201110160rai,cle,HardMo00,rec_yds,18,,,,,
player,201110160rai,cle,HardMo00,rec_td,0,,,,,
player,201110160rai,cle,HardMo00,rec_long,12,,,,,
player,201110160rai,cle,HardMo00,fumbles,0,,,,,
player,201110160rai,cle,HardMo00,fumbles_lost,,,,,,
player,201110160rai,cle,HillPe00,pass_cmp,0,,,,,
player,201110160rai,cle,HillPe00,pass_att,0,,,,,
player,201110160rai,cle,HillPe00,pass_yds,0,,,,,
player,201110160rai,cle,HillPe00,pass_td,0,,,,,
player,201110160rai,cle,HillPe00,pass_int,0,,,,,
player,201110160rai,cle,HillPe00,pass_sacked,0,,,,,
player,201110160rai,cle,HillPe00,pass_sacked_yds,0,,,,,
player,201110160rai,cle,HillPe00,pass_long,0,,,,,
player,201110160rai,cle,HillPe00,pass_rating,,,,,,
player,201110160rai,cle,HillPe00,rush_att,6,,,,,
player,201110160rai,cle,HillPe00,rush_yds,14,,,,,
player,201110160rai,cle,HillPe00,rush_td,0,,,,,
player,201110160rai,cle,HillPe00,rush_long,6,,,,,
player,201110160rai,cle,HillPe00,targets,1,,,,,
player,201110160rai,cle,HillPe00,rec,0,,,,,
player,201110160rai,cle,HillPe00,rec_yds,0,,,,,
player,201110160rai,cle,HillPe00,rec_td,0,,,,,
player,201110160rai,cle,HillPe00,rec_long,0,,,,,
player,201110160rai,cle,HillPe00,fumbles,0,,,,,
player,201110160rai,cle,HillPe00,fumbles_lost,,,,,,
player,201110160rai,cle,LittGr00,pass_cmp,0,,,,,
player,201110160rai,cle,LittGr00,pass_att,0,,,,,
player,201110160rai,cle,LittGr00,pass_yds,0,,,,,
player,201110160rai,cle,LittGr00,pass_td,0,,,,,
player,201110160rai,cle,LittGr00,pass_int,0,,,,,
player,201110160rai,cle,LittGr00,pass_sacked,0,,,,,
player,201110160rai,cle,LittGr00,pass_sacked_yds,0,,,,,
player,201110160rai,cle,LittGr00,pass_long,0,,,,,
player,201110160rai,cle,LittGr00,pass_rating,,,,,,
player,201110160rai,cle,LittGr00,rush_att,0,,,,,
player,201110160rai,cle,LittGr00,rush_yds,0,,,,,
player,201110160rai,cle,LittGr00,rush_td,0,,,,,
player,201110160rai,cle,LittGr00,rush_long,0,,,,,
player,201110160rai,cle,LittGr00,targets,12,,,,,
player,201110160rai,cle,LittGr00,rec,6,,,,,
player,201110160rai,cle,LittGr00,rec_yds,72,,,,,
player,201110160rai,cle,LittGr00,rec_td,0,,,,,
player,201110160rai,cle,LittGr00,rec_long,16,,,,,
player,201110160rai,cle,LittGr00,fumbles,0,,,,,
player,201110160rai,cle,LittGr00,fumbles_lost,,,,,,
player,201110160rai,cle,WatsBe00,pass_cmp,0,,,,,
player,201110160rai,cle,WatsBe00,pass_att,0,,,,,
player,201110160rai,cle,WatsBe00,pass_yds,0,,,,,
player,201110160rai,cle,WatsBe00,pass_td,0,,,,,
player,201110160rai,cle,WatsBe00,pass_int,0,,,,,
player,201110160rai,cle,WatsBe00,pass_sacked,0,,,,,
player,201110160rai,cle,WatsBe00,pass_sacked_yds,0,,,,,
player,201110160rai,cle,WatsBe00,pass_long,0,,,,,
player,201110160rai,cle,WatsBe00,pass_rating,,,,,,
player,201110160rai,cle,WatsBe00,rush_att,0,,,,,
player,201110160rai,cle,WatsBe00,rush_yds,0,,,,,
player,201110160rai,cle,WatsBe00,rush_td,0,,,,,
player,201110160rai,cle,WatsBe00,rush_long,0,,,,,
player,201110160rai,cle,WatsBe00,targets,8,,,,,
player,201110160rai,cle,WatsBe00,rec,3,,,,,
player,201110160rai,cle,WatsBe00,rec_yds,35,,,,,
player,201110160rai,cle,WatsBe00,rec_td,0,,,,,
player,201110160rai,cle,WatsBe00,rec_long,18,,,,,
player,201110160rai,cle,WatsBe00,fumbles,0,,,,,
player,201110160rai,cle,WatsBe00,fumbles_lost,,,,,,
player,201110160rai,cle,CribJo01,pass_cmp,0,,,,,
player,201110160rai,cle,CribJo01,pass_att,0,,,,,
player,201110160rai,cle,CribJo01,pass_yds,0,,,,,
player,201110160rai,cle,CribJo01,pass_td,0,,,,,
player,201110160rai,cle,CribJo01,pass_int,0,,,,,
player,201110160rai,cle,CribJo01,pass_sacked,0,,,,,
player,201110160rai,cle,CribJo01,pass_sacked_yds,0,,,,,
player,201110160rai,cle,CribJo01,pass_long,0,,,,,
player,201110160rai,cle,CribJo01,pass_rating,,,,,,
player,201110160rai,cle,CribJo01,rush_att,0,,,,,
player,201110160rai,cle,CribJo01,rush_yds,0,,,,,
player,201110160rai,cle,CribJo01,rush_td,0,,,,,
player,201110160rai,cle,CribJo01,rush_long,0,,,,,
player,201110160rai,cle,CribJo01,targets,5,,,,,
player,201110160rai,cle,CribJo01,rec,2,,,,,
player,201110160rai,cle,CribJo01,rec_yds,30,,,,,
player,201110160rai,cle,CribJo01,rec_td,0,,,,,
player,201110160rai,cle,CribJo01,rec_long,23,,,,,
player,201110160rai,cle,CribJo01,fumbles,0,,,,,
player,201110160rai,cle,CribJo01,fumbles_lost,,,,,,
player,201110160rai,cle,MassMo00,pass_cmp,0,,,,,
player,201110160rai,cle,MassMo00,pass_att,0,,,,,
player,201110160rai,cle,MassMo00,pass_yds,0,,,,,
player,201110160rai,cle,MassMo00,pass_td,0,,,,,
player,201110160rai,cle,MassMo00,pass_int,0,,,,,
player,201110160rai,cle,MassMo00,pass_sacked,0,,,,,
player,201110160rai,cle,MassMo00,pass_sacked_yds,0,,,,,
player,201110160rai,cle,MassMo00,pass_long,0,,,,,
player,201110160rai,cle,MassMo00,pass_rating,,,,,,
player,201110160rai,cle,MassMo00,rush_att,0,,,,,
player,201110160rai,cle,MassMo00,rush_yds,0,,,,,
player,201110160rai,cle,MassMo00,rush_td,0,,,,,
player,201110160rai,cle,MassMo00,rush_long,0,,,,,
player,201110160rai,cle,MassMo00,targets,7,,,,,
player,201110160rai,cle,MassMo00,rec,3,,,,,
player,201110160rai,cle,MassMo00,rec_yds,30,,,,,
player,201110160rai,cle,MassMo00,rec_td,1,,,,,
player,201110160rai,cle,MassMo00,rec_long,12,,,,,
player,201110160rai,cle,MassMo00,fumbles,0,,,,,
player,201110160rai,cle,MassMo00,fumbles_lost,,,,,,
player,201110160rai,cle,MoorEv00,pass_cmp,0,,,,,
player,201110160rai,cle,MoorEv00,pass_att,0,,,,,
player,201110160rai,cle,MoorEv00,pass_yds,0,,,,,
player,201110160rai,cle,MoorEv00,pass_td,0,,,,,
player,201110160rai,cle,MoorEv00,pass_int,0,,,,,
player,201110160rai,cle,MoorEv00,pass_sacked,0,,,,,
player,201110160rai,cle,MoorEv00,pass_sacked_yds,0,,,,,
player,201110160rai,cle,MoorEv00,pass_long,0,,,,,
player,201110160rai,cle,MoorEv00,pass_rating,,,,,,
player,201110160rai,cle,MoorEv00,rush_att,0,,,,,
player,201110160rai,cle,MoorEv00,rush_yds,0,,,,,
player,201110160rai,cle,MoorEv00,rush_td,0,,,,,
player,201110160rai,cle,MoorEv00,rush_long,0,,,,,
player,201110160rai,cle,MoorEv00,targets,4,,,,,
player,201110160rai,cle,MoorEv00,rec,3,,,,,
player,201110160rai,cle,MoorEv00,rec_yds,16,,,,,
player,201110160rai,cle,MoorEv00,rec_td,0,,,,,
player,201110160rai,cle,MoorEv00,rec_long,11,,,,,
player,201110160rai,cle,MoorEv00,fumbles,0,,,,,
player,201110160rai,cle,MoorEv00,fumbles_lost,,,,,,
player,201110160rai,cle,SmitAl02,pass_cmp,0,,,,,
player,201110160rai,cle,SmitAl02,pass_att,0,,,,,
player,201110160rai,cle,SmitAl02,pass_yds,0,,,,,
player,201110160rai,cle,SmitAl02,pass_td,0,,,,,
player,201110160rai,cle,SmitAl02,pass_int,0,,,,,
player,201110160rai,cle,SmitAl02,pass_sacked,0,,,,,
player,201110160rai,cle,SmitAl02,pass_sacked_yds,0,,,,,
player,201110160rai,cle,SmitAl02,pass_long,0,,,,,
player,201110160rai,cle,SmitAl02,pass_rating,,,,,,
player,201110160rai,cle,SmitAl02,rush_att,0,,,,,
player,201110160rai,cle,SmitAl02,rush_yds,0,,,,,
player,201110160rai,cle,SmitAl02,rush_td,0,,,,,
player,201110160rai,cle,SmitAl02,rush_long,0,,,,,
player,201110160rai,cle,SmitAl02,targets,3,,,,,
player,201110160rai,cle,SmitAl02,rec,2,,,,,
player,201110160rai,cle,SmitAl02,rec_yds,14,,,,,
player,201110160rai,cle,SmitAl02,rec_td,1,,,,,
player,201110160rai,cle,SmitAl02,rec_long,13,,,,,
player,201110160rai,cle,SmitAl02,fumbles,0,,,,,
player,201110160rai,cle,SmitAl02,fumbles_lost,,,,,,
player,201110160rai,rai,BollKy00,pass_cmp,8,,,,,
player,201110160rai,rai,BollKy00,pass_att,14,,,,,
player,201110160rai,rai,BollKy00,pass_yds,100,,,,,
player,201110160rai,rai,BollKy00,pass_td,0,,,,,
player,201110160rai,rai,BollKy00,pass_int,0,,,,,
player,201110160rai,rai,BollKy00,pass_sacked,2,,,,,
player,201110160rai,rai,BollKy00,pass_sacked_yds,9,,,,,
player,201110160rai,rai,BollKy00,pass_long,27,,,,,
player,201110160rai,rai,BollKy00,pass_rating,79.5,,,,,
player,201110160rai,rai,BollKy00,rush_att,5,,,,,
player,201110160rai,rai,BollKy00,rush_yds,9,,,,,
player,201110160rai,rai,BollKy00,rush_td,0,,,,,
player,201110160rai,rai,BollKy00,rush_long,5,,,,,
player,201110160rai,rai,BollKy00,targets,0,,,,,
player,201110160rai,rai,BollKy00,rec,0,,,,,
player,201110160rai,rai,BollKy00,rec_yds,0,,,,,
player,201110160rai,rai,BollKy00,rec_td,0,,,,,
player,201110160rai,rai,BollKy00,rec_long,0,,,,,
player,201110160rai,rai,BollKy00,fumbles,2,,,,,
player,201110160rai,rai,BollKy00,fumbles_lost,0,,,,,
player,201110160rai,rai,CampJa00,pass_cmp,6,,,,,
player,201110160rai,rai,CampJa00,pass_att,9,,,,,
player,201110160rai,rai,CampJa00,pass_yds,52,,,,,
player,201110160rai,rai,CampJa00,pass_td,0,,,,,
player,201110160rai,rai,CampJa00,pass_int,0,,,,,
player,201110160rai,rai,CampJa00,pass_sacked,0,,,,,
player,201110160rai,rai,CampJa00,pass_sacked_yds,0,,,,,
player,201110160rai,rai,CampJa00,pass_long,21,,,,,
player,201110160rai,rai,CampJa00,pass_rating,81.7,,,,,
player,201110160rai,rai,CampJa00,rush_att,2,,,,,
player,201110160rai,rai,CampJa00,rush_yds,16,,,,,
player,201110160rai,rai,CampJa00,rush_td,0,,,,,
player,201110160rai,rai,CampJa00,rush_long,9,,,,,
player,201110160rai,rai,CampJa00,targets,0,,,,,
player,201110160rai,rai,CampJa00,rec,0,,,,,
player,201110160rai,rai,CampJa00,rec_yds,0,,,,,
player,201110160rai,rai,CampJa00,rec_td,0,,,,,
player,201110160rai,rai,CampJa00,rec_long,0,,,,,
player,201110160rai,rai,CampJa00,fumbles,1,,,,,
player,201110160rai,rai,CampJa00,fumbles_lost,1,,,,,
player,201110160rai,rai,LechSh20,pass_cmp,1,,,,,
player,201110160rai,rai,LechSh20,pass_att,1,,,,,
player,201110160rai,rai,LechSh20,pass_yds,35,,,,,
player,201110160rai,rai,LechSh20,pass_td,1,,,,,
player,201110160rai,rai,LechSh20,pass_int,0,,,,,
player,201110160rai,rai,LechSh20,pass_sacked,0,,,,,
player,201110160rai,rai,LechSh20,pass_sacked_yds,0,,,,,
player,201110160rai,rai,LechSh20,pass_long,35,,,,,
player,201110160rai,rai,LechSh20,pass_rating,158.3,,,,,
player,201110160rai,rai,LechSh20,rush_att,0,,,,,
player,201110160rai,rai,LechSh20,rush_yds,0,,,,,
player,201110160rai,rai,LechSh20,rush_td,0,,,,,
player,201110160rai,rai,LechSh20,rush_long,0,,,,,
player,201110160rai,rai,LechSh20,targets,0,,,,,
