game,2011,12,20111127,201111270rai,chi,"Chicago Bears",20,rai,"Oakland Raiders",25
team,201111270rai,chi,First Downs,18,,,,,,
team,201111270rai,rai,First Downs,17,,,,,,
team,201111270rai,chi,Rush-Yds-TDs,27-172-0,,,,,,
team,201111270rai,rai,Rush-Yds-TDs,27-73-1,,,,,,
team,201111270rai,chi,Cmp-Att-Yd-TD-INT,18-36-254-2-3,,,,,,
team,201111270rai,rai,Cmp-Att-Yd-TD-INT,21-37-301-0-1,,,,,,
team,201111270rai,chi,Sacked-Yards,4-25,,,,,,
team,201111270rai,rai,Sacked-Yards,4-33,,,,,,
team,201111270rai,chi,Net Pass Yards,229,,,,,,
team,201111270rai,rai,Net Pass Yards,268,,,,,,
team,201111270rai,chi,Total Yards,401,,,,,,
team,201111270rai,rai,Total Yards,341,,,,,,
team,201111270rai,chi,Fumbles-Lost,0-0,,,,,,
team,201111270rai,rai,Fumbles-Lost,0-0,,,,,,
team,201111270rai,chi,Turnovers,3,,,,,,
team,201111270rai,rai,Turnovers,1,,,,,,
team,201111270rai,chi,Penalties-Yards,7-61,,,,,,
team,201111270rai,rai,Penalties-Yards,6-44,,,,,,
team,201111270rai,chi,Third Down Conv.,6-14,,,,,,
team,201111270rai,rai,Third Down Conv.,3-15,,,,,,
team,201111270rai,chi,Fourth Down Conv.,0-0,,,,,,
team,201111270rai,rai,Fourth Down Conv.,1-1,,,,,,
team,201111270rai,chi,Time of Possession,29:58,,,,,,
team,201111270rai,rai,Time of Possession,30:02,,,,,,
player,201111270rai,chi,HaniCa00,pass_cmp,18,,,,,
player,201111270rai,chi,HaniCa00,pass_att,36,,,,,
player,201111270rai,chi,HaniCa00,pass_yds,254,,,,,
player,201111270rai,chi,HaniCa00,pass_td,2,,,,,
player,201111270rai,chi,HaniCa00,pass_int,3,,,,,
player,201111270rai,chi,HaniCa00,pass_sacked,4,,,,,
player,201111270rai,chi,HaniCa00,pass_sacked_yds,25,,,,,
player,201111270rai,chi,HaniCa00,pass_long,81,,,,,
player,201111270rai,chi,HaniCa00,pass_rating,56.9,,,,,
player,201111270rai,chi,HaniCa00,rush_att,5,,,,,
player,201111270rai,chi,HaniCa00,rush_yds,50,,,,,
player,201111270rai,chi,HaniCa00,rush_td,0,,,,,
player,201111270rai,chi,HaniCa00,rush_long,24,,,,,
player,201111270rai,chi,HaniCa00,targets,0,,,,,
player,201111270rai,chi,HaniCa00,rec,0,,,,,
player,201111270rai,chi,HaniCa00,rec_yds,0,,,,,
player,201111270rai,chi,HaniCa00,rec_td,0,,,,,
player,201111270rai,chi,HaniCa00,rec_long,0,,,,,
player,201111270rai,chi,HaniCa00,fumbles,0,,,,,
player,201111270rai,chi,HaniCa00,fumbles_lost,,,,,,
