game,2011,13,20111204,201112040buf,oti,"Tennessee Titans",23,buf,"Buffalo Bills",17
team,201112040buf,oti,First Downs,18,,,,,,
team,201112040buf,buf,First Downs,18,,,,,,
team,201112040buf,oti,Rush-Yds-TDs,31-187-2,,,,,,
team,201112040buf,buf,Rush-Yds-TDs,23-104-0,,,,,,
team,201112040buf,oti,Cmp-Att-Yd-TD-INT,16-25-140-0-0,,,,,,
team,201112040buf,buf,Cmp-Att-Yd-TD-INT,29-46-288-1-0,,,,,,
team,201112040buf,oti,Sacked-Yards,1-10,,,,,,
team,201112040buf,buf,Sacked-Yards,1-6,,,,,,
team,201112040buf,oti,Net Pass Yards,130,,,,,,
team,201112040buf,buf,Net Pass Yards,282,,,,,,
team,201112040buf,oti,Total Yards,317,,,,,,
team,201112040buf,buf,Total Yards,386,,,,,,
team,201112040buf,oti,Fumbles-Lost,1-0,,,,,,
team,201112040buf,buf,Fumbles-Lost,3-2,,,,,,
team,201112040buf,oti,Turnovers,0,,,,,,
team,201112040buf,buf,Turnovers,2,,,,,,
team,201112040buf,oti,Penalties-Yards,3-20,,,,,,
team,201112040buf,buf,Penalties-Yards,2-15,,,,,,
team,201112040buf,oti,Third Down Conv.,2-11,,,,,,
team,201112040buf,buf,Third Down Conv.,7-16,,,,,,
team,201112040buf,oti,Fourth Down Conv.,1-1,,,,,,
team,201112040buf,buf,Fourth Down Conv.,2-4,,,,,,
team,201112040buf,oti,Time of Possession,28:14,,,,,,
team,201112040buf,buf,Time of Possession,31:46,,,,,,
player,201112040buf,oti,HassMa00,pass_cmp,16,,,,,
player,201112040buf,oti,HassMa00,pass_att,25,,,,,
player,201112040buf,oti,HassMa00,pass_yds,140,,,,,
player,201112040buf,oti,HassMa00,pass_td,0,,,,,
player,201112040buf,oti,HassMa00,pass_int,0,,,,,
player,201112040buf,oti,HassMa00,pass_sacked,1,,,,,
player,201112040buf,oti,HassMa00,pass_sacked_yds,10,,,,,
player,201112040buf,oti,HassMa00,pass_long,21,,,,,
player,201112040buf,oti,HassMa00,pass_rating,78.7,,,,,
player,201112040buf,oti,HassMa00,rush_att,1,,,,,
player,201112040buf,oti,HassMa00,rush_yds,-1,,,,,
player,201112040buf,oti,HassMa00,rush_td,0,,,,,
player,201112040buf,oti,HassMa00,rush_long,-1,,,,,
player,201112040buf,oti,HassMa00,targets,0,,,,,
player,201112040buf,oti,HassMa00,rec,0,,,,,
player,201112040buf,oti,HassMa00,rec_yds,0,,,,,
player,201112040buf,oti,HassMa00,rec_td,0,,,,,
player,201112040buf,oti,HassMa00,rec_long,0,,,,,
player,201112040buf,oti,HassMa00,fumbles,0,,,,,
player,201112040buf,oti,HassMa00,fumbles_lost,,,,,,
player,201112040buf,oti,JohnCh04,pass_cmp,0,,,,,
player,201112040buf,oti,JohnCh04,pass_att,0,,,,,
player,201112040buf,oti,JohnCh04,pass_yds,0,,,,,
player,201112040buf,oti,JohnCh04,pass_td,0,,,,,
player,201112040buf,oti,JohnCh04,pass_int,0,,,,,
player,201112040buf,oti,JohnCh04,pass_sacked,0,,,,,
player,201112040buf,oti,JohnCh04,pass_sacked_yds,0,,,,,
player,201112040buf,oti,JohnCh04,pass_long,0,,,,,
player,201112040buf,oti,JohnCh04,pass_rating,,,,,,
player,201112040buf,oti,JohnCh04,rush_att,23,,,,,
player,201112040buf,oti,JohnCh04,rush_yds,153,,,,,
player,201112040buf,oti,JohnCh04,rush_td,2,,,,,
player,201112040buf,oti,JohnCh04,rush_long,48,,,,,
player,201112040buf,oti,JohnCh04,targets,1,,,,,
player,201112040buf,oti,JohnCh04,rec,1,,,,,
player,201112040buf,oti,JohnCh04,rec_yds,4,,,,,
player,201112040buf,oti,JohnCh04,rec_td,0,,,,,
player,201112040buf,oti,JohnCh04,rec_long,4,,,,,
player,201112040buf,oti,JohnCh04,fumbles,1,,,,,
player,201112040buf,oti,JohnCh04,fumbles_lost,0,,,,,
player,201112040buf,oti,RingJa00,pass_cmp,0,,,,,
player,201112040buf,oti,RingJa00,pass_att,0,,,,,
player,201112040buf,oti,RingJa00,pass_yds,0,,,,,
player,201112040buf,oti,RingJa00,pass_td,0,,,,,
player,201112040buf,oti,RingJa00,pass_int,0,,,,,
player,201112040buf,oti,RingJa00,pass_sacked,0,,,,,
player,201112040buf,oti,RingJa00,pass_sacked_yds,0,,,,,
player,201112040buf,oti,RingJa00,pass_long,0,,,,,
player,201112040buf,oti,RingJa00,pass_rating,,,,,,
player,201112040buf,oti,RingJa00,rush_att,5,,,,,
player,201112040buf,oti,RingJa00,rush_yds,21,,,,,
player,201112040buf,oti,RingJa00,rush_td,0,,,,,
player,201112040buf,oti,RingJa00,rush_long,11,,,,,
player,201112040buf,oti,RingJa00,targets,2,,,,,
player,201112040buf,oti,RingJa00,rec,2,,,,,
player,201112040buf,oti,RingJa00,rec_yds,-8,,,,,
player,201112040buf,oti,RingJa00,rec_td,0,,,,,
player,201112040buf,oti,RingJa00,rec_long,-3,,,,,
player,201112040buf,oti,RingJa00,fumbles,0,,,,,
player,201112040buf,oti,RingJa00,fumbles_lost,,,,,,
player,201112040buf,oti,HallAh00,pass_cmp,0,,,,,
player,201112040buf,oti,HallAh00,pass_att,0,,,,,
player,201112040buf,oti,HallAh00,pass_yds,0,,,,,
player,201112040buf,oti,HallAh00,pass_td,0,,,,,
player,201112040buf,oti,HallAh00,pass_int,0,,,,,
player,201112040buf,oti,HallAh00,pass_sacked,0,,,,,
player,201112040buf,oti,HallAh00,pass_sacked_yds,0,,,,,
player,201112040buf,oti,HallAh00,pass_long,0,,,,,
player,201112040buf,oti,HallAh00,pass_rating,,,,,,
player,201112040buf,oti,HallAh00,rush_att,2,,,,,
player,201112040buf,oti,HallAh00,rush_yds,14,,,,,
player,201112040buf,oti,HallAh00,rush_td,0,,,,,
player,201112040buf,oti,HallAh00,rush_long,12,,,,,
player,201112040buf,oti,HallAh00,targets,2,,,,,
player,201112040buf,oti,HallAh00,rec,2,,,,,
player,201112040buf,oti,HallAh00,rec_yds,12,,,,,
player,201112040buf,oti,HallAh00,rec_td,0,,,,,
