game,2011,2,20110918,201109180atl,phi,"Philadelphia Eagles",31,atl,"Atlanta Falcons",35
team,201109180atl,phi,First Downs,27,,,,,,
team,201109180atl,atl,First Downs,20,,,,,,
team,201109180atl,phi,Rush-Yds-TDs,30-133-2,,,,,,
team,201109180atl,atl,Rush-Yds-TDs,29-138-1,,,,,,
team,201109180atl,phi,Cmp-Att-Yd-TD-INT,26-37-314-2-1,,,,,,
team,201109180atl,atl,Cmp-Att-Yd-TD-INT,17-28-195-4-2,,,,,,
team,201109180atl,phi,Sacked-Yards,0-0,,,,,,
team,201109180atl,atl,Sacked-Yards,4-15,,,,,,
team,201109180atl,phi,Net Pass Yards,314,,,,,,
team,201109180atl,atl,Net Pass Yards,180,,,,,,
team,201109180atl,phi,Total Yards,447,,,,,,
team,201109180atl,atl,Total Yards,318,,,,,,
team,201109180atl,phi,Fumbles-Lost,3-2,,,,,,
team,201109180atl,atl,Fumbles-Lost,0-0,,,,,,
team,201109180atl,phi,Turnovers,3,,,,,,
team,201109180atl,atl,Turnovers,2,,,,,,
team,201109180atl,phi,Penalties-Yards,4-20,,,,,,
team,201109180atl,atl,Penalties-Yards,7-57,,,,,,
team,201109180atl,phi,Third Down Conv.,5-11,,,,,,
team,201109180atl,atl,Third Down Conv.,6-13,,,,,,
team,201109180atl,phi,Fourth Down Conv.,0-1,,,,,,
team,201109180atl,atl,Fourth Down Conv.,0-0,,,,,,
team,201109180atl,phi,Time of Possession,30:03,,,,,,
team,201109180atl,atl,Time of Possession,29:57,,,,,,
player,201109180atl,phi,VickMi00,pass_cmp,19,,,,,
player,201109180atl,phi,VickMi00,pass_att,28,,,,,
player,201109180atl,phi,VickMi00,pass_yds,242,,,,,
player,201109180atl,phi,VickMi00,pass_td,2,,,,,
player,201109180atl,phi,VickMi00,pass_int,1,,,,,
player,201109180atl,phi,VickMi00,pass_sacked,0,,,,,
player,201109180atl,phi,VickMi00,pass_sacked_yds,0,,,,,
player,201109180atl,phi,VickMi00,pass_long,36,,,,,
player,201109180atl,phi,VickMi00,pass_rating,103.6,,,,,
player,201109180atl,phi,VickMi00,rush_att,6,,,,,
player,201109180atl,phi,VickMi00,rush_yds,25,,,,,
player,201109180atl,phi,VickMi00,rush_td,0,,,,,
player,201109180atl,phi,VickMi00,rush_long,10,,,,,
player,201109180atl,phi,VickMi00,targets,0,,,,,
player,201109180atl,phi,VickMi00,rec,0,,,,,
player,201109180atl,phi,VickMi00,rec_yds,0,,,,,
player,201109180atl,phi,VickMi00,rec_td,0,,,,,
player,201109180atl,phi,VickMi00,rec_long,0,,,,,
player,201109180atl,phi,VickMi00,fumbles,3,,,,,
player,201109180atl,phi,VickMi00,fumbles_lost,2,,,,,
player,201109180atl,phi,KafkMi00,pass_cmp,7,,,,,
player,201109180atl,phi,KafkMi00,pass_att,9,,,,,
player,201109180atl,phi,KafkMi00,pass_yds,72,,,,,
player,201109180atl,phi,KafkMi00,pass_td,0,,,,,
player,201109180atl,phi,KafkMi00,pass_int,0,,,,,
player,201109180atl,phi,KafkMi00,pass_sacked,0,,,,,
player,201109180atl,phi,KafkMi00,pass_sacked_yds,0,,,,,
player,201109180atl,phi,KafkMi00,pass_long,43,,,,,
player,201109180atl,phi,KafkMi00,pass_rating,100.0,,,,,
player,201109180atl,phi,KafkMi00,rush_att,1,,,,,
player,201109180atl,phi,KafkMi00,rush_yds,2,,,,,
player,201109180atl,phi,KafkMi00,rush_td,0,,,,,
player,201109180atl,phi,KafkMi00,rush_long,2,,,,,
player,201109180atl,phi,KafkMi00,targets,0,,,,,
player,201109180atl,phi,KafkMi00,rec,0,,,,,
player,201109180atl,phi,KafkMi00,rec_yds,0,,,,,
player,201109180atl,phi,KafkMi00,rec_td,0,,,,,
player,201109180atl,phi,KafkMi00,rec_long,0,,,,,
player,201109180atl,phi,KafkMi00,fumbles,0,,,,,
player,201109180atl,phi,KafkMi00,fumbles_lost,,,,,,
player,201109180atl,phi,McCoLe01,pass_cmp,0,,,,,
player,201109180atl,phi,McCoLe01,pass_att,0,,,,,
player,201109180atl,phi,McCoLe01,pass_yds,0,,,,,
player,201109180atl,phi,McCoLe01,pass_td,0,,,,,
player,201109180atl,phi,McCoLe01,pass_int,0,,,,,
player,201109180atl,phi,McCoLe01,pass_sacked,0,,,,,
player,201109180atl,phi,McCoLe01,pass_sacked_yds,0,,,,,
player,201109180atl,phi,McCoLe01,pass_long,0,,,,,
player,201109180atl,phi,McCoLe01,pass_rating,,,,,,
player,201109180atl,phi,McCoLe01,rush_att,18,,,,,
player,201109180atl,phi,McCoLe01,rush_yds,95,,,,,
player,201109180atl,phi,McCoLe01,rush_td,2,,,,,
player,201109180atl,phi,McCoLe01,rush_long,23,,,,,
player,201109180atl,phi,McCoLe01,targets,4,,,,,
player,201109180atl,phi,McCoLe01,rec,4,,,,,
player,201109180atl,phi,McCoLe01,rec_yds,21,,,,,
player,201109180atl,phi,McCoLe01,rec_td,0,,,,,
player,201109180atl,phi,McCoLe01,rec_long,10,,,,,
player,201109180atl,phi,McCoLe01,fumbles,0,,,,,
player,201109180atl,phi,McCoLe01,fumbles_lost,,,,,,
player,201109180atl,phi,BrowRo05,pass_cmp,0,,,,,
player,201109180atl,phi,BrowRo05,pass_att,0,,,,,
player,201109180atl,phi,BrowRo05,pass_yds,0,,,,,
player,201109180atl,phi,BrowRo05,pass_td,0,,,,,
player,201109180atl,phi,BrowRo05,pass_int,0,,,,,
player,201109180atl,phi,BrowRo05,pass_sacked,0,,,,,
player,201109180atl,phi,BrowRo05,pass_sacked_yds,0,,,,,
player,201109180atl,phi,BrowRo05,pass_long,0,,,,,
player,201109180atl,phi,BrowRo05,pass_rating,,,,,,
player,201109180atl,phi,BrowRo05,rush_att,3,,,,,
player,201109180atl,phi,BrowRo05,rush_yds,10,,,,,
player,201109180atl,phi,BrowRo05,rush_td,0,,,,,
player,201109180atl,phi,BrowRo05,rush_long,11,,,,,
player,201109180atl,phi,BrowRo05,targets,0,,,,,
player,201109180atl,phi,BrowRo05,rec,0,,,,,
player,201109180atl,phi,BrowRo05,rec_yds,0,,,,,
player,201109180atl,phi,BrowRo05,rec_td,0,,,,,
player,201109180atl,phi,BrowRo05,rec_long,0,,,,,
player,201109180atl,phi,BrowRo05,fumbles,0,,,,,
player,201109180atl,phi,BrowRo05,fumbles_lost,,,,,,
player,201109180atl,phi,MaclJe00,pass_cmp,0,,,,,
player,201109180atl,phi,MaclJe00,pass_att,0,,,,,
player,201109180atl,phi,MaclJe00,pass_yds,0,,,,,
player,201109180atl,phi,MaclJe00,pass_td,0,,,,,
player,201109180atl,phi,MaclJe00,pass_int,0,,,,,
player,201109180atl,phi,MaclJe00,pass_sacked,0,,,,,
player,201109180atl,phi,MaclJe00,pass_sacked_yds,0,,,,,
player,201109180atl,phi,MaclJe00,pass_long,0,,,,,
player,201109180atl,phi,MaclJe00,pass_rating,,,,,,
player,201109180atl,phi,MaclJe00,rush_att,1,,,,,
player,201109180atl,phi,MaclJe00,rush_yds,1,,,,,
player,201109180atl,phi,MaclJe00,rush_td,0,,,,,
player,201109180atl,phi,MaclJe00,rush_long,1,,,,,
player,201109180atl,phi,MaclJe00,targets,15,,,,,
player,201109180atl,phi,MaclJe00,rec,13,,,,,
player,201109180atl,phi,MaclJe00,rec_yds,171,,,,,
player,201109180atl,phi,MaclJe00,rec_td,2,,,,,
player,201109180atl,phi,MaclJe00,rec_long,43,,,,,
player,201109180atl,phi,MaclJe00,fumbles,0,,,,,
player,201109180atl,phi,MaclJe00,fumbles_lost,,,,,,
player,201109180atl,phi,CeleBr00,pass_cmp,0,,,,,
player,201109180atl,phi,CeleBr00,pass_att,0,,,,,
player,201109180atl,phi,CeleBr00,pass_yds,0,,,,,
player,201109180atl,phi,CeleBr00,pass_td,0,,,,,
player,201109180atl,phi,CeleBr00,pass_int,0,,,,,
player,201109180atl,phi,CeleBr00,pass_sacked,0,,,,,
player,201109180atl,phi,CeleBr00,pass_sacked_yds,0,,,,,
player,201109180atl,phi,CeleBr00,pass_long,0,,,,,
player,201109180atl,phi,CeleBr00,pass_rating,,,,,,
player,201109180atl,phi,CeleBr00,rush_att,0,,,,,
player,201109180atl,phi,CeleBr00,rush_yds,0,,,,,
player,201109180atl,phi,CeleBr00,rush_td,0,,,,,
player,201109180atl,phi,CeleBr00,rush_long,0,,,,,
player,201109180atl,phi,CeleBr00,targets,7,,,,,
player,201109180atl,phi,CeleBr00,rec,4,,,,,
