game,2011,15,20111218,201112180den,nwe,"New England Patriots",41,den,"Denver Broncos",23
team,201112180den,nwe,First Downs,26,,,,,,
team,201112180den,den,First Downs,25,,,,,,
team,201112180den,nwe,Rush-Yds-TDs,36-141-3,,,,,,
team,201112180den,den,Rush-Yds-TDs,31-252-3,,,,,,
team,201112180den,nwe,Cmp-Att-Yd-TD-INT,23-34-320-2-0,,,,,,
team,201112180den,den,Cmp-Att-Yd-TD-INT,11-23-194-0-0,,,,,,
team,201112180den,nwe,Sacked-Yards,2-10,,,,,,
team,201112180den,den,Sacked-Yards,4-53,,,,,,
team,201112180den,nwe,Net Pass Yards,310,,,,,,
team,201112180den,den,Net Pass Yards,141,,,,,,
team,201112180den,nwe,Total Yards,451,,,,,,
team,201112180den,den,Total Yards,393,,,,,,
team,201112180den,nwe,Fumbles-Lost,1-0,,,,,,
team,201112180den,den,Fumbles-Lost,4-3,,,,,,
team,201112180den,nwe,Turnovers,0,,,,,,
team,201112180den,den,Turnovers,3,,,,,,
team,201112180den,nwe,Penalties-Yards,4-30,,,,,,
team,201112180den,den,Penalties-Yards,7-39,,,,,,
team,201112180den,nwe,Third Down Conv.,5-12,,,,,,
team,201112180den,den,Third Down Conv.,4-10,,,,,,
team,201112180den,nwe,Fourth Down Conv.,1-2,,,,,,
team,201112180den,den,Fourth Down Conv.,0-2,,,,,,
team,201112180den,nwe,Time of Possession,33:41,,,,,,
team,201112180den,den,Time of Possession,26:19,,,,,,
player,201112180den,nwe,BradTo00,pass_cmp,23,,,,,
player,201112180den,nwe,BradTo00,pass_att,34,,,,,
player,201112180den,nwe,BradTo00,pass_yds,320,,,,,
player,201112180den,nwe,BradTo00,pass_td,2,,,,,
player,201112180den,nwe,BradTo00,pass_int,0,,,,,
player,201112180den,nwe,BradTo00,pass_sacked,2,,,,,
player,201112180den,nwe,BradTo00,pass_sacked_yds,10,,,,,
player,201112180den,nwe,BradTo00,pass_long,46,,,,,
player,201112180den,nwe,BradTo00,pass_rating,117.3,,,,,
player,201112180den,nwe,BradTo00,rush_att,6,,,,,
player,201112180den,nwe,BradTo00,rush_yds,2,,,,,
player,201112180den,nwe,BradTo00,rush_td,1,,,,,
player,201112180den,nwe,BradTo00,rush_long,2,,,,,
player,201112180den,nwe,BradTo00,targets,0,,,,,
player,201112180den,nwe,BradTo00,rec,0,,,,,
player,201112180den,nwe,BradTo00,rec_yds,0,,,,,
player,201112180den,nwe,BradTo00,rec_td,0,,,,,
player,201112180den,nwe,BradTo00,rec_long,0,,,,,
player,201112180den,nwe,BradTo00,fumbles,1,,,,,
player,201112180den,nwe,BradTo00,fumbles_lost,0,,,,,
player,201112180den,nwe,RidlSt00,pass_cmp,0,,,,,
player,201112180den,nwe,RidlSt00,pass_att,0,,,,,
player,201112180den,nwe,RidlSt00,pass_yds,0,,,,,
player,201112180den,nwe,RidlSt00,pass_td,0,,,,,
player,201112180den,nwe,RidlSt00,pass_int,0,,,,,
player,201112180den,nwe,RidlSt00,pass_sacked,0,,,,,
player,201112180den,nwe,RidlSt00,pass_sacked_yds,0,,,,,
player,201112180den,nwe,RidlSt00,pass_long,0,,,,,
player,201112180den,nwe,RidlSt00,pass_rating,,,,,,
player,201112180den,nwe,RidlSt00,rush_att,11,,,,,
player,201112180den,nwe,RidlSt00,rush_yds,65,,,,,
player,201112180den,nwe,RidlSt00,rush_td,0,,,,,
player,201112180den,nwe,RidlSt00,rush_long,24,,,,,
player,201112180den,nwe,RidlSt00,targets,0,,,,,
player,201112180den,nwe,RidlSt00,rec,0,,,,,
player,201112180den,nwe,RidlSt00,rec_yds,0,,,,,
player,201112180den,nwe,RidlSt00,rec_td,0,,,,,
player,201112180den,nwe,RidlSt00,rec_long,0,,,,,
player,201112180den,nwe,RidlSt00,fumbles,0,,,,,
player,201112180den,nwe,RidlSt00,fumbles_lost,,,,,,
player,201112180den,nwe,WoodDa02,pass_cmp,0,,,,,
player,201112180den,nwe,WoodDa02,pass_att,0,,,,,
player,201112180den,nwe,WoodDa02,pass_yds,0,,,,,
player,201112180den,nwe,WoodDa02,pass_td,0,,,,,
player,201112180den,nwe,WoodDa02,pass_int,0,,,,,
player,201112180den,nwe,WoodDa02,pass_sacked,0,,,,,
