game,2011,16,20111224,201112240oti,jax,"Jacksonville Jaguars",17,oti,"Tennessee Titans",23
team,201112240oti,jax,First Downs,18,,,,,,
team,201112240oti,oti,First Downs,20,,,,,,
team,201112240oti,jax,Rush-Yds-TDs,28-113-2,,,,,,
team,201112240oti,oti,Rush-Yds-TDs,25-65-1,,,,,,
team,201112240oti,jax,Cmp-Att-Yd-TD-INT,21-42-198-0-1,,,,,,
team,201112240oti,oti,Cmp-Att-Yd-TD-INT,24-40-350-1-2,,,,,,
team,201112240oti,jax,Sacked-Yards,1-11,,,,,,
team,201112240oti,oti,Sacked-Yards,1-8,,,,,,
team,201112240oti,jax,Net Pass Yards,187,,,,,,
team,201112240oti,oti,Net Pass Yards,342,,,,,,
team,201112240oti,jax,Total Yards,300,,,,,,
team,201112240oti,oti,Total Yards,407,,,,,,
team,201112240oti,jax,Fumbles-Lost,0-0,,,,,,
team,201112240oti,oti,Fumbles-Lost,1-1,,,,,,
team,201112240oti,jax,Turnovers,1,,,,,,
team,201112240oti,oti,Turnovers,3,,,,,,
team,201112240oti,jax,Penalties-Yards,6-28,,,,,,
team,201112240oti,oti,Penalties-Yards,0-0,,,,,,
team,201112240oti,jax,Third Down Conv.,5-18,,,,,,
team,201112240oti,oti,Third Down Conv.,3-12,,,,,,
team,201112240oti,jax,Fourth Down Conv.,2-3,,,,,,
team,201112240oti,oti,Fourth Down Conv.,0-0,,,,,,
team,201112240oti,jax,Time of Possession,29:01,,,,,,
team,201112240oti,oti,Time of Possession,30:59,,,,,,
player,201112240oti,jax,GabbBl00,pass_cmp,21,,,,,
player,201112240oti,jax,GabbBl00,pass_att,42,,,,,
player,201112240oti,jax,GabbBl00,pass_yds,198,,,,,
player,201112240oti,jax,GabbBl00,pass_td,0,,,,,
player,201112240oti,jax,GabbBl00,pass_int,1,,,,,
player,201112240oti,jax,GabbBl00,pass_sacked,1,,,,,
player,201112240oti,jax,GabbBl00,pass_sacked_yds,11,,,,,
player,201112240oti,jax,GabbBl00,pass_long,22,,,,,
player,201112240oti,jax,GabbBl00,pass_rating,53.5,,,,,
player,201112240oti,jax,GabbBl00,rush_att,1,,,,,
player,201112240oti,jax,GabbBl00,rush_yds,4,,,,,
player,201112240oti,jax,GabbBl00,rush_td,0,,,,,
player,201112240oti,jax,GabbBl00,rush_long,4,,,,,
player,201112240oti,jax,GabbBl00,targets,0,,,,,
player,201112240oti,jax,GabbBl00,rec,0,,,,,
player,201112240oti,jax,GabbBl00,rec_yds,0,,,,,
player,201112240oti,jax,GabbBl00,rec_td,0,,,,,
player,201112240oti,jax,GabbBl00,rec_long,0,,,,,
player,201112240oti,jax,GabbBl00,fumbles,0,,,,,
player,201112240oti,jax,GabbBl00,fumbles_lost,,,,,,
player,201112240oti,jax,DrewMa00,pass_cmp,0,,,,,
player,201112240oti,jax,DrewMa00,pass_att,0,,,,,
player,201112240oti,jax,DrewMa00,pass_yds,0,,,,,
player,201112240oti,jax,DrewMa00,pass_td,0,,,,,
player,201112240oti,jax,DrewMa00,pass_int,0,,,,,
player,201112240oti,jax,DrewMa00,pass_sacked,0,,,,,
player,201112240oti,jax,DrewMa00,pass_sacked_yds,0,,,,,
player,201112240oti,jax,DrewMa00,pass_long,0,,,,,
player,201112240oti,jax,DrewMa00,pass_rating,,,,,,
player,201112240oti,jax,DrewMa00,rush_att,24,,,,,
player,201112240oti,jax,DrewMa00,rush_yds,103,,,,,
player,201112240oti,jax,DrewMa00,rush_td,1,,,,,
player,201112240oti,jax,DrewMa00,rush_long,21,,,,,
player,201112240oti,jax,DrewMa00,targets,10,,,,,
player,201112240oti,jax,DrewMa00,rec,6,,,,,
player,201112240oti,jax,DrewMa00,rec_yds,21,,,,,
player,201112240oti,jax,DrewMa00,rec_td,0,,,,,
player,201112240oti,jax,DrewMa00,rec_long,14,,,,,
player,201112240oti,jax,DrewMa00,fumbles,0,,,,,
player,201112240oti,jax,DrewMa00,fumbles_lost,,,,,,
player,201112240oti,jax,HarrDu01,pass_cmp,0,,,,,
player,201112240oti,jax,HarrDu01,pass_att,0,,,,,
player,201112240oti,jax,HarrDu01,pass_yds,0,,,,,
player,201112240oti,jax,HarrDu01,pass_td,0,,,,,
player,201112240oti,jax,HarrDu01,pass_int,0,,,,,
player,201112240oti,jax,HarrDu01,pass_sacked,0,,,,,
player,201112240oti,jax,HarrDu01,pass_sacked_yds,0,,,,,
player,201112240oti,jax,HarrDu01,pass_long,0,,,,,
player,201112240oti,jax,HarrDu01,pass_rating,,,,,,
player,201112240oti,jax,HarrDu01,rush_att,2,,,,,
player,201112240oti,jax,HarrDu01,rush_yds,5,,,,,
player,201112240oti,jax,HarrDu01,rush_td,0,,,,,
player,201112240oti,jax,HarrDu01,rush_long,5,,,,,
player,201112240oti,jax,HarrDu01,targets,0,,,,,
player,201112240oti,jax,HarrDu01,rec,0,,,,,
player,201112240oti,jax,HarrDu01,rec_yds,0,,,,,
player,201112240oti,jax,HarrDu01,rec_td,0,,,,,
player,201112240oti,jax,HarrDu01,rec_long,0,,,,,
player,201112240oti,jax,HarrDu01,fumbles,0,,,,,
player,201112240oti,jax,HarrDu01,fumbles_lost,,,,,,
player,201112240oti,jax,JoneGr01,pass_cmp,0,,,,,
player,201112240oti,jax,JoneGr01,pass_att,0,,,,,
player,201112240oti,jax,JoneGr01,pass_yds,0,,,,,
player,201112240oti,jax,JoneGr01,pass_td,0,,,,,
player,201112240oti,jax,JoneGr01,pass_int,0,,,,,
player,201112240oti,jax,JoneGr01,pass_sacked,0,,,,,
player,201112240oti,jax,JoneGr01,pass_sacked_yds,0,,,,,
player,201112240oti,jax,JoneGr01,pass_long,0,,,,,
player,201112240oti,jax,JoneGr01,pass_rating,,,,,,
player,201112240oti,jax,JoneGr01,rush_att,1,,,,,
player,201112240oti,jax,JoneGr01,rush_yds,1,,,,,
player,201112240oti,jax,JoneGr01,rush_td,1,,,,,
player,201112240oti,jax,JoneGr01,rush_long,1,,,,,
player,201112240oti,jax,JoneGr01,targets,2,,,,,
player,201112240oti,jax,JoneGr01,rec,2,,,,,
player,201112240oti,jax,JoneGr01,rec_yds,9,,,,,
player,201112240oti,jax,JoneGr01,rec_td,0,,,,,
player,201112240oti,jax,JoneGr01,rec_long,6,,,,,
player,201112240oti,jax,JoneGr01,fumbles,0,,,,,
player,201112240oti,jax,JoneGr01,fumbles_lost,,,,,,
player,201112240oti,jax,DillJa00,pass_cmp,0,,,,,
player,201112240oti,jax,DillJa00,pass_att,0,,,,,
player,201112240oti,jax,DillJa00,pass_yds,0,,,,,
player,201112240oti,jax,DillJa00,pass_td,0,,,,,
player,201112240oti,jax,DillJa00,pass_int,0,,,,,
player,201112240oti,jax,DillJa00,pass_sacked,0,,,,,
player,201112240oti,jax,DillJa00,pass_sacked_yds,0,,,,,
player,201112240oti,jax,DillJa00,pass_long,0,,,,,
player,201112240oti,jax,DillJa00,pass_rating,,,,,,
player,201112240oti,jax,DillJa00,rush_att,0,,,,,
player,201112240oti,jax,DillJa00,rush_yds,0,,,,,
player,201112240oti,jax,DillJa00,rush_td,0,,,,,
player,201112240oti,jax,DillJa00,rush_long,0,,,,,
player,201112240oti,jax,DillJa00,targets,10,,,,,
player,201112240oti,jax,DillJa00,rec,5,,,,,
player,201112240oti,jax,DillJa00,rec_yds,61,,,,,
player,201112240oti,jax,DillJa00,rec_td,0,,,,,
player,201112240oti,jax,DillJa00,rec_long,21,,,,,
player,201112240oti,jax,DillJa00,fumbles,0,,,,,
player,201112240oti,jax,DillJa00,fumbles_lost,,,,,,
player,201112240oti,jax,ClohCo00,pass_cmp,0,,,,,
player,201112240oti,jax,ClohCo00,pass_att,0,,,,,
player,201112240oti,jax,ClohCo00,pass_yds,0,,,,,
player,201112240oti,jax,ClohCo00,pass_td,0,,,,,
player,201112240oti,jax,ClohCo00,pass_int,0,,,,,
player,201112240oti,jax,ClohCo00,pass_sacked,0,,,,,
player,201112240oti,jax,ClohCo00,pass_sacked_yds,0,,,,,
player,201112240oti,jax,ClohCo00,pass_long,0,,,,,
player,201112240oti,jax,ClohCo00,pass_rating,,,,,,
player,201112240oti,jax,ClohCo00,rush_att,0,,,,,
player,201112240oti,jax,ClohCo00,rush_yds,0,,,,,
player,201112240oti,jax,ClohCo00,rush_td,0,,,,,
player,201112240oti,jax,ClohCo00,rush_long,0,,,,,
player,201112240oti,jax,ClohCo00,targets,4,,,,,
player,201112240oti,jax,ClohCo00,rec,2,,,,,
player,201112240oti,jax,ClohCo00,rec_yds,33,,,,,
player,201112240oti,jax,ClohCo00,rec_td,0,,,,,
player,201112240oti,jax,ClohCo00,rec_long,21,,,,,
player,201112240oti,jax,ClohCo00,fumbles,0,,,,,
player,201112240oti,jax,ClohCo00,fumbles_lost,,,,,,
player,201112240oti,jax,ThomMi01,pass_cmp,0,,,,,
player,201112240oti,jax,ThomMi01,pass_att,0,,,,,
player,201112240oti,jax,ThomMi01,pass_yds,0,,,,,
player,201112240oti,jax,ThomMi01,pass_td,0,,,,,
player,201112240oti,jax,ThomMi01,pass_int,0,,,,,
player,201112240oti,jax,ThomMi01,pass_sacked,0,,,,,
player,201112240oti,jax,ThomMi01,pass_sacked_yds,0,,,,,
player,201112240oti,jax,ThomMi01,pass_long,0,,,,,
player,201112240oti,jax,ThomMi01,pass_rating,,,,,,
player,201112240oti,jax,ThomMi01,rush_att,0,,,,,
player,201112240oti,jax,ThomMi01,rush_yds,0,,,,,
player,201112240oti,jax,ThomMi01,rush_td,0,,,,,
player,201112240oti,jax,ThomMi01,rush_long,0,,,,,
player,201112240oti,jax,ThomMi01,targets,6,,,,,
player,201112240oti,jax,ThomMi01,rec,3,,,,,
player,201112240oti,jax,ThomMi01,rec_yds,26,,,,,
player,201112240oti,jax,ThomMi01,rec_td,0,,,,,
player,201112240oti,jax,ThomMi01,rec_long,16,,,,,
player,201112240oti,jax,ThomMi01,fumbles,0,,,,,
player,201112240oti,jax,ThomMi01,fumbles_lost,,,,,,
player,201112240oti,jax,PottZa99,pass_cmp,0,,,,,
player,201112240oti,jax,PottZa99,pass_att,0,,,,,
player,201112240oti,jax,PottZa99,pass_yds,0,,,,,
player,201112240oti,jax,PottZa99,pass_td,0,,,,,
player,201112240oti,jax,PottZa99,pass_int,0,,,,,
player,201112240oti,jax,PottZa99,pass_sacked,0,,,,,
player,201112240oti,jax,PottZa99,pass_sacked_yds,0,,,,,
player,201112240oti,jax,PottZa99,pass_long,0,,,,,
player,201112240oti,jax,PottZa99,pass_rating,,,,,,
player,201112240oti,jax,PottZa99,rush_att,0,,,,,
player,201112240oti,jax,PottZa99,rush_yds,0,,,,,
player,201112240oti,jax,PottZa99,rush_td,0,,,,,
player,201112240oti,jax,PottZa99,rush_long,0,,,,,
player,201112240oti,jax,PottZa99,targets,2,,,,,
player,201112240oti,jax,PottZa99,rec,1,,,,,
player,201112240oti,jax,PottZa99,rec_yds,22,,,,,
player,201112240oti,jax,PottZa99,rec_td,0,,,,,
player,201112240oti,jax,PottZa99,rec_long,22,,,,,
player,201112240oti,jax,PottZa99,fumbles,0,,,,,
player,201112240oti,jax,PottZa99,fumbles_lost,,,,,,
player,201112240oti,jax,WestCh00,pass_cmp,0,,,,,
player,201112240oti,jax,WestCh00,pass_att,0,,,,,
