game,2011,4,20111002,201110020phi,sfo,"San Francisco 49ers",24,phi,"Philadelphia Eagles",23
team,201110020phi,sfo,First Downs,22,,,,,,
team,201110020phi,phi,First Downs,23,,,,,,
team,201110020phi,sfo,Rush-Yds-TDs,25-164-1,,,,,,
team,201110020phi,phi,Rush-Yds-TDs,20-108-0,,,,,,
team,201110020phi,sfo,Cmp-Att-Yd-TD-INT,21-33-291-2-0,,,,,,
team,201110020phi,phi,Cmp-Att-Yd-TD-INT,30-46-416-2-1,,,,,,
team,201110020phi,sfo,Sacked-Yards,3-13,,,,,,
team,201110020phi,phi,Sacked-Yards,2-11,,,,,,
team,201110020phi,sfo,Net Pass Yards,278,,,,,,
team,201110020phi,phi,Net Pass Yards,405,,,,,,
team,201110020phi,sfo,Total Yards,442,,,,,,
team,201110020phi,phi,Total Yards,513,,,,,,
team,201110020phi,sfo,Fumbles-Lost,2-1,,,,,,
team,201110020phi,phi,Fumbles-Lost,2-2,,,,,,
team,201110020phi,sfo,Turnovers,1,,,,,,
team,201110020phi,phi,Turnovers,3,,,,,,
team,201110020phi,sfo,Penalties-Yards,5-40,,,,,,
team,201110020phi,phi,Penalties-Yards,5-55,,,,,,
team,201110020phi,sfo,Third Down Conv.,5-12,,,,,,
team,201110020phi,phi,Third Down Conv.,5-13,,,,,,
team,201110020phi,sfo,Fourth Down Conv.,0-0,,,,,,
team,201110020phi,phi,Fourth Down Conv.,0-0,,,,,,
team,201110020phi,sfo,Time of Possession,28:52,,,,,,
team,201110020phi,phi,Time of Possession,31:08,,,,,,
player,201110020phi,sfo,SmitAl03,pass_cmp,21,,,,,
player,201110020phi,sfo,SmitAl03,pass_att,33,,,,,
player,201110020phi,sfo,SmitAl03,pass_yds,291,,,,,
player,201110020phi,sfo,SmitAl03,pass_td,2,,,,,
player,201110020phi,sfo,SmitAl03,pass_int,0,,,,,
player,201110020phi,sfo,SmitAl03,pass_sacked,3,,,,,
player,201110020phi,sfo,SmitAl03,pass_sacked_yds,13,,,,,
player,201110020phi,sfo,SmitAl03,pass_long,44,,,,,
player,201110020phi,sfo,SmitAl03,pass_rating,112.1,,,,,
player,201110020phi,sfo,SmitAl03,rush_att,1,,,,,
player,201110020phi,sfo,SmitAl03,rush_yds,-1,,,,,
player,201110020phi,sfo,SmitAl03,rush_td,0,,,,,
player,201110020phi,sfo,SmitAl03,rush_long,-1,,,,,
player,201110020phi,sfo,SmitAl03,targets,0,,,,,
player,201110020phi,sfo,SmitAl03,rec,0,,,,,
player,201110020phi,sfo,SmitAl03,rec_yds,0,,,,,
player,201110020phi,sfo,SmitAl03,rec_td,0,,,,,
player,201110020phi,sfo,SmitAl03,rec_long,0,,,,,
player,201110020phi,sfo,SmitAl03,fumbles,2,,,,,
player,201110020phi,sfo,SmitAl03,fumbles_lost,1,,,,,
player,201110020phi,sfo,GoreFr00,pass_cmp,0,,,,,
player,201110020phi,sfo,GoreFr00,pass_att,0,,,,,
player,201110020phi,sfo,GoreFr00,pass_yds,0,,,,,
player,201110020phi,sfo,GoreFr00,pass_td,0,,,,,
