game,2011,11,20111120,201111200mia,buf,"Buffalo Bills",8,mia,"Miami Dolphins",35
team,201111200mia,buf,First Downs,14,,,,,,
team,201111200mia,mia,First Downs,16,,,,,,
team,201111200mia,buf,Rush-Yds-TDs,19-41-0,,,,,,
team,201111200mia,mia,Rush-Yds-TDs,35-95-1,,,,,,
team,201111200mia,buf,Cmp-Att-Yd-TD-INT,21-44-215-0-2,,,,,,
team,201111200mia,mia,Cmp-Att-Yd-TD-INT,14-20-160-3-0,,,,,,
team,201111200mia,buf,Sacked-Yards,2-11,,,,,,
team,201111200mia,mia,Sacked-Yards,1-13,,,,,,
team,201111200mia,buf,Net Pass Yards,204,,,,,,
team,201111200mia,mia,Net Pass Yards,147,,,,,,
team,201111200mia,buf,Total Yards,245,,,,,,
team,201111200mia,mia,Total Yards,242,,,,,,
team,201111200mia,buf,Fumbles-Lost,4-0,,,,,,
team,201111200mia,mia,Fumbles-Lost,1-0,,,,,,
team,201111200mia,buf,Turnovers,2,,,,,,
team,201111200mia,mia,Turnovers,0,,,,,,
team,201111200mia,buf,Penalties-Yards,3-27,,,,,,
team,201111200mia,mia,Penalties-Yards,4-50,,,,,,
team,201111200mia,buf,Third Down Conv.,0-12,,,,,,
team,201111200mia,mia,Third Down Conv.,5-12,,,,,,
team,201111200mia,buf,Fourth Down Conv.,0-2,,,,,,
team,201111200mia,mia,Fourth Down Conv.,0-0,,,,,,
team,201111200mia,buf,Time of Possession,28:54,,,,,,
team,201111200mia,mia,Time of Possession,31:06,,,,,,
player,201111200mia,buf,FitzRy00,pass_cmp,20,,,,,
player,201111200mia,buf,FitzRy00,pass_att,39,,,,,
player,201111200mia,buf,FitzRy00,pass_yds,209,,,,,
player,201111200mia,buf,FitzRy00,pass_td,0,,,,,
player,201111200mia,buf,FitzRy00,pass_int,2,,,,,
player,201111200mia,buf,FitzRy00,pass_sacked,2,,,,,
player,201111200mia,buf,FitzRy00,pass_sacked_yds,11,,,,,
player,201111200mia,buf,FitzRy00,pass_long,31,,,,,
player,201111200mia,buf,FitzRy00,pass_rating,45.8,,,,,
player,201111200mia,buf,FitzRy00,rush_att,7,,,,,
player,201111200mia,buf,FitzRy00,rush_yds,16,,,,,
player,201111200mia,buf,FitzRy00,rush_td,0,,,,,
player,201111200mia,buf,FitzRy00,rush_long,8,,,,,
player,201111200mia,buf,FitzRy00,targets,0,,,,,
player,201111200mia,buf,FitzRy00,rec,0,,,,,
player,201111200mia,buf,FitzRy00,rec_yds,0,,,,,
player,201111200mia,buf,FitzRy00,rec_td,0,,,,,
player,201111200mia,buf,FitzRy00,rec_long,0,,,,,
player,201111200mia,buf,FitzRy00,fumbles,3,,,,,
player,201111200mia,buf,FitzRy00,fumbles_lost,0,,,,,
player,201111200mia,buf,ThigTy00,pass_cmp,1,,,,,
player,201111200mia,buf,ThigTy00,pass_att,5,,,,,
player,201111200mia,buf,ThigTy00,pass_yds,6,,,,,
player,201111200mia,buf,ThigTy00,pass_td,0,,,,,
player,201111200mia,buf,ThigTy00,pass_int,0,,,,,
player,201111200mia,buf,ThigTy00,pass_sacked,0,,,,,
player,201111200mia,buf,ThigTy00,pass_sacked_yds,0,,,,,
player,201111200mia,buf,ThigTy00,pass_long,6,,,,,
player,201111200mia,buf,ThigTy00,pass_rating,39.6,,,,,
player,201111200mia,buf,ThigTy00,rush_att,0,,,,,
player,201111200mia,buf,ThigTy00,rush_yds,0,,,,,
player,201111200mia,buf,ThigTy00,rush_td,0,,,,,
player,201111200mia,buf,ThigTy00,rush_long,0,,,,,
player,201111200mia,buf,ThigTy00,targets,0,,,,,
player,201111200mia,buf,ThigTy00,rec,0,,,,,
