game,2011,3,20110925,201109250car,jax,"Jacksonville Jaguars",10,car,"Carolina Panthers",16
team,201109250car,jax,First Downs,13,,,,,,
team,201109250car,car,First Downs,16,,,,,,
team,201109250car,jax,Rush-Yds-TDs,34-128-0,,,,,,
team,201109250car,car,Rush-Yds-TDs,28-107-0,,,,,,
team,201109250car,jax,Cmp-Att-Yd-TD-INT,12-21-139-1-1,,,,,,
team,201109250car,car,Cmp-Att-Yd-TD-INT,18-34-158-1-0,,,,,,
team,201109250car,jax,Sacked-Yards,2-10,,,,,,
team,201109250car,car,Sacked-Yards,0-0,,,,,,
team,201109250car,jax,Net Pass Yards,129,,,,,,
team,201109250car,car,Net Pass Yards,158,,,,,,
team,201109250car,jax,Total Yards,257,,,,,,
team,201109250car,car,Total Yards,265,,,,,,
team,201109250car,jax,Fumbles-Lost,5-0,,,,,,
team,201109250car,car,Fumbles-Lost,0-0,,,,,,
team,201109250car,jax,Turnovers,1,,,,,,
team,201109250car,car,Turnovers,0,,,,,,
team,201109250car,jax,Penalties-Yards,8-60,,,,,,
team,201109250car,car,Penalties-Yards,8-69,,,,,,
team,201109250car,jax,Third Down Conv.,3-14,,,,,,
team,201109250car,car,Third Down Conv.,6-16,,,,,,
team,201109250car,jax,Fourth Down Conv.,1-2,,,,,,
team,201109250car,car,Fourth Down Conv.,0-0,,,,,,
team,201109250car,jax,Time of Possession,30:26,,,,,,
team,201109250car,car,Time of Possession,29:34,,,,,,
player,201109250car,jax,GabbBl00,pass_cmp,12,,,,,
player,201109250car,jax,GabbBl00,pass_att,21,,,,,
player,201109250car,jax,GabbBl00,pass_yds,139,,,,,
player,201109250car,jax,GabbBl00,pass_td,1,,,,,
player,201109250car,jax,GabbBl00,pass_int,1,,,,,
player,201109250car,jax,GabbBl00,pass_sacked,2,,,,,
player,201109250car,jax,GabbBl00,pass_sacked_yds,10,,,,,
player,201109250car,jax,GabbBl00,pass_long,36,,,,,
player,201109250car,jax,GabbBl00,pass_rating,73.3,,,,,
player,201109250car,jax,GabbBl00,rush_att,4,,,,,
player,201109250car,jax,GabbBl00,rush_yds,2,,,,,
player,201109250car,jax,GabbBl00,rush_td,0,,,,,
player,201109250car,jax,GabbBl00,rush_long,2,,,,,
player,201109250car,jax,GabbBl00,targets,0,,,,,
player,201109250car,jax,GabbBl00,rec,0,,,,,
player,201109250car,jax,GabbBl00,rec_yds,0,,,,,
player,201109250car,jax,GabbBl00,rec_td,0,,,,,
player,201109250car,jax,GabbBl00,rec_long,0,,,,,
player,201109250car,jax,GabbBl00,fumbles,3,,,,,
player,201109250car,jax,GabbBl00,fumbles_lost,0,,,,,
player,201109250car,jax,DrewMa00,pass_cmp,0,,,,,
player,201109250car,jax,DrewMa00,pass_att,0,,,,,
player,201109250car,jax,DrewMa00,pass_yds,0,,,,,
player,201109250car,jax,DrewMa00,pass_td,0,,,,,
player,201109250car,jax,DrewMa00,pass_int,0,,,,,
player,201109250car,jax,DrewMa00,pass_sacked,0,,,,,
player,201109250car,jax,DrewMa00,pass_sacked_yds,0,,,,,
player,201109250car,jax,DrewMa00,pass_long,0,,,,,
player,201109250car,jax,DrewMa00,pass_rating,,,,,,
player,201109250car,jax,DrewMa00,rush_att,24,,,,,
player,201109250car,jax,DrewMa00,rush_yds,122,,,,,
player,201109250car,jax,DrewMa00,rush_td,0,,,,,
player,201109250car,jax,DrewMa00,rush_long,39,,,,,
player,201109250car,jax,DrewMa00,targets,3,,,,,
player,201109250car,jax,DrewMa00,rec,3,,,,,
player,201109250car,jax,DrewMa00,rec_yds,45,,,,,
player,201109250car,jax,DrewMa00,rec_td,0,,,,,
player,201109250car,jax,DrewMa00,rec_long,24,,,,,
player,201109250car,jax,DrewMa00,fumbles,1,,,,,
player,201109250car,jax,DrewMa00,fumbles_lost,0,,,,,
player,201109250car,jax,KariDe00,pass_cmp,0,,,,,
player,201109250car,jax,KariDe00,pass_att,0,,,,,
player,201109250car,jax,KariDe00,pass_yds,0,,,,,
player,201109250car,jax,KariDe00,pass_td,0,,,,,
player,201109250car,jax,KariDe00,pass_int,0,,,,,
player,201109250car,jax,KariDe00,pass_sacked,0,,,,,
player,201109250car,jax,KariDe00,pass_sacked_yds,0,,,,,
player,201109250car,jax,KariDe00,pass_long,0,,,,,
player,201109250car,jax,KariDe00,pass_rating,,,,,,
player,201109250car,jax,KariDe00,rush_att,5,,,,,
player,201109250car,jax,KariDe00,rush_yds,4,,,,,
player,201109250car,jax,KariDe00,rush_td,0,,,,,
player,201109250car,jax,KariDe00,rush_long,7,,,,,
player,201109250car,jax,KariDe00,targets,2,,,,,
player,201109250car,jax,KariDe00,rec,2,,,,,
player,201109250car,jax,KariDe00,rec_yds,19,,,,,
player,201109250car,jax,KariDe00,rec_td,0,,,,,
player,201109250car,jax,KariDe00,rec_long,14,,,,,
player,201109250car,jax,KariDe00,fumbles,0,,,,,
player,201109250car,jax,KariDe00,fumbles_lost,,,,,,
player,201109250car,jax,ThomMi01,pass_cmp,0,,,,,
player,201109250car,jax,ThomMi01,pass_att,0,,,,,
player,201109250car,jax,ThomMi01,pass_yds,0,,,,,
player,201109250car,jax,ThomMi01,pass_td,0,,,,,
player,201109250car,jax,ThomMi01,pass_int,0,,,,,
player,201109250car,jax,ThomMi01,pass_sacked,0,,,,,
player,201109250car,jax,ThomMi01,pass_sacked_yds,0,,,,,
player,201109250car,jax,ThomMi01,pass_long,0,,,,,
player,201109250car,jax,ThomMi01,pass_rating,,,,,,
player,201109250car,jax,ThomMi01,rush_att,0,,,,,
player,201109250car,jax,ThomMi01,rush_yds,0,,,,,
player,201109250car,jax,ThomMi01,rush_td,0,,,,,
player,201109250car,jax,ThomMi01,rush_long,0,,,,,
player,201109250car,jax,ThomMi01,targets,8,,,,,
player,201109250car,jax,ThomMi01,rec,4,,,,,
player,201109250car,jax,ThomMi01,rec_yds,55,,,,,
player,201109250car,jax,ThomMi01,rec_td,1,,,,,
player,201109250car,jax,ThomMi01,rec_long,36,,,,,
player,201109250car,jax,ThomMi01,fumbles,0,,,,,
player,201109250car,jax,ThomMi01,fumbles_lost,,,,,,
player,201109250car,jax,LewiMa00,pass_cmp,0,,,,,
player,201109250car,jax,LewiMa00,pass_att,0,,,,,
player,201109250car,jax,LewiMa00,pass_yds,0,,,,,
player,201109250car,jax,LewiMa00,pass_td,0,,,,,
player,201109250car,jax,LewiMa00,pass_int,0,,,,,
player,201109250car,jax,LewiMa00,pass_sacked,0,,,,,
player,201109250car,jax,LewiMa00,pass_sacked_yds,0,,,,,
player,201109250car,jax,LewiMa00,pass_long,0,,,,,
player,201109250car,jax,LewiMa00,pass_rating,,,,,,
player,201109250car,jax,LewiMa00,rush_att,0,,,,,
player,201109250car,jax,LewiMa00,rush_yds,0,,,,,
player,201109250car,jax,LewiMa00,rush_td,0,,,,,
player,201109250car,jax,LewiMa00,rush_long,0,,,,,
player,201109250car,jax,LewiMa00,targets,2,,,,,
player,201109250car,jax,LewiMa00,rec,2,,,,,
player,201109250car,jax,LewiMa00,rec_yds,15,,,,,
player,201109250car,jax,LewiMa00,rec_td,0,,,,,
player,201109250car,jax,LewiMa00,rec_long,9,,,,,
player,201109250car,jax,LewiMa00,fumbles,0,,,,,
player,201109250car,jax,LewiMa00,fumbles_lost,,,,,,
player,201109250car,jax,HillJa00,pass_cmp,0,,,,,
player,201109250car,jax,HillJa00,pass_att,0,,,,,
player,201109250car,jax,HillJa00,pass_yds,0,,,,,
player,201109250car,jax,HillJa00,pass_td,0,,,,,
player,201109250car,jax,HillJa00,pass_int,0,,,,,
player,201109250car,jax,HillJa00,pass_sacked,0,,,,,
player,201109250car,jax,HillJa00,pass_sacked_yds,0,,,,,
player,201109250car,jax,HillJa00,pass_long,0,,,,,
player,201109250car,jax,HillJa00,pass_rating,,,,,,
player,201109250car,jax,HillJa00,rush_att,0,,,,,
player,201109250car,jax,HillJa00,rush_yds,0,,,,,
player,201109250car,jax,HillJa00,rush_td,0,,,,,
player,201109250car,jax,HillJa00,rush_long,0,,,,,
player,201109250car,jax,HillJa00,targets,5,,,,,
player,201109250car,jax,HillJa00,rec,1,,,,,
player,201109250car,jax,HillJa00,rec_yds,5,,,,,
player,201109250car,jax,HillJa00,rec_td,0,,,,,
player,201109250car,jax,HillJa00,rec_long,5,,,,,
player,201109250car,jax,HillJa00,fumbles,0,,,,,
player,201109250car,jax,HillJa00,fumbles_lost,,,,,,
player,201109250car,jax,TurkMa20,pass_cmp,0,,,,,
player,201109250car,jax,TurkMa20,pass_att,0,,,,,
player,201109250car,jax,TurkMa20,pass_yds,0,,,,,
player,201109250car,jax,TurkMa20,pass_td,0,,,,,
player,201109250car,jax,TurkMa20,pass_int,0,,,,,
player,201109250car,jax,TurkMa20,pass_sacked,0,,,,,
player,201109250car,jax,TurkMa20,pass_sacked_yds,0,,,,,
player,201109250car,jax,TurkMa20,pass_long,0,,,,,
player,201109250car,jax,TurkMa20,pass_rating,,,,,,
player,201109250car,jax,TurkMa20,rush_att,1,,,,,
player,201109250car,jax,TurkMa20,rush_yds,0,,,,,
player,201109250car,jax,TurkMa20,rush_td,0,,,,,
player,201109250car,jax,TurkMa20,rush_long,0,,,,,
player,201109250car,jax,TurkMa20,targets,0,,,,,
player,201109250car,jax,TurkMa20,rec,0,,,,,
player,201109250car,jax,TurkMa20,rec_yds,0,,,,,
player,201109250car,jax,TurkMa20,rec_td,0,,,,,
player,201109250car,jax,TurkMa20,rec_long,0,,,,,
player,201109250car,jax,TurkMa20,fumbles,1,,,,,
player,201109250car,jax,TurkMa20,fumbles_lost,0,,,,,
player,201109250car,jax,ShorCe00,pass_cmp,0,,,,,
player,201109250car,jax,ShorCe00,pass_att,0,,,,,
player,201109250car,jax,ShorCe00,pass_yds,0,,,,,
player,201109250car,jax,ShorCe00,pass_td,0,,,,,
player,201109250car,jax,ShorCe00,pass_int,0,,,,,
player,201109250car,jax,ShorCe00,pass_sacked,0,,,,,
player,201109250car,jax,ShorCe00,pass_sacked_yds,0,,,,,
player,201109250car,jax,ShorCe00,pass_long,0,,,,,
player,201109250car,jax,ShorCe00,pass_rating,,,,,,
player,201109250car,jax,ShorCe00,rush_att,0,,,,,
player,201109250car,jax,ShorCe00,rush_yds,0,,,,,
player,201109250car,jax,ShorCe00,rush_td,0,,,,,
player,201109250car,jax,ShorCe00,rush_long,0,,,,,
player,201109250car,jax,ShorCe00,targets,1,,,,,
player,201109250car,jax,ShorCe00,rec,0,,,,,
player,201109250car,jax,ShorCe00,rec_yds,0,,,,,
player,201109250car,jax,ShorCe00,rec_td,0,,,,,
player,201109250car,jax,ShorCe00,rec_long,0,,,,,
player,201109250car,jax,ShorCe00,fumbles,0,,,,,
player,201109250car,jax,ShorCe00,fumbles_lost,,,,,,
player,201109250car,car,NewtCa00,pass_cmp,18,,,,,
player,201109250car,car,NewtCa00,pass_att,34,,,,,
player,201109250car,car,NewtCa00,pass_yds,158,,,,,
player,201109250car,car,NewtCa00,pass_td,1,,,,,
player,201109250car,car,NewtCa00,pass_int,0,,,,,
player,201109250car,car,NewtCa00,pass_sacked,0,,,,,
