game,2011,6,20111016,201110160nyg,buf,"Buffalo Bills",24,nyg,"New York Giants",27
team,201110160nyg,buf,First Downs,17,,,,,,
team,201110160nyg,nyg,First Downs,24,,,,,,
team,201110160nyg,buf,Rush-Yds-TDs,23-155-1,,,,,,
team,201110160nyg,nyg,Rush-Yds-TDs,33-122-3,,,,,,
team,201110160nyg,buf,Cmp-Att-Yd-TD-INT,21-30-244-2-2,,,,,,
team,201110160nyg,nyg,Cmp-Att-Yd-TD-INT,21-32-292-0-0,,,,,,
team,201110160nyg,buf,Sacked-Yards,3-25,,,,,,
team,201110160nyg,nyg,Sacked-Yards,0-0,,,,,,
team,201110160nyg,buf,Net Pass Yards,219,,,,,,
team,201110160nyg,nyg,Net Pass Yards,292,,,,,,
team,201110160nyg,buf,Total Yards,374,,,,,,
team,201110160nyg,nyg,Total Yards,414,,,,,,
team,201110160nyg,buf,Fumbles-Lost,1-0,,,,,,
team,201110160nyg,nyg,Fumbles-Lost,0-0,,,,,,
team,201110160nyg,buf,Turnovers,2,,,,,,
team,201110160nyg,nyg,Turnovers,0,,,,,,
team,201110160nyg,buf,Penalties-Yards,7-75,,,,,,
team,201110160nyg,nyg,Penalties-Yards,7-79,,,,,,
team,201110160nyg,buf,Third Down Conv.,5-11,,,,,,
team,201110160nyg,nyg,Third Down Conv.,5-11,,,,,,
team,201110160nyg,buf,Fourth Down Conv.,1-2,,,,,,
team,201110160nyg,nyg,Fourth Down Conv.,0-0,,,,,,
team,201110160nyg,buf,Time of Possession,29:13,,,,,,
team,201110160nyg,nyg,Time of Possession,30:47,,,,,,
player,201110160nyg,buf,FitzRy00,pass_cmp,21,,,,,
player,201110160nyg,buf,FitzRy00,pass_att,30,,,,,
player,201110160nyg,buf,FitzRy00,pass_yds,244,,,,,
player,201110160nyg,buf,FitzRy00,pass_td,2,,,,,
player,201110160nyg,buf,FitzRy00,pass_int,2,,,,,
player,201110160nyg,buf,FitzRy00,pass_sacked,3,,,,,
player,201110160nyg,buf,FitzRy00,pass_sacked_yds,25,,,,,
player,201110160nyg,buf,FitzRy00,pass_long,60,,,,,
player,201110160nyg,buf,FitzRy00,pass_rating,88.7,,,,,
player,201110160nyg,buf,FitzRy00,rush_att,3,,,,,
player,201110160nyg,buf,FitzRy00,rush_yds,8,,,,,
player,201110160nyg,buf,FitzRy00,rush_td,0,,,,,
player,201110160nyg,buf,FitzRy00,rush_long,4,,,,,
player,201110160nyg,buf,FitzRy00,targets,0,,,,,
player,201110160nyg,buf,FitzRy00,rec,0,,,,,
player,201110160nyg,buf,FitzRy00,rec_yds,0,,,,,
player,201110160nyg,buf,FitzRy00,rec_td,0,,,,,
player,201110160nyg,buf,FitzRy00,rec_long,0,,,,,
player,201110160nyg,buf,FitzRy00,fumbles,1,,,,,
player,201110160nyg,buf,FitzRy00,fumbles_lost,0,,,,,
player,201110160nyg,buf,JackFr02,pass_cmp,0,,,,,
player,201110160nyg,buf,JackFr02,pass_att,0,,,,,
player,201110160nyg,buf,JackFr02,pass_yds,0,,,,,
player,201110160nyg,buf,JackFr02,pass_td,0,,,,,
player,201110160nyg,buf,JackFr02,pass_int,0,,,,,
player,201110160nyg,buf,JackFr02,pass_sacked,0,,,,,
player,201110160nyg,buf,JackFr02,pass_sacked_yds,0,,,,,
player,201110160nyg,buf,JackFr02,pass_long,0,,,,,
player,201110160nyg,buf,JackFr02,pass_rating,,,,,,
player,201110160nyg,buf,JackFr02,rush_att,16,,,,,
player,201110160nyg,buf,JackFr02,rush_yds,121,,,,,
player,201110160nyg,buf,JackFr02,rush_td,1,,,,,
player,201110160nyg,buf,JackFr02,rush_long,80,,,,,
player,201110160nyg,buf,JackFr02,targets,6,,,,,
player,201110160nyg,buf,JackFr02,rec,5,,,,,
player,201110160nyg,buf,JackFr02,rec_yds,47,,,,,
player,201110160nyg,buf,JackFr02,rec_td,0,,,,,
player,201110160nyg,buf,JackFr02,rec_long,19,,,,,
player,201110160nyg,buf,JackFr02,fumbles,0,,,,,
player,201110160nyg,buf,JackFr02,fumbles_lost,,,,,,
player,201110160nyg,buf,SmitBr01,pass_cmp,0,,,,,
player,201110160nyg,buf,SmitBr01,pass_att,0,,,,,
player,201110160nyg,buf,SmitBr01,pass_yds,0,,,,,
player,201110160nyg,buf,SmitBr01,pass_td,0,,,,,
player,201110160nyg,buf,SmitBr01,pass_int,0,,,,,
player,201110160nyg,buf,SmitBr01,pass_sacked,0,,,,,
player,201110160nyg,buf,SmitBr01,pass_sacked_yds,0,,,,,
player,201110160nyg,buf,SmitBr01,pass_long,0,,,,,
player,201110160nyg,buf,SmitBr01,pass_rating,,,,,,
player,201110160nyg,buf,SmitBr01,rush_att,4,,,,,
player,201110160nyg,buf,SmitBr01,rush_yds,26,,,,,
player,201110160nyg,buf,SmitBr01,rush_td,0,,,,,
player,201110160nyg,buf,SmitBr01,rush_long,18,,,,,
player,201110160nyg,buf,SmitBr01,targets,0,,,,,
player,201110160nyg,buf,SmitBr01,rec,0,,,,,
player,201110160nyg,buf,SmitBr01,rec_yds,0,,,,,
player,201110160nyg,buf,SmitBr01,rec_td,0,,,,,
player,201110160nyg,buf,SmitBr01,rec_long,0,,,,,
player,201110160nyg,buf,SmitBr01,fumbles,0,,,,,
player,201110160nyg,buf,SmitBr01,fumbles_lost,,,,,,
player,201110160nyg,buf,NelsDa01,pass_cmp,0,,,,,
player,201110160nyg,buf,NelsDa01,pass_att,0,,,,,
player,201110160nyg,buf,NelsDa01,pass_yds,0,,,,,
player,201110160nyg,buf,NelsDa01,pass_td,0,,,,,
player,201110160nyg,buf,NelsDa01,pass_int,0,,,,,
player,201110160nyg,buf,NelsDa01,pass_sacked,0,,,,,
