game,2011,13,20111204,201112040chi,kan,"Kansas City Chiefs",10,chi,"Chicago Bears",3
team,201112040chi,kan,First Downs,13,,,,,,
team,201112040chi,chi,First Downs,11,,,,,,
team,201112040chi,kan,Rush-Yds-TDs,37-113-0,,,,,,
team,201112040chi,chi,Rush-Yds-TDs,24-93-0,,,,,,
team,201112040chi,kan,Cmp-Att-Yd-TD-INT,17-31-157-1-0,,,,,,
team,201112040chi,chi,Cmp-Att-Yd-TD-INT,11-24-133-0-3,,,,,,
team,201112040chi,kan,Sacked-Yards,2-18,,,,,,
team,201112040chi,chi,Sacked-Yards,7-45,,,,,,
team,201112040chi,kan,Net Pass Yards,139,,,,,,
team,201112040chi,chi,Net Pass Yards,88,,,,,,
team,201112040chi,kan,Total Yards,252,,,,,,
team,201112040chi,chi,Total Yards,181,,,,,,
team,201112040chi,kan,Fumbles-Lost,2-1,,,,,,
team,201112040chi,chi,Fumbles-Lost,2-0,,,,,,
team,201112040chi,kan,Turnovers,1,,,,,,
team,201112040chi,chi,Turnovers,3,,,,,,
team,201112040chi,kan,Penalties-Yards,8-60,,,,,,
team,201112040chi,chi,Penalties-Yards,5-35,,,,,,
team,201112040chi,kan,Third Down Conv.,7-20,,,,,,
team,201112040chi,chi,Third Down Conv.,0-11,,,,,,
team,201112040chi,kan,Fourth Down Conv.,1-1,,,,,,
team,201112040chi,chi,Fourth Down Conv.,0-2,,,,,,
team,201112040chi,kan,Time of Possession,32:42,,,,,,
team,201112040chi,chi,Time of Possession,27:18,,,,,,
player,201112040chi,kan,PalkTy00,pass_cmp,17,,,,,
player,201112040chi,kan,PalkTy00,pass_att,30,,,,,
player,201112040chi,kan,PalkTy00,pass_yds,157,,,,,
player,201112040chi,kan,PalkTy00,pass_td,1,,,,,
player,201112040chi,kan,PalkTy00,pass_int,0,,,,,
player,201112040chi,kan,PalkTy00,pass_sacked,2,,,,,
player,201112040chi,kan,PalkTy00,pass_sacked_yds,18,,,,,
player,201112040chi,kan,PalkTy00,pass_long,38,,,,,
player,201112040chi,kan,PalkTy00,pass_rating,82.2,,,,,
player,201112040chi,kan,PalkTy00,rush_att,1,,,,,
player,201112040chi,kan,PalkTy00,rush_yds,1,,,,,
player,201112040chi,kan,PalkTy00,rush_td,0,,,,,
player,201112040chi,kan,PalkTy00,rush_long,1,,,,,
player,201112040chi,kan,PalkTy00,targets,0,,,,,
player,201112040chi,kan,PalkTy00,rec,0,,,,,
player,201112040chi,kan,PalkTy00,rec_yds,0,,,,,
player,201112040chi,kan,PalkTy00,rec_td,0,,,,,
player,201112040chi,kan,PalkTy00,rec_long,0,,,,,
player,201112040chi,kan,PalkTy00,fumbles,0,,,,,
player,201112040chi,kan,PalkTy00,fumbles_lost,,,,,,
player,201112040chi,kan,OrtoKy00,pass_cmp,0,,,,,
player,201112040chi,kan,OrtoKy00,pass_att,1,,,,,
player,201112040chi,kan,OrtoKy00,pass_yds,0,,,,,
player,201112040chi,kan,OrtoKy00,pass_td,0,,,,,
player,201112040chi,kan,OrtoKy00,pass_int,0,,,,,
player,201112040chi,kan,OrtoKy00,pass_sacked,0,,,,,
player,201112040chi,kan,OrtoKy00,pass_sacked_yds,0,,,,,
player,201112040chi,kan,OrtoKy00,pass_long,0,,,,,
player,201112040chi,kan,OrtoKy00,pass_rating,39.6,,,,,
player,201112040chi,kan,OrtoKy00,rush_att,0,,,,,
player,201112040chi,kan,OrtoKy00,rush_yds,0,,,,,
player,201112040chi,kan,OrtoKy00,rush_td,0,,,,,
player,201112040chi,kan,OrtoKy00,rush_long,0,,,,,
player,201112040chi,kan,OrtoKy00,targets,0,,,,,
player,201112040chi,kan,OrtoKy00,rec,0,,,,,
player,201112040chi,kan,OrtoKy00,rec_yds,0,,,,,
player,201112040chi,kan,OrtoKy00,rec_td,0,,,,,
player,201112040chi,kan,OrtoKy00,rec_long,0,,,,,
player,201112040chi,kan,OrtoKy00,fumbles,0,,,,,
player,201112040chi,kan,OrtoKy00,fumbles_lost,,,,,,
player,201112040chi,kan,McClDe00,pass_cmp,0,,,,,
player,201112040chi,kan,McClDe00,pass_att,0,,,,,
player,201112040chi,kan,McClDe00,pass_yds,0,,,,,
player,201112040chi,kan,McClDe00,pass_td,0,,,,,
player,201112040chi,kan,McClDe00,pass_int,0,,,,,
player,201112040chi,kan,McClDe00,pass_sacked,0,,,,,
player,201112040chi,kan,McClDe00,pass_sacked_yds,0,,,,,
player,201112040chi,kan,McClDe00,pass_long,0,,,,,
player,201112040chi,kan,McClDe00,pass_rating,,,,,,
player,201112040chi,kan,McClDe00,rush_att,9,,,,,
player,201112040chi,kan,McClDe00,rush_yds,61,,,,,
player,201112040chi,kan,McClDe00,rush_td,0,,,,,
player,201112040chi,kan,McClDe00,rush_long,32,,,,,
player,201112040chi,kan,McClDe00,targets,5,,,,,
player,201112040chi,kan,McClDe00,rec,4,,,,,
player,201112040chi,kan,McClDe00,rec_yds,46,,,,,
player,201112040chi,kan,McClDe00,rec_td,1,,,,,
player,201112040chi,kan,McClDe00,rec_long,38,,,,,
player,201112040chi,kan,McClDe00,fumbles,0,,,,,
player,201112040chi,kan,McClDe00,fumbles_lost,,,,,,
player,201112040chi,kan,JoneTh00,pass_cmp,0,,,,,
player,201112040chi,kan,JoneTh00,pass_att,0,,,,,
player,201112040chi,kan,JoneTh00,pass_yds,0,,,,,
player,201112040chi,kan,JoneTh00,pass_td,0,,,,,
player,201112040chi,kan,JoneTh00,pass_int,0,,,,,
player,201112040chi,kan,JoneTh00,pass_sacked,0,,,,,
player,201112040chi,kan,JoneTh00,pass_sacked_yds,0,,,,,
player,201112040chi,kan,JoneTh00,pass_long,0,,,,,
player,201112040chi,kan,JoneTh00,pass_rating,,,,,,
player,201112040chi,kan,JoneTh00,rush_att,16,,,,,
player,201112040chi,kan,JoneTh00,rush_yds,36,,,,,
player,201112040chi,kan,JoneTh00,rush_td,0,,,,,
player,201112040chi,kan,JoneTh00,rush_long,8,,,,,
player,201112040chi,kan,JoneTh00,targets,0,,,,,
player,201112040chi,kan,JoneTh00,rec,0,,,,,
player,201112040chi,kan,JoneTh00,rec_yds,0,,,,,
player,201112040chi,kan,JoneTh00,rec_td,0,,,,,
player,201112040chi,kan,JoneTh00,rec_long,0,,,,,
player,201112040chi,kan,JoneTh00,fumbles,0,,,,,
player,201112040chi,kan,JoneTh00,fumbles_lost,,,,,,
player,201112040chi,kan,BattJa00,pass_cmp,0,,,,,
player,201112040chi,kan,BattJa00,pass_att,0,,,,,
player,201112040chi,kan,BattJa00,pass_yds,0,,,,,
player,201112040chi,kan,BattJa00,pass_td,0,,,,,
player,201112040chi,kan,BattJa00,pass_int,0,,,,,
player,201112040chi,kan,BattJa00,pass_sacked,0,,,,,
player,201112040chi,kan,BattJa00,pass_sacked_yds,0,,,,,
player,201112040chi,kan,BattJa00,pass_long,0,,,,,
player,201112040chi,kan,BattJa00,pass_rating,,,,,,
player,201112040chi,kan,BattJa00,rush_att,11,,,,,
player,201112040chi,kan,BattJa00,rush_yds,15,,,,,
player,201112040chi,kan,BattJa00,rush_td,0,,,,,
player,201112040chi,kan,BattJa00,rush_long,5,,,,,
player,201112040chi,kan,BattJa00,targets,0,,,,,
player,201112040chi,kan,BattJa00,rec,0,,,,,
player,201112040chi,kan,BattJa00,rec_yds,0,,,,,
player,201112040chi,kan,BattJa00,rec_td,0,,,,,
player,201112040chi,kan,BattJa00,rec_long,0,,,,,
player,201112040chi,kan,BattJa00,fumbles,0,,,,,
player,201112040chi,kan,BattJa00,fumbles_lost,,,,,,
player,201112040chi,kan,BoweDw00,pass_cmp,0,,,,,
player,201112040chi,kan,BoweDw00,pass_att,0,,,,,
player,201112040chi,kan,BoweDw00,pass_yds,0,,,,,
player,201112040chi,kan,BoweDw00,pass_td,0,,,,,
player,201112040chi,kan,BoweDw00,pass_int,0,,,,,
player,201112040chi,kan,BoweDw00,pass_sacked,0,,,,,
player,201112040chi,kan,BoweDw00,pass_sacked_yds,0,,,,,
player,201112040chi,kan,BoweDw00,pass_long,0,,,,,
player,201112040chi,kan,BoweDw00,pass_rating,,,,,,
player,201112040chi,kan,BoweDw00,rush_att,0,,,,,
player,201112040chi,kan,BoweDw00,rush_yds,0,,,,,
player,201112040chi,kan,BoweDw00,rush_td,0,,,,,
player,201112040chi,kan,BoweDw00,rush_long,0,,,,,
player,201112040chi,kan,BoweDw00,targets,9,,,,,
player,201112040chi,kan,BoweDw00,rec,4,,,,,
player,201112040chi,kan,BoweDw00,rec_yds,49,,,,,
player,201112040chi,kan,BoweDw00,rec_td,0,,,,,
player,201112040chi,kan,BoweDw00,rec_long,14,,,,,
player,201112040chi,kan,BoweDw00,fumbles,1,,,,,
player,201112040chi,kan,BoweDw00,fumbles_lost,0,,,,,
player,201112040chi,kan,BreaSt00,pass_cmp,0,,,,,
player,201112040chi,kan,BreaSt00,pass_att,0,,,,,
player,201112040chi,kan,BreaSt00,pass_yds,0,,,,,
player,201112040chi,kan,BreaSt00,pass_td,0,,,,,
player,201112040chi,kan,BreaSt00,pass_int,0,,,,,
player,201112040chi,kan,BreaSt00,pass_sacked,0,,,,,
player,201112040chi,kan,BreaSt00,pass_sacked_yds,0,,,,,
player,201112040chi,kan,BreaSt00,pass_long,0,,,,,
player,201112040chi,kan,BreaSt00,pass_rating,,,,,,
player,201112040chi,kan,BreaSt00,rush_att,0,,,,,
player,201112040chi,kan,BreaSt00,rush_yds,0,,,,,
player,201112040chi,kan,BreaSt00,rush_td,0,,,,,
player,201112040chi,kan,BreaSt00,rush_long,0,,,,,
player,201112040chi,kan,BreaSt00,targets,7,,,,,
player,201112040chi,kan,BreaSt00,rec,5,,,,,
player,201112040chi,kan,BreaSt00,rec_yds,41,,,,,
player,201112040chi,kan,BreaSt00,rec_td,0,,,,,
player,201112040chi,kan,BreaSt00,rec_long,19,,,,,
player,201112040chi,kan,BreaSt00,fumbles,0,,,,,
player,201112040chi,kan,BreaSt00,fumbles_lost,,,,,,
player,201112040chi,kan,CoppTe00,pass_cmp,0,,,,,
player,201112040chi,kan,CoppTe00,pass_att,0,,,,,
player,201112040chi,kan,CoppTe00,pass_yds,0,,,,,
player,201112040chi,kan,CoppTe00,pass_td,0,,,,,
player,201112040chi,kan,CoppTe00,pass_int,0,,,,,
player,201112040chi,kan,CoppTe00,pass_sacked,0,,,,,
player,201112040chi,kan,CoppTe00,pass_sacked_yds,0,,,,,
player,201112040chi,kan,CoppTe00,pass_long,0,,,,,
player,201112040chi,kan,CoppTe00,pass_rating,,,,,,
player,201112040chi,kan,CoppTe00,rush_att,0,,,,,
player,201112040chi,kan,CoppTe00,rush_yds,0,,,,,
player,201112040chi,kan,CoppTe00,rush_td,0,,,,,
player,201112040chi,kan,CoppTe00,rush_long,0,,,,,
player,201112040chi,kan,CoppTe00,targets,2,,,,,
player,201112040chi,kan,CoppTe00,rec,1,,,,,
player,201112040chi,kan,CoppTe00,rec_yds,10,,,,,
player,201112040chi,kan,CoppTe00,rec_td,0,,,,,
player,201112040chi,kan,CoppTe00,rec_long,10,,,,,
player,201112040chi,kan,CoppTe00,fumbles,0,,,,,
player,201112040chi,kan,CoppTe00,fumbles_lost,,,,,,
player,201112040chi,kan,BaldJo00,pass_cmp,0,,,,,
player,201112040chi,kan,BaldJo00,pass_att,0,,,,,
player,201112040chi,kan,BaldJo00,pass_yds,0,,,,,
player,201112040chi,kan,BaldJo00,pass_td,0,,,,,
player,201112040chi,kan,BaldJo00,pass_int,0,,,,,
player,201112040chi,kan,BaldJo00,pass_sacked,0,,,,,
player,201112040chi,kan,BaldJo00,pass_sacked_yds,0,,,,,
player,201112040chi,kan,BaldJo00,pass_long,0,,,,,
player,201112040chi,kan,BaldJo00,pass_rating,,,,,,
player,201112040chi,kan,BaldJo00,rush_att,0,,,,,
player,201112040chi,kan,BaldJo00,rush_yds,0,,,,,
player,201112040chi,kan,BaldJo00,rush_td,0,,,,,
player,201112040chi,kan,BaldJo00,rush_long,0,,,,,
player,201112040chi,kan,BaldJo00,targets,4,,,,,
player,201112040chi,kan,BaldJo00,rec,1,,,,,
player,201112040chi,kan,BaldJo00,rec_yds,7,,,,,
player,201112040chi,kan,BaldJo00,rec_td,0,,,,,
player,201112040chi,kan,BaldJo00,rec_long,7,,,,,
player,201112040chi,kan,BaldJo00,fumbles,0,,,,,
player,201112040chi,kan,BaldJo00,fumbles_lost,,,,,,
player,201112040chi,kan,McClLe00,pass_cmp,0,,,,,
player,201112040chi,kan,McClLe00,pass_att,0,,,,,
player,201112040chi,kan,McClLe00,pass_yds,0,,,,,
player,201112040chi,kan,McClLe00,pass_td,0,,,,,
player,201112040chi,kan,McClLe00,pass_int,0,,,,,
player,201112040chi,kan,McClLe00,pass_sacked,0,,,,,
player,201112040chi,kan,McClLe00,pass_sacked_yds,0,,,,,
player,201112040chi,kan,McClLe00,pass_long,0,,,,,
player,201112040chi,kan,McClLe00,pass_rating,,,,,,
player,201112040chi,kan,McClLe00,rush_att,0,,,,,
player,201112040chi,kan,McClLe00,rush_yds,0,,,,,
player,201112040chi,kan,McClLe00,rush_td,0,,,,,
player,201112040chi,kan,McClLe00,rush_long,0,,,,,
player,201112040chi,kan,McClLe00,targets,1,,,,,
player,201112040chi,kan,McClLe00,rec,1,,,,,
player,201112040chi,kan,McClLe00,rec_yds,3,,,,,
player,201112040chi,kan,McClLe00,rec_td,0,,,,,
player,201112040chi,kan,McClLe00,rec_long,3,,,,,
player,201112040chi,kan,McClLe00,fumbles,0,,,,,
player,201112040chi,kan,McClLe00,fumbles_lost,,,,,,
player,201112040chi,kan,UrbaJe00,pass_cmp,0,,,,,
player,201112040chi,kan,UrbaJe00,pass_att,0,,,,,
player,201112040chi,kan,UrbaJe00,pass_yds,0,,,,,
player,201112040chi,kan,UrbaJe00,pass_td,0,,,,,
player,201112040chi,kan,UrbaJe00,pass_int,0,,,,,
player,201112040chi,kan,UrbaJe00,pass_sacked,0,,,,,
player,201112040chi,kan,UrbaJe00,pass_sacked_yds,0,,,,,
player,201112040chi,kan,UrbaJe00,pass_long,0,,,,,
player,201112040chi,kan,UrbaJe00,pass_rating,,,,,,
player,201112040chi,kan,UrbaJe00,rush_att,0,,,,,
player,201112040chi,kan,UrbaJe00,rush_yds,0,,,,,
player,201112040chi,kan,UrbaJe00,rush_td,0,,,,,
player,201112040chi,kan,UrbaJe00,rush_long,0,,,,,
player,201112040chi,kan,UrbaJe00,targets,1,,,,,
player,201112040chi,kan,UrbaJe00,rec,1,,,,,
player,201112040chi,kan,UrbaJe00,rec_yds,1,,,,,
player,201112040chi,kan,UrbaJe00,rec_td,0,,,,,
player,201112040chi,kan,UrbaJe00,rec_long,1,,,,,
player,201112040chi,kan,UrbaJe00,fumbles,0,,,,,
player,201112040chi,kan,UrbaJe00,fumbles_lost,,,,,,
player,201112040chi,kan,HornJe00,pass_cmp,0,,,,,
player,201112040chi,kan,HornJe00,pass_att,0,,,,,
player,201112040chi,kan,HornJe00,pass_yds,0,,,,,
player,201112040chi,kan,HornJe00,pass_td,0,,,,,
player,201112040chi,kan,HornJe00,pass_int,0,,,,,
player,201112040chi,kan,HornJe00,pass_sacked,0,,,,,
player,201112040chi,kan,HornJe00,pass_sacked_yds,0,,,,,
player,201112040chi,kan,HornJe00,pass_long,0,,,,,
player,201112040chi,kan,HornJe00,pass_rating,,,,,,
player,201112040chi,kan,HornJe00,rush_att,0,,,,,
player,201112040chi,kan,HornJe00,rush_yds,0,,,,,
player,201112040chi,kan,HornJe00,rush_td,0,,,,,
player,201112040chi,kan,HornJe00,rush_long,0,,,,,
player,201112040chi,kan,HornJe00,targets,1,,,,,
player,201112040chi,kan,HornJe00,rec,0,,,,,
player,201112040chi,kan,HornJe00,rec_yds,0,,,,,
player,201112040chi,kan,HornJe00,rec_td,0,,,,,
player,201112040chi,kan,HornJe00,rec_long,0,,,,,
player,201112040chi,kan,HornJe00,fumbles,0,,,,,
player,201112040chi,kan,HornJe00,fumbles_lost,,,,,,
player,201112040chi,chi,HaniCa00,pass_cmp,11,,,,,
player,201112040chi,chi,HaniCa00,pass_att,24,,,,,
player,201112040chi,chi,HaniCa00,pass_yds,133,,,,,
player,201112040chi,chi,HaniCa00,pass_td,0,,,,,
player,201112040chi,chi,HaniCa00,pass_int,3,,,,,
player,201112040chi,chi,HaniCa00,pass_sacked,7,,,,,
player,201112040chi,chi,HaniCa00,pass_sacked_yds,45,,,,,
player,201112040chi,chi,HaniCa00,pass_long,28,,,,,
player,201112040chi,chi,HaniCa00,pass_rating,23.8,,,,,
player,201112040chi,chi,HaniCa00,rush_att,1,,,,,
player,201112040chi,chi,HaniCa00,rush_yds,3,,,,,
player,201112040chi,chi,HaniCa00,rush_td,0,,,,,
player,201112040chi,chi,HaniCa00,rush_long,3,,,,,
player,201112040chi,chi,HaniCa00,targets,0,,,,,
player,201112040chi,chi,HaniCa00,rec,0,,,,,
player,201112040chi,chi,HaniCa00,rec_yds,0,,,,,
player,201112040chi,chi,HaniCa00,rec_td,0,,,,,
player,201112040chi,chi,HaniCa00,rec_long,0,,,,,
player,201112040chi,chi,HaniCa00,fumbles,1,,,,,
player,201112040chi,chi,HaniCa00,fumbles_lost,0,,,,,
player,201112040chi,chi,BarbMa01,pass_cmp,0,,,,,
player,201112040chi,chi,BarbMa01,pass_att,0,,,,,
player,201112040chi,chi,BarbMa01,pass_yds,0,,,,,
player,201112040chi,chi,BarbMa01,pass_td,0,,,,,
player,201112040chi,chi,BarbMa01,pass_int,0,,,,,
player,201112040chi,chi,BarbMa01,pass_sacked,0,,,,,
player,201112040chi,chi,BarbMa01,pass_sacked_yds,0,,,,,
player,201112040chi,chi,BarbMa01,pass_long,0,,,,,
player,201112040chi,chi,BarbMa01,pass_rating,,,,,,
player,201112040chi,chi,BarbMa01,rush_att,14,,,,,
player,201112040chi,chi,BarbMa01,rush_yds,44,,,,,
player,201112040chi,chi,BarbMa01,rush_td,0,,,,,
player,201112040chi,chi,BarbMa01,rush_long,15,,,,,
player,201112040chi,chi,BarbMa01,targets,1,,,,,
player,201112040chi,chi,BarbMa01,rec,0,,,,,
player,201112040chi,chi,BarbMa01,rec_yds,0,,,,,
player,201112040chi,chi,BarbMa01,rec_td,0,,,,,
player,201112040chi,chi,BarbMa01,rec_long,0,,,,,
player,201112040chi,chi,BarbMa01,fumbles,0,,,,,
player,201112040chi,chi,BarbMa01,fumbles_lost,,,,,,
player,201112040chi,chi,BellKa00,pass_cmp,0,,,,,
player,201112040chi,chi,BellKa00,pass_att,0,,,,,
player,201112040chi,chi,BellKa00,pass_yds,0,,,,,
player,201112040chi,chi,BellKa00,pass_td,0,,,,,
