game,2011,7,20111023,201110230dal,ram,"St. Louis Rams",7,dal,"Dallas Cowboys",34
team,201110230dal,ram,First Downs,13,,,,,,
team,201110230dal,dal,First Downs,24,,,,,,
team,201110230dal,ram,Rush-Yds-TDs,21-70-1,,,,,,
team,201110230dal,dal,Rush-Yds-TDs,34-294-2,,,,,,
team,201110230dal,ram,Cmp-Att-Yd-TD-INT,20-33-196-0-1,,,,,,
team,201110230dal,dal,Cmp-Att-Yd-TD-INT,14-24-166-2-0,,,,,,
team,201110230dal,ram,Sacked-Yards,1-1,,,,,,
team,201110230dal,dal,Sacked-Yards,2-15,,,,,,
team,201110230dal,ram,Net Pass Yards,195,,,,,,
team,201110230dal,dal,Net Pass Yards,151,,,,,,
team,201110230dal,ram,Total Yards,265,,,,,,
team,201110230dal,dal,Total Yards,445,,,,,,
team,201110230dal,ram,Fumbles-Lost,2-1,,,,,,
team,201110230dal,dal,Fumbles-Lost,1-1,,,,,,
team,201110230dal,ram,Turnovers,2,,,,,,
team,201110230dal,dal,Turnovers,1,,,,,,
team,201110230dal,ram,Penalties-Yards,4-16,,,,,,
team,201110230dal,dal,Penalties-Yards,6-30,,,,,,
team,201110230dal,ram,Third Down Conv.,5-13,,,,,,
team,201110230dal,dal,Third Down Conv.,3-8,,,,,,
team,201110230dal,ram,Fourth Down Conv.,0-2,,,,,,
team,201110230dal,dal,Fourth Down Conv.,0-0,,,,,,
team,201110230dal,ram,Time of Possession,26:04,,,,,,
team,201110230dal,dal,Time of Possession,33:56,,,,,,
player,201110230dal,ram,FeelA.00,pass_cmp,20,,,,,
player,201110230dal,ram,FeelA.00,pass_att,33,,,,,
player,201110230dal,ram,FeelA.00,pass_yds,196,,,,,
player,201110230dal,ram,FeelA.00,pass_td,0,,,,,
player,201110230dal,ram,FeelA.00,pass_int,1,,,,,
player,201110230dal,ram,FeelA.00,pass_sacked,1,,,,,
player,201110230dal,ram,FeelA.00,pass_sacked_yds,1,,,,,
player,201110230dal,ram,FeelA.00,pass_long,34,,,,,
player,201110230dal,ram,FeelA.00,pass_rating,64.7,,,,,
player,201110230dal,ram,FeelA.00,rush_att,1,,,,,
player,201110230dal,ram,FeelA.00,rush_yds,-1,,,,,
player,201110230dal,ram,FeelA.00,rush_td,0,,,,,
player,201110230dal,ram,FeelA.00,rush_long,-1,,,,,
player,201110230dal,ram,FeelA.00,targets,0,,,,,
player,201110230dal,ram,FeelA.00,rec,0,,,,,
player,201110230dal,ram,FeelA.00,rec_yds,0,,,,,
player,201110230dal,ram,FeelA.00,rec_td,0,,,,,
player,201110230dal,ram,FeelA.00,rec_long,0,,,,,
player,201110230dal,ram,FeelA.00,fumbles,1,,,,,
player,201110230dal,ram,FeelA.00,fumbles_lost,0,,,,,
player,201110230dal,ram,JackSt00,pass_cmp,0,,,,,
