game,2011,9,20111107,201111070phi,chi,"Chicago Bears",30,phi,"Philadelphia Eagles",24
team,201111070phi,chi,First Downs,22,,,,,,
team,201111070phi,phi,First Downs,20,,,,,,
team,201111070phi,chi,Rush-Yds-TDs,34-164-1,,,,,,
team,201111070phi,phi,Rush-Yds-TDs,23-119-2,,,,,,
team,201111070phi,chi,Cmp-Att-Yd-TD-INT,18-32-208-2-0,,,,,,
team,201111070phi,phi,Cmp-Att-Yd-TD-INT,21-39-213-0-1,,,,,,
team,201111070phi,chi,Sacked-Yards,0-0,,,,,,
team,201111070phi,phi,Sacked-Yards,1-2,,,,,,
team,201111070phi,chi,Net Pass Yards,208,,,,,,
team,201111070phi,phi,Net Pass Yards,211,,,,,,
team,201111070phi,chi,Total Yards,372,,,,,,
team,201111070phi,phi,Total Yards,330,,,,,,
team,201111070phi,chi,Fumbles-Lost,3-2,,,,,,
team,201111070phi,phi,Fumbles-Lost,1-1,,,,,,
team,201111070phi,chi,Turnovers,2,,,,,,
team,201111070phi,phi,Turnovers,2,,,,,,
team,201111070phi,chi,Penalties-Yards,6-53,,,,,,
team,201111070phi,phi,Penalties-Yards,6-44,,,,,,
team,201111070phi,chi,Third Down Conv.,7-14,,,,,,
team,201111070phi,phi,Third Down Conv.,8-14,,,,,,
team,201111070phi,chi,Fourth Down Conv.,0-0,,,,,,
team,201111070phi,phi,Fourth Down Conv.,1-3,,,,,,
team,201111070phi,chi,Time of Possession,33:27,,,,,,
team,201111070phi,phi,Time of Possession,26:33,,,,,,
player,201111070phi,chi,CutlJa00,pass_cmp,18,,,,,
player,201111070phi,chi,CutlJa00,pass_att,32,,,,,
player,201111070phi,chi,CutlJa00,pass_yds,208,,,,,
player,201111070phi,chi,CutlJa00,pass_td,2,,,,,
player,201111070phi,chi,CutlJa00,pass_int,0,,,,,
player,201111070phi,chi,CutlJa00,pass_sacked,0,,,,,
player,201111070phi,chi,CutlJa00,pass_sacked_yds,0,,,,,
player,201111070phi,chi,CutlJa00,pass_long,28,,,,,
player,201111070phi,chi,CutlJa00,pass_rating,96.9,,,,,
player,201111070phi,chi,CutlJa00,rush_att,1,,,,,
player,201111070phi,chi,CutlJa00,rush_yds,0,,,,,
player,201111070phi,chi,CutlJa00,rush_td,0,,,,,
player,201111070phi,chi,CutlJa00,rush_long,0,,,,,
player,201111070phi,chi,CutlJa00,targets,0,,,,,
player,201111070phi,chi,CutlJa00,rec,0,,,,,
player,201111070phi,chi,CutlJa00,rec_yds,0,,,,,
player,201111070phi,chi,CutlJa00,rec_td,0,,,,,
player,201111070phi,chi,CutlJa00,rec_long,0,,,,,
player,201111070phi,chi,CutlJa00,fumbles,1,,,,,
player,201111070phi,chi,CutlJa00,fumbles_lost,0,,,,,
player,201111070phi,chi,FortMa00,pass_cmp,0,,,,,
player,201111070phi,chi,FortMa00,pass_att,0,,,,,
player,201111070phi,chi,FortMa00,pass_yds,0,,,,,
player,201111070phi,chi,FortMa00,pass_td,0,,,,,
player,201111070phi,chi,FortMa00,pass_int,0,,,,,
player,201111070phi,chi,FortMa00,pass_sacked,0,,,,,
player,201111070phi,chi,FortMa00,pass_sacked_yds,0,,,,,
player,201111070phi,chi,FortMa00,pass_long,0,,,,,
player,201111070phi,chi,FortMa00,pass_rating,,,,,,
player,201111070phi,chi,FortMa00,rush_att,24,,,,,
player,201111070phi,chi,FortMa00,rush_yds,133,,,,,
player,201111070phi,chi,FortMa00,rush_td,0,,,,,
player,201111070phi,chi,FortMa00,rush_long,25,,,,,
player,201111070phi,chi,FortMa00,targets,5,,,,,
player,201111070phi,chi,FortMa00,rec,3,,,,,
player,201111070phi,chi,FortMa00,rec_yds,17,,,,,
player,201111070phi,chi,FortMa00,rec_td,0,,,,,
player,201111070phi,chi,FortMa00,rec_long,10,,,,,
player,201111070phi,chi,FortMa00,fumbles,2,,,,,
player,201111070phi,chi,FortMa00,fumbles_lost,2,,,,,
player,201111070phi,chi,BarbMa01,pass_cmp,0,,,,,
player,201111070phi,chi,BarbMa01,pass_att,0,,,,,
player,201111070phi,chi,BarbMa01,pass_yds,0,,,,,
player,201111070phi,chi,BarbMa01,pass_td,0,,,,,
player,201111070phi,chi,BarbMa01,pass_int,0,,,,,
player,201111070phi,chi,BarbMa01,pass_sacked,0,,,,,
player,201111070phi,chi,BarbMa01,pass_sacked_yds,0,,,,,
player,201111070phi,chi,BarbMa01,pass_long,0,,,,,
player,201111070phi,chi,BarbMa01,pass_rating,,,,,,
player,201111070phi,chi,BarbMa01,rush_att,9,,,,,
player,201111070phi,chi,BarbMa01,rush_yds,31,,,,,
player,201111070phi,chi,BarbMa01,rush_td,1,,,,,
player,201111070phi,chi,BarbMa01,rush_long,17,,,,,
player,201111070phi,chi,BarbMa01,targets,1,,,,,
player,201111070phi,chi,BarbMa01,rec,1,,,,,
player,201111070phi,chi,BarbMa01,rec_yds,8,,,,,
player,201111070phi,chi,BarbMa01,rec_td,0,,,,,
player,201111070phi,chi,BarbMa01,rec_long,8,,,,,
player,201111070phi,chi,BarbMa01,fumbles,0,,,,,
player,201111070phi,chi,BarbMa01,fumbles_lost,,,,,,
player,201111070phi,chi,BennEa00,pass_cmp,0,,,,,
player,201111070phi,chi,BennEa00,pass_att,0,,,,,
player,201111070phi,chi,BennEa00,pass_yds,0,,,,,
player,201111070phi,chi,BennEa00,pass_td,0,,,,,
player,201111070phi,chi,BennEa00,pass_int,0,,,,,
player,201111070phi,chi,BennEa00,pass_sacked,0,,,,,
player,201111070phi,chi,BennEa00,pass_sacked_yds,0,,,,,
player,201111070phi,chi,BennEa00,pass_long,0,,,,,
player,201111070phi,chi,BennEa00,pass_rating,,,,,,
player,201111070phi,chi,BennEa00,rush_att,0,,,,,
player,201111070phi,chi,BennEa00,rush_yds,0,,,,,
player,201111070phi,chi,BennEa00,rush_td,0,,,,,
player,201111070phi,chi,BennEa00,rush_long,0,,,,,
player,201111070phi,chi,BennEa00,targets,5,,,,,
player,201111070phi,chi,BennEa00,rec,5,,,,,
player,201111070phi,chi,BennEa00,rec_yds,95,,,,,
player,201111070phi,chi,BennEa00,rec_td,1,,,,,
player,201111070phi,chi,BennEa00,rec_long,28,,,,,
player,201111070phi,chi,BennEa00,fumbles,0,,,,,
player,201111070phi,chi,BennEa00,fumbles_lost,,,,,,
player,201111070phi,chi,WillRo04,pass_cmp,0,,,,,
player,201111070phi,chi,WillRo04,pass_att,0,,,,,
player,201111070phi,chi,WillRo04,pass_yds,0,,,,,
player,201111070phi,chi,WillRo04,pass_td,0,,,,,
player,201111070phi,chi,WillRo04,pass_int,0,,,,,
player,201111070phi,chi,WillRo04,pass_sacked,0,,,,,
player,201111070phi,chi,WillRo04,pass_sacked_yds,0,,,,,
player,201111070phi,chi,WillRo04,pass_long,0,,,,,
player,201111070phi,chi,WillRo04,pass_rating,,,,,,
player,201111070phi,chi,WillRo04,rush_att,0,,,,,
player,201111070phi,chi,WillRo04,rush_yds,0,,,,,
player,201111070phi,chi,WillRo04,rush_td,0,,,,,
player,201111070phi,chi,WillRo04,rush_long,0,,,,,
player,201111070phi,chi,WillRo04,targets,6,,,,,
player,201111070phi,chi,WillRo04,rec,3,,,,,
player,201111070phi,chi,WillRo04,rec_yds,46,,,,,
player,201111070phi,chi,WillRo04,rec_td,0,,,,,
player,201111070phi,chi,WillRo04,rec_long,18,,,,,
player,201111070phi,chi,WillRo04,fumbles,0,,,,,
player,201111070phi,chi,WillRo04,fumbles_lost,,,,,,
player,201111070phi,chi,KnoxJo00,pass_cmp,0,,,,,
player,201111070phi,chi,KnoxJo00,pass_att,0,,,,,
player,201111070phi,chi,KnoxJo00,pass_yds,0,,,,,
player,201111070phi,chi,KnoxJo00,pass_td,0,,,,,
player,201111070phi,chi,KnoxJo00,pass_int,0,,,,,
player,201111070phi,chi,KnoxJo00,pass_sacked,0,,,,,
player,201111070phi,chi,KnoxJo00,pass_sacked_yds,0,,,,,
player,201111070phi,chi,KnoxJo00,pass_long,0,,,,,
player,201111070phi,chi,KnoxJo00,pass_rating,,,,,,
player,201111070phi,chi,KnoxJo00,rush_att,0,,,,,
player,201111070phi,chi,KnoxJo00,rush_yds,0,,,,,
player,201111070phi,chi,KnoxJo00,rush_td,0,,,,,
