game,2011,16,20111224,201112240nyj,nyg,"New York Giants",29,nyj,"New York Jets",14
team,201112240nyj,nyg,First Downs,11,,,,,,
team,201112240nyj,nyj,First Downs,22,,,,,,
team,201112240nyj,nyg,Rush-Yds-TDs,26-115-2,,,,,,
team,201112240nyj,nyj,Rush-Yds-TDs,25-105-1,,,,,,
team,201112240nyj,nyg,Cmp-Att-Yd-TD-INT,9-27-225-1-1,,,,,,
team,201112240nyj,nyj,Cmp-Att-Yd-TD-INT,30-59-258-1-2,,,,,,
team,201112240nyj,nyg,Sacked-Yards,2-8,,,,,,
team,201112240nyj,nyj,Sacked-Yards,5-32,,,,,,
team,201112240nyj,nyg,Net Pass Yards,217,,,,,,
team,201112240nyj,nyj,Net Pass Yards,226,,,,,,
team,201112240nyj,nyg,Total Yards,332,,,,,,
team,201112240nyj,nyj,Total Yards,331,,,,,,
team,201112240nyj,nyg,Fumbles-Lost,0-0,,,,,,
team,201112240nyj,nyj,Fumbles-Lost,1-1,,,,,,
team,201112240nyj,nyg,Turnovers,1,,,,,,
team,201112240nyj,nyj,Turnovers,3,,,,,,
team,201112240nyj,nyg,Penalties-Yards,5-45,,,,,,
team,201112240nyj,nyj,Penalties-Yards,10-95,,,,,,
team,201112240nyj,nyg,Third Down Conv.,4-15,,,,,,
team,201112240nyj,nyj,Third Down Conv.,4-21,,,,,,
team,201112240nyj,nyg,Fourth Down Conv.,0-0,,,,,,
team,201112240nyj,nyj,Fourth Down Conv.,1-1,,,,,,
team,201112240nyj,nyg,Time of Possession,23:54,,,,,,
team,201112240nyj,nyj,Time of Possession,36:06,,,,,,
player,201112240nyj,nyg,MannEl00,pass_cmp,9,,,,,
player,201112240nyj,nyg,MannEl00,pass_att,27,,,,,
player,201112240nyj,nyg,MannEl00,pass_yds,225,,,,,
player,201112240nyj,nyg,MannEl00,pass_td,1,,,,,
player,201112240nyj,nyg,MannEl00,pass_int,1,,,,,
player,201112240nyj,nyg,MannEl00,pass_sacked,2,,,,,
player,201112240nyj,nyg,MannEl00,pass_sacked_yds,8,,,,,
player,201112240nyj,nyg,MannEl00,pass_long,99,,,,,
player,201112240nyj,nyg,MannEl00,pass_rating,61.5,,,,,
player,201112240nyj,nyg,MannEl00,rush_att,1,,,,,
player,201112240nyj,nyg,MannEl00,rush_yds,-1,,,,,
player,201112240nyj,nyg,MannEl00,rush_td,0,,,,,
player,201112240nyj,nyg,MannEl00,rush_long,-1,,,,,
player,201112240nyj,nyg,MannEl00,targets,0,,,,,
player,201112240nyj,nyg,MannEl00,rec,0,,,,,
player,201112240nyj,nyg,MannEl00,rec_yds,0,,,,,
player,201112240nyj,nyg,MannEl00,rec_td,0,,,,,
player,201112240nyj,nyg,MannEl00,rec_long,0,,,,,
player,201112240nyj,nyg,MannEl00,fumbles,0,,,,,
player,201112240nyj,nyg,MannEl00,fumbles_lost,,,,,,
player,201112240nyj,nyg,BradAh00,pass_cmp,0,,,,,
player,201112240nyj,nyg,BradAh00,pass_att,0,,,,,
player,201112240nyj,nyg,BradAh00,pass_yds,0,,,,,
player,201112240nyj,nyg,BradAh00,pass_td,0,,,,,
player,201112240nyj,nyg,BradAh00,pass_int,0,,,,,
player,201112240nyj,nyg,BradAh00,pass_sacked,0,,,,,
player,201112240nyj,nyg,BradAh00,pass_sacked_yds,0,,,,,
player,201112240nyj,nyg,BradAh00,pass_long,0,,,,,
player,201112240nyj,nyg,BradAh00,pass_rating,,,,,,
player,201112240nyj,nyg,BradAh00,rush_att,15,,,,,
player,201112240nyj,nyg,BradAh00,rush_yds,54,,,,,
player,201112240nyj,nyg,BradAh00,rush_td,2,,,,,
player,201112240nyj,nyg,BradAh00,rush_long,19,,,,,
player,201112240nyj,nyg,BradAh00,targets,1,,,,,
player,201112240nyj,nyg,BradAh00,rec,1,,,,,
player,201112240nyj,nyg,BradAh00,rec_yds,8,,,,,
player,201112240nyj,nyg,BradAh00,rec_td,0,,,,,
player,201112240nyj,nyg,BradAh00,rec_long,8,,,,,
player,201112240nyj,nyg,BradAh00,fumbles,0,,,,,
player,201112240nyj,nyg,BradAh00,fumbles_lost,,,,,,
player,201112240nyj,nyg,JacoBr00,pass_cmp,0,,,,,
player,201112240nyj,nyg,JacoBr00,pass_att,0,,,,,
player,201112240nyj,nyg,JacoBr00,pass_yds,0,,,,,
player,201112240nyj,nyg,JacoBr00,pass_td,0,,,,,
player,201112240nyj,nyg,JacoBr00,pass_int,0,,,,,
player,201112240nyj,nyg,JacoBr00,pass_sacked,0,,,,,
player,201112240nyj,nyg,JacoBr00,pass_sacked_yds,0,,,,,
player,201112240nyj,nyg,JacoBr00,pass_long,0,,,,,
player,201112240nyj,nyg,JacoBr00,pass_rating,,,,,,
player,201112240nyj,nyg,JacoBr00,rush_att,7,,,,,
player,201112240nyj,nyg,JacoBr00,rush_yds,42,,,,,
player,201112240nyj,nyg,JacoBr00,rush_td,0,,,,,
player,201112240nyj,nyg,JacoBr00,rush_long,28,,,,,
player,201112240nyj,nyg,JacoBr00,targets,1,,,,,
player,201112240nyj,nyg,JacoBr00,rec,1,,,,,
player,201112240nyj,nyg,JacoBr00,rec_yds,13,,,,,
player,201112240nyj,nyg,JacoBr00,rec_td,0,,,,,
player,201112240nyj,nyg,JacoBr00,rec_long,13,,,,,
player,201112240nyj,nyg,JacoBr00,fumbles,0,,,,,
player,201112240nyj,nyg,JacoBr00,fumbles_lost,,,,,,
player,201112240nyj,nyg,WareDa00,pass_cmp,0,,,,,
player,201112240nyj,nyg,WareDa00,pass_att,0,,,,,
player,201112240nyj,nyg,WareDa00,pass_yds,0,,,,,
player,201112240nyj,nyg,WareDa00,pass_td,0,,,,,
player,201112240nyj,nyg,WareDa00,pass_int,0,,,,,
player,201112240nyj,nyg,WareDa00,pass_sacked,0,,,,,
player,201112240nyj,nyg,WareDa00,pass_sacked_yds,0,,,,,
player,201112240nyj,nyg,WareDa00,pass_long,0,,,,,
player,201112240nyj,nyg,WareDa00,pass_rating,,,,,,
player,201112240nyj,nyg,WareDa00,rush_att,3,,,,,
player,201112240nyj,nyg,WareDa00,rush_yds,20,,,,,
player,201112240nyj,nyg,WareDa00,rush_td,0,,,,,
player,201112240nyj,nyg,WareDa00,rush_long,17,,,,,
player,201112240nyj,nyg,WareDa00,targets,2,,,,,
player,201112240nyj,nyg,WareDa00,rec,1,,,,,
player,201112240nyj,nyg,WareDa00,rec_yds,5,,,,,
player,201112240nyj,nyg,WareDa00,rec_td,0,,,,,
player,201112240nyj,nyg,WareDa00,rec_long,5,,,,,
player,201112240nyj,nyg,WareDa00,fumbles,0,,,,,
player,201112240nyj,nyg,WareDa00,fumbles_lost,,,,,,
player,201112240nyj,nyg,CruzVi00,pass_cmp,0,,,,,
player,201112240nyj,nyg,CruzVi00,pass_att,0,,,,,
player,201112240nyj,nyg,CruzVi00,pass_yds,0,,,,,
player,201112240nyj,nyg,CruzVi00,pass_td,0,,,,,
player,201112240nyj,nyg,CruzVi00,pass_int,0,,,,,
player,201112240nyj,nyg,CruzVi00,pass_sacked,0,,,,,
player,201112240nyj,nyg,CruzVi00,pass_sacked_yds,0,,,,,
player,201112240nyj,nyg,CruzVi00,pass_long,0,,,,,
player,201112240nyj,nyg,CruzVi00,pass_rating,,,,,,
player,201112240nyj,nyg,CruzVi00,rush_att,0,,,,,
player,201112240nyj,nyg,CruzVi00,rush_yds,0,,,,,
player,201112240nyj,nyg,CruzVi00,rush_td,0,,,,,
player,201112240nyj,nyg,CruzVi00,rush_long,0,,,,,
player,201112240nyj,nyg,CruzVi00,targets,8,,,,,
player,201112240nyj,nyg,CruzVi00,rec,3,,,,,
player,201112240nyj,nyg,CruzVi00,rec_yds,164,,,,,
player,201112240nyj,nyg,CruzVi00,rec_td,1,,,,,
player,201112240nyj,nyg,CruzVi00,rec_long,99,,,,,
player,201112240nyj,nyg,CruzVi00,fumbles,0,,,,,
player,201112240nyj,nyg,CruzVi00,fumbles_lost,,,,,,
player,201112240nyj,nyg,NickHa01,pass_cmp,0,,,,,
player,201112240nyj,nyg,NickHa01,pass_att,0,,,,,
player,201112240nyj,nyg,NickHa01,pass_yds,0,,,,,
player,201112240nyj,nyg,NickHa01,pass_td,0,,,,,
player,201112240nyj,nyg,NickHa01,pass_int,0,,,,,
player,201112240nyj,nyg,NickHa01,pass_sacked,0,,,,,
player,201112240nyj,nyg,NickHa01,pass_sacked_yds,0,,,,,
player,201112240nyj,nyg,NickHa01,pass_long,0,,,,,
player,201112240nyj,nyg,NickHa01,pass_rating,,,,,,
player,201112240nyj,nyg,NickHa01,rush_att,0,,,,,
player,201112240nyj,nyg,NickHa01,rush_yds,0,,,,,
player,201112240nyj,nyg,NickHa01,rush_td,0,,,,,
player,201112240nyj,nyg,NickHa01,rush_long,0,,,,,
player,201112240nyj,nyg,NickHa01,targets,7,,,,,
player,201112240nyj,nyg,NickHa01,rec,1,,,,,
player,201112240nyj,nyg,NickHa01,rec_yds,20,,,,,
player,201112240nyj,nyg,NickHa01,rec_td,0,,,,,
player,201112240nyj,nyg,NickHa01,rec_long,20,,,,,
player,201112240nyj,nyg,NickHa01,fumbles,0,,,,,
player,201112240nyj,nyg,NickHa01,fumbles_lost,,,,,,
player,201112240nyj,nyg,ThomDe02,pass_cmp,0,,,,,
player,201112240nyj,nyg,ThomDe02,pass_att,0,,,,,
player,201112240nyj,nyg,ThomDe02,pass_yds,0,,,,,
player,201112240nyj,nyg,ThomDe02,pass_td,0,,,,,
player,201112240nyj,nyg,ThomDe02,pass_int,0,,,,,
player,201112240nyj,nyg,ThomDe02,pass_sacked,0,,,,,
player,201112240nyj,nyg,ThomDe02,pass_sacked_yds,0,,,,,
player,201112240nyj,nyg,ThomDe02,pass_long,0,,,,,
player,201112240nyj,nyg,ThomDe02,pass_rating,,,,,,
player,201112240nyj,nyg,ThomDe02,rush_att,0,,,,,
player,201112240nyj,nyg,ThomDe02,rush_yds,0,,,,,
player,201112240nyj,nyg,ThomDe02,rush_td,0,,,,,
