game,2011,17,20120101,201201010min,chi,"Chicago Bears",17,min,"Minnesota Vikings",13
team,201201010min,chi,First Downs,10,,,,,,
team,201201010min,min,First Downs,16,,,,,,
team,201201010min,chi,Rush-Yds-TDs,25-92-0,,,,,,
team,201201010min,min,Rush-Yds-TDs,27-79-1,,,,,,
team,201201010min,chi,Cmp-Att-Yd-TD-INT,15-25-160-1-1,,,,,,
team,201201010min,min,Cmp-Att-Yd-TD-INT,21-42-228-0-3,,,,,,
team,201201010min,chi,Sacked-Yards,7-43,,,,,,
team,201201010min,min,Sacked-Yards,2-6,,,,,,
team,201201010min,chi,Net Pass Yards,117,,,,,,
team,201201010min,min,Net Pass Yards,222,,,,,,
team,201201010min,chi,Total Yards,209,,,,,,
team,201201010min,min,Total Yards,301,,,,,,
team,201201010min,chi,Fumbles-Lost,4-2,,,,,,
team,201201010min,min,Fumbles-Lost,1-0,,,,,,
team,201201010min,chi,Turnovers,3,,,,,,
team,201201010min,min,Turnovers,3,,,,,,
team,201201010min,chi,Penalties-Yards,4-20,,,,,,
team,201201010min,min,Penalties-Yards,5-38,,,,,,
team,201201010min,chi,Third Down Conv.,5-13,,,,,,
team,201201010min,min,Third Down Conv.,3-15,,,,,,
team,201201010min,chi,Fourth Down Conv.,0-0,,,,,,
team,201201010min,min,Fourth Down Conv.,1-2,,,,,,
team,201201010min,chi,Time of Possession,28:46,,,,,,
team,201201010min,min,Time of Possession,31:14,,,,,,
player,201201010min,chi,McCoJo01,pass_cmp,15,,,,,
player,201201010min,chi,McCoJo01,pass_att,25,,,,,
player,201201010min,chi,McCoJo01,pass_yds,160,,,,,
player,201201010min,chi,McCoJo01,pass_td,1,,,,,
player,201201010min,chi,McCoJo01,pass_int,1,,,,,
player,201201010min,chi,McCoJo01,pass_sacked,7,,,,,
player,201201010min,chi,McCoJo01,pass_sacked_yds,43,,,,,
player,201201010min,chi,McCoJo01,pass_long,22,,,,,
player,201201010min,chi,McCoJo01,pass_rating,75.4,,,,,
player,201201010min,chi,McCoJo01,rush_att,4,,,,,
player,201201010min,chi,McCoJo01,rush_yds,30,,,,,
player,201201010min,chi,McCoJo01,rush_td,0,,,,,
player,201201010min,chi,McCoJo01,rush_long,28,,,,,
player,201201010min,chi,McCoJo01,targets,0,,,,,
player,201201010min,chi,McCoJo01,rec,0,,,,,
player,201201010min,chi,McCoJo01,rec_yds,0,,,,,
player,201201010min,chi,McCoJo01,rec_td,0,,,,,
player,201201010min,chi,McCoJo01,rec_long,0,,,,,
player,201201010min,chi,McCoJo01,fumbles,2,,,,,
player,201201010min,chi,McCoJo01,fumbles_lost,0,,,,,
player,201201010min,chi,BellKa00,pass_cmp,0,,,,,
player,201201010min,chi,BellKa00,pass_att,0,,,,,
player,201201010min,chi,BellKa00,pass_yds,0,,,,,
player,201201010min,chi,BellKa00,pass_td,0,,,,,
