game,2011,12,20111127,201111270clt,car,"Carolina Panthers",27,clt,"Indianapolis Colts",19
team,201111270clt,car,First Downs,22,,,,,,
team,201111270clt,clt,First Downs,17,,,,,,
team,201111270clt,car,Rush-Yds-TDs,35-201-3,,,,,,
team,201111270clt,clt,Rush-Yds-TDs,23-105-1,,,,,,
team,201111270clt,car,Cmp-Att-Yd-TD-INT,20-27-208-0-0,,,,,,
team,201111270clt,clt,Cmp-Att-Yd-TD-INT,15-29-226-1-2,,,,,,
team,201111270clt,car,Sacked-Yards,3-32,,,,,,
team,201111270clt,clt,Sacked-Yards,2-8,,,,,,
team,201111270clt,car,Net Pass Yards,176,,,,,,
team,201111270clt,clt,Net Pass Yards,218,,,,,,
team,201111270clt,car,Total Yards,377,,,,,,
team,201111270clt,clt,Total Yards,323,,,,,,
team,201111270clt,car,Fumbles-Lost,1-1,,,,,,
team,201111270clt,clt,Fumbles-Lost,1-0,,,,,,
team,201111270clt,car,Turnovers,1,,,,,,
team,201111270clt,clt,Turnovers,2,,,,,,
team,201111270clt,car,Penalties-Yards,6-92,,,,,,
team,201111270clt,clt,Penalties-Yards,2-15,,,,,,
team,201111270clt,car,Third Down Conv.,6-12,,,,,,
team,201111270clt,clt,Third Down Conv.,1-9,,,,,,
team,201111270clt,car,Fourth Down Conv.,0-0,,,,,,
team,201111270clt,clt,Fourth Down Conv.,1-1,,,,,,
team,201111270clt,car,Time of Possession,36:17,,,,,,
team,201111270clt,clt,Time of Possession,23:43,,,,,,
player,201111270clt,car,NewtCa00,pass_cmp,20,,,,,
player,201111270clt,car,NewtCa00,pass_att,27,,,,,
player,201111270clt,car,NewtCa00,pass_yds,208,,,,,
player,201111270clt,car,NewtCa00,pass_td,0,,,,,
player,201111270clt,car,NewtCa00,pass_int,0,,,,,
player,201111270clt,car,NewtCa00,pass_sacked,3,,,,,
player,201111270clt,car,NewtCa00,pass_sacked_yds,32,,,,,
player,201111270clt,car,NewtCa00,pass_long,30,,,,,
player,201111270clt,car,NewtCa00,pass_rating,95.9,,,,,
player,201111270clt,car,NewtCa00,rush_att,9,,,,,
player,201111270clt,car,NewtCa00,rush_yds,53,,,,,
player,201111270clt,car,NewtCa00,rush_td,1,,,,,
player,201111270clt,car,NewtCa00,rush_long,14,,,,,
player,201111270clt,car,NewtCa00,targets,0,,,,,
player,201111270clt,car,NewtCa00,rec,0,,,,,
player,201111270clt,car,NewtCa00,rec_yds,0,,,,,
player,201111270clt,car,NewtCa00,rec_td,0,,,,,
player,201111270clt,car,NewtCa00,rec_long,0,,,,,
player,201111270clt,car,NewtCa00,fumbles,0,,,,,
player,201111270clt,car,NewtCa00,fumbles_lost,,,,,,
player,201111270clt,car,StewJo00,pass_cmp,0,,,,,
player,201111270clt,car,StewJo00,pass_att,0,,,,,
player,201111270clt,car,StewJo00,pass_yds,0,,,,,
player,201111270clt,car,StewJo00,pass_td,0,,,,,
player,201111270clt,car,StewJo00,pass_int,0,,,,,
player,201111270clt,car,StewJo00,pass_sacked,0,,,,,
