game,2011,14,20111211,201112110jax,tam,"Tampa Bay Buccaneers",14,jax,"Jacksonville Jaguars",41
team,201112110jax,tam,First Downs,15,,,,,,
team,201112110jax,jax,First Downs,21,,,,,,
team,201112110jax,tam,Rush-Yds-TDs,24-110-2,,,,,,
team,201112110jax,jax,Rush-Yds-TDs,33-116-2,,,,,,
team,201112110jax,tam,Cmp-Att-Yd-TD-INT,17-32-184-0-3,,,,,,
team,201112110jax,jax,Cmp-Att-Yd-TD-INT,19-33-217-2-2,,,,,,
team,201112110jax,tam,Sacked-Yards,3-14,,,,,,
team,201112110jax,jax,Sacked-Yards,1-8,,,,,,
team,201112110jax,tam,Net Pass Yards,170,,,,,,
team,201112110jax,jax,Net Pass Yards,209,,,,,,
team,201112110jax,tam,Total Yards,280,,,,,,
team,201112110jax,jax,Total Yards,325,,,,,,
team,201112110jax,tam,Fumbles-Lost,6-4,,,,,,
team,201112110jax,jax,Fumbles-Lost,2-0,,,,,,
team,201112110jax,tam,Turnovers,7,,,,,,
team,201112110jax,jax,Turnovers,2,,,,,,
team,201112110jax,tam,Penalties-Yards,12-97,,,,,,
team,201112110jax,jax,Penalties-Yards,8-80,,,,,,
team,201112110jax,tam,Third Down Conv.,3-11,,,,,,
team,201112110jax,jax,Third Down Conv.,5-15,,,,,,
team,201112110jax,tam,Fourth Down Conv.,1-2,,,,,,
team,201112110jax,jax,Fourth Down Conv.,0-0,,,,,,
team,201112110jax,tam,Time of Possession,27:11,,,,,,
team,201112110jax,jax,Time of Possession,32:49,,,,,,
player,201112110jax,tam,FreeJo00,pass_cmp,16,,,,,
player,201112110jax,tam,FreeJo00,pass_att,30,,,,,
player,201112110jax,tam,FreeJo00,pass_yds,181,,,,,
player,201112110jax,tam,FreeJo00,pass_td,0,,,,,
player,201112110jax,tam,FreeJo00,pass_int,2,,,,,
player,201112110jax,tam,FreeJo00,pass_sacked,3,,,,,
player,201112110jax,tam,FreeJo00,pass_sacked_yds,14,,,,,
player,201112110jax,tam,FreeJo00,pass_long,28,,,,,
player,201112110jax,tam,FreeJo00,pass_rating,43.9,,,,,
player,201112110jax,tam,FreeJo00,rush_att,4,,,,,
player,201112110jax,tam,FreeJo00,rush_yds,26,,,,,
player,201112110jax,tam,FreeJo00,rush_td,1,,,,,
player,201112110jax,tam,FreeJo00,rush_long,13,,,,,
