game,2011,1,20110911,201109110sdg,min,"Minnesota Vikings",17,sdg,"San Diego Chargers",24
team,201109110sdg,min,First Downs,10,,,,,,
team,201109110sdg,sdg,First Downs,31,,,,,,
team,201109110sdg,min,Rush-Yds-TDs,26-159-0,,,,,,
team,201109110sdg,sdg,Rush-Yds-TDs,27-77-1,,,,,,
team,201109110sdg,min,Cmp-Att-Yd-TD-INT,7-15-39-1-1,,,,,,
team,201109110sdg,sdg,Cmp-Att-Yd-TD-INT,33-48-335-2-2,,,,,,
team,201109110sdg,min,Sacked-Yards,2-11,,,,,,
team,201109110sdg,sdg,Sacked-Yards,2-5,,,,,,
team,201109110sdg,min,Net Pass Yards,28,,,,,,
team,201109110sdg,sdg,Net Pass Yards,330,,,,,,
team,201109110sdg,min,Total Yards,187,,,,,,
team,201109110sdg,sdg,Total Yards,407,,,,,,
team,201109110sdg,min,Fumbles-Lost,0-0,,,,,,
team,201109110sdg,sdg,Fumbles-Lost,1-0,,,,,,
team,201109110sdg,min,Turnovers,1,,,,,,
team,201109110sdg,sdg,Turnovers,2,,,,,,
team,201109110sdg,min,Penalties-Yards,9-78,,,,,,
team,201109110sdg,sdg,Penalties-Yards,4-26,,,,,,
team,201109110sdg,min,Third Down Conv.,4-11,,,,,,
team,201109110sdg,sdg,Third Down Conv.,6-13,,,,,,
team,201109110sdg,min,Fourth Down Conv.,0-0,,,,,,
team,201109110sdg,sdg,Fourth Down Conv.,0-1,,,,,,
team,201109110sdg,min,Time of Possession,22:43,,,,,,
team,201109110sdg,sdg,Time of Possession,37:17,,,,,,
player,201109110sdg,min,McNaDo00,pass_cmp,7,,,,,
player,201109110sdg,min,McNaDo00,pass_att,15,,,,,
player,201109110sdg,min,McNaDo00,pass_yds,39,,,,,
player,201109110sdg,min,McNaDo00,pass_td,1,,,,,
player,201109110sdg,min,McNaDo00,pass_int,1,,,,,
player,201109110sdg,min,McNaDo00,pass_sacked,2,,,,,
player,201109110sdg,min,McNaDo00,pass_sacked_yds,11,,,,,
player,201109110sdg,min,McNaDo00,pass_long,12,,,,,
player,201109110sdg,min,McNaDo00,pass_rating,47.9,,,,,
player,201109110sdg,min,McNaDo00,rush_att,3,,,,,
player,201109110sdg,min,McNaDo00,rush_yds,32,,,,,
player,201109110sdg,min,McNaDo00,rush_td,0,,,,,
player,201109110sdg,min,McNaDo00,rush_long,23,,,,,
player,201109110sdg,min,McNaDo00,targets,0,,,,,
player,201109110sdg,min,McNaDo00,rec,0,,,,,
player,201109110sdg,min,McNaDo00,rec_yds,0,,,,,
player,201109110sdg,min,McNaDo00,rec_td,0,,,,,
player,201109110sdg,min,McNaDo00,rec_long,0,,,,,
player,201109110sdg,min,McNaDo00,fumbles,0,,,,,
player,201109110sdg,min,McNaDo00,fumbles_lost,,,,,,
player,201109110sdg,min,PeteAd01,pass_cmp,0,,,,,
player,201109110sdg,min,PeteAd01,pass_att,0,,,,,
player,201109110sdg,min,PeteAd01,pass_yds,0,,,,,
player,201109110sdg,min,PeteAd01,pass_td,0,,,,,
player,201109110sdg,min,PeteAd01,pass_int,0,,,,,
player,201109110sdg,min,PeteAd01,pass_sacked,0,,,,,
player,201109110sdg,min,PeteAd01,pass_sacked_yds,0,,,,,
player,201109110sdg,min,PeteAd01,pass_long,0,,,,,
player,201109110sdg,min,PeteAd01,pass_rating,,,,,,
player,201109110sdg,min,PeteAd01,rush_att,16,,,,,
player,201109110sdg,min,PeteAd01,rush_yds,98,,,,,
player,201109110sdg,min,PeteAd01,rush_td,0,,,,,
player,201109110sdg,min,PeteAd01,rush_long,46,,,,,
player,201109110sdg,min,PeteAd01,targets,3,,,,,
player,201109110sdg,min,PeteAd01,rec,2,,,,,
player,201109110sdg,min,PeteAd01,rec_yds,6,,,,,
