game,2011,11,20111120,201111200min,rai,"Oakland Raiders",27,min,"Minnesota Vikings",21
team,201111200min,rai,First Downs,22,,,,,,
team,201111200min,min,First Downs,20,,,,,,
team,201111200min,rai,Rush-Yds-TDs,41-162-2,,,,,,
team,201111200min,min,Rush-Yds-TDs,24-124-1,,,,,,
team,201111200min,rai,Cmp-Att-Yd-TD-INT,17-23-164-1-0,,,,,,
team,201111200min,min,Cmp-Att-Yd-TD-INT,19-33-211-2-3,,,,,,
team,201111200min,rai,Sacked-Yards,4-25,,,,,,
team,201111200min,min,Sacked-Yards,5-24,,,,,,
team,201111200min,rai,Net Pass Yards,139,,,,,,
team,201111200min,min,Net Pass Yards,187,,,,,,
team,201111200min,rai,Total Yards,301,,,,,,
team,201111200min,min,Total Yards,311,,,,,,
team,201111200min,rai,Fumbles-Lost,1-1,,,,,,
team,201111200min,min,Fumbles-Lost,3-2,,,,,,
team,201111200min,rai,Turnovers,1,,,,,,
team,201111200min,min,Turnovers,5,,,,,,
team,201111200min,rai,Penalties-Yards,12-117,,,,,,
team,201111200min,min,Penalties-Yards,9-50,,,,,,
team,201111200min,rai,Third Down Conv.,5-14,,,,,,
team,201111200min,min,Third Down Conv.,6-15,,,,,,
team,201111200min,rai,Fourth Down Conv.,0-0,,,,,,
team,201111200min,min,Fourth Down Conv.,0-2,,,,,,
team,201111200min,rai,Time of Possession,35:44,,,,,,
team,201111200min,min,Time of Possession,24:16,,,,,,
player,201111200min,rai,PalmCa00,pass_cmp,17,,,,,
player,201111200min,rai,PalmCa00,pass_att,23,,,,,
player,201111200min,rai,PalmCa00,pass_yds,164,,,,,
player,201111200min,rai,PalmCa00,pass_td,1,,,,,
player,201111200min,rai,PalmCa00,pass_int,0,,,,,
player,201111200min,rai,PalmCa00,pass_sacked,4,,,,,
player,201111200min,rai,PalmCa00,pass_sacked_yds,25,,,,,
player,201111200min,rai,PalmCa00,pass_long,21,,,,,
player,201111200min,rai,PalmCa00,pass_rating,107.9,,,,,
player,201111200min,rai,PalmCa00,rush_att,3,,,,,
player,201111200min,rai,PalmCa00,rush_yds,5,,,,,
player,201111200min,rai,PalmCa00,rush_td,1,,,,,
player,201111200min,rai,PalmCa00,rush_long,4,,,,,
player,201111200min,rai,PalmCa00,targets,0,,,,,
player,201111200min,rai,PalmCa00,rec,0,,,,,
player,201111200min,rai,PalmCa00,rec_yds,0,,,,,
player,201111200min,rai,PalmCa00,rec_td,0,,,,,
player,201111200min,rai,PalmCa00,rec_long,0,,,,,
player,201111200min,rai,PalmCa00,fumbles,0,,,,,
player,201111200min,rai,PalmCa00,fumbles_lost,,,,,,
player,201111200min,rai,BushMi00,pass_cmp,0,,,,,
player,201111200min,rai,BushMi00,pass_att,0,,,,,
player,201111200min,rai,BushMi00,pass_yds,0,,,,,
player,201111200min,rai,BushMi00,pass_td,0,,,,,
player,201111200min,rai,BushMi00,pass_int,0,,,,,
player,201111200min,rai,BushMi00,pass_sacked,,,,,,
player,201111200min,rai,BushMi00,pass_sacked_yds,0,,,,,
player,201111200min,rai,BushMi00,pass_long,0,,,,,
player,201111200min,rai,BushMi00,pass_rating,,,,,,
player,201111200min,rai,BushMi00,rush_att,30,,,,,
player,201111200min,rai,BushMi00,rush_yds,109,,,,,
player,201111200min,rai,BushMi00,rush_td,1,,,,,
player,201111200min,rai,BushMi00,rush_long,28,,,,,
player,201111200min,rai,BushMi00,targets,2,,,,,
player,201111200min,rai,BushMi00,rec,2,,,,,
player,201111200min,rai,BushMi00,rec_yds,20,,,,,
player,201111200min,rai,BushMi00,rec_td,0,,,,,
player,201111200min,rai,BushMi00,rec_long,10,,,,,
player,201111200min,rai,BushMi00,fumbles,1,,,,,
player,201111200min,rai,BushMi00,fumbles_lost,1,,,,,
player,201111200min,rai,ReecMa00,pass_cmp,0,,,,,
player,201111200min,rai,ReecMa00,pass_att,0,,,,,
player,201111200min,rai,ReecMa00,pass_yds,0,,,,,
player,201111200min,rai,ReecMa00,pass_td,0,,,,,
player,201111200min,rai,ReecMa00,pass_int,0,,,,,
player,201111200min,rai,ReecMa00,pass_sacked,,,,,,
player,201111200min,rai,ReecMa00,pass_sacked_yds,0,,,,,
player,201111200min,rai,ReecMa00,pass_long,0,,,,,
player,201111200min,rai,ReecMa00,pass_rating,,,,,,
player,201111200min,rai,ReecMa00,rush_att,6,,,,,
player,201111200min,rai,ReecMa00,rush_yds,45,,,,,
player,201111200min,rai,ReecMa00,rush_td,0,,,,,
player,201111200min,rai,ReecMa00,rush_long,20,,,,,
player,201111200min,rai,ReecMa00,targets,3,,,,,
player,201111200min,rai,ReecMa00,rec,2,,,,,
player,201111200min,rai,ReecMa00,rec_yds,16,,,,,
player,201111200min,rai,ReecMa00,rec_td,0,,,,,
player,201111200min,rai,ReecMa00,rec_long,12,,,,,
player,201111200min,rai,ReecMa00,fumbles,0,,,,,
player,201111200min,rai,ReecMa00,fumbles_lost,,,,,,
player,201111200min,rai,JoneTa00,pass_cmp,0,,,,,
player,201111200min,rai,JoneTa00,pass_att,0,,,,,
player,201111200min,rai,JoneTa00,pass_yds,0,,,,,
player,201111200min,rai,JoneTa00,pass_td,0,,,,,
player,201111200min,rai,JoneTa00,pass_int,0,,,,,
player,201111200min,rai,JoneTa00,pass_sacked,,,,,,
player,201111200min,rai,JoneTa00,pass_sacked_yds,0,,,,,
player,201111200min,rai,JoneTa00,pass_long,0,,,,,
player,201111200min,rai,JoneTa00,pass_rating,,,,,,
player,201111200min,rai,JoneTa00,rush_att,2,,,,,
player,201111200min,rai,JoneTa00,rush_yds,3,,,,,
player,201111200min,rai,JoneTa00,rush_td,0,,,,,
player,201111200min,rai,JoneTa00,rush_long,2,,,,,
player,201111200min,rai,JoneTa00,targets,0,,,,,
player,201111200min,rai,JoneTa00,rec,0,,,,,
player,201111200min,rai,JoneTa00,rec_yds,0,,,,,
player,201111200min,rai,JoneTa00,rec_td,0,,,,,
player,201111200min,rai,JoneTa00,rec_long,0,,,,,
player,201111200min,rai,JoneTa00,fumbles,0,,,,,
player,201111200min,rai,JoneTa00,fumbles_lost,,,,,,
player,201111200min,rai,HeywDa00,pass_cmp,0,,,,,
player,201111200min,rai,HeywDa00,pass_att,0,,,,,
player,201111200min,rai,HeywDa00,pass_yds,0,,,,,
player,201111200min,rai,HeywDa00,pass_td,0,,,,,
player,201111200min,rai,HeywDa00,pass_int,0,,,,,
player,201111200min,rai,HeywDa00,pass_sacked,,,,,,
player,201111200min,rai,HeywDa00,pass_sacked_yds,0,,,,,
player,201111200min,rai,HeywDa00,pass_long,0,,,,,
player,201111200min,rai,HeywDa00,pass_rating,,,,,,
player,201111200min,rai,HeywDa00,rush_att,0,,,,,
player,201111200min,rai,HeywDa00,rush_yds,0,,,,,
player,201111200min,rai,HeywDa00,rush_td,0,,,,,
player,201111200min,rai,HeywDa00,rush_long,0,,,,,
player,201111200min,rai,HeywDa00,targets,5,,,,,
player,201111200min,rai,HeywDa00,rec,4,,,,,
player,201111200min,rai,HeywDa00,rec_yds,43,,,,,
player,201111200min,rai,HeywDa00,rec_td,0,,,,,
player,201111200min,rai,HeywDa00,rec_long,20,,,,,
player,201111200min,rai,HeywDa00,fumbles,0,,,,,
player,201111200min,rai,HeywDa00,fumbles_lost,,,,,,
player,201111200min,rai,BossKe00,pass_cmp,0,,,,,
player,201111200min,rai,BossKe00,pass_att,0,,,,,
player,201111200min,rai,BossKe00,pass_yds,0,,,,,
player,201111200min,rai,BossKe00,pass_td,0,,,,,
player,201111200min,rai,BossKe00,pass_int,0,,,,,
player,201111200min,rai,BossKe00,pass_sacked,,,,,,
player,201111200min,rai,BossKe00,pass_sacked_yds,0,,,,,
player,201111200min,rai,BossKe00,pass_long,0,,,,,
player,201111200min,rai,BossKe00,pass_rating,,,,,,
player,201111200min,rai,BossKe00,rush_att,0,,,,,
