game,2011,13,20111204,201112040sfo,ram,"St. Louis Rams",0,sfo,"San Francisco 49ers",26
team,201112040sfo,ram,First Downs,10,,,,,,
team,201112040sfo,sfo,First Downs,18,,,,,,
team,201112040sfo,ram,Rush-Yds-TDs,23-31-0,,,,,,
team,201112040sfo,sfo,Rush-Yds-TDs,34-144-0,,,,,,
team,201112040sfo,ram,Cmp-Att-Yd-TD-INT,12-22-156-0-1,,,,,,
team,201112040sfo,sfo,Cmp-Att-Yd-TD-INT,17-25-274-2-0,,,,,,
team,201112040sfo,ram,Sacked-Yards,4-30,,,,,,
team,201112040sfo,sfo,Sacked-Yards,4-29,,,,,,
team,201112040sfo,ram,Net Pass Yards,126,,,,,,
team,201112040sfo,sfo,Net Pass Yards,245,,,,,,
team,201112040sfo,ram,Total Yards,157,,,,,,
team,201112040sfo,sfo,Total Yards,389,,,,,,
team,201112040sfo,ram,Fumbles-Lost,1-1,,,,,,
team,201112040sfo,sfo,Fumbles-Lost,1-0,,,,,,
team,201112040sfo,ram,Turnovers,2,,,,,,
team,201112040sfo,sfo,Turnovers,0,,,,,,
team,201112040sfo,ram,Penalties-Yards,5-35,,,,,,
team,201112040sfo,sfo,Penalties-Yards,8-72,,,,,,
team,201112040sfo,ram,Third Down Conv.,3-13,,,,,,
team,201112040sfo,sfo,Third Down Conv.,4-14,,,,,,
team,201112040sfo,ram,Fourth Down Conv.,0-1,,,,,,
team,201112040sfo,sfo,Fourth Down Conv.,0-0,,,,,,
team,201112040sfo,ram,Time of Possession,23:55,,,,,,
team,201112040sfo,sfo,Time of Possession,36:05,,,,,,
player,201112040sfo,ram,FeelA.00,pass_cmp,12,,,,,
player,201112040sfo,ram,FeelA.00,pass_att,22,,,,,
player,201112040sfo,ram,FeelA.00,pass_yds,156,,,,,
player,201112040sfo,ram,FeelA.00,pass_td,0,,,,,
player,201112040sfo,ram,FeelA.00,pass_int,1,,,,,
player,201112040sfo,ram,FeelA.00,pass_sacked,4,,,,,
player,201112040sfo,ram,FeelA.00,pass_sacked_yds,30,,,,,
player,201112040sfo,ram,FeelA.00,pass_long,34,,,,,
player,201112040sfo,ram,FeelA.00,pass_rating,58.1,,,,,
player,201112040sfo,ram,FeelA.00,rush_att,0,,,,,
player,201112040sfo,ram,FeelA.00,rush_yds,0,,,,,
player,201112040sfo,ram,FeelA.00,rush_td,0,,,,,
player,201112040sfo,ram,FeelA.00,rush_long,0,,,,,
player,201112040sfo,ram,FeelA.00,targets,0,,,,,
player,201112040sfo,ram,FeelA.00,rec,0,,,,,
player,201112040sfo,ram,FeelA.00,rec_yds,0,,,,,
player,201112040sfo,ram,FeelA.00,rec_td,0,,,,,
player,201112040sfo,ram,FeelA.00,rec_long,0,,,,,
player,201112040sfo,ram,FeelA.00,fumbles,1,,,,,
