game,2011,9,20111106,201111060dal,sea,"Seattle Seahawks",13,dal,"Dallas Cowboys",23
team,201111060dal,sea,First Downs,18,,,,,,
team,201111060dal,dal,First Downs,18,,,,,,
team,201111060dal,sea,Rush-Yds-TDs,30-162-1,,,,,,
team,201111060dal,dal,Rush-Yds-TDs,29-163-0,,,,,,
team,201111060dal,sea,Cmp-Att-Yd-TD-INT,17-30-221-0-3,,,,,,
team,201111060dal,dal,Cmp-Att-Yd-TD-INT,19-31-279-2-0,,,,,,
team,201111060dal,sea,Sacked-Yards,1-2,,,,,,
team,201111060dal,dal,Sacked-Yards,0-0,,,,,,
team,201111060dal,sea,Net Pass Yards,219,,,,,,
team,201111060dal,dal,Net Pass Yards,279,,,,,,
team,201111060dal,sea,Total Yards,381,,,,,,
team,201111060dal,dal,Total Yards,442,,,,,,
team,201111060dal,sea,Fumbles-Lost,0-0,,,,,,
team,201111060dal,dal,Fumbles-Lost,1-1,,,,,,
team,201111060dal,sea,Turnovers,3,,,,,,
team,201111060dal,dal,Turnovers,1,,,,,,
team,201111060dal,sea,Penalties-Yards,10-88,,,,,,
team,201111060dal,dal,Penalties-Yards,7-82,,,,,,
team,201111060dal,sea,Third Down Conv.,2-10,,,,,,
team,201111060dal,dal,Third Down Conv.,6-14,,,,,,
team,201111060dal,sea,Fourth Down Conv.,1-2,,,,,,
team,201111060dal,dal,Fourth Down Conv.,0-0,,,,,,
team,201111060dal,sea,Time of Possession,30:33,,,,,,
team,201111060dal,dal,Time of Possession,29:27,,,,,,
player,201111060dal,sea,JackTa00,pass_cmp,17,,,,,
player,201111060dal,sea,JackTa00,pass_att,30,,,,,
player,201111060dal,sea,JackTa00,pass_yds,221,,,,,
player,201111060dal,sea,JackTa00,pass_td,0,,,,,
player,201111060dal,sea,JackTa00,pass_int,3,,,,,
player,201111060dal,sea,JackTa00,pass_sacked,1,,,,,
player,201111060dal,sea,JackTa00,pass_sacked_yds,2,,,,,
player,201111060dal,sea,JackTa00,pass_long,43,,,,,
player,201111060dal,sea,JackTa00,pass_rating,40.4,,,,,
player,201111060dal,sea,JackTa00,rush_att,2,,,,,
player,201111060dal,sea,JackTa00,rush_yds,3,,,,,
player,201111060dal,sea,JackTa00,rush_td,0,,,,,
player,201111060dal,sea,JackTa00,rush_long,4,,,,,
player,201111060dal,sea,JackTa00,targets,0,,,,,
player,201111060dal,sea,JackTa00,rec,0,,,,,
player,201111060dal,sea,JackTa00,rec_yds,0,,,,,
player,201111060dal,sea,JackTa00,rec_td,0,,,,,
player,201111060dal,sea,JackTa00,rec_long,0,,,,,
player,201111060dal,sea,JackTa00,fumbles,0,,,,,
player,201111060dal,sea,JackTa00,fumbles_lost,,,,,,
player,201111060dal,sea,LyncMa00,pass_cmp,0,,,,,
player,201111060dal,sea,LyncMa00,pass_att,0,,,,,
player,201111060dal,sea,LyncMa00,pass_yds,0,,,,,
player,201111060dal,sea,LyncMa00,pass_td,0,,,,,
player,201111060dal,sea,LyncMa00,pass_int,0,,,,,
player,201111060dal,sea,LyncMa00,pass_sacked,0,,,,,
player,201111060dal,sea,LyncMa00,pass_sacked_yds,0,,,,,
player,201111060dal,sea,LyncMa00,pass_long,0,,,,,
player,201111060dal,sea,LyncMa00,pass_rating,,,,,,
player,201111060dal,sea,LyncMa00,rush_att,23,,,,,
player,201111060dal,sea,LyncMa00,rush_yds,135,,,,,
player,201111060dal,sea,LyncMa00,rush_td,1,,,,,
player,201111060dal,sea,LyncMa00,rush_long,29,,,,,
player,201111060dal,sea,LyncMa00,targets,2,,,,,
player,201111060dal,sea,LyncMa00,rec,1,,,,,
player,201111060dal,sea,LyncMa00,rec_yds,8,,,,,
