game,2011,15,20111218,201112180kan,gnb,"Green Bay Packers",14,kan,"Kansas City Chiefs",19
player,201112180kan,kan,McClDe00,targets,2,,,,,
player,201112180kan,kan,McClDe00,rec,2,,,,,
player,201112180kan,kan,McClDe00,rec_yds,11,,,,,
player,201112180kan,kan,McClDe00,rec_td,0,,,,,
player,201112180kan,kan,McClDe00,rec_long,8,,,,,
player,201112180kan,kan,McClDe00,fumbles,0,,,,,
player,201112180kan,kan,McClDe00,fumbles_lost,,,,,,
player,201112180kan,kan,PopeLe00,pass_cmp,0,,,,,
player,201112180kan,kan,PopeLe00,pass_att,0,,,,,
player,201112180kan,kan,PopeLe00,pass_yds,0,,,,,
player,201112180kan,kan,PopeLe00,pass_td,0,,,,,
player,201112180kan,kan,PopeLe00,pass_int,0,,,,,
player,201112180kan,kan,PopeLe00,pass_sacked,0,,,,,
player,201112180kan,kan,PopeLe00,pass_sacked_yds,0,,,,,
player,201112180kan,kan,PopeLe00,pass_long,0,,,,,
player,201112180kan,kan,PopeLe00,pass_rating,,,,,,
player,201112180kan,kan,PopeLe00,rush_att,0,,,,,
player,201112180kan,kan,PopeLe00,rush_yds,0,,,,,
player,201112180kan,kan,PopeLe00,rush_td,0,,,,,
player,201112180kan,kan,PopeLe00,rush_long,0,,,,,
player,201112180kan,kan,PopeLe00,targets,2,,,,,
player,201112180kan,kan,PopeLe00,rec,2,,,,,
player,201112180kan,kan,PopeLe00,rec_yds,72,,,,,
player,201112180kan,kan,PopeLe00,rec_td,0,,,,,
player,201112180kan,kan,PopeLe00,rec_long,39,,,,,
player,201112180kan,kan,PopeLe00,fumbles,0,,,,,
player,201112180kan,kan,PopeLe00,fumbles_lost,,,,,,
player,201112180kan,kan,BoweDw00,pass_cmp,0,,,,,
player,201112180kan,kan,BoweDw00,pass_att,0,,,,,
player,201112180kan,kan,BoweDw00,pass_yds,0,,,,,
player,201112180kan,kan,BoweDw00,pass_td,0,,,,,
player,201112180kan,kan,BoweDw00,pass_int,0,,,,,
player,201112180kan,kan,BoweDw00,pass_sacked,0,,,,,
player,201112180kan,kan,BoweDw00,pass_sacked_yds,0,,,,,
player,201112180kan,kan,BoweDw00,pass_long,0,,,,,
player,201112180kan,kan,BoweDw00,pass_rating,,,,,,
player,201112180kan,kan,BoweDw00,rush_att,0,,,,,
player,201112180kan,kan,BoweDw00,rush_yds,0,,,,,
player,201112180kan,kan,BoweDw00,rush_td,0,,,,,
player,201112180kan,kan,BoweDw00,rush_long,0,,,,,
player,201112180kan,kan,BoweDw00,targets,5,,,,,
player,201112180kan,kan,BoweDw00,rec,4,,,,,
player,201112180kan,kan,BoweDw00,rec_yds,49,,,,,
player,201112180kan,kan,BoweDw00,rec_td,0,,,,,
player,201112180kan,kan,BoweDw00,rec_long,15,,,,,
player,201112180kan,kan,BoweDw00,fumbles,0,,,,,
player,201112180kan,kan,BoweDw00,fumbles_lost,,,,,,
player,201112180kan,kan,BechAn00,pass_cmp,0,,,,,
player,201112180kan,kan,BechAn00,pass_att,0,,,,,
player,201112180kan,kan,BechAn00,pass_yds,0,,,,,
player,201112180kan,kan,BechAn00,pass_td,0,,,,,
player,201112180kan,kan,BechAn00,pass_int,0,,,,,
player,201112180kan,kan,BechAn00,pass_sacked,0,,,,,
player,201112180kan,kan,BechAn00,pass_sacked_yds,0,,,,,
player,201112180kan,kan,BechAn00,pass_long,0,,,,,
player,201112180kan,kan,BechAn00,pass_rating,,,,,,
player,201112180kan,kan,BechAn00,rush_att,0,,,,,
player,201112180kan,kan,BechAn00,rush_yds,0,,,,,
player,201112180kan,kan,BechAn00,rush_td,0,,,,,
player,201112180kan,kan,BechAn00,rush_long,0,,,,,
player,201112180kan,kan,BechAn00,targets,2,,,,,
player,201112180kan,kan,BechAn00,rec,2,,,,,
player,201112180kan,kan,BechAn00,rec_yds,20,,,,,
player,201112180kan,kan,BechAn00,rec_td,0,,,,,
player,201112180kan,kan,BechAn00,rec_long,16,,,,,
player,201112180kan,kan,BechAn00,fumbles,0,,,,,
player,201112180kan,kan,BechAn00,fumbles_lost,,,,,,
player,201112180kan,kan,CoppTe00,pass_cmp,0,,,,,
player,201112180kan,kan,CoppTe00,pass_att,0,,,,,
player,201112180kan,kan,CoppTe00,pass_yds,0,,,,,
player,201112180kan,kan,CoppTe00,pass_td,0,,,,,
player,201112180kan,kan,CoppTe00,pass_int,0,,,,,
player,201112180kan,kan,CoppTe00,pass_sacked,0,,,,,
player,201112180kan,kan,CoppTe00,pass_sacked_yds,0,,,,,
player,201112180kan,kan,CoppTe00,pass_long,0,,,,,
player,201112180kan,kan,CoppTe00,pass_rating,,,,,,
player,201112180kan,kan,CoppTe00,rush_att,0,,,,,
player,201112180kan,kan,CoppTe00,rush_yds,0,,,,,
player,201112180kan,kan,CoppTe00,rush_td,0,,,,,
player,201112180kan,kan,CoppTe00,rush_long,0,,,,,
player,201112180kan,kan,CoppTe00,targets,3,,,,,
player,201112180kan,kan,CoppTe00,rec,2,,,,,
player,201112180kan,kan,CoppTe00,rec_yds,20,,,,,
player,201112180kan,kan,CoppTe00,rec_td,0,,,,,
player,201112180kan,kan,CoppTe00,rec_long,10,,,,,
player,201112180kan,kan,CoppTe00,fumbles,0,,,,,
player,201112180kan,kan,CoppTe00,fumbles_lost,,,,,,
player,201112180kan,kan,BaldJo00,pass_cmp,0,,,,,
player,201112180kan,kan,BaldJo00,pass_att,0,,,,,
player,201112180kan,kan,BaldJo00,pass_yds,0,,,,,
player,201112180kan,kan,BaldJo00,pass_td,0,,,,,
player,201112180kan,kan,BaldJo00,pass_int,0,,,,,
player,201112180kan,kan,BaldJo00,pass_sacked,0,,,,,
player,201112180kan,kan,BaldJo00,pass_sacked_yds,0,,,,,
player,201112180kan,kan,BaldJo00,pass_long,0,,,,,
player,201112180kan,kan,BaldJo00,pass_rating,,,,,,
player,201112180kan,kan,BaldJo00,rush_att,0,,,,,
player,201112180kan,kan,BaldJo00,rush_yds,0,,,,,
player,201112180kan,kan,BaldJo00,rush_td,0,,,,,
player,201112180kan,kan,BaldJo00,rush_long,0,,,,,
player,201112180kan,kan,BaldJo00,targets,4,,,,,
player,201112180kan,kan,BaldJo00,rec,1,,,,,
player,201112180kan,kan,BaldJo00,rec_yds,17,,,,,
player,201112180kan,kan,BaldJo00,rec_td,0,,,,,
player,201112180kan,kan,BaldJo00,rec_long,17,,,,,
player,201112180kan,kan,BaldJo00,fumbles,0,,,,,
player,201112180kan,kan,BaldJo00,fumbles_lost,,,,,,
player,201112180kan,gnb,WoodCh00,def_int,0,,,,,
player,201112180kan,gnb,WoodCh00,def_int_yds,0,,,,,
player,201112180kan,gnb,WoodCh00,def_int_td,0,,,,,
player,201112180kan,gnb,WoodCh00,def_int_long,0,,,,,
player,201112180kan,gnb,WoodCh00,pass_defended,1,,,,,
player,201112180kan,gnb,WoodCh00,sacks,0.0,,,,,
player,201112180kan,gnb,WoodCh00,tackles_combined,11,,,,,
player,201112180kan,gnb,WoodCh00,tackles_solo,10,,,,,
player,201112180kan,gnb,WoodCh00,tackles_assists,1,,,,,
player,201112180kan,gnb,WoodCh00,tackles_loss,1,,,,,
player,201112180kan,gnb,WoodCh00,qb_hits,0,,,,,
player,201112180kan,gnb,WoodCh00,fumbles_rec,0,,,,,
player,201112180kan,gnb,WoodCh00,fumbles_rec_yds,0,,,,,
player,201112180kan,gnb,WoodCh00,fumbles_rec_td,0,,,,,
player,201112180kan,gnb,WoodCh00,fumbles_forced,0,,,,,
player,201112180kan,gnb,SmitD.00,def_int,0,,,,,
player,201112180kan,gnb,SmitD.00,def_int_yds,0,,,,,
player,201112180kan,gnb,SmitD.00,def_int_td,0,,,,,
player,201112180kan,gnb,SmitD.00,def_int_long,0,,,,,
player,201112180kan,gnb,SmitD.00,pass_defended,0,,,,,
player,201112180kan,gnb,SmitD.00,sacks,0.0,,,,,
player,201112180kan,gnb,SmitD.00,tackles_combined,9,,,,,
