game,2011,9,20111106,201111060kan,mia,"Miami Dolphins",31,kan,"Kansas City Chiefs",3
team,201111060kan,mia,First Downs,17,,,,,,
team,201111060kan,kan,First Downs,20,,,,,,
team,201111060kan,mia,Rush-Yds-TDs,24-107-1,,,,,,
team,201111060kan,kan,Rush-Yds-TDs,34-116-0,,,,,,
team,201111060kan,mia,Cmp-Att-Yd-TD-INT,17-23-244-3-0,,,,,,
team,201111060kan,kan,Cmp-Att-Yd-TD-INT,20-39-253-0-0,,,,,,
team,201111060kan,mia,Sacked-Yards,0-0,,,,,,
team,201111060kan,kan,Sacked-Yards,5-26,,,,,,
team,201111060kan,mia,Net Pass Yards,244,,,,,,
team,201111060kan,kan,Net Pass Yards,227,,,,,,
team,201111060kan,mia,Total Yards,351,,,,,,
team,201111060kan,kan,Total Yards,343,,,,,,
team,201111060kan,mia,Fumbles-Lost,0-0,,,,,,
team,201111060kan,kan,Fumbles-Lost,2-0,,,,,,
team,201111060kan,mia,Turnovers,0,,,,,,
team,201111060kan,kan,Turnovers,0,,,,,,
team,201111060kan,mia,Penalties-Yards,7-49,,,,,,
team,201111060kan,kan,Penalties-Yards,8-70,,,,,,
team,201111060kan,mia,Third Down Conv.,3-10,,,,,,
team,201111060kan,kan,Third Down Conv.,8-20,,,,,,
team,201111060kan,mia,Fourth Down Conv.,0-0,,,,,,
team,201111060kan,kan,Fourth Down Conv.,2-6,,,,,,
team,201111060kan,mia,Time of Possession,25:21,,,,,,
team,201111060kan,kan,Time of Possession,34:39,,,,,,
player,201111060kan,mia,MoorMa01,pass_cmp,17,,,,,
player,201111060kan,mia,MoorMa01,pass_att,23,,,,,
player,201111060kan,mia,MoorMa01,pass_yds,244,,,,,
player,201111060kan,mia,MoorMa01,pass_td,3,,,,,
player,201111060kan,mia,MoorMa01,pass_int,0,,,,,
player,201111060kan,mia,MoorMa01,pass_sacked,0,,,,,
player,201111060kan,mia,MoorMa01,pass_sacked_yds,0,,,,,
player,201111060kan,mia,MoorMa01,pass_long,35,,,,,
player,201111060kan,mia,MoorMa01,pass_rating,147.5,,,,,
player,201111060kan,mia,MoorMa01,rush_att,4,,,,,
player,201111060kan,mia,MoorMa01,rush_yds,3,,,,,
player,201111060kan,mia,MoorMa01,rush_td,0,,,,,
player,201111060kan,mia,MoorMa01,rush_long,5,,,,,
player,201111060kan,mia,MoorMa01,targets,0,,,,,
player,201111060kan,mia,MoorMa01,rec,0,,,,,
player,201111060kan,mia,MoorMa01,rec_yds,0,,,,,
player,201111060kan,mia,MoorMa01,rec_td,0,,,,,
player,201111060kan,mia,MoorMa01,rec_long,0,,,,,
player,201111060kan,mia,MoorMa01,fumbles,0,,,,,
player,201111060kan,mia,MoorMa01,fumbles_lost,,,,,,
player,201111060kan,mia,BushRe00,pass_cmp,0,,,,,
player,201111060kan,mia,BushRe00,pass_att,0,,,,,
player,201111060kan,mia,BushRe00,pass_yds,0,,,,,
player,201111060kan,mia,BushRe00,pass_td,0,,,,,
player,201111060kan,mia,BushRe00,pass_int,0,,,,,
player,201111060kan,mia,BushRe00,pass_sacked,0,,,,,
player,201111060kan,mia,BushRe00,pass_sacked_yds,0,,,,,
player,201111060kan,mia,BushRe00,pass_long,0,,,,,
player,201111060kan,mia,BushRe00,pass_rating,,,,,,
player,201111060kan,mia,BushRe00,rush_att,13,,,,,
player,201111060kan,mia,BushRe00,rush_yds,92,,,,,
player,201111060kan,mia,BushRe00,rush_td,1,,,,,
player,201111060kan,mia,BushRe00,rush_long,28,,,,,
player,201111060kan,mia,BushRe00,targets,3,,,,,
player,201111060kan,mia,BushRe00,rec,3,,,,,
player,201111060kan,mia,BushRe00,rec_yds,50,,,,,
player,201111060kan,mia,BushRe00,rec_td,0,,,,,
player,201111060kan,mia,BushRe00,rec_long,27,,,,,
player,201111060kan,mia,BushRe00,fumbles,0,,,,,
player,201111060kan,mia,BushRe00,fumbles_lost,,,,,,
player,201111060kan,mia,ThomDa03,pass_cmp,0,,,,,
player,201111060kan,mia,ThomDa03,pass_att,0,,,,,
player,201111060kan,mia,ThomDa03,pass_yds,0,,,,,
player,201111060kan,mia,ThomDa03,pass_td,0,,,,,
player,201111060kan,mia,ThomDa03,pass_int,0,,,,,
player,201111060kan,mia,ThomDa03,pass_sacked,0,,,,,
player,201111060kan,mia,ThomDa03,pass_sacked_yds,0,,,,,
player,201111060kan,mia,ThomDa03,pass_long,0,,,,,
player,201111060kan,mia,ThomDa03,pass_rating,,,,,,
player,201111060kan,mia,ThomDa03,rush_att,7,,,,,
player,201111060kan,mia,ThomDa03,rush_yds,12,,,,,
player,201111060kan,mia,ThomDa03,rush_td,0,,,,,
