game,2011,10,20111113,201111130cin,pit,"Pittsburgh Steelers",24,cin,"Cincinnati Bengals",17
team,201111130cin,pit,First Downs,24,,,,,,
team,201111130cin,cin,First Downs,14,,,,,,
team,201111130cin,pit,Rush-Yds-TDs,30-105-2,,,,,,
team,201111130cin,cin,Rush-Yds-TDs,26-109-0,,,,,,
team,201111130cin,pit,Cmp-Att-Yd-TD-INT,21-33-245-1-1,,,,,,
team,201111130cin,cin,Cmp-Att-Yd-TD-INT,15-30-170-2-2,,,,,,
team,201111130cin,pit,Sacked-Yards,5-22,,,,,,
team,201111130cin,cin,Sacked-Yards,0-0,,,,,,
team,201111130cin,pit,Net Pass Yards,223,,,,,,
team,201111130cin,cin,Net Pass Yards,170,,,,,,
team,201111130cin,pit,Total Yards,328,,,,,,
team,201111130cin,cin,Total Yards,279,,,,,,
team,201111130cin,pit,Fumbles-Lost,0-0,,,,,,
team,201111130cin,cin,Fumbles-Lost,0-0,,,,,,
team,201111130cin,pit,Turnovers,1,,,,,,
team,201111130cin,cin,Turnovers,2,,,,,,
team,201111130cin,pit,Penalties-Yards,4-31,,,,,,
team,201111130cin,cin,Penalties-Yards,4-35,,,,,,
team,201111130cin,pit,Third Down Conv.,5-12,,,,,,
team,201111130cin,cin,Third Down Conv.,4-11,,,,,,
team,201111130cin,pit,Fourth Down Conv.,0-0,,,,,,
team,201111130cin,cin,Fourth Down Conv.,0-0,,,,,,
team,201111130cin,pit,Time of Possession,33:53,,,,,,
team,201111130cin,cin,Time of Possession,26:07,,,,,,
player,201111130cin,pit,RoetBe00,pass_cmp,21,,,,,
player,201111130cin,pit,RoetBe00,pass_att,33,,,,,
player,201111130cin,pit,RoetBe00,pass_yds,245,,,,,
player,201111130cin,pit,RoetBe00,pass_td,1,,,,,
player,201111130cin,pit,RoetBe00,pass_int,1,,,,,
player,201111130cin,pit,RoetBe00,pass_sacked,5,,,,,
player,201111130cin,pit,RoetBe00,pass_sacked_yds,22,,,,,
player,201111130cin,pit,RoetBe00,pass_long,26,,,,,
