game,2011,17,20120101,201201010nwe,buf,"Buffalo Bills",21,nwe,"New England Patriots",49
team,201201010nwe,buf,First Downs,26,,,,,,
team,201201010nwe,nwe,First Downs,28,,,,,,
team,201201010nwe,buf,Rush-Yds-TDs,20-106-1,,,,,,
team,201201010nwe,nwe,Rush-Yds-TDs,29-138-2,,,,,,
team,201201010nwe,buf,Cmp-Att-Yd-TD-INT,29-46-307-2-4,,,,,,
team,201201010nwe,nwe,Cmp-Att-Yd-TD-INT,24-36-360-3-1,,,,,,
team,201201010nwe,buf,Sacked-Yards,2-11,,,,,,
team,201201010nwe,nwe,Sacked-Yards,4-18,,,,,,
team,201201010nwe,buf,Net Pass Yards,296,,,,,,
team,201201010nwe,nwe,Net Pass Yards,342,,,,,,
team,201201010nwe,buf,Total Yards,402,,,,,,
team,201201010nwe,nwe,Total Yards,480,,,,,,
team,201201010nwe,buf,Fumbles-Lost,1-0,,,,,,
team,201201010nwe,nwe,Fumbles-Lost,2-0,,,,,,
team,201201010nwe,buf,Turnovers,4,,,,,,
team,201201010nwe,nwe,Turnovers,1,,,,,,
team,201201010nwe,buf,Penalties-Yards,5-45,,,,,,
team,201201010nwe,nwe,Penalties-Yards,4-77,,,,,,
team,201201010nwe,buf,Third Down Conv.,1-7,,,,,,
team,201201010nwe,nwe,Third Down Conv.,6-12,,,,,,
team,201201010nwe,buf,Fourth Down Conv.,2-3,,,,,,
team,201201010nwe,nwe,Fourth Down Conv.,0-0,,,,,,
team,201201010nwe,buf,Time of Possession,30:22,,,,,,
team,201201010nwe,nwe,Time of Possession,29:38,,,,,,
player,201201010nwe,buf,FitzRy00,pass_cmp,29,,,,,
player,201201010nwe,buf,FitzRy00,pass_att,46,,,,,
player,201201010nwe,buf,FitzRy00,pass_yds,307,,,,,
player,201201010nwe,buf,FitzRy00,pass_td,2,,,,,
player,201201010nwe,buf,FitzRy00,pass_int,4,,,,,
player,201201010nwe,buf,FitzRy00,pass_sacked,2,,,,,
player,201201010nwe,buf,FitzRy00,pass_sacked_yds,11,,,,,
player,201201010nwe,buf,FitzRy00,pass_long,29,,,,,
player,201201010nwe,buf,FitzRy00,pass_rating,60.7,,,,,
player,201201010nwe,buf,FitzRy00,rush_att,5,,,,,
player,201201010nwe,buf,FitzRy00,rush_yds,36,,,,,
player,201201010nwe,buf,FitzRy00,rush_td,0,,,,,
player,201201010nwe,buf,FitzRy00,rush_long,16,,,,,
player,201201010nwe,buf,FitzRy00,targets,0,,,,,
player,201201010nwe,buf,FitzRy00,rec,0,,,,,
player,201201010nwe,buf,FitzRy00,rec_yds,0,,,,,
player,201201010nwe,buf,FitzRy00,rec_td,0,,,,,
player,201201010nwe,buf,FitzRy00,rec_long,0,,,,,
player,201201010nwe,buf,FitzRy00,fumbles,0,,,,,
player,201201010nwe,buf,FitzRy00,fumbles_lost,0,,,,,
player,201201010nwe,buf,SpilC.00,pass_cmp,0,,,,,
player,201201010nwe,buf,SpilC.00,pass_att,0,,,,,
player,201201010nwe,buf,SpilC.00,pass_yds,0,,,,,
player,201201010nwe,buf,SpilC.00,pass_td,0,,,,,
player,201201010nwe,buf,SpilC.00,pass_int,0,,,,,
player,201201010nwe,buf,SpilC.00,pass_sacked,0,,,,,
player,201201010nwe,buf,SpilC.00,pass_sacked_yds,0,,,,,
player,201201010nwe,buf,SpilC.00,pass_long,0,,,,,
player,201201010nwe,buf,SpilC.00,pass_rating,,,,,,
player,201201010nwe,buf,SpilC.00,rush_att,13,,,,,
player,201201010nwe,buf,SpilC.00,rush_yds,60,,,,,
player,201201010nwe,buf,SpilC.00,rush_td,0,,,,,
player,201201010nwe,buf,SpilC.00,rush_long,12,,,,,
player,201201010nwe,buf,SpilC.00,targets,8,,,,,
player,201201010nwe,buf,SpilC.00,rec,4,,,,,
player,201201010nwe,buf,SpilC.00,rec_yds,40,,,,,
player,201201010nwe,buf,SpilC.00,rec_td,1,,,,,
player,201201010nwe,buf,SpilC.00,rec_long,15,,,,,
player,201201010nwe,buf,SpilC.00,fumbles,0,,,,,
player,201201010nwe,buf,SpilC.00,fumbles_lost,,,,,,
player,201201010nwe,buf,WilsGe01,pass_cmp,0,,,,,
player,201201010nwe,buf,WilsGe01,pass_att,0,,,,,
player,201201010nwe,buf,WilsGe01,pass_yds,0,,,,,
player,201201010nwe,buf,WilsGe01,pass_td,0,,,,,
player,201201010nwe,buf,WilsGe01,pass_int,0,,,,,
player,201201010nwe,buf,WilsGe01,pass_sacked,0,,,,,
player,201201010nwe,buf,WilsGe01,pass_sacked_yds,0,,,,,
player,201201010nwe,buf,WilsGe01,pass_long,0,,,,,
player,201201010nwe,buf,WilsGe01,pass_rating,,,,,,
player,201201010nwe,buf,WilsGe01,rush_att,1,,,,,
player,201201010nwe,buf,WilsGe01,rush_yds,6,,,,,
player,201201010nwe,buf,WilsGe01,rush_td,0,,,,,
player,201201010nwe,buf,WilsGe01,rush_long,6,,,,,
player,201201010nwe,buf,WilsGe01,targets,0,,,,,
player,201201010nwe,buf,WilsGe01,rec,0,,,,,
player,201201010nwe,buf,WilsGe01,rec_yds,0,,,,,
player,201201010nwe,buf,WilsGe01,rec_td,0,,,,,
player,201201010nwe,buf,WilsGe01,rec_long,0,,,,,
player,201201010nwe,buf,WilsGe01,fumbles,0,,,,,
player,201201010nwe,buf,WilsGe01,fumbles_lost,,,,,,
player,201201010nwe,buf,ChoiTa00,pass_cmp,0,,,,,
player,201201010nwe,buf,ChoiTa00,pass_att,0,,,,,
player,201201010nwe,buf,ChoiTa00,pass_yds,0,,,,,
player,201201010nwe,buf,ChoiTa00,pass_td,0,,,,,
player,201201010nwe,buf,ChoiTa00,pass_int,0,,,,,
player,201201010nwe,buf,ChoiTa00,pass_sacked,0,,,,,
player,201201010nwe,buf,ChoiTa00,pass_sacked_yds,0,,,,,
player,201201010nwe,buf,ChoiTa00,pass_long,0,,,,,
player,201201010nwe,buf,ChoiTa00,pass_rating,,,,,,
player,201201010nwe,buf,ChoiTa00,rush_att,1,,,,,
player,201201010nwe,buf,ChoiTa00,rush_yds,4,,,,,
player,201201010nwe,buf,ChoiTa00,rush_td,1,,,,,
player,201201010nwe,buf,ChoiTa00,rush_long,4,,,,,
player,201201010nwe,buf,ChoiTa00,targets,2,,,,,
player,201201010nwe,buf,ChoiTa00,rec,1,,,,,
player,201201010nwe,buf,ChoiTa00,rec_yds,9,,,,,
player,201201010nwe,buf,ChoiTa00,rec_td,0,,,,,
player,201201010nwe,buf,ChoiTa00,rec_long,9,,,,,
player,201201010nwe,buf,ChoiTa00,fumbles,0,,,,,
player,201201010nwe,buf,ChoiTa00,fumbles_lost,,,,,,
player,201201010nwe,buf,HagaDe00,pass_cmp,0,,,,,
player,201201010nwe,buf,HagaDe00,pass_att,0,,,,,
player,201201010nwe,buf,HagaDe00,pass_yds,0,,,,,
player,201201010nwe,buf,HagaDe00,pass_td,0,,,,,
player,201201010nwe,buf,HagaDe00,pass_int,0,,,,,
player,201201010nwe,buf,HagaDe00,pass_sacked,0,,,,,
player,201201010nwe,buf,HagaDe00,pass_sacked_yds,0,,,,,
player,201201010nwe,buf,HagaDe00,pass_long,0,,,,,
player,201201010nwe,buf,HagaDe00,pass_rating,,,,,,
player,201201010nwe,buf,HagaDe00,rush_att,0,,,,,
player,201201010nwe,buf,HagaDe00,rush_yds,0,,,,,
player,201201010nwe,buf,HagaDe00,rush_td,0,,,,,
player,201201010nwe,buf,HagaDe00,rush_long,0,,,,,
player,201201010nwe,buf,HagaDe00,targets,10,,,,,
player,201201010nwe,buf,HagaDe00,rec,7,,,,,
player,201201010nwe,buf,HagaDe00,rec_yds,89,,,,,
player,201201010nwe,buf,HagaDe00,rec_td,0,,,,,
player,201201010nwe,buf,HagaDe00,rec_long,29,,,,,
player,201201010nwe,buf,HagaDe00,fumbles,0,,,,,
player,201201010nwe,buf,HagaDe00,fumbles_lost,,,,,,
player,201201010nwe,buf,MartRu00,pass_cmp,0,,,,,
player,201201010nwe,buf,MartRu00,pass_att,0,,,,,
player,201201010nwe,buf,MartRu00,pass_yds,0,,,,,
player,201201010nwe,buf,MartRu00,pass_td,0,,,,,
player,201201010nwe,buf,MartRu00,pass_int,0,,,,,
player,201201010nwe,buf,MartRu00,pass_sacked,0,,,,,
player,201201010nwe,buf,MartRu00,pass_sacked_yds,0,,,,,
player,201201010nwe,buf,MartRu00,pass_long,0,,,,,
player,201201010nwe,buf,MartRu00,pass_rating,,,,,,
player,201201010nwe,buf,MartRu00,rush_att,0,,,,,
player,201201010nwe,buf,MartRu00,rush_yds,0,,,,,
player,201201010nwe,buf,MartRu00,rush_td,0,,,,,
player,201201010nwe,buf,MartRu00,rush_long,0,,,,,
player,201201010nwe,buf,MartRu00,targets,5,,,,,
player,201201010nwe,buf,MartRu00,rec,4,,,,,
player,201201010nwe,buf,MartRu00,rec_yds,42,,,,,
player,201201010nwe,buf,MartRu00,rec_td,0,,,,,
player,201201010nwe,buf,MartRu00,rec_long,14,,,,,
player,201201010nwe,buf,MartRu00,fumbles,0,,,,,
player,201201010nwe,buf,MartRu00,fumbles_lost,,,,,,
player,201201010nwe,buf,JohnSt00,pass_cmp,0,,,,,
player,201201010nwe,buf,JohnSt00,pass_att,0,,,,,
player,201201010nwe,buf,JohnSt00,pass_yds,0,,,,,
player,201201010nwe,buf,JohnSt00,pass_td,0,,,,,
player,201201010nwe,buf,JohnSt00,pass_int,0,,,,,
player,201201010nwe,buf,JohnSt00,pass_sacked,0,,,,,
player,201201010nwe,buf,JohnSt00,pass_sacked_yds,0,,,,,
player,201201010nwe,buf,JohnSt00,pass_long,0,,,,,
player,201201010nwe,buf,JohnSt00,pass_rating,,,,,,
player,201201010nwe,buf,JohnSt00,rush_att,0,,,,,
player,201201010nwe,buf,JohnSt00,rush_yds,0,,,,,
player,201201010nwe,buf,JohnSt00,rush_td,0,,,,,
player,201201010nwe,buf,JohnSt00,rush_long,0,,,,,
player,201201010nwe,buf,JohnSt00,targets,7,,,,,
player,201201010nwe,buf,JohnSt00,rec,4,,,,,
player,201201010nwe,buf,JohnSt00,rec_yds,40,,,,,
player,201201010nwe,buf,JohnSt00,rec_td,1,,,,,
player,201201010nwe,buf,JohnSt00,rec_long,18,,,,,
player,201201010nwe,buf,JohnSt00,fumbles,0,,,,,
player,201201010nwe,buf,JohnSt00,fumbles_lost,,,,,,
player,201201010nwe,buf,RoosNa00,pass_cmp,0,,,,,
player,201201010nwe,buf,RoosNa00,pass_att,0,,,,,
player,201201010nwe,buf,RoosNa00,pass_yds,0,,,,,
player,201201010nwe,buf,RoosNa00,pass_td,0,,,,,
player,201201010nwe,buf,RoosNa00,pass_int,0,,,,,
player,201201010nwe,buf,RoosNa00,pass_sacked,0,,,,,
player,201201010nwe,buf,RoosNa00,pass_sacked_yds,0,,,,,
player,201201010nwe,buf,RoosNa00,pass_long,0,,,,,
player,201201010nwe,buf,RoosNa00,pass_rating,,,,,,
player,201201010nwe,buf,RoosNa00,rush_att,0,,,,,
player,201201010nwe,buf,RoosNa00,rush_yds,0,,,,,
player,201201010nwe,buf,RoosNa00,rush_td,0,,,,,
player,201201010nwe,buf,RoosNa00,rush_long,0,,,,,
player,201201010nwe,buf,RoosNa00,targets,6,,,,,
player,201201010nwe,buf,RoosNa00,rec,3,,,,,
player,201201010nwe,buf,RoosNa00,rec_yds,29,,,,,
player,201201010nwe,buf,RoosNa00,rec_td,0,,,,,
player,201201010nwe,buf,RoosNa00,rec_long,21,,,,,
player,201201010nwe,buf,RoosNa00,fumbles,0,,,,,
player,201201010nwe,buf,RoosNa00,fumbles_lost,,,,,,
player,201201010nwe,buf,ChanSc00,pass_cmp,0,,,,,
