game,2011,7,20111024,201110240jax,rav,"Baltimore Ravens",7,jax,"Jacksonville Jaguars",12
team,201110240jax,rav,First Downs,11,,,,,,
team,201110240jax,jax,First Downs,13,,,,,,
team,201110240jax,rav,Rush-Yds-TDs,12-34-0,,,,,,
team,201110240jax,jax,Rush-Yds-TDs,42-132-0,,,,,,
team,201110240jax,rav,Cmp-Att-Yd-TD-INT,21-38-137-1-1,,,,,,
team,201110240jax,jax,Cmp-Att-Yd-TD-INT,9-20-93-0-0,,,,,,
team,201110240jax,rav,Sacked-Yards,3-25,,,,,,
team,201110240jax,jax,Sacked-Yards,4-20,,,,,,
team,201110240jax,rav,Net Pass Yards,112,,,,,,
team,201110240jax,jax,Net Pass Yards,73,,,,,,
team,201110240jax,rav,Total Yards,146,,,,,,
team,201110240jax,jax,Total Yards,205,,,,,,
team,201110240jax,rav,Fumbles-Lost,2-1,,,,,,
team,201110240jax,jax,Fumbles-Lost,4-1,,,,,,
team,201110240jax,rav,Turnovers,2,,,,,,
team,201110240jax,jax,Turnovers,1,,,,,,
team,201110240jax,rav,Penalties-Yards,10-85,,,,,,
team,201110240jax,jax,Penalties-Yards,6-90,,,,,,
team,201110240jax,rav,Third Down Conv.,2-12,,,,,,
team,201110240jax,jax,Third Down Conv.,2-16,,,,,,
team,201110240jax,rav,Fourth Down Conv.,0-0,,,,,,
team,201110240jax,jax,Fourth Down Conv.,1-1,,,,,,
team,201110240jax,rav,Time of Possession,23:45,,,,,,
team,201110240jax,jax,Time of Possession,36:15,,,,,,
player,201110240jax,rav,FlacJo00,pass_cmp,21,,,,,
player,201110240jax,rav,FlacJo00,pass_att,38,,,,,
player,201110240jax,rav,FlacJo00,pass_yds,137,,,,,
player,201110240jax,rav,FlacJo00,pass_td,1,,,,,
player,201110240jax,rav,FlacJo00,pass_int,1,,,,,
player,201110240jax,rav,FlacJo00,pass_sacked,3,,,,,
player,201110240jax,rav,FlacJo00,pass_sacked_yds,25,,,,,
player,201110240jax,rav,FlacJo00,pass_long,20,,,,,
player,201110240jax,rav,FlacJo00,pass_rating,61.0,,,,,
player,201110240jax,rav,FlacJo00,rush_att,0,,,,,
player,201110240jax,rav,FlacJo00,rush_yds,0,,,,,
player,201110240jax,rav,FlacJo00,rush_td,0,,,,,
player,201110240jax,rav,FlacJo00,rush_long,0,,,,,
player,201110240jax,rav,FlacJo00,targets,1,,,,,
player,201110240jax,rav,FlacJo00,rec,1,,,,,
player,201110240jax,rav,FlacJo00,rec_yds,-8,,,,,
player,201110240jax,rav,FlacJo00,rec_td,0,,,,,
player,201110240jax,rav,FlacJo00,rec_long,-8,,,,,
player,201110240jax,rav,FlacJo00,fumbles,1,,,,,
player,201110240jax,rav,FlacJo00,fumbles_lost,0,,,,,
player,201110240jax,rav,RiceRa00,pass_cmp,0,,,,,
player,201110240jax,rav,RiceRa00,pass_att,0,,,,,
player,201110240jax,rav,RiceRa00,pass_yds,0,,,,,
player,201110240jax,rav,RiceRa00,pass_td,0,,,,,
player,201110240jax,rav,RiceRa00,pass_int,0,,,,,
player,201110240jax,rav,RiceRa00,pass_sacked,0,,,,,
player,201110240jax,rav,RiceRa00,pass_sacked_yds,0,,,,,
player,201110240jax,rav,RiceRa00,pass_long,0,,,,,
player,201110240jax,rav,RiceRa00,pass_rating,,,,,,
player,201110240jax,rav,RiceRa00,rush_att,8,,,,,
player,201110240jax,rav,RiceRa00,rush_yds,28,,,,,
player,201110240jax,rav,RiceRa00,rush_td,0,,,,,
player,201110240jax,rav,RiceRa00,rush_long,12,,,,,
player,201110240jax,rav,RiceRa00,targets,8,,,,,
player,201110240jax,rav,RiceRa00,rec,5,,,,,
player,201110240jax,rav,RiceRa00,rec_yds,35,,,,,
player,201110240jax,rav,RiceRa00,rec_td,0,,,,,
player,201110240jax,rav,RiceRa00,rec_long,11,,,,,
player,201110240jax,rav,RiceRa00,fumbles,1,,,,,
player,201110240jax,rav,RiceRa00,fumbles_lost,1,,,,,
player,201110240jax,rav,WillRi00,pass_cmp,0,,,,,
player,201110240jax,rav,WillRi00,pass_att,0,,,,,
player,201110240jax,rav,WillRi00,pass_yds,0,,,,,
player,201110240jax,rav,WillRi00,pass_td,0,,,,,
player,201110240jax,rav,WillRi00,pass_int,0,,,,,
player,201110240jax,rav,WillRi00,pass_sacked,0,,,,,
player,201110240jax,rav,WillRi00,pass_sacked_yds,0,,,,,
player,201110240jax,rav,WillRi00,pass_long,0,,,,,
player,201110240jax,rav,WillRi00,pass_rating,,,,,,
player,201110240jax,rav,WillRi00,rush_att,3,,,,,
player,201110240jax,rav,WillRi00,rush_yds,5,,,,,
player,201110240jax,rav,WillRi00,rush_td,0,,,,,
player,201110240jax,rav,WillRi00,rush_long,4,,,,,
player,201110240jax,rav,WillRi00,targets,0,,,,,
player,201110240jax,rav,WillRi00,rec,0,,,,,
player,201110240jax,rav,WillRi00,rec_yds,0,,,,,
player,201110240jax,rav,WillRi00,rec_td,0,,,,,
player,201110240jax,rav,WillRi00,rec_long,0,,,,,
player,201110240jax,rav,WillRi00,fumbles,0,,,,,
player,201110240jax,rav,WillRi00,fumbles_lost,,,,,,
player,201110240jax,rav,LeacVo00,pass_cmp,0,,,,,
player,201110240jax,rav,LeacVo00,pass_att,0,,,,,
player,201110240jax,rav,LeacVo00,pass_yds,0,,,,,
player,201110240jax,rav,LeacVo00,pass_td,0,,,,,
player,201110240jax,rav,LeacVo00,pass_int,0,,,,,
player,201110240jax,rav,LeacVo00,pass_sacked,0,,,,,
player,201110240jax,rav,LeacVo00,pass_sacked_yds,0,,,,,
player,201110240jax,rav,LeacVo00,pass_long,0,,,,,
player,201110240jax,rav,LeacVo00,pass_rating,,,,,,
player,201110240jax,rav,LeacVo00,rush_att,1,,,,,
player,201110240jax,rav,LeacVo00,rush_yds,1,,,,,
player,201110240jax,rav,LeacVo00,rush_td,0,,,,,
player,201110240jax,rav,LeacVo00,rush_long,1,,,,,
player,201110240jax,rav,LeacVo00,targets,1,,,,,
player,201110240jax,rav,LeacVo00,rec,1,,,,,
player,201110240jax,rav,LeacVo00,rec_yds,2,,,,,
player,201110240jax,rav,LeacVo00,rec_td,0,,,,,
player,201110240jax,rav,LeacVo00,rec_long,2,,,,,
player,201110240jax,rav,LeacVo00,fumbles,0,,,,,
player,201110240jax,rav,LeacVo00,fumbles_lost,,,,,,
player,201110240jax,rav,BoldAn00,pass_cmp,0,,,,,
player,201110240jax,rav,BoldAn00,pass_att,0,,,,,
player,201110240jax,rav,BoldAn00,pass_yds,0,,,,,
player,201110240jax,rav,BoldAn00,pass_td,0,,,,,
player,201110240jax,rav,BoldAn00,pass_int,0,,,,,
player,201110240jax,rav,BoldAn00,pass_sacked,0,,,,,
player,201110240jax,rav,BoldAn00,pass_sacked_yds,0,,,,,
player,201110240jax,rav,BoldAn00,pass_long,0,,,,,
player,201110240jax,rav,BoldAn00,pass_rating,,,,,,
player,201110240jax,rav,BoldAn00,rush_att,0,,,,,
player,201110240jax,rav,BoldAn00,rush_yds,0,,,,,
player,201110240jax,rav,BoldAn00,rush_td,0,,,,,
player,201110240jax,rav,BoldAn00,rush_long,0,,,,,
player,201110240jax,rav,BoldAn00,targets,12,,,,,
player,201110240jax,rav,BoldAn00,rec,4,,,,,
player,201110240jax,rav,BoldAn00,rec_yds,40,,,,,
player,201110240jax,rav,BoldAn00,rec_td,1,,,,,
