game,2011,2,20110919,201109190nyg,ram,"St. Louis Rams",16,nyg,"New York Giants",28
team,201109190nyg,ram,First Downs,14,,,,,,
team,201109190nyg,nyg,First Downs,22,,,,,,
team,201109190nyg,ram,Rush-Yds-TDs,19-59-0,,,,,,
team,201109190nyg,nyg,Rush-Yds-TDs,38-119-1,,,,,,
team,201109190nyg,ram,Cmp-Att-Yd-TD-INT,22-46-331-1-0,,,,,,
team,201109190nyg,nyg,Cmp-Att-Yd-TD-INT,19-30-223-2-1,,,,,,
team,201109190nyg,ram,Sacked-Yards,2-23,,,,,,
team,201109190nyg,nyg,Sacked-Yards,3-19,,,,,,
team,201109190nyg,ram,Net Pass Yards,308,,,,,,
team,201109190nyg,nyg,Net Pass Yards,204,,,,,,
team,201109190nyg,ram,Total Yards,367,,,,,,
team,201109190nyg,nyg,Total Yards,323,,,,,,
team,201109190nyg,ram,Fumbles-Lost,4-2,,,,,,
team,201109190nyg,nyg,Fumbles-Lost,0-0,,,,,,
team,201109190nyg,ram,Turnovers,2,,,,,,
team,201109190nyg,nyg,Turnovers,1,,,,,,
team,201109190nyg,ram,Penalties-Yards,7-62,,,,,,
team,201109190nyg,nyg,Penalties-Yards,5-55,,,,,,
team,201109190nyg,ram,Third Down Conv.,5-17,,,,,,
team,201109190nyg,nyg,Third Down Conv.,5-15,,,,,,
team,201109190nyg,ram,Fourth Down Conv.,1-1,,,,,,
team,201109190nyg,nyg,Fourth Down Conv.,1-2,,,,,,
team,201109190nyg,ram,Time of Possession,25:48,,,,,,
team,201109190nyg,nyg,Time of Possession,34:12,,,,,,
player,201109190nyg,ram,BradSa00,pass_cmp,22,,,,,
player,201109190nyg,ram,BradSa00,pass_att,46,,,,,
player,201109190nyg,ram,BradSa00,pass_yds,331,,,,,
player,201109190nyg,ram,BradSa00,pass_td,1,,,,,
player,201109190nyg,ram,BradSa00,pass_int,0,,,,,
player,201109190nyg,ram,BradSa00,pass_sacked,2,,,,,
player,201109190nyg,ram,BradSa00,pass_sacked_yds,23,,,,,
player,201109190nyg,ram,BradSa00,pass_long,68,,,,,
player,201109190nyg,ram,BradSa00,pass_rating,79.2,,,,,
player,201109190nyg,ram,BradSa00,rush_att,3,,,,,
player,201109190nyg,ram,BradSa00,rush_yds,15,,,,,
player,201109190nyg,ram,BradSa00,rush_td,0,,,,,
player,201109190nyg,ram,BradSa00,rush_long,17,,,,,
player,201109190nyg,ram,BradSa00,targets,0,,,,,
player,201109190nyg,ram,BradSa00,rec,0,,,,,
player,201109190nyg,ram,BradSa00,rec_yds,0,,,,,
player,201109190nyg,ram,BradSa00,rec_td,0,,,,,
player,201109190nyg,ram,BradSa00,rec_long,0,,,,,
player,201109190nyg,ram,BradSa00,fumbles,1,,,,,
player,201109190nyg,ram,BradSa00,fumbles_lost,1,,,,,
player,201109190nyg,ram,WillCa02,pass_cmp,0,,,,,
player,201109190nyg,ram,WillCa02,pass_att,0,,,,,
player,201109190nyg,ram,WillCa02,pass_yds,0,,,,,
player,201109190nyg,ram,WillCa02,pass_td,0,,,,,
player,201109190nyg,ram,WillCa02,pass_int,0,,,,,
player,201109190nyg,ram,WillCa02,pass_sacked,0,,,,,
player,201109190nyg,ram,WillCa02,pass_sacked_yds,0,,,,,
player,201109190nyg,ram,WillCa02,pass_long,0,,,,,
player,201109190nyg,ram,WillCa02,pass_rating,,,,,,
player,201109190nyg,ram,WillCa02,rush_att,13,,,,,
player,201109190nyg,ram,WillCa02,rush_yds,36,,,,,
player,201109190nyg,ram,WillCa02,rush_td,0,,,,,
player,201109190nyg,ram,WillCa02,rush_long,9,,,,,
player,201109190nyg,ram,WillCa02,targets,5,,,,,
player,201109190nyg,ram,WillCa02,rec,3,,,,,
player,201109190nyg,ram,WillCa02,rec_yds,4,,,,,
player,201109190nyg,ram,WillCa02,rec_td,0,,,,,
