game,2011,6,20111016,201110160pit,jax,"Jacksonville Jaguars",13,pit,"Pittsburgh Steelers",17
team,201110160pit,jax,First Downs,16,,,,,,
team,201110160pit,pit,First Downs,15,,,,,,
team,201110160pit,jax,Rush-Yds-TDs,30-133-0,,,,,,
team,201110160pit,pit,Rush-Yds-TDs,32-185-1,,,,,,
team,201110160pit,jax,Cmp-Att-Yd-TD-INT,12-26-109-1-0,,,,,,
team,201110160pit,pit,Cmp-Att-Yd-TD-INT,12-23-200-1-0,,,,,,
team,201110160pit,jax,Sacked-Yards,5-33,,,,,,
team,201110160pit,pit,Sacked-Yards,3-15,,,,,,
team,201110160pit,jax,Net Pass Yards,76,,,,,,
team,201110160pit,pit,Net Pass Yards,185,,,,,,
team,201110160pit,jax,Total Yards,209,,,,,,
team,201110160pit,pit,Total Yards,370,,,,,,
team,201110160pit,jax,Fumbles-Lost,0-0,,,,,,
team,201110160pit,pit,Fumbles-Lost,1-0,,,,,,
team,201110160pit,jax,Turnovers,0,,,,,,
team,201110160pit,pit,Turnovers,0,,,,,,
team,201110160pit,jax,Penalties-Yards,4-22,,,,,,
team,201110160pit,pit,Penalties-Yards,8-65,,,,,,
team,201110160pit,jax,Third Down Conv.,4-15,,,,,,
team,201110160pit,pit,Third Down Conv.,7-15,,,,,,
team,201110160pit,jax,Fourth Down Conv.,1-1,,,,,,
team,201110160pit,pit,Fourth Down Conv.,0-0,,,,,,
team,201110160pit,jax,Time of Possession,28:47,,,,,,
team,201110160pit,pit,Time of Possession,31:13,,,,,,
player,201110160pit,jax,GabbBl00,pass_cmp,12,,,,,
player,201110160pit,jax,GabbBl00,pass_att,26,,,,,
player,201110160pit,jax,GabbBl00,pass_yds,109,,,,,
player,201110160pit,jax,GabbBl00,pass_td,1,,,,,
player,201110160pit,jax,GabbBl00,pass_int,0,,,,,
player,201110160pit,jax,GabbBl00,pass_sacked,5,,,,,
player,201110160pit,jax,GabbBl00,pass_sacked_yds,33,,,,,
player,201110160pit,jax,GabbBl00,pass_long,21,,,,,
player,201110160pit,jax,GabbBl00,pass_rating,70.8,,,,,
player,201110160pit,jax,GabbBl00,rush_att,3,,,,,
player,201110160pit,jax,GabbBl00,rush_yds,16,,,,,
player,201110160pit,jax,GabbBl00,rush_td,0,,,,,
player,201110160pit,jax,GabbBl00,rush_long,10,,,,,
player,201110160pit,jax,GabbBl00,targets,0,,,,,
player,201110160pit,jax,GabbBl00,rec,0,,,,,
player,201110160pit,jax,GabbBl00,rec_yds,0,,,,,
player,201110160pit,jax,GabbBl00,rec_td,0,,,,,
player,201110160pit,jax,GabbBl00,rec_long,0,,,,,
player,201110160pit,jax,GabbBl00,fumbles,0,,,,,
player,201110160pit,jax,GabbBl00,fumbles_lost,,,,,,
player,201110160pit,jax,DrewMa00,pass_cmp,0,,,,,
