game,2011,13,20111205,201112050jax,sdg,"San Diego Chargers",38,jax,"Jacksonville Jaguars",14
team,201112050jax,sdg,First Downs,19,,,,,,
team,201112050jax,jax,First Downs,17,,,,,,
team,201112050jax,sdg,Rush-Yds-TDs,26-139-2,,,,,,
team,201112050jax,jax,Rush-Yds-TDs,31-129-0,,,,,,
team,201112050jax,sdg,Cmp-Att-Yd-TD-INT,22-28-294-3-0,,,,,,
team,201112050jax,jax,Cmp-Att-Yd-TD-INT,19-33-195-2-1,,,,,,
team,201112050jax,sdg,Sacked-Yards,0-0,,,,,,
team,201112050jax,jax,Sacked-Yards,2-18,,,,,,
team,201112050jax,sdg,Net Pass Yards,294,,,,,,
team,201112050jax,jax,Net Pass Yards,177,,,,,,
team,201112050jax,sdg,Total Yards,433,,,,,,
team,201112050jax,jax,Total Yards,306,,,,,,
team,201112050jax,sdg,Fumbles-Lost,0-0,,,,,,
team,201112050jax,jax,Fumbles-Lost,2-0,,,,,,
team,201112050jax,sdg,Turnovers,0,,,,,,
team,201112050jax,jax,Turnovers,1,,,,,,
team,201112050jax,sdg,Penalties-Yards,6-55,,,,,,
team,201112050jax,jax,Penalties-Yards,3-26,,,,,,
team,201112050jax,sdg,Third Down Conv.,4-10,,,,,,
team,201112050jax,jax,Third Down Conv.,9-16,,,,,,
team,201112050jax,sdg,Fourth Down Conv.,0-0,,,,,,
team,201112050jax,jax,Fourth Down Conv.,0-2,,,,,,
team,201112050jax,sdg,Time of Possession,28:17,,,,,,
team,201112050jax,jax,Time of Possession,31:43,,,,,,
player,201112050jax,sdg,RivePh00,pass_cmp,22,,,,,
player,201112050jax,sdg,RivePh00,pass_att,28,,,,,
player,201112050jax,sdg,RivePh00,pass_yds,294,,,,,
player,201112050jax,sdg,RivePh00,pass_td,3,,,,,
player,201112050jax,sdg,RivePh00,pass_int,0,,,,,
player,201112050jax,sdg,RivePh00,pass_sacked,0,,,,,
player,201112050jax,sdg,RivePh00,pass_sacked_yds,0,,,,,
player,201112050jax,sdg,RivePh00,pass_long,52,,,,,
player,201112050jax,sdg,RivePh00,pass_rating,146.1,,,,,
player,201112050jax,sdg,RivePh00,rush_att,0,,,,,
player,201112050jax,sdg,RivePh00,rush_yds,0,,,,,
player,201112050jax,sdg,RivePh00,rush_td,0,,,,,
player,201112050jax,sdg,RivePh00,rush_long,0,,,,,
player,201112050jax,sdg,RivePh00,targets,0,,,,,
player,201112050jax,sdg,RivePh00,rec,0,,,,,
player,201112050jax,sdg,RivePh00,rec_yds,0,,,,,
player,201112050jax,sdg,RivePh00,rec_td,0,,,,,
player,201112050jax,sdg,RivePh00,rec_long,0,,,,,
player,201112050jax,sdg,RivePh00,fumbles,0,,,,,
player,201112050jax,sdg,RivePh00,fumbles_lost,,,,,,
player,201112050jax,sdg,MathRy00,pass_cmp,0,,,,,
player,201112050jax,sdg,MathRy00,pass_att,0,,,,,
player,201112050jax,sdg,MathRy00,pass_yds,0,,,,,
player,201112050jax,sdg,MathRy00,pass_td,0,,,,,
player,201112050jax,sdg,MathRy00,pass_int,0,,,,,
player,201112050jax,sdg,MathRy00,pass_sacked,0,,,,,
player,201112050jax,sdg,MathRy00,pass_sacked_yds,0,,,,,
player,201112050jax,sdg,MathRy00,pass_long,0,,,,,
player,201112050jax,sdg,MathRy00,pass_rating,,,,,,
player,201112050jax,sdg,MathRy00,rush_att,13,,,,,
player,201112050jax,sdg,MathRy00,rush_yds,112,,,,,
player,201112050jax,sdg,MathRy00,rush_td,1,,,,,
player,201112050jax,sdg,MathRy00,rush_long,31,,,,,
player,201112050jax,sdg,MathRy00,targets,3,,,,,
player,201112050jax,sdg,MathRy00,rec,3,,,,,
player,201112050jax,sdg,MathRy00,rec_yds,2,,,,,
player,201112050jax,sdg,MathRy00,rec_td,0,,,,,
player,201112050jax,sdg,MathRy00,rec_long,6,,,,,
player,201112050jax,sdg,MathRy00,fumbles,0,,,,,
player,201112050jax,sdg,MathRy00,fumbles_lost,,,,,,
player,201112050jax,sdg,TolbMi00,pass_cmp,0,,,,,
player,201112050jax,sdg,TolbMi00,pass_att,0,,,,,
player,201112050jax,sdg,TolbMi00,pass_yds,0,,,,,
player,201112050jax,sdg,TolbMi00,pass_td,0,,,,,
player,201112050jax,sdg,TolbMi00,pass_int,0,,,,,
player,201112050jax,sdg,TolbMi00,pass_sacked,0,,,,,
player,201112050jax,sdg,TolbMi00,pass_sacked_yds,0,,,,,
player,201112050jax,sdg,TolbMi00,pass_long,0,,,,,
player,201112050jax,sdg,TolbMi00,pass_rating,,,,,,
player,201112050jax,sdg,TolbMi00,rush_att,6,,,,,
player,201112050jax,sdg,TolbMi00,rush_yds,24,,,,,
player,201112050jax,sdg,TolbMi00,rush_td,1,,,,,
player,201112050jax,sdg,TolbMi00,rush_long,13,,,,,
player,201112050jax,sdg,TolbMi00,targets,1,,,,,
player,201112050jax,sdg,TolbMi00,rec,0,,,,,
player,201112050jax,sdg,TolbMi00,rec_yds,0,,,,,
player,201112050jax,sdg,TolbMi00,rec_td,0,,,,,
player,201112050jax,sdg,TolbMi00,rec_long,0,,,,,
player,201112050jax,sdg,TolbMi00,fumbles,0,,,,,
player,201112050jax,sdg,TolbMi00,fumbles_lost,,,,,,
player,201112050jax,sdg,BrinCu00,pass_cmp,0,,,,,
player,201112050jax,sdg,BrinCu00,pass_att,0,,,,,
player,201112050jax,sdg,BrinCu00,pass_yds,0,,,,,
player,201112050jax,sdg,BrinCu00,pass_td,0,,,,,
player,201112050jax,sdg,BrinCu00,pass_int,0,,,,,
player,201112050jax,sdg,BrinCu00,pass_sacked,0,,,,,
