game,2011,13,20111204,201112040pit,cin,"Cincinnati Bengals",7,pit,"Pittsburgh Steelers",35
team,201112040pit,cin,First Downs,13,,,,,,
team,201112040pit,pit,First Downs,22,,,,,,
team,201112040pit,cin,Rush-Yds-TDs,22-104-0,,,,,,
team,201112040pit,pit,Rush-Yds-TDs,33-136-2,,,,,,
team,201112040pit,cin,Cmp-Att-Yd-TD-INT,14-30-152-1-1,,,,,,
team,201112040pit,pit,Cmp-Att-Yd-TD-INT,15-23-176-2-0,,,,,,
team,201112040pit,cin,Sacked-Yards,3-24,,,,,,
team,201112040pit,pit,Sacked-Yards,3-17,,,,,,
team,201112040pit,cin,Net Pass Yards,128,,,,,,
team,201112040pit,pit,Net Pass Yards,159,,,,,,
team,201112040pit,cin,Total Yards,232,,,,,,
team,201112040pit,pit,Total Yards,295,,,,,,
team,201112040pit,cin,Fumbles-Lost,1-1,,,,,,
team,201112040pit,pit,Fumbles-Lost,0-0,,,,,,
team,201112040pit,cin,Turnovers,2,,,,,,
team,201112040pit,pit,Turnovers,0,,,,,,
team,201112040pit,cin,Penalties-Yards,10-109,,,,,,
team,201112040pit,pit,Penalties-Yards,4-29,,,,,,
team,201112040pit,cin,Third Down Conv.,2-11,,,,,,
team,201112040pit,pit,Third Down Conv.,2-10,,,,,,
team,201112040pit,cin,Fourth Down Conv.,1-1,,,,,,
team,201112040pit,pit,Fourth Down Conv.,0-0,,,,,,
team,201112040pit,cin,Time of Possession,27:16,,,,,,
team,201112040pit,pit,Time of Possession,32:44,,,,,,
player,201112040pit,cin,DaltAn00,pass_cmp,11,,,,,
player,201112040pit,cin,DaltAn00,pass_att,24,,,,,
player,201112040pit,cin,DaltAn00,pass_yds,135,,,,,
player,201112040pit,cin,DaltAn00,pass_td,1,,,,,
player,201112040pit,cin,DaltAn00,pass_int,0,,,,,
player,201112040pit,cin,DaltAn00,pass_sacked,3,,,,,
player,201112040pit,cin,DaltAn00,pass_sacked_yds,24,,,,,
player,201112040pit,cin,DaltAn00,pass_long,43,,,,,
player,201112040pit,cin,DaltAn00,pass_rating,77.6,,,,,
player,201112040pit,cin,DaltAn00,rush_att,2,,,,,
player,201112040pit,cin,DaltAn00,rush_yds,6,,,,,
player,201112040pit,cin,DaltAn00,rush_td,0,,,,,
player,201112040pit,cin,DaltAn00,rush_long,4,,,,,
player,201112040pit,cin,DaltAn00,targets,0,,,,,
player,201112040pit,cin,DaltAn00,rec,0,,,,,
player,201112040pit,cin,DaltAn00,rec_yds,0,,,,,
player,201112040pit,cin,DaltAn00,rec_td,0,,,,,
player,201112040pit,cin,DaltAn00,rec_long,0,,,,,
player,201112040pit,cin,DaltAn00,fumbles,0,,,,,
player,201112040pit,cin,DaltAn00,fumbles_lost,,,,,,
player,201112040pit,cin,GradBr00,pass_cmp,3,,,,,
player,201112040pit,cin,GradBr00,pass_att,6,,,,,
player,201112040pit,cin,GradBr00,pass_yds,17,,,,,
player,201112040pit,cin,GradBr00,pass_td,0,,,,,
player,201112040pit,cin,GradBr00,pass_int,1,,,,,
player,201112040pit,cin,GradBr00,pass_sacked,0,,,,,
player,201112040pit,cin,GradBr00,pass_sacked_yds,0,,,,,
player,201112040pit,cin,GradBr00,pass_long,8,,,,,
player,201112040pit,cin,GradBr00,pass_rating,16.7,,,,,
player,201112040pit,cin,GradBr00,rush_att,1,,,,,
player,201112040pit,cin,GradBr00,rush_yds,1,,,,,
player,201112040pit,cin,GradBr00,rush_td,0,,,,,
player,201112040pit,cin,GradBr00,rush_long,1,,,,,
player,201112040pit,cin,GradBr00,targets,0,,,,,
player,201112040pit,cin,GradBr00,rec,0,,,,,
player,201112040pit,cin,GradBr00,rec_yds,0,,,,,
player,201112040pit,cin,GradBr00,rec_td,0,,,,,
player,201112040pit,cin,GradBr00,rec_long,0,,,,,
player,201112040pit,cin,GradBr00,fumbles,0,,,,,
player,201112040pit,cin,GradBr00,fumbles_lost,,,,,,
player,201112040pit,cin,BensCe00,pass_cmp,0,,,,,
player,201112040pit,cin,BensCe00,pass_att,0,,,,,
player,201112040pit,cin,BensCe00,pass_yds,0,,,,,
player,201112040pit,cin,BensCe00,pass_td,0,,,,,
player,201112040pit,cin,BensCe00,pass_int,0,,,,,
player,201112040pit,cin,BensCe00,pass_sacked,0,,,,,
player,201112040pit,cin,BensCe00,pass_sacked_yds,0,,,,,
player,201112040pit,cin,BensCe00,pass_long,0,,,,,
player,201112040pit,cin,BensCe00,pass_rating,,,,,,
player,201112040pit,cin,BensCe00,rush_att,13,,,,,
player,201112040pit,cin,BensCe00,rush_yds,52,,,,,
player,201112040pit,cin,BensCe00,rush_td,0,,,,,
player,201112040pit,cin,BensCe00,rush_long,14,,,,,
