game,2011,9,20111106,201111060crd,ram,"St. Louis Rams",13,crd,"Arizona Cardinals",19
team,201111060crd,ram,First Downs,23,,,,,,
team,201111060crd,crd,First Downs,16,,,,,,
team,201111060crd,ram,Rush-Yds-TDs,35-150-0,,,,,,
team,201111060crd,crd,Rush-Yds-TDs,17-70-0,,,,,,
team,201111060crd,ram,Cmp-Att-Yd-TD-INT,23-36-255-0-1,,,,,,
team,201111060crd,crd,Cmp-Att-Yd-TD-INT,20-35-222-1-0,,,,,,
team,201111060crd,ram,Sacked-Yards,4-22,,,,,,
team,201111060crd,crd,Sacked-Yards,3-30,,,,,,
team,201111060crd,ram,Net Pass Yards,233,,,,,,
team,201111060crd,crd,Net Pass Yards,192,,,,,,
team,201111060crd,ram,Total Yards,383,,,,,,
team,201111060crd,crd,Total Yards,262,,,,,,
team,201111060crd,ram,Fumbles-Lost,0-0,,,,,,
team,201111060crd,crd,Fumbles-Lost,2-0,,,,,,
team,201111060crd,ram,Turnovers,1,,,,,,
team,201111060crd,crd,Turnovers,0,,,,,,
team,201111060crd,ram,Penalties-Yards,9-71,,,,,,
team,201111060crd,crd,Penalties-Yards,6-45,,,,,,
team,201111060crd,ram,Third Down Conv.,3-14,,,,,,
team,201111060crd,crd,Third Down Conv.,2-10,,,,,,
team,201111060crd,ram,Fourth Down Conv.,0-1,,,,,,
team,201111060crd,crd,Fourth Down Conv.,0-0,,,,,,
team,201111060crd,ram,Time of Possession,36:58,,,,,,
team,201111060crd,crd,Time of Possession,24:59,,,,,,
player,201111060crd,ram,BradSa00,pass_cmp,23,,,,,
player,201111060crd,ram,BradSa00,pass_att,36,,,,,
player,201111060crd,ram,BradSa00,pass_yds,255,,,,,
player,201111060crd,ram,BradSa00,pass_td,0,,,,,
player,201111060crd,ram,BradSa00,pass_int,1,,,,,
player,201111060crd,ram,BradSa00,pass_sacked,4,,,,,
player,201111060crd,ram,BradSa00,pass_sacked_yds,22,,,,,
player,201111060crd,ram,BradSa00,pass_long,26,,,,,
player,201111060crd,ram,BradSa00,pass_rating,73.3,,,,,
player,201111060crd,ram,BradSa00,rush_att,1,,,,,
player,201111060crd,ram,BradSa00,rush_yds,2,,,,,
player,201111060crd,ram,BradSa00,rush_td,0,,,,,
player,201111060crd,ram,BradSa00,rush_long,2,,,,,
player,201111060crd,ram,BradSa00,targets,0,,,,,
player,201111060crd,ram,BradSa00,rec,0,,,,,
player,201111060crd,ram,BradSa00,rec_yds,0,,,,,
player,201111060crd,ram,BradSa00,rec_td,0,,,,,
player,201111060crd,ram,BradSa00,rec_long,0,,,,,
player,201111060crd,ram,BradSa00,fumbles,0,,,,,
player,201111060crd,ram,BradSa00,fumbles_lost,,,,,,
player,201111060crd,ram,JackSt00,pass_cmp,0,,,,,
player,201111060crd,ram,JackSt00,pass_att,0,,,,,
player,201111060crd,ram,JackSt00,pass_yds,0,,,,,
player,201111060crd,ram,JackSt00,pass_td,0,,,,,
player,201111060crd,ram,JackSt00,pass_int,0,,,,,
player,201111060crd,ram,JackSt00,pass_sacked,0,,,,,
player,201111060crd,ram,JackSt00,pass_sacked_yds,0,,,,,
player,201111060crd,ram,JackSt00,pass_long,0,,,,,
player,201111060crd,ram,JackSt00,pass_rating,,,,,,
player,201111060crd,ram,JackSt00,rush_att,29,,,,,
player,201111060crd,ram,JackSt00,rush_yds,130,,,,,
player,201111060crd,ram,JackSt00,rush_td,0,,,,,
player,201111060crd,ram,JackSt00,rush_long,19,,,,,
player,201111060crd,ram,JackSt00,targets,2,,,,,
player,201111060crd,ram,JackSt00,rec,1,,,,,
player,201111060crd,ram,JackSt00,rec_yds,12,,,,,
player,201111060crd,ram,JackSt00,rec_td,0,,,,,
player,201111060crd,ram,JackSt00,rec_long,12,,,,,
player,201111060crd,ram,JackSt00,fumbles,0,,,,,
player,201111060crd,ram,JackSt00,fumbles_lost,,,,,,
player,201111060crd,ram,WillCa02,pass_cmp,0,,,,,
player,201111060crd,ram,WillCa02,pass_att,0,,,,,
player,201111060crd,ram,WillCa02,pass_yds,0,,,,,
player,201111060crd,ram,WillCa02,pass_td,0,,,,,
player,201111060crd,ram,WillCa02,pass_int,0,,,,,
player,201111060crd,ram,WillCa02,pass_sacked,0,,,,,
