game,2011,7,20111023,201110230mia,den,"Denver Broncos",18,mia,"Miami Dolphins",15
team,201110230mia,den,First Downs,18,,,,,,
team,201110230mia,mia,First Downs,15,,,,,,
team,201110230mia,den,Rush-Yds-TDs,40-177-0,,,,,,
team,201110230mia,mia,Rush-Yds-TDs,31-94-0,,,,,,
team,201110230mia,den,Cmp-Att-Yd-TD-INT,13-27-161-2-0,,,,,,
team,201110230mia,mia,Cmp-Att-Yd-TD-INT,22-33-197-1-0,,,,,,
team,201110230mia,den,Sacked-Yards,6-30,,,,,,
team,201110230mia,mia,Sacked-Yards,4-24,,,,,,
team,201110230mia,den,Net Pass Yards,131,,,,,,
team,201110230mia,mia,Net Pass Yards,173,,,,,,
team,201110230mia,den,Total Yards,308,,,,,,
team,201110230mia,mia,Total Yards,267,,,,,,
team,201110230mia,den,Fumbles-Lost,2-1,,,,,,
team,201110230mia,mia,Fumbles-Lost,2-1,,,,,,
team,201110230mia,den,Turnovers,1,,,,,,
team,201110230mia,mia,Turnovers,1,,,,,,
team,201110230mia,den,Penalties-Yards,5-30,,,,,,
team,201110230mia,mia,Penalties-Yards,2-20,,,,,,
team,201110230mia,den,Third Down Conv.,4-16,,,,,,
team,201110230mia,mia,Third Down Conv.,3-14,,,,,,
team,201110230mia,den,Fourth Down Conv.,0-0,,,,,,
team,201110230mia,mia,Fourth Down Conv.,0-0,,,,,,
team,201110230mia,den,Time of Possession,34:17,,,,,,
team,201110230mia,mia,Time of Possession,33:19,,,,,,
player,201110230mia,den,TeboTi00,pass_cmp,13,,,,,
player,201110230mia,den,TeboTi00,pass_att,27,,,,,
player,201110230mia,den,TeboTi00,pass_yds,161,,,,,
player,201110230mia,den,TeboTi00,pass_td,2,,,,,
player,201110230mia,den,TeboTi00,pass_int,0,,,,,
player,201110230mia,den,TeboTi00,pass_sacked,6,,,,,
player,201110230mia,den,TeboTi00,pass_sacked_yds,30,,,,,
player,201110230mia,den,TeboTi00,pass_long,42,,,,,
player,201110230mia,den,TeboTi00,pass_rating,91.7,,,,,
player,201110230mia,den,TeboTi00,rush_att,9,,,,,
player,201110230mia,den,TeboTi00,rush_yds,59,,,,,
player,201110230mia,den,TeboTi00,rush_td,0,,,,,
player,201110230mia,den,TeboTi00,rush_long,21,,,,,
player,201110230mia,den,TeboTi00,targets,0,,,,,
player,201110230mia,den,TeboTi00,rec,0,,,,,
player,201110230mia,den,TeboTi00,rec_yds,0,,,,,
player,201110230mia,den,TeboTi00,rec_td,0,,,,,
player,201110230mia,den,TeboTi00,rec_long,0,,,,,
player,201110230mia,den,TeboTi00,fumbles,1,,,,,
player,201110230mia,den,TeboTi00,fumbles_lost,0,,,,,
player,201110230mia,den,McGaWi00,pass_cmp,0,,,,,
player,201110230mia,den,McGaWi00,pass_att,0,,,,,
player,201110230mia,den,McGaWi00,pass_yds,0,,,,,
player,201110230mia,den,McGaWi00,pass_td,0,,,,,
player,201110230mia,den,McGaWi00,pass_int,0,,,,,
player,201110230mia,den,McGaWi00,pass_sacked,0,,,,,
player,201110230mia,den,McGaWi00,pass_sacked_yds,0,,,,,
player,201110230mia,den,McGaWi00,pass_long,0,,,,,
player,201110230mia,den,McGaWi00,pass_rating,,,,,,
player,201110230mia,den,McGaWi00,rush_att,18,,,,,
player,201110230mia,den,McGaWi00,rush_yds,76,,,,,
player,201110230mia,den,McGaWi00,rush_td,0,,,,,
player,201110230mia,den,McGaWi00,rush_long,12,,,,,
player,201110230mia,den,McGaWi00,targets,0,,,,,
player,201110230mia,den,McGaWi00,rec,0,,,,,
player,201110230mia,den,McGaWi00,rec_yds,0,,,,,
