game,2011,3,20110925,201109250clt,pit,"Pittsburgh Steelers",23,clt,"Indianapolis Colts",20
team,201109250clt,pit,First Downs,19,,,,,,
team,201109250clt,clt,First Downs,14,,,,,,
team,201109250clt,pit,Rush-Yds-TDs,28-67-0,,,,,,
team,201109250clt,clt,Rush-Yds-TDs,21-97-1,,,,,,
team,201109250clt,pit,Cmp-Att-Yd-TD-INT,25-37-364-1-1,,,,,,
team,201109250clt,clt,Cmp-Att-Yd-TD-INT,18-40-153-0-0,,,,,,
team,201109250clt,pit,Sacked-Yards,3-23,,,,,,
team,201109250clt,clt,Sacked-Yards,1-9,,,,,,
team,201109250clt,pit,Net Pass Yards,341,,,,,,
team,201109250clt,clt,Net Pass Yards,144,,,,,,
team,201109250clt,pit,Total Yards,408,,,,,,
team,201109250clt,clt,Total Yards,241,,,,,,
team,201109250clt,pit,Fumbles-Lost,2-2,,,,,,
team,201109250clt,clt,Fumbles-Lost,1-1,,,,,,
team,201109250clt,pit,Turnovers,3,,,,,,
team,201109250clt,clt,Turnovers,1,,,,,,
team,201109250clt,pit,Penalties-Yards,4-38,,,,,,
team,201109250clt,clt,Penalties-Yards,3-21,,,,,,
team,201109250clt,pit,Third Down Conv.,8-15,,,,,,
team,201109250clt,clt,Third Down Conv.,7-16,,,,,,
team,201109250clt,pit,Fourth Down Conv.,0-0,,,,,,
team,201109250clt,clt,Fourth Down Conv.,0-0,,,,,,
team,201109250clt,pit,Time of Possession,33:58,,,,,,
team,201109250clt,clt,Time of Possession,26:02,,,,,,
player,201109250clt,pit,RoetBe00,pass_cmp,25,,,,,
player,201109250clt,pit,RoetBe00,pass_att,37,,,,,
player,201109250clt,pit,RoetBe00,pass_yds,364,,,,,
player,201109250clt,pit,RoetBe00,pass_td,1,,,,,
player,201109250clt,pit,RoetBe00,pass_int,1,,,,,
player,201109250clt,pit,RoetBe00,pass_sacked,3,,,,,
player,201109250clt,pit,RoetBe00,pass_sacked_yds,23,,,,,
player,201109250clt,pit,RoetBe00,pass_long,81,,,,,
player,201109250clt,pit,RoetBe00,pass_rating,97.1,,,,,
player,201109250clt,pit,RoetBe00,rush_att,5,,,,,
player,201109250clt,pit,RoetBe00,rush_yds,15,,,,,
player,201109250clt,pit,RoetBe00,rush_td,0,,,,,
player,201109250clt,pit,RoetBe00,rush_long,11,,,,,
player,201109250clt,pit,RoetBe00,targets,0,,,,,
player,201109250clt,pit,RoetBe00,rec,0,,,,,
