game,2010,16,20101228,201012280phi,min,"Minnesota Vikings",24,phi,"Philadelphia Eagles",14
team,201012280phi,min,First Downs,21,,,,,,
team,201012280phi,phi,First Downs,24,,,,,,
team,201012280phi,min,Rush-Yds-TDs,31-161-2,,,,,,
team,201012280phi,phi,Rush-Yds-TDs,22-107-1,,,,,,
team,201012280phi,min,Cmp-Att-Yd-TD-INT,17-26-195-0-0,,,,,,
team,201012280phi,phi,Cmp-Att-Yd-TD-INT,25-43-263-1-1,,,,,,
team,201012280phi,min,Sacked-Yards,2-19,,,,,,
team,201012280phi,phi,Sacked-Yards,6-39,,,,,,
team,201012280phi,min,Net Pass Yards,176,,,,,,
team,201012280phi,phi,Net Pass Yards,224,,,,,,
team,201012280phi,min,Total Yards,337,,,,,,
team,201012280phi,phi,Total Yards,331,,,,,,
team,201012280phi,min,Fumbles-Lost,1-1,,,,,,
team,201012280phi,phi,Fumbles-Lost,2-2,,,,,,
team,201012280phi,min,Turnovers,1,,,,,,
team,201012280phi,phi,Turnovers,3,,,,,,
team,201012280phi,min,Penalties-Yards,5-74,,,,,,
team,201012280phi,phi,Penalties-Yards,12-62,,,,,,
team,201012280phi,min,Third Down Conv.,6-13,,,,,,
team,201012280phi,phi,Third Down Conv.,4-11,,,,,,
team,201012280phi,min,Fourth Down Conv.,0-0,,,,,,
team,201012280phi,phi,Fourth Down Conv.,1-1,,,,,,
team,201012280phi,min,Time of Possession,30:21,,,,,,
team,201012280phi,phi,Time of Possession,29:39,,,,,,
player,201012280phi,min,WebbJo00,pass_cmp,17,,,,,
player,201012280phi,min,WebbJo00,pass_att,26,,,,,
player,201012280phi,min,WebbJo00,pass_yds,195,,,,,
player,201012280phi,min,WebbJo00,pass_td,0,,,,,
player,201012280phi,min,WebbJo00,pass_int,0,,,,,
player,201012280phi,min,WebbJo00,pass_sacked,2,,,,,
player,201012280phi,min,WebbJo00,pass_sacked_yds,19,,,,,
player,201012280phi,min,WebbJo00,pass_long,46,,,,,
player,201012280phi,min,WebbJo00,pass_rating,87.8,,,,,
player,201012280phi,min,WebbJo00,rush_att,6,,,,,
player,201012280phi,min,WebbJo00,rush_yds,31,,,,,
player,201012280phi,min,WebbJo00,rush_td,1,,,,,
player,201012280phi,min,WebbJo00,rush_long,9,,,,,
player,201012280phi,min,WebbJo00,targets,0,,,,,
player,201012280phi,min,WebbJo00,rec,0,,,,,
player,201012280phi,min,WebbJo00,rec_yds,0,,,,,
player,201012280phi,min,WebbJo00,rec_td,0,,,,,
player,201012280phi,min,WebbJo00,rec_long,0,,,,,
player,201012280phi,min,WebbJo00,fumbles,0,,,,,
