game,2010,14,20101212,201012120buf,cle,"Cleveland Browns",6,buf,"Buffalo Bills",13
team,201012120buf,cle,First Downs,9,,,,,,
team,201012120buf,buf,First Downs,19,,,,,,
team,201012120buf,cle,Rush-Yds-TDs,25-105-0,,,,,,
team,201012120buf,buf,Rush-Yds-TDs,42-192-0,,,,,,
team,201012120buf,cle,Cmp-Att-Yd-TD-INT,12-20-86-0-1,,,,,,
team,201012120buf,buf,Cmp-Att-Yd-TD-INT,14-23-142-1-0,,,,,,
team,201012120buf,cle,Sacked-Yards,1-4,,,,,,
team,201012120buf,buf,Sacked-Yards,2-11,,,,,,
team,201012120buf,cle,Net Pass Yards,82,,,,,,
team,201012120buf,buf,Net Pass Yards,131,,,,,,
team,201012120buf,cle,Total Yards,187,,,,,,
team,201012120buf,buf,Total Yards,323,,,,,,
team,201012120buf,cle,Fumbles-Lost,5-2,,,,,,
team,201012120buf,buf,Fumbles-Lost,2-1,,,,,,
team,201012120buf,cle,Turnovers,3,,,,,,
team,201012120buf,buf,Turnovers,1,,,,,,
team,201012120buf,cle,Penalties-Yards,2-10,,,,,,
team,201012120buf,buf,Penalties-Yards,6-44,,,,,,
team,201012120buf,cle,Third Down Conv.,2-10,,,,,,
team,201012120buf,buf,Third Down Conv.,5-14,,,,,,
team,201012120buf,cle,Fourth Down Conv.,0-0,,,,,,
team,201012120buf,buf,Fourth Down Conv.,1-2,,,,,,
team,201012120buf,cle,Time of Possession,23:50,,,,,,
team,201012120buf,buf,Time of Possession,36:10,,,,,,
player,201012120buf,cle,DelhJa00,pass_cmp,12,,,,,
player,201012120buf,cle,DelhJa00,pass_att,20,,,,,
player,201012120buf,cle,DelhJa00,pass_yds,86,,,,,
player,201012120buf,cle,DelhJa00,pass_td,0,,,,,
player,201012120buf,cle,DelhJa00,pass_int,1,,,,,
player,201012120buf,cle,DelhJa00,pass_sacked,1,,,,,
player,201012120buf,cle,DelhJa00,pass_sacked_yds,4,,,,,
player,201012120buf,cle,DelhJa00,pass_long,34,,,,,
player,201012120buf,cle,DelhJa00,pass_rating,49.2,,,,,
player,201012120buf,cle,DelhJa00,rush_att,0,,,,,
player,201012120buf,cle,DelhJa00,rush_yds,0,,,,,
player,201012120buf,cle,DelhJa00,rush_td,0,,,,,
player,201012120buf,cle,DelhJa00,rush_long,0,,,,,
player,201012120buf,cle,DelhJa00,targets,0,,,,,
player,201012120buf,cle,DelhJa00,rec,0,,,,,
player,201012120buf,cle,DelhJa00,rec_yds,0,,,,,
player,201012120buf,cle,DelhJa00,rec_td,0,,,,,
player,201012120buf,cle,DelhJa00,rec_long,0,,,,,
player,201012120buf,cle,DelhJa00,fumbles,1,,,,,
player,201012120buf,cle,DelhJa00,fumbles_lost,1,,,,,
player,201012120buf,cle,HillPe00,pass_cmp,0,,,,,
player,201012120buf,cle,HillPe00,pass_att,0,,,,,
player,201012120buf,cle,HillPe00,pass_yds,0,,,,,
player,201012120buf,cle,HillPe00,pass_td,0,,,,,
player,201012120buf,cle,HillPe00,pass_int,0,,,,,
player,201012120buf,cle,HillPe00,pass_sacked,0,,,,,
player,201012120buf,cle,HillPe00,pass_sacked_yds,,,,,,
player,201012120buf,cle,HillPe00,pass_long,0,,,,,
player,201012120buf,cle,HillPe00,pass_rating,,,,,,
player,201012120buf,cle,HillPe00,rush_att,21,,,,,
player,201012120buf,cle,HillPe00,rush_yds,108,,,,,
player,201012120buf,cle,HillPe00,rush_td,0,,,,,
player,201012120buf,cle,HillPe00,rush_long,25,,,,,
player,201012120buf,cle,HillPe00,targets,5,,,,,
player,201012120buf,cle,HillPe00,rec,4,,,,,
player,201012120buf,cle,HillPe00,rec_yds,10,,,,,
player,201012120buf,cle,HillPe00,rec_td,0,,,,,
player,201012120buf,cle,HillPe00,rec_long,5,,,,,
