game,2010,8,20101031,201010310crd,tam,"Tampa Bay Buccaneers",38,crd,"Arizona Cardinals",35
team,201010310crd,tam,First Downs,19,,,,,,
team,201010310crd,crd,First Downs,22,,,,,,
team,201010310crd,tam,Rush-Yds-TDs,30-154-2,,,,,,
team,201010310crd,crd,Rush-Yds-TDs,23-100-2,,,,,,
team,201010310crd,tam,Cmp-Att-Yd-TD-INT,18-25-278-1-0,,,,,,
team,201010310crd,crd,Cmp-Att-Yd-TD-INT,24-40-305-2-4,,,,,,
team,201010310crd,tam,Sacked-Yards,2-25,,,,,,
team,201010310crd,crd,Sacked-Yards,1-9,,,,,,
team,201010310crd,tam,Net Pass Yards,253,,,,,,
team,201010310crd,crd,Net Pass Yards,296,,,,,,
team,201010310crd,tam,Total Yards,407,,,,,,
team,201010310crd,crd,Total Yards,396,,,,,,
team,201010310crd,tam,Fumbles-Lost,2-2,,,,,,
team,201010310crd,crd,Fumbles-Lost,1-0,,,,,,
team,201010310crd,tam,Turnovers,2,,,,,,
team,201010310crd,crd,Turnovers,4,,,,,,
team,201010310crd,tam,Penalties-Yards,9-80,,,,,,
team,201010310crd,crd,Penalties-Yards,3-12,,,,,,
team,201010310crd,tam,Third Down Conv.,4-12,,,,,,
team,201010310crd,crd,Third Down Conv.,7-13,,,,,,
team,201010310crd,tam,Fourth Down Conv.,1-1,,,,,,
team,201010310crd,crd,Fourth Down Conv.,1-2,,,,,,
team,201010310crd,tam,Time of Possession,30:29,,,,,,
team,201010310crd,crd,Time of Possession,29:31,,,,,,
player,201010310crd,tam,FreeJo00,pass_cmp,18,,,,,
player,201010310crd,tam,FreeJo00,pass_att,25,,,,,
player,201010310crd,tam,FreeJo00,pass_yds,278,,,,,
player,201010310crd,tam,FreeJo00,pass_td,1,,,,,
player,201010310crd,tam,FreeJo00,pass_int,0,,,,,
player,201010310crd,tam,FreeJo00,pass_sacked,2,,,,,
player,201010310crd,tam,FreeJo00,pass_sacked_yds,25,,,,,
player,201010310crd,tam,FreeJo00,pass_long,53,,,,,
player,201010310crd,tam,FreeJo00,pass_rating,121.7,,,,,
player,201010310crd,tam,FreeJo00,rush_att,2,,,,,
player,201010310crd,tam,FreeJo00,rush_yds,22,,,,,
player,201010310crd,tam,FreeJo00,rush_td,0,,,,,
player,201010310crd,tam,FreeJo00,rush_long,21,,,,,
player,201010310crd,tam,FreeJo00,targets,0,,,,,
player,201010310crd,tam,FreeJo00,rec,0,,,,,
player,201010310crd,tam,FreeJo00,rec_yds,0,,,,,
player,201010310crd,tam,FreeJo00,rec_td,0,,,,,
player,201010310crd,tam,FreeJo00,rec_long,0,,,,,
player,201010310crd,tam,FreeJo00,fumbles,0,,,,,
player,201010310crd,tam,FreeJo00,fumbles_lost,,,,,,
player,201010310crd,tam,BlouLe00,pass_cmp,0,,,,,
player,201010310crd,tam,BlouLe00,pass_att,0,,,,,
player,201010310crd,tam,BlouLe00,pass_yds,0,,,,,
player,201010310crd,tam,BlouLe00,pass_td,0,,,,,
player,201010310crd,tam,BlouLe00,pass_int,0,,,,,
player,201010310crd,tam,BlouLe00,pass_sacked,,,,,,
player,201010310crd,tam,BlouLe00,pass_sacked_yds,,,,,,
player,201010310crd,tam,BlouLe00,pass_long,0,,,,,
player,201010310crd,tam,BlouLe00,pass_rating,,,,,,
player,201010310crd,tam,BlouLe00,rush_att,22,,,,,
player,201010310crd,tam,BlouLe00,rush_yds,120,,,,,
player,201010310crd,tam,BlouLe00,rush_td,2,,,,,
player,201010310crd,tam,BlouLe00,rush_long,48,,,,,
player,201010310crd,tam,BlouLe00,targets,2,,,,,
player,201010310crd,tam,BlouLe00,rec,2,,,,,
player,201010310crd,tam,BlouLe00,rec_yds,9,,,,,
player,201010310crd,tam,BlouLe00,rec_td,0,,,,,
player,201010310crd,tam,BlouLe00,rec_long,7,,,,,
player,201010310crd,tam,BlouLe00,fumbles,1,,,,,
player,201010310crd,tam,BlouLe00,fumbles_lost,1,,,,,
player,201010310crd,tam,WillCa02,pass_cmp,0,,,,,
player,201010310crd,tam,WillCa02,pass_att,0,,,,,
player,201010310crd,tam,WillCa02,pass_yds,0,,,,,
player,201010310crd,tam,WillCa02,pass_td,0,,,,,
player,201010310crd,tam,WillCa02,pass_int,0,,,,,
player,201010310crd,tam,WillCa02,pass_sacked,,,,,,
player,201010310crd,tam,WillCa02,pass_sacked_yds,,,,,,
player,201010310crd,tam,WillCa02,pass_long,0,,,,,
player,201010310crd,tam,WillCa02,pass_rating,,,,,,
player,201010310crd,tam,WillCa02,rush_att,4,,,,,
player,201010310crd,tam,WillCa02,rush_yds,10,,,,,
player,201010310crd,tam,WillCa02,rush_td,0,,,,,
player,201010310crd,tam,WillCa02,rush_long,10,,,,,
player,201010310crd,tam,WillCa02,targets,5,,,,,
player,201010310crd,tam,WillCa02,rec,3,,,,,
player,201010310crd,tam,WillCa02,rec_yds,26,,,,,
player,201010310crd,tam,WillCa02,rec_td,0,,,,,
player,201010310crd,tam,WillCa02,rec_long,17,,,,,
player,201010310crd,tam,WillCa02,fumbles,0,,,,,
player,201010310crd,tam,WillCa02,fumbles_lost,,,,,,
player,201010310crd,tam,GrahEa00,pass_cmp,0,,,,,
player,201010310crd,tam,GrahEa00,pass_att,0,,,,,
player,201010310crd,tam,GrahEa00,pass_yds,0,,,,,
player,201010310crd,tam,GrahEa00,pass_td,0,,,,,
player,201010310crd,tam,GrahEa00,pass_int,0,,,,,
player,201010310crd,tam,GrahEa00,pass_sacked,0,,,,,
player,201010310crd,tam,GrahEa00,pass_sacked_yds,,,,,,
player,201010310crd,tam,GrahEa00,pass_long,0,,,,,
player,201010310crd,tam,GrahEa00,pass_rating,,,,,,
player,201010310crd,tam,GrahEa00,rush_att,1,,,,,
player,201010310crd,tam,GrahEa00,rush_yds,2,,,,,
player,201010310crd,tam,GrahEa00,rush_td,0,,,,,
player,201010310crd,tam,GrahEa00,rush_long,2,,,,,
player,201010310crd,tam,GrahEa00,targets,1,,,,,
player,201010310crd,tam,GrahEa00,rec,1,,,,,
player,201010310crd,tam,GrahEa00,rec_yds,2,,,,,
player,201010310crd,tam,GrahEa00,rec_td,0,,,,,
player,201010310crd,tam,GrahEa00,rec_long,2,,,,,
player,201010310crd,tam,GrahEa00,fumbles,0,,,,,
player,201010310crd,tam,GrahEa00,fumbles_lost,,,,,,
