game,2010,13,20101206,201012060nwe,nyj,"New York Jets",3,nwe,"New England Patriots",45
team,201012060nwe,nyj,First Downs,18,,,,,,
team,201012060nwe,nwe,First Downs,23,,,,,,
team,201012060nwe,nyj,Rush-Yds-TDs,31-152-0,,,,,,
team,201012060nwe,nwe,Rush-Yds-TDs,26-101-2,,,,,,
team,201012060nwe,nyj,Cmp-Att-Yd-TD-INT,17-33-164-0-3,,,,,,
team,201012060nwe,nwe,Cmp-Att-Yd-TD-INT,21-29-326-4-0,,,,,,
team,201012060nwe,nyj,Sacked-Yards,1-15,,,,,,
team,201012060nwe,nwe,Sacked-Yards,3-22,,,,,,
team,201012060nwe,nyj,Net Pass Yards,149,,,,,,
team,201012060nwe,nwe,Net Pass Yards,304,,,,,,
team,201012060nwe,nyj,Total Yards,301,,,,,,
team,201012060nwe,nwe,Total Yards,405,,,,,,
team,201012060nwe,nyj,Fumbles-Lost,1-0,,,,,,
team,201012060nwe,nwe,Fumbles-Lost,0-0,,,,,,
team,201012060nwe,nyj,Turnovers,3,,,,,,
team,201012060nwe,nwe,Turnovers,0,,,,,,
team,201012060nwe,nyj,Penalties-Yards,4-56,,,,,,
team,201012060nwe,nwe,Penalties-Yards,1-10,,,,,,
team,201012060nwe,nyj,Third Down Conv.,3-12,,,,,,
team,201012060nwe,nwe,Third Down Conv.,4-10,,,,,,
team,201012060nwe,nyj,Fourth Down Conv.,2-3,,,,,,
team,201012060nwe,nwe,Fourth Down Conv.,2-2,,,,,,
team,201012060nwe,nyj,Time of Possession,28:59,,,,,,
team,201012060nwe,nwe,Time of Possession,31:01,,,,,,
player,201012060nwe,nyj,SancMa00,pass_cmp,17,,,,,
player,201012060nwe,nyj,SancMa00,pass_att,33,,,,,
player,201012060nwe,nyj,SancMa00,pass_yds,164,,,,,
player,201012060nwe,nyj,SancMa00,pass_td,0,,,,,
player,201012060nwe,nyj,SancMa00,pass_int,3,,,,,
player,201012060nwe,nyj,SancMa00,pass_sacked,1,,,,,
player,201012060nwe,nyj,SancMa00,pass_sacked_yds,15,,,,,
player,201012060nwe,nyj,SancMa00,pass_long,24,,,,,
player,201012060nwe,nyj,SancMa00,pass_rating,27.8,,,,,
player,201012060nwe,nyj,SancMa00,rush_att,4,,,,,
player,201012060nwe,nyj,SancMa00,rush_yds,20,,,,,
player,201012060nwe,nyj,SancMa00,rush_td,0,,,,,
player,201012060nwe,nyj,SancMa00,rush_long,11,,,,,
player,201012060nwe,nyj,SancMa00,targets,0,,,,,
player,201012060nwe,nyj,SancMa00,rec,0,,,,,
player,201012060nwe,nyj,SancMa00,rec_yds,0,,,,,
player,201012060nwe,nyj,SancMa00,rec_td,0,,,,,
player,201012060nwe,nyj,SancMa00,rec_long,0,,,,,
player,201012060nwe,nyj,SancMa00,fumbles,1,,,,,
player,201012060nwe,nyj,SancMa00,fumbles_lost,0,,,,,
player,201012060nwe,nyj,GreeSh00,pass_cmp,0,,,,,
player,201012060nwe,nyj,GreeSh00,pass_att,0,,,,,
player,201012060nwe,nyj,GreeSh00,pass_yds,0,,,,,
player,201012060nwe,nyj,GreeSh00,pass_td,0,,,,,
player,201012060nwe,nyj,GreeSh00,pass_int,0,,,,,
player,201012060nwe,nyj,GreeSh00,pass_sacked,,,,,,
player,201012060nwe,nyj,GreeSh00,pass_sacked_yds,,,,,,
player,201012060nwe,nyj,GreeSh00,pass_long,0,,,,,
player,201012060nwe,nyj,GreeSh00,pass_rating,,,,,,
player,201012060nwe,nyj,GreeSh00,rush_att,13,,,,,
player,201012060nwe,nyj,GreeSh00,rush_yds,64,,,,,
player,201012060nwe,nyj,GreeSh00,rush_td,0,,,,,
player,201012060nwe,nyj,GreeSh00,rush_long,13,,,,,
player,201012060nwe,nyj,GreeSh00,targets,1,,,,,
player,201012060nwe,nyj,GreeSh00,rec,1,,,,,
player,201012060nwe,nyj,GreeSh00,rec_yds,3,,,,,
player,201012060nwe,nyj,GreeSh00,rec_td,0,,,,,
player,201012060nwe,nyj,GreeSh00,rec_long,3,,,,,
player,201012060nwe,nyj,GreeSh00,fumbles,0,,,,,
player,201012060nwe,nyj,GreeSh00,fumbles_lost,,,,,,
player,201012060nwe,nyj,TomlLa00,pass_cmp,0,,,,,
player,201012060nwe,nyj,TomlLa00,pass_att,0,,,,,
player,201012060nwe,nyj,TomlLa00,pass_yds,0,,,,,
player,201012060nwe,nyj,TomlLa00,pass_td,0,,,,,
player,201012060nwe,nyj,TomlLa00,pass_int,0,,,,,
player,201012060nwe,nyj,TomlLa00,pass_sacked,,,,,,
player,201012060nwe,nyj,TomlLa00,pass_sacked_yds,,,,,,
player,201012060nwe,nyj,TomlLa00,pass_long,0,,,,,
player,201012060nwe,nyj,TomlLa00,pass_rating,,,,,,
player,201012060nwe,nyj,TomlLa00,rush_att,10,,,,,
player,201012060nwe,nyj,TomlLa00,rush_yds,47,,,,,
player,201012060nwe,nyj,TomlLa00,rush_td,0,,,,,
player,201012060nwe,nyj,TomlLa00,rush_long,14,,,,,
player,201012060nwe,nyj,TomlLa00,targets,5,,,,,
player,201012060nwe,nyj,TomlLa00,rec,2,,,,,
player,201012060nwe,nyj,TomlLa00,rec_yds,14,,,,,
player,201012060nwe,nyj,TomlLa00,rec_td,0,,,,,
player,201012060nwe,nyj,TomlLa00,rec_long,8,,,,,
player,201012060nwe,nyj,TomlLa00,fumbles,0,,,,,
player,201012060nwe,nyj,TomlLa00,fumbles_lost,,,,,,
player,201012060nwe,nyj,McKnJo00,pass_cmp,0,,,,,
player,201012060nwe,nyj,McKnJo00,pass_att,0,,,,,
player,201012060nwe,nyj,McKnJo00,pass_yds,0,,,,,
player,201012060nwe,nyj,McKnJo00,pass_td,0,,,,,
player,201012060nwe,nyj,McKnJo00,pass_int,0,,,,,
player,201012060nwe,nyj,McKnJo00,pass_sacked,,,,,,
player,201012060nwe,nyj,McKnJo00,pass_sacked_yds,,,,,,
player,201012060nwe,nyj,McKnJo00,pass_long,0,,,,,
player,201012060nwe,nyj,McKnJo00,pass_rating,,,,,,
player,201012060nwe,nyj,McKnJo00,rush_att,3,,,,,
player,201012060nwe,nyj,McKnJo00,rush_yds,19,,,,,
player,201012060nwe,nyj,McKnJo00,rush_td,0,,,,,
player,201012060nwe,nyj,McKnJo00,rush_long,11,,,,,
player,201012060nwe,nyj,McKnJo00,targets,0,,,,,
player,201012060nwe,nyj,McKnJo00,rec,0,,,,,
player,201012060nwe,nyj,McKnJo00,rec_yds,0,,,,,
player,201012060nwe,nyj,McKnJo00,rec_td,0,,,,,
player,201012060nwe,nyj,McKnJo00,rec_long,0,,,,,
player,201012060nwe,nyj,McKnJo00,fumbles,0,,,,,
player,201012060nwe,nyj,McKnJo00,fumbles_lost,,,,,,
player,201012060nwe,nyj,SmitBr01,pass_cmp,0,,,,,
player,201012060nwe,nyj,SmitBr01,pass_att,0,,,,,
