game,2010,2,20100919,201009190nyj,nwe,"New England Patriots",14,nyj,"New York Jets",28
team,201009190nyj,nwe,First Downs,20,,,,,,
team,201009190nyj,nyj,First Downs,23,,,,,,
team,201009190nyj,nwe,Rush-Yds-TDs,20-52-0,,,,,,
team,201009190nyj,nyj,Rush-Yds-TDs,32-136-0,,,,,,
team,201009190nyj,nwe,Cmp-Att-Yd-TD-INT,20-36-248-2-2,,,,,,
team,201009190nyj,nyj,Cmp-Att-Yd-TD-INT,21-30-220-3-0,,,,,,
team,201009190nyj,nwe,Sacked-Yards,1-9,,,,,,
team,201009190nyj,nyj,Sacked-Yards,3-20,,,,,,
team,201009190nyj,nwe,Net Pass Yards,239,,,,,,
team,201009190nyj,nyj,Net Pass Yards,200,,,,,,
team,201009190nyj,nwe,Total Yards,291,,,,,,
team,201009190nyj,nyj,Total Yards,336,,,,,,
team,201009190nyj,nwe,Fumbles-Lost,1-1,,,,,,
team,201009190nyj,nyj,Fumbles-Lost,0-0,,,,,,
team,201009190nyj,nwe,Turnovers,3,,,,,,
team,201009190nyj,nyj,Turnovers,0,,,,,,
team,201009190nyj,nwe,Penalties-Yards,6-79,,,,,,
team,201009190nyj,nyj,Penalties-Yards,6-58,,,,,,
team,201009190nyj,nwe,Third Down Conv.,5-11,,,,,,
team,201009190nyj,nyj,Third Down Conv.,6-13,,,,,,
team,201009190nyj,nwe,Fourth Down Conv.,1-1,,,,,,
team,201009190nyj,nyj,Fourth Down Conv.,1-1,,,,,,
team,201009190nyj,nwe,Time of Possession,27:28,,,,,,
team,201009190nyj,nyj,Time of Possession,32:32,,,,,,
player,201009190nyj,nwe,BradTo00,pass_cmp,20,,,,,
player,201009190nyj,nwe,BradTo00,pass_att,36,,,,,
player,201009190nyj,nwe,BradTo00,pass_yds,248,,,,,
player,201009190nyj,nwe,BradTo00,pass_td,2,,,,,
player,201009190nyj,nwe,BradTo00,pass_int,2,,,,,
player,201009190nyj,nwe,BradTo00,pass_sacked,1,,,,,
player,201009190nyj,nwe,BradTo00,pass_sacked_yds,9,,,,,
player,201009190nyj,nwe,BradTo00,pass_long,46,,,,,
player,201009190nyj,nwe,BradTo00,pass_rating,72.5,,,,,
player,201009190nyj,nwe,BradTo00,rush_att,0,,,,,
player,201009190nyj,nwe,BradTo00,rush_yds,0,,,,,
player,201009190nyj,nwe,BradTo00,rush_td,0,,,,,
player,201009190nyj,nwe,BradTo00,rush_long,0,,,,,
player,201009190nyj,nwe,BradTo00,targets,0,,,,,
player,201009190nyj,nwe,BradTo00,rec,0,,,,,
player,201009190nyj,nwe,BradTo00,rec_yds,0,,,,,
player,201009190nyj,nwe,BradTo00,rec_td,0,,,,,
player,201009190nyj,nwe,BradTo00,rec_long,0,,,,,
player,201009190nyj,nwe,BradTo00,fumbles,1,,,,,
player,201009190nyj,nwe,BradTo00,fumbles_lost,1,,,,,
player,201009190nyj,nwe,FaulKe00,pass_cmp,0,,,,,
player,201009190nyj,nwe,FaulKe00,pass_att,0,,,,,
player,201009190nyj,nwe,FaulKe00,pass_yds,0,,,,,
player,201009190nyj,nwe,FaulKe00,pass_td,0,,,,,
player,201009190nyj,nwe,FaulKe00,pass_int,0,,,,,
player,201009190nyj,nwe,FaulKe00,pass_sacked,,,,,,
player,201009190nyj,nwe,FaulKe00,pass_sacked_yds,,,,,,
player,201009190nyj,nwe,FaulKe00,pass_long,0,,,,,
player,201009190nyj,nwe,FaulKe00,pass_rating,,,,,,
player,201009190nyj,nwe,FaulKe00,rush_att,5,,,,,
player,201009190nyj,nwe,FaulKe00,rush_yds,22,,,,,
player,201009190nyj,nwe,FaulKe00,rush_td,0,,,,,
player,201009190nyj,nwe,FaulKe00,rush_long,8,,,,,
player,201009190nyj,nwe,FaulKe00,targets,4,,,,,
player,201009190nyj,nwe,FaulKe00,rec,2,,,,,
player,201009190nyj,nwe,FaulKe00,rec_yds,15,,,,,
player,201009190nyj,nwe,FaulKe00,rec_td,0,,,,,
player,201009190nyj,nwe,FaulKe00,rec_long,8,,,,,
player,201009190nyj,nwe,FaulKe00,fumbles,0,,,,,
player,201009190nyj,nwe,FaulKe00,fumbles_lost,,,,,,
player,201009190nyj,nwe,GreeBe00,pass_cmp,0,,,,,
player,201009190nyj,nwe,GreeBe00,pass_att,0,,,,,
player,201009190nyj,nwe,GreeBe00,pass_yds,0,,,,,
player,201009190nyj,nwe,GreeBe00,pass_td,0,,,,,
player,201009190nyj,nwe,GreeBe00,pass_int,0,,,,,
player,201009190nyj,nwe,GreeBe00,pass_sacked,,,,,,
player,201009190nyj,nwe,GreeBe00,pass_sacked_yds,,,,,,
player,201009190nyj,nwe,GreeBe00,pass_long,0,,,,,
player,201009190nyj,nwe,GreeBe00,pass_rating,,,,,,
player,201009190nyj,nwe,GreeBe00,rush_att,10,,,,,
player,201009190nyj,nwe,GreeBe00,rush_yds,19,,,,,
player,201009190nyj,nwe,GreeBe00,rush_td,0,,,,,
player,201009190nyj,nwe,GreeBe00,rush_long,7,,,,,
player,201009190nyj,nwe,GreeBe00,targets,0,,,,,
player,201009190nyj,nwe,GreeBe00,rec,0,,,,,
player,201009190nyj,nwe,GreeBe00,rec_yds,0,,,,,
player,201009190nyj,nwe,GreeBe00,rec_td,0,,,,,
player,201009190nyj,nwe,GreeBe00,rec_long,0,,,,,
player,201009190nyj,nwe,GreeBe00,fumbles,0,,,,,
player,201009190nyj,nwe,GreeBe00,fumbles_lost,,,,,,
player,201009190nyj,nwe,TaylFr00,pass_cmp,0,,,,,
player,201009190nyj,nwe,TaylFr00,pass_att,0,,,,,
player,201009190nyj,nwe,TaylFr00,pass_yds,0,,,,,
player,201009190nyj,nwe,TaylFr00,pass_td,0,,,,,
player,201009190nyj,nwe,TaylFr00,pass_int,0,,,,,
player,201009190nyj,nwe,TaylFr00,pass_sacked,,,,,,
player,201009190nyj,nwe,TaylFr00,pass_sacked_yds,,,,,,
player,201009190nyj,nwe,TaylFr00,pass_long,0,,,,,
player,201009190nyj,nwe,TaylFr00,pass_rating,,,,,,
player,201009190nyj,nwe,TaylFr00,rush_att,5,,,,,
player,201009190nyj,nwe,TaylFr00,rush_yds,11,,,,,
player,201009190nyj,nwe,TaylFr00,rush_td,0,,,,,
player,201009190nyj,nwe,TaylFr00,rush_long,6,,,,,
player,201009190nyj,nwe,TaylFr00,targets,0,,,,,
player,201009190nyj,nwe,TaylFr00,rec,0,,,,,
player,201009190nyj,nwe,TaylFr00,rec_yds,0,,,,,
player,201009190nyj,nwe,TaylFr00,rec_td,0,,,,,
player,201009190nyj,nwe,TaylFr00,rec_long,0,,,,,
player,201009190nyj,nwe,TaylFr00,fumbles,0,,,,,
player,201009190nyj,nwe,TaylFr00,fumbles_lost,,,,,,
player,201009190nyj,nwe,HernAa00,pass_cmp,0,,,,,
player,201009190nyj,nwe,HernAa00,pass_att,0,,,,,
player,201009190nyj,nwe,HernAa00,pass_yds,0,,,,,
player,201009190nyj,nwe,HernAa00,pass_td,0,,,,,
player,201009190nyj,nwe,HernAa00,pass_int,0,,,,,
player,201009190nyj,nwe,HernAa00,pass_sacked,,,,,,
player,201009190nyj,nwe,HernAa00,pass_sacked_yds,,,,,,
player,201009190nyj,nwe,HernAa00,pass_long,0,,,,,
player,201009190nyj,nwe,HernAa00,pass_rating,,,,,,
player,201009190nyj,nwe,HernAa00,rush_att,0,,,,,
player,201009190nyj,nwe,HernAa00,rush_yds,0,,,,,
player,201009190nyj,nwe,HernAa00,rush_td,0,,,,,
player,201009190nyj,nwe,HernAa00,rush_long,0,,,,,
player,201009190nyj,nwe,HernAa00,targets,6,,,,,
player,201009190nyj,nwe,HernAa00,rec,6,,,,,
player,201009190nyj,nwe,HernAa00,rec_yds,101,,,,,
player,201009190nyj,nwe,HernAa00,rec_td,0,,,,,
player,201009190nyj,nwe,HernAa00,rec_long,46,,,,,
player,201009190nyj,nwe,HernAa00,fumbles,0,,,,,
player,201009190nyj,nwe,HernAa00,fumbles_lost,,,,,,
player,201009190nyj,nwe,MossRa00,pass_cmp,0,,,,,
player,201009190nyj,nwe,MossRa00,pass_att,0,,,,,
player,201009190nyj,nwe,MossRa00,pass_yds,0,,,,,
player,201009190nyj,nwe,MossRa00,pass_td,0,,,,,
player,201009190nyj,nwe,MossRa00,pass_int,0,,,,,
player,201009190nyj,nwe,MossRa00,pass_sacked,,,,,,
player,201009190nyj,nwe,MossRa00,pass_sacked_yds,,,,,,
player,201009190nyj,nwe,MossRa00,pass_long,0,,,,,
player,201009190nyj,nwe,MossRa00,pass_rating,,,,,,
player,201009190nyj,nwe,MossRa00,rush_att,0,,,,,
player,201009190nyj,nwe,MossRa00,rush_yds,0,,,,,
player,201009190nyj,nwe,MossRa00,rush_td,0,,,,,
player,201009190nyj,nwe,MossRa00,rush_long,0,,,,,
player,201009190nyj,nwe,MossRa00,targets,10,,,,,
player,201009190nyj,nwe,MossRa00,rec,2,,,,,
player,201009190nyj,nwe,MossRa00,rec_yds,38,,,,,
player,201009190nyj,nwe,MossRa00,rec_td,1,,,,,
player,201009190nyj,nwe,MossRa00,rec_long,34,,,,,
player,201009190nyj,nwe,MossRa00,fumbles,0,,,,,
player,201009190nyj,nwe,MossRa00,fumbles_lost,,,,,,
player,201009190nyj,nwe,WelkWe00,pass_cmp,0,,,,,
player,201009190nyj,nwe,WelkWe00,pass_att,0,,,,,
player,201009190nyj,nwe,WelkWe00,pass_yds,0,,,,,
player,201009190nyj,nwe,WelkWe00,pass_td,0,,,,,
player,201009190nyj,nwe,WelkWe00,pass_int,0,,,,,
player,201009190nyj,nwe,WelkWe00,pass_sacked,,,,,,
player,201009190nyj,nwe,WelkWe00,pass_sacked_yds,,,,,,
