game,2010,10,20101114,201011140buf,det,"Detroit Lions",12,buf,"Buffalo Bills",14
team,201011140buf,det,First Downs,19,,,,,,
team,201011140buf,buf,First Downs,12,,,,,,
team,201011140buf,det,Rush-Yds-TDs,26-76-0,,,,,,
team,201011140buf,buf,Rush-Yds-TDs,33-149-1,,,,,,
team,201011140buf,det,Cmp-Att-Yd-TD-INT,29-50-323-1-1,,,,,,
team,201011140buf,buf,Cmp-Att-Yd-TD-INT,12-24-146-1-0,,,,,,
team,201011140buf,det,Sacked-Yards,1-9,,,,,,
team,201011140buf,buf,Sacked-Yards,1-7,,,,,,
team,201011140buf,det,Net Pass Yards,314,,,,,,
team,201011140buf,buf,Net Pass Yards,139,,,,,,
team,201011140buf,det,Total Yards,390,,,,,,
team,201011140buf,buf,Total Yards,288,,,,,,
team,201011140buf,det,Fumbles-Lost,1-0,,,,,,
team,201011140buf,buf,Fumbles-Lost,3-1,,,,,,
team,201011140buf,det,Turnovers,1,,,,,,
team,201011140buf,buf,Turnovers,1,,,,,,
team,201011140buf,det,Penalties-Yards,11-60,,,,,,
team,201011140buf,buf,Penalties-Yards,4-30,,,,,,
team,201011140buf,det,Third Down Conv.,5-19,,,,,,
team,201011140buf,buf,Third Down Conv.,5-15,,,,,,
team,201011140buf,det,Fourth Down Conv.,3-3,,,,,,
team,201011140buf,buf,Fourth Down Conv.,0-1,,,,,,
team,201011140buf,det,Time of Possession,32:24,,,,,,
team,201011140buf,buf,Time of Possession,27:36,,,,,,
player,201011140buf,det,HillSh00,pass_cmp,29,,,,,
player,201011140buf,det,HillSh00,pass_att,50,,,,,
player,201011140buf,det,HillSh00,pass_yds,323,,,,,
player,201011140buf,det,HillSh00,pass_td,1,,,,,
player,201011140buf,det,HillSh00,pass_int,1,,,,,
player,201011140buf,det,HillSh00,pass_sacked,1,,,,,
player,201011140buf,det,HillSh00,pass_sacked_yds,9,,,,,
player,201011140buf,det,HillSh00,pass_long,29,,,,,
player,201011140buf,det,HillSh00,pass_rating,75.7,,,,,
player,201011140buf,det,HillSh00,rush_att,1,,,,,
player,201011140buf,det,HillSh00,rush_yds,1,,,,,
player,201011140buf,det,HillSh00,rush_td,0,,,,,
player,201011140buf,det,HillSh00,rush_long,1,,,,,
player,201011140buf,det,HillSh00,targets,0,,,,,
player,201011140buf,det,HillSh00,rec,0,,,,,
player,201011140buf,det,HillSh00,rec_yds,0,,,,,
player,201011140buf,det,HillSh00,rec_td,0,,,,,
