game,2010,8,20101031,201010310nyj,gnb,"Green Bay Packers",9,nyj,"New York Jets",0
team,201010310nyj,gnb,First Downs,13,,,,,,
team,201010310nyj,nyj,First Downs,15,,,,,,
team,201010310nyj,gnb,Rush-Yds-TDs,26-81-0,,,,,,
team,201010310nyj,nyj,Rush-Yds-TDs,29-119-0,,,,,,
team,201010310nyj,gnb,Cmp-Att-Yd-TD-INT,15-34-170-0-0,,,,,,
team,201010310nyj,nyj,Cmp-Att-Yd-TD-INT,16-38-256-0-2,,,,,,
team,201010310nyj,gnb,Sacked-Yards,2-14,,,,,,
team,201010310nyj,nyj,Sacked-Yards,2-15,,,,,,
team,201010310nyj,gnb,Net Pass Yards,156,,,,,,
team,201010310nyj,nyj,Net Pass Yards,241,,,,,,
team,201010310nyj,gnb,Total Yards,237,,,,,,
team,201010310nyj,nyj,Total Yards,360,,,,,,
team,201010310nyj,gnb,Fumbles-Lost,0-0,,,,,,
team,201010310nyj,nyj,Fumbles-Lost,3-1,,,,,,
team,201010310nyj,gnb,Turnovers,0,,,,,,
team,201010310nyj,nyj,Turnovers,3,,,,,,
team,201010310nyj,gnb,Penalties-Yards,3-15,,,,,,
team,201010310nyj,nyj,Penalties-Yards,7-55,,,,,,
team,201010310nyj,gnb,Third Down Conv.,2-14,,,,,,
team,201010310nyj,nyj,Third Down Conv.,7-17,,,,,,
team,201010310nyj,gnb,Fourth Down Conv.,0-0,,,,,,
team,201010310nyj,nyj,Fourth Down Conv.,0-3,,,,,,
team,201010310nyj,gnb,Time of Possession,28:37,,,,,,
team,201010310nyj,nyj,Time of Possession,31:23,,,,,,
player,201010310nyj,gnb,RodgAa00,pass_cmp,15,,,,,
player,201010310nyj,gnb,RodgAa00,pass_att,34,,,,,
player,201010310nyj,gnb,RodgAa00,pass_yds,170,,,,,
player,201010310nyj,gnb,RodgAa00,pass_td,0,,,,,
player,201010310nyj,gnb,RodgAa00,pass_int,0,,,,,
player,201010310nyj,gnb,RodgAa00,pass_sacked,2,,,,,
player,201010310nyj,gnb,RodgAa00,pass_sacked_yds,14,,,,,
player,201010310nyj,gnb,RodgAa00,pass_long,30,,,,,
player,201010310nyj,gnb,RodgAa00,pass_rating,59.7,,,,,
player,201010310nyj,gnb,RodgAa00,rush_att,3,,,,,
player,201010310nyj,gnb,RodgAa00,rush_yds,5,,,,,
player,201010310nyj,gnb,RodgAa00,rush_td,0,,,,,
player,201010310nyj,gnb,RodgAa00,rush_long,5,,,,,
player,201010310nyj,gnb,RodgAa00,targets,0,,,,,
player,201010310nyj,gnb,RodgAa00,rec,0,,,,,
player,201010310nyj,gnb,RodgAa00,rec_yds,0,,,,,
player,201010310nyj,gnb,RodgAa00,rec_td,0,,,,,
player,201010310nyj,gnb,RodgAa00,rec_long,0,,,,,
player,201010310nyj,gnb,RodgAa00,fumbles,0,,,,,
player,201010310nyj,gnb,RodgAa00,fumbles_lost,,,,,,
player,201010310nyj,gnb,JackBr00,pass_cmp,0,,,,,
player,201010310nyj,gnb,JackBr00,pass_att,0,,,,,
player,201010310nyj,gnb,JackBr00,pass_yds,0,,,,,
player,201010310nyj,gnb,JackBr00,pass_td,0,,,,,
player,201010310nyj,gnb,JackBr00,pass_int,0,,,,,
player,201010310nyj,gnb,JackBr00,pass_sacked,,,,,,
player,201010310nyj,gnb,JackBr00,pass_sacked_yds,,,,,,
player,201010310nyj,gnb,JackBr00,pass_long,0,,,,,
player,201010310nyj,gnb,JackBr00,pass_rating,,,,,,
player,201010310nyj,gnb,JackBr00,rush_att,15,,,,,
player,201010310nyj,gnb,JackBr00,rush_yds,55,,,,,
player,201010310nyj,gnb,JackBr00,rush_td,0,,,,,
player,201010310nyj,gnb,JackBr00,rush_long,27,,,,,
player,201010310nyj,gnb,JackBr00,targets,2,,,,,
player,201010310nyj,gnb,JackBr00,rec,2,,,,,
player,201010310nyj,gnb,JackBr00,rec_yds,17,,,,,
player,201010310nyj,gnb,JackBr00,rec_td,0,,,,,
player,201010310nyj,gnb,JackBr00,rec_long,13,,,,,
player,201010310nyj,gnb,JackBr00,fumbles,0,,,,,
player,201010310nyj,gnb,JackBr00,fumbles_lost,,,,,,
player,201010310nyj,gnb,KuhnJo00,pass_cmp,0,,,,,
player,201010310nyj,gnb,KuhnJo00,pass_att,0,,,,,
player,201010310nyj,gnb,KuhnJo00,pass_yds,0,,,,,
player,201010310nyj,gnb,KuhnJo00,pass_td,0,,,,,
player,201010310nyj,gnb,KuhnJo00,pass_int,0,,,,,
player,201010310nyj,gnb,KuhnJo00,pass_sacked,,,,,,
player,201010310nyj,gnb,KuhnJo00,pass_sacked_yds,,,,,,
player,201010310nyj,gnb,KuhnJo00,pass_long,0,,,,,
player,201010310nyj,gnb,KuhnJo00,pass_rating,,,,,,
player,201010310nyj,gnb,KuhnJo00,rush_att,8,,,,,
player,201010310nyj,gnb,KuhnJo00,rush_yds,21,,,,,
player,201010310nyj,gnb,KuhnJo00,rush_td,0,,,,,
player,201010310nyj,gnb,KuhnJo00,rush_long,6,,,,,
player,201010310nyj,gnb,KuhnJo00,targets,0,,,,,
player,201010310nyj,gnb,KuhnJo00,rec,0,,,,,
player,201010310nyj,gnb,KuhnJo00,rec_yds,0,,,,,
player,201010310nyj,gnb,KuhnJo00,rec_td,0,,,,,
player,201010310nyj,gnb,KuhnJo00,rec_long,0,,,,,
player,201010310nyj,gnb,KuhnJo00,fumbles,0,,,,,
player,201010310nyj,gnb,KuhnJo00,fumbles_lost,,,,,,
player,201010310nyj,gnb,JennGr00,pass_cmp,0,,,,,
