game,2010,3,20100926,201009260tam,pit,"Pittsburgh Steelers",38,tam,"Tampa Bay Buccaneers",13
team,201009260tam,pit,First Downs,17,,,,,,
team,201009260tam,tam,First Downs,18,,,,,,
team,201009260tam,pit,Rush-Yds-TDs,32-201-1,,,,,,
team,201009260tam,tam,Rush-Yds-TDs,21-75-1,,,,,,
team,201009260tam,pit,Cmp-Att-Yd-TD-INT,12-17-186-3-2,,,,,,
team,201009260tam,tam,Cmp-Att-Yd-TD-INT,26-37-251-0-1,,,,,,
team,201009260tam,pit,Sacked-Yards,0-0,,,,,,
team,201009260tam,tam,Sacked-Yards,4-23,,,,,,
team,201009260tam,pit,Net Pass Yards,186,,,,,,
team,201009260tam,tam,Net Pass Yards,228,,,,,,
team,201009260tam,pit,Total Yards,387,,,,,,
team,201009260tam,tam,Total Yards,303,,,,,,
team,201009260tam,pit,Fumbles-Lost,0-0,,,,,,
team,201009260tam,tam,Fumbles-Lost,2-1,,,,,,
team,201009260tam,pit,Turnovers,2,,,,,,
team,201009260tam,tam,Turnovers,2,,,,,,
team,201009260tam,pit,Penalties-Yards,2-20,,,,,,
team,201009260tam,tam,Penalties-Yards,4-45,,,,,,
team,201009260tam,pit,Third Down Conv.,4-9,,,,,,
team,201009260tam,tam,Third Down Conv.,6-14,,,,,,
team,201009260tam,pit,Fourth Down Conv.,0-1,,,,,,
team,201009260tam,tam,Fourth Down Conv.,1-1,,,,,,
team,201009260tam,pit,Time of Possession,26:54,,,,,,
team,201009260tam,tam,Time of Possession,33:06,,,,,,
player,201009260tam,pit,BatcCh00,pass_cmp,12,,,,,
player,201009260tam,pit,BatcCh00,pass_att,17,,,,,
player,201009260tam,pit,BatcCh00,pass_yds,186,,,,,
player,201009260tam,pit,BatcCh00,pass_td,3,,,,,
player,201009260tam,pit,BatcCh00,pass_int,2,,,,,
player,201009260tam,pit,BatcCh00,pass_sacked,0,,,,,
player,201009260tam,pit,BatcCh00,pass_sacked_yds,0,,,,,
player,201009260tam,pit,BatcCh00,pass_long,46,,,,,
player,201009260tam,pit,BatcCh00,pass_rating,106.5,,,,,
player,201009260tam,pit,BatcCh00,rush_att,5,,,,,
player,201009260tam,pit,BatcCh00,rush_yds,26,,,,,
player,201009260tam,pit,BatcCh00,rush_td,0,,,,,
player,201009260tam,pit,BatcCh00,rush_long,24,,,,,
player,201009260tam,pit,BatcCh00,targets,0,,,,,
player,201009260tam,pit,BatcCh00,rec,0,,,,,
player,201009260tam,pit,BatcCh00,rec_yds,0,,,,,
player,201009260tam,pit,BatcCh00,rec_td,0,,,,,
player,201009260tam,pit,BatcCh00,rec_long,0,,,,,
player,201009260tam,pit,BatcCh00,fumbles,0,,,,,
player,201009260tam,pit,BatcCh00,fumbles_lost,,,,,,
player,201009260tam,pit,MendRa00,pass_cmp,0,,,,,
player,201009260tam,pit,MendRa00,pass_att,0,,,,,
player,201009260tam,pit,MendRa00,pass_yds,0,,,,,
player,201009260tam,pit,MendRa00,pass_td,0,,,,,
player,201009260tam,pit,MendRa00,pass_int,0,,,,,
player,201009260tam,pit,MendRa00,pass_sacked,,,,,,
player,201009260tam,pit,MendRa00,pass_sacked_yds,,,,,,
player,201009260tam,pit,MendRa00,pass_long,0,,,,,
player,201009260tam,pit,MendRa00,pass_rating,,,,,,
player,201009260tam,pit,MendRa00,rush_att,19,,,,,
player,201009260tam,pit,MendRa00,rush_yds,143,,,,,
player,201009260tam,pit,MendRa00,rush_td,1,,,,,
player,201009260tam,pit,MendRa00,rush_long,34,,,,,
