game,2010,1,20100913,201009130nyj,rav,"Baltimore Ravens",10,nyj,"New York Jets",9
team,201009130nyj,rav,First Downs,20,,,,,,
team,201009130nyj,nyj,First Downs,6,,,,,,
team,201009130nyj,rav,Rush-Yds-TDs,35-49-1,,,,,,
team,201009130nyj,nyj,Rush-Yds-TDs,21-116-0,,,,,,
team,201009130nyj,rav,Cmp-Att-Yd-TD-INT,20-38-248-0-1,,,,,,
team,201009130nyj,nyj,Cmp-Att-Yd-TD-INT,10-21-74-0-0,,,,,,
team,201009130nyj,rav,Sacked-Yards,2-15,,,,,,
team,201009130nyj,nyj,Sacked-Yards,2-14,,,,,,
team,201009130nyj,rav,Net Pass Yards,233,,,,,,
team,201009130nyj,nyj,Net Pass Yards,60,,,,,,
team,201009130nyj,rav,Total Yards,282,,,,,,
team,201009130nyj,nyj,Total Yards,176,,,,,,
team,201009130nyj,rav,Fumbles-Lost,2-2,,,,,,
team,201009130nyj,nyj,Fumbles-Lost,3-1,,,,,,
team,201009130nyj,rav,Turnovers,3,,,,,,
team,201009130nyj,nyj,Turnovers,1,,,,,,
team,201009130nyj,rav,Penalties-Yards,5-38,,,,,,
team,201009130nyj,nyj,Penalties-Yards,14-125,,,,,,
team,201009130nyj,rav,Third Down Conv.,11-19,,,,,,
team,201009130nyj,nyj,Third Down Conv.,1-11,,,,,,
team,201009130nyj,rav,Fourth Down Conv.,0-0,,,,,,
team,201009130nyj,nyj,Fourth Down Conv.,0-1,,,,,,
team,201009130nyj,rav,Time of Possession,38:32,,,,,,
team,201009130nyj,nyj,Time of Possession,21:28,,,,,,
player,201009130nyj,rav,FlacJo00,pass_cmp,20,,,,,
player,201009130nyj,rav,FlacJo00,pass_att,38,,,,,
player,201009130nyj,rav,FlacJo00,pass_yds,248,,,,,
player,201009130nyj,rav,FlacJo00,pass_td,0,,,,,
player,201009130nyj,rav,FlacJo00,pass_int,1,,,,,
player,201009130nyj,rav,FlacJo00,pass_sacked,2,,,,,
player,201009130nyj,rav,FlacJo00,pass_sacked_yds,15,,,,,
player,201009130nyj,rav,FlacJo00,pass_long,38,,,,,
player,201009130nyj,rav,FlacJo00,pass_rating,62.2,,,,,
player,201009130nyj,rav,FlacJo00,rush_att,4,,,,,
player,201009130nyj,rav,FlacJo00,rush_yds,2,,,,,
player,201009130nyj,rav,FlacJo00,rush_td,0,,,,,
player,201009130nyj,rav,FlacJo00,rush_long,1,,,,,
player,201009130nyj,rav,FlacJo00,targets,0,,,,,
player,201009130nyj,rav,FlacJo00,rec,0,,,,,
player,201009130nyj,rav,FlacJo00,rec_yds,0,,,,,
player,201009130nyj,rav,FlacJo00,rec_td,0,,,,,
player,201009130nyj,rav,FlacJo00,rec_long,0,,,,,
player,201009130nyj,rav,FlacJo00,fumbles,1,,,,,
player,201009130nyj,rav,FlacJo00,fumbles_lost,1,,,,,
player,201009130nyj,rav,RiceRa00,pass_cmp,0,,,,,
player,201009130nyj,rav,RiceRa00,pass_att,0,,,,,
player,201009130nyj,rav,RiceRa00,pass_yds,0,,,,,
player,201009130nyj,rav,RiceRa00,pass_td,0,,,,,
player,201009130nyj,rav,RiceRa00,pass_int,0,,,,,
player,201009130nyj,rav,RiceRa00,pass_sacked,,,,,,
player,201009130nyj,rav,RiceRa00,pass_sacked_yds,,,,,,
player,201009130nyj,rav,RiceRa00,pass_long,0,,,,,
player,201009130nyj,rav,RiceRa00,pass_rating,,,,,,
player,201009130nyj,rav,RiceRa00,rush_att,21,,,,,
player,201009130nyj,rav,RiceRa00,rush_yds,43,,,,,
player,201009130nyj,rav,RiceRa00,rush_td,0,,,,,
player,201009130nyj,rav,RiceRa00,rush_long,7,,,,,
player,201009130nyj,rav,RiceRa00,targets,4,,,,,
player,201009130nyj,rav,RiceRa00,rec,2,,,,,
player,201009130nyj,rav,RiceRa00,rec_yds,19,,,,,
player,201009130nyj,rav,RiceRa00,rec_td,0,,,,,
player,201009130nyj,rav,RiceRa00,rec_long,16,,,,,
player,201009130nyj,rav,RiceRa00,fumbles,0,,,,,
player,201009130nyj,rav,RiceRa00,fumbles_lost,,,,,,
player,201009130nyj,rav,McClLe00,pass_cmp,0,,,,,
player,201009130nyj,rav,McClLe00,pass_att,0,,,,,
player,201009130nyj,rav,McClLe00,pass_yds,0,,,,,
player,201009130nyj,rav,McClLe00,pass_td,0,,,,,
player,201009130nyj,rav,McClLe00,pass_int,0,,,,,
player,201009130nyj,rav,McClLe00,pass_sacked,,,,,,
player,201009130nyj,rav,McClLe00,pass_sacked_yds,,,,,,
player,201009130nyj,rav,McClLe00,pass_long,0,,,,,
player,201009130nyj,rav,McClLe00,pass_rating,,,,,,
player,201009130nyj,rav,McClLe00,rush_att,4,,,,,
player,201009130nyj,rav,McClLe00,rush_yds,6,,,,,
player,201009130nyj,rav,McClLe00,rush_td,0,,,,,
player,201009130nyj,rav,McClLe00,rush_long,3,,,,,
player,201009130nyj,rav,McClLe00,targets,2,,,,,
player,201009130nyj,rav,McClLe00,rec,1,,,,,
player,201009130nyj,rav,McClLe00,rec_yds,5,,,,,
player,201009130nyj,rav,McClLe00,rec_td,0,,,,,
player,201009130nyj,rav,McClLe00,rec_long,5,,,,,
player,201009130nyj,rav,McClLe00,fumbles,0,,,,,
player,201009130nyj,rav,McClLe00,fumbles_lost,,,,,,
player,201009130nyj,rav,BoldAn00,pass_cmp,0,,,,,
player,201009130nyj,rav,BoldAn00,pass_att,0,,,,,
player,201009130nyj,rav,BoldAn00,pass_yds,0,,,,,
player,201009130nyj,rav,BoldAn00,pass_td,0,,,,,
player,201009130nyj,rav,BoldAn00,pass_int,0,,,,,
player,201009130nyj,rav,BoldAn00,pass_sacked,0,,,,,
player,201009130nyj,rav,BoldAn00,pass_sacked_yds,,,,,,
player,201009130nyj,rav,BoldAn00,pass_long,0,,,,,
player,201009130nyj,rav,BoldAn00,pass_rating,,,,,,
player,201009130nyj,rav,BoldAn00,rush_att,0,,,,,
player,201009130nyj,rav,BoldAn00,rush_yds,0,,,,,
player,201009130nyj,rav,BoldAn00,rush_td,0,,,,,
player,201009130nyj,rav,BoldAn00,rush_long,0,,,,,
player,201009130nyj,rav,BoldAn00,targets,10,,,,,
player,201009130nyj,rav,BoldAn00,rec,7,,,,,
player,201009130nyj,rav,BoldAn00,rec_yds,110,,,,,
player,201009130nyj,rav,BoldAn00,rec_td,0,,,,,
player,201009130nyj,rav,BoldAn00,rec_long,38,,,,,
player,201009130nyj,rav,BoldAn00,fumbles,0,,,,,
player,201009130nyj,rav,BoldAn00,fumbles_lost,,,,,,
player,201009130nyj,rav,HeapTo00,pass_cmp,0,,,,,
player,201009130nyj,rav,HeapTo00,pass_att,0,,,,,
player,201009130nyj,rav,HeapTo00,pass_yds,0,,,,,
player,201009130nyj,rav,HeapTo00,pass_td,0,,,,,
player,201009130nyj,rav,HeapTo00,pass_int,0,,,,,
player,201009130nyj,rav,HeapTo00,pass_sacked,,,,,,
player,201009130nyj,rav,HeapTo00,pass_sacked_yds,,,,,,
player,201009130nyj,rav,HeapTo00,pass_long,0,,,,,
player,201009130nyj,rav,HeapTo00,pass_rating,,,,,,
player,201009130nyj,rav,HeapTo00,rush_att,0,,,,,
player,201009130nyj,rav,HeapTo00,rush_yds,0,,,,,
player,201009130nyj,rav,HeapTo00,rush_td,0,,,,,
player,201009130nyj,rav,HeapTo00,rush_long,0,,,,,
player,201009130nyj,rav,HeapTo00,targets,11,,,,,
player,201009130nyj,rav,HeapTo00,rec,6,,,,,
player,201009130nyj,rav,HeapTo00,rec_yds,72,,,,,
player,201009130nyj,rav,HeapTo00,rec_td,0,,,,,
player,201009130nyj,rav,HeapTo00,rec_long,35,,,,,
player,201009130nyj,rav,HeapTo00,fumbles,0,,,,,
player,201009130nyj,rav,HeapTo00,fumbles_lost,,,,,,
player,201009130nyj,rav,HousTJ00,pass_cmp,0,,,,,
player,201009130nyj,rav,HousTJ00,pass_att,0,,,,,
player,201009130nyj,rav,HousTJ00,pass_yds,0,,,,,
player,201009130nyj,rav,HousTJ00,pass_td,0,,,,,
player,201009130nyj,rav,HousTJ00,pass_int,0,,,,,
player,201009130nyj,rav,HousTJ00,pass_sacked,,,,,,
player,201009130nyj,rav,HousTJ00,pass_sacked_yds,,,,,,
player,201009130nyj,rav,HousTJ00,pass_long,0,,,,,
player,201009130nyj,rav,HousTJ00,pass_rating,,,,,,
player,201009130nyj,rav,HousTJ00,rush_att,0,,,,,
player,201009130nyj,rav,HousTJ00,rush_yds,0,,,,,
player,201009130nyj,rav,HousTJ00,rush_td,0,,,,,
player,201009130nyj,rav,HousTJ00,rush_long,0,,,,,
player,201009130nyj,rav,HousTJ00,targets,4,,,,,
player,201009130nyj,rav,HousTJ00,rec,1,,,,,
player,201009130nyj,rav,HousTJ00,rec_yds,27,,,,,
player,201009130nyj,rav,HousTJ00,rec_td,0,,,,,
player,201009130nyj,rav,HousTJ00,rec_long,27,,,,,
player,201009130nyj,rav,HousTJ00,fumbles,0,,,,,
player,201009130nyj,rav,HousTJ00,fumbles_lost,,,,,,
player,201009130nyj,rav,MasoDe00,pass_cmp,0,,,,,
player,201009130nyj,rav,MasoDe00,pass_att,0,,,,,
player,201009130nyj,rav,MasoDe00,pass_yds,0,,,,,
player,201009130nyj,rav,MasoDe00,pass_td,0,,,,,
player,201009130nyj,rav,MasoDe00,pass_int,0,,,,,
player,201009130nyj,rav,MasoDe00,pass_sacked,,,,,,
player,201009130nyj,rav,MasoDe00,pass_sacked_yds,,,,,,
player,201009130nyj,rav,MasoDe00,pass_long,0,,,,,
player,201009130nyj,rav,MasoDe00,pass_rating,,,,,,
player,201009130nyj,rav,MasoDe00,rush_att,0,,,,,
player,201009130nyj,rav,MasoDe00,rush_yds,0,,,,,
player,201009130nyj,rav,MasoDe00,rush_td,0,,,,,
player,201009130nyj,rav,MasoDe00,rush_long,0,,,,,
player,201009130nyj,rav,MasoDe00,targets,5,,,,,
player,201009130nyj,rav,MasoDe00,rec,2,,,,,
player,201009130nyj,rav,MasoDe00,rec_yds,21,,,,,
player,201009130nyj,rav,MasoDe00,rec_td,0,,,,,
player,201009130nyj,rav,MasoDe00,rec_long,12,,,,,
player,201009130nyj,rav,MasoDe00,fumbles,0,,,,,
player,201009130nyj,rav,MasoDe00,fumbles_lost,,,,,,
player,201009130nyj,rav,McGaWi00,pass_cmp,0,,,,,
player,201009130nyj,rav,McGaWi00,pass_att,0,,,,,
player,201009130nyj,rav,McGaWi00,pass_yds,0,,,,,
player,201009130nyj,rav,McGaWi00,pass_td,0,,,,,
player,201009130nyj,rav,McGaWi00,pass_int,0,,,,,
player,201009130nyj,rav,McGaWi00,pass_sacked,,,,,,
player,201009130nyj,rav,McGaWi00,pass_sacked_yds,,,,,,
player,201009130nyj,rav,McGaWi00,pass_long,0,,,,,
player,201009130nyj,rav,McGaWi00,pass_rating,,,,,,
player,201009130nyj,rav,McGaWi00,rush_att,6,,,,,
player,201009130nyj,rav,McGaWi00,rush_yds,-2,,,,,
player,201009130nyj,rav,McGaWi00,rush_td,1,,,,,
player,201009130nyj,rav,McGaWi00,rush_long,1,,,,,
player,201009130nyj,rav,McGaWi00,targets,1,,,,,
player,201009130nyj,rav,McGaWi00,rec,1,,,,,
player,201009130nyj,rav,McGaWi00,rec_yds,-6,,,,,
player,201009130nyj,rav,McGaWi00,rec_td,0,,,,,
player,201009130nyj,rav,McGaWi00,rec_long,-6,,,,,
player,201009130nyj,rav,McGaWi00,fumbles,1,,,,,
player,201009130nyj,rav,McGaWi00,fumbles_lost,1,,,,,
player,201009130nyj,rav,DickEd00,pass_cmp,,,,,,
player,201009130nyj,rav,DickEd00,pass_att,,,,,,
player,201009130nyj,rav,DickEd00,pass_yds,,,,,,
player,201009130nyj,rav,DickEd00,pass_td,,,,,,
player,201009130nyj,rav,DickEd00,pass_int,,,,,,
player,201009130nyj,rav,DickEd00,pass_sacked,,,,,,
player,201009130nyj,rav,DickEd00,pass_sacked_yds,,,,,,
player,201009130nyj,rav,DickEd00,pass_long,,,,,,
player,201009130nyj,rav,DickEd00,pass_rating,,,,,,
player,201009130nyj,rav,DickEd00,rush_att,,,,,,
player,201009130nyj,rav,DickEd00,rush_yds,,,,,,
player,201009130nyj,rav,DickEd00,rush_td,,,,,,
