game,2010,7,20101024,201010240mia,pit,"Pittsburgh Steelers",23,mia,"Miami Dolphins",22
team,201010240mia,pit,First Downs,15,,,,,,
team,201010240mia,mia,First Downs,15,,,,,,
team,201010240mia,pit,Rush-Yds-TDs,27-58-0,,,,,,
team,201010240mia,mia,Rush-Yds-TDs,21-64-0,,,,,,
team,201010240mia,pit,Cmp-Att-Yd-TD-INT,19-27-302-2-0,,,,,,
team,201010240mia,mia,Cmp-Att-Yd-TD-INT,23-36-257-1-1,,,,,,
team,201010240mia,pit,Sacked-Yards,3-12,,,,,,
team,201010240mia,mia,Sacked-Yards,1-8,,,,,,
team,201010240mia,pit,Net Pass Yards,290,,,,,,
team,201010240mia,mia,Net Pass Yards,249,,,,,,
team,201010240mia,pit,Total Yards,348,,,,,,
team,201010240mia,mia,Total Yards,313,,,,,,
team,201010240mia,pit,Fumbles-Lost,4-2,,,,,,
team,201010240mia,mia,Fumbles-Lost,1-1,,,,,,
team,201010240mia,pit,Turnovers,2,,,,,,
team,201010240mia,mia,Turnovers,2,,,,,,
team,201010240mia,pit,Penalties-Yards,5-34,,,,,,
team,201010240mia,mia,Penalties-Yards,3-35,,,,,,
team,201010240mia,pit,Third Down Conv.,6-15,,,,,,
team,201010240mia,mia,Third Down Conv.,3-12,,,,,,
team,201010240mia,pit,Fourth Down Conv.,0-0,,,,,,
team,201010240mia,mia,Fourth Down Conv.,0-1,,,,,,
team,201010240mia,pit,Time of Possession,30:49,,,,,,
team,201010240mia,mia,Time of Possession,29:11,,,,,,
player,201010240mia,pit,RoetBe00,pass_cmp,19,,,,,
player,201010240mia,pit,RoetBe00,pass_att,27,,,,,
player,201010240mia,pit,RoetBe00,pass_yds,302,,,,,
player,201010240mia,pit,RoetBe00,pass_td,2,,,,,
player,201010240mia,pit,RoetBe00,pass_int,0,,,,,
player,201010240mia,pit,RoetBe00,pass_sacked,3,,,,,
player,201010240mia,pit,RoetBe00,pass_sacked_yds,12,,,,,
player,201010240mia,pit,RoetBe00,pass_long,53,,,,,
player,201010240mia,pit,RoetBe00,pass_rating,132.0,,,,,
player,201010240mia,pit,RoetBe00,rush_att,5,,,,,
player,201010240mia,pit,RoetBe00,rush_yds,1,,,,,
player,201010240mia,pit,RoetBe00,rush_td,0,,,,,
player,201010240mia,pit,RoetBe00,rush_long,2,,,,,
player,201010240mia,pit,RoetBe00,targets,0,,,,,
player,201010240mia,pit,RoetBe00,rec,0,,,,,
player,201010240mia,pit,RoetBe00,rec_yds,0,,,,,
player,201010240mia,pit,RoetBe00,rec_td,0,,,,,
player,201010240mia,pit,RoetBe00,rec_long,0,,,,,
player,201010240mia,pit,RoetBe00,fumbles,3,,,,,
player,201010240mia,pit,RoetBe00,fumbles_lost,1,,,,,
player,201010240mia,pit,MendRa00,pass_cmp,0,,,,,
player,201010240mia,pit,MendRa00,pass_att,0,,,,,
player,201010240mia,pit,MendRa00,pass_yds,0,,,,,
player,201010240mia,pit,MendRa00,pass_td,0,,,,,
player,201010240mia,pit,MendRa00,pass_int,0,,,,,
player,201010240mia,pit,MendRa00,pass_sacked,,,,,,
player,201010240mia,pit,MendRa00,pass_sacked_yds,,,,,,
player,201010240mia,pit,MendRa00,pass_long,0,,,,,
player,201010240mia,pit,MendRa00,pass_rating,,,,,,
player,201010240mia,pit,MendRa00,rush_att,15,,,,,
player,201010240mia,pit,MendRa00,rush_yds,37,,,,,
player,201010240mia,pit,MendRa00,rush_td,0,,,,,
player,201010240mia,pit,MendRa00,rush_long,9,,,,,
player,201010240mia,pit,MendRa00,targets,1,,,,,
player,201010240mia,pit,MendRa00,rec,1,,,,,
player,201010240mia,pit,MendRa00,rec_yds,6,,,,,
player,201010240mia,pit,MendRa00,rec_td,0,,,,,
player,201010240mia,pit,MendRa00,rec_long,6,,,,,
player,201010240mia,pit,MendRa00,fumbles,0,,,,,
player,201010240mia,pit,MendRa00,fumbles_lost,,,,,,
player,201010240mia,pit,MoorMe00,pass_cmp,0,,,,,
player,201010240mia,pit,MoorMe00,pass_att,0,,,,,
player,201010240mia,pit,MoorMe00,pass_yds,0,,,,,
