game,2010,14,20101212,201012120jax,rai,"Oakland Raiders",31,jax,"Jacksonville Jaguars",38
player,201012120jax,rai,ReecMa00,pass_att,0,,,,,
player,201012120jax,rai,ReecMa00,pass_yds,0,,,,,
player,201012120jax,rai,ReecMa00,pass_td,0,,,,,
player,201012120jax,rai,ReecMa00,pass_int,0,,,,,
player,201012120jax,rai,ReecMa00,pass_sacked,,,,,,
player,201012120jax,rai,ReecMa00,pass_sacked_yds,,,,,,
player,201012120jax,rai,ReecMa00,pass_long,0,,,,,
player,201012120jax,rai,ReecMa00,pass_rating,,,,,,
player,201012120jax,rai,ReecMa00,rush_att,2,,,,,
player,201012120jax,rai,ReecMa00,rush_yds,3,,,,,
player,201012120jax,rai,ReecMa00,rush_td,0,,,,,
player,201012120jax,rai,ReecMa00,rush_long,2,,,,,
player,201012120jax,rai,ReecMa00,targets,4,,,,,
player,201012120jax,rai,ReecMa00,rec,4,,,,,
player,201012120jax,rai,ReecMa00,rec_yds,48,,,,,
player,201012120jax,rai,ReecMa00,rec_td,0,,,,,
player,201012120jax,rai,ReecMa00,rec_long,13,,,,,
player,201012120jax,rai,ReecMa00,fumbles,0,,,,,
player,201012120jax,rai,ReecMa00,fumbles_lost,,,,,,
player,201012120jax,rai,MillZa01,pass_cmp,0,,,,,
player,201012120jax,rai,MillZa01,pass_att,0,,,,,
player,201012120jax,rai,MillZa01,pass_yds,0,,,,,
player,201012120jax,rai,MillZa01,pass_td,0,,,,,
player,201012120jax,rai,MillZa01,pass_int,0,,,,,
player,201012120jax,rai,MillZa01,pass_sacked,,,,,,
player,201012120jax,rai,MillZa01,pass_sacked_yds,,,,,,
player,201012120jax,rai,MillZa01,pass_long,0,,,,,
player,201012120jax,rai,MillZa01,pass_rating,,,,,,
player,201012120jax,rai,MillZa01,rush_att,0,,,,,
player,201012120jax,rai,MillZa01,rush_yds,0,,,,,
player,201012120jax,rai,MillZa01,rush_td,0,,,,,
player,201012120jax,rai,MillZa01,rush_long,0,,,,,
player,201012120jax,rai,MillZa01,targets,5,,,,,
player,201012120jax,rai,MillZa01,rec,4,,,,,
player,201012120jax,rai,MillZa01,rec_yds,68,,,,,
player,201012120jax,rai,MillZa01,rec_td,0,,,,,
player,201012120jax,rai,MillZa01,rec_long,29,,,,,
player,201012120jax,rai,MillZa01,fumbles,0,,,,,
player,201012120jax,rai,MillZa01,fumbles_lost,,,,,,
player,201012120jax,rai,MurpLo00,pass_cmp,0,,,,,
player,201012120jax,rai,MurpLo00,pass_att,0,,,,,
player,201012120jax,rai,MurpLo00,pass_yds,0,,,,,
player,201012120jax,rai,MurpLo00,pass_td,0,,,,,
player,201012120jax,rai,MurpLo00,pass_int,0,,,,,
player,201012120jax,rai,MurpLo00,pass_sacked,,,,,,
player,201012120jax,rai,MurpLo00,pass_sacked_yds,,,,,,
player,201012120jax,rai,MurpLo00,pass_long,0,,,,,
player,201012120jax,rai,MurpLo00,pass_rating,,,,,,
