game,2010,10,20101114,201011140sfo,ram,"St. Louis Rams",20,sfo,"San Francisco 49ers",23
player,201011140sfo,ram,GibsBr00,rec_long,17,,,,,
player,201011140sfo,ram,GibsBr00,fumbles,0,,,,,
player,201011140sfo,ram,GibsBr00,fumbles_lost,,,,,,
player,201011140sfo,ram,RobiLa01,pass_cmp,0,,,,,
player,201011140sfo,ram,RobiLa01,pass_att,0,,,,,
player,201011140sfo,ram,RobiLa01,pass_yds,0,,,,,
player,201011140sfo,ram,RobiLa01,pass_td,0,,,,,
player,201011140sfo,ram,RobiLa01,pass_int,0,,,,,
player,201011140sfo,ram,RobiLa01,pass_sacked,,,,,,
player,201011140sfo,ram,RobiLa01,pass_sacked_yds,,,,,,
player,201011140sfo,ram,RobiLa01,pass_long,0,,,,,
player,201011140sfo,ram,RobiLa01,pass_rating,,,,,,
player,201011140sfo,ram,RobiLa01,rush_att,0,,,,,
player,201011140sfo,ram,RobiLa01,rush_yds,0,,,,,
player,201011140sfo,ram,RobiLa01,rush_td,0,,,,,
player,201011140sfo,ram,RobiLa01,rush_long,0,,,,,
player,201011140sfo,ram,RobiLa01,targets,6,,,,,
player,201011140sfo,ram,RobiLa01,rec,2,,,,,
player,201011140sfo,ram,RobiLa01,rec_yds,24,,,,,
player,201011140sfo,ram,RobiLa01,rec_td,0,,,,,
player,201011140sfo,ram,RobiLa01,rec_long,14,,,,,
player,201011140sfo,ram,RobiLa01,fumbles,0,,,,,
player,201011140sfo,ram,RobiLa01,fumbles_lost,,,,,,
player,201011140sfo,ram,HoomMi00,pass_cmp,0,,,,,
player,201011140sfo,ram,HoomMi00,pass_att,0,,,,,
player,201011140sfo,ram,HoomMi00,pass_yds,0,,,,,
player,201011140sfo,ram,HoomMi00,pass_td,0,,,,,
player,201011140sfo,ram,HoomMi00,pass_int,0,,,,,
player,201011140sfo,ram,HoomMi00,pass_sacked,,,,,,
player,201011140sfo,ram,HoomMi00,pass_sacked_yds,,,,,,
player,201011140sfo,ram,HoomMi00,pass_long,0,,,,,
player,201011140sfo,ram,HoomMi00,pass_rating,,,,,,
player,201011140sfo,ram,HoomMi00,rush_att,0,,,,,
player,201011140sfo,ram,HoomMi00,rush_yds,0,,,,,
player,201011140sfo,ram,HoomMi00,rush_td,0,,,,,
player,201011140sfo,ram,HoomMi00,rush_long,0,,,,,
player,201011140sfo,ram,HoomMi00,targets,4,,,,,
player,201011140sfo,ram,HoomMi00,rec,2,,,,,
player,201011140sfo,ram,HoomMi00,rec_yds,20,,,,,
player,201011140sfo,ram,HoomMi00,rec_td,0,,,,,
player,201011140sfo,ram,HoomMi00,rec_long,16,,,,,
player,201011140sfo,ram,HoomMi00,fumbles,0,,,,,
player,201011140sfo,ram,HoomMi00,fumbles_lost,,,,,,
player,201011140sfo,ram,FellDa00,pass_cmp,0,,,,,
player,201011140sfo,ram,FellDa00,pass_att,0,,,,,
player,201011140sfo,ram,FellDa00,pass_yds,0,,,,,
player,201011140sfo,ram,FellDa00,pass_td,0,,,,,
player,201011140sfo,ram,FellDa00,pass_int,0,,,,,
player,201011140sfo,ram,FellDa00,pass_sacked,,,,,,
player,201011140sfo,ram,FellDa00,pass_sacked_yds,,,,,,
player,201011140sfo,ram,FellDa00,pass_long,0,,,,,
player,201011140sfo,ram,FellDa00,pass_rating,,,,,,
player,201011140sfo,ram,FellDa00,rush_att,0,,,,,
player,201011140sfo,ram,FellDa00,rush_yds,0,,,,,
player,201011140sfo,ram,FellDa00,rush_td,0,,,,,
player,201011140sfo,ram,FellDa00,rush_long,0,,,,,
player,201011140sfo,ram,FellDa00,targets,4,,,,,
player,201011140sfo,ram,FellDa00,rec,2,,,,,
player,201011140sfo,ram,FellDa00,rec_yds,11,,,,,
player,201011140sfo,ram,FellDa00,rec_td,0,,,,,
player,201011140sfo,ram,FellDa00,rec_long,11,,,,,
player,201011140sfo,ram,FellDa00,fumbles,0,,,,,
player,201011140sfo,ram,FellDa00,fumbles_lost,,,,,,
player,201011140sfo,ram,DarbKe00,pass_cmp,0,,,,,
player,201011140sfo,ram,DarbKe00,pass_att,0,,,,,
player,201011140sfo,ram,DarbKe00,pass_yds,0,,,,,
player,201011140sfo,ram,DarbKe00,pass_td,0,,,,,
player,201011140sfo,ram,DarbKe00,pass_int,0,,,,,
player,201011140sfo,ram,DarbKe00,pass_sacked,,,,,,
player,201011140sfo,ram,DarbKe00,pass_sacked_yds,,,,,,
player,201011140sfo,ram,DarbKe00,pass_long,0,,,,,
player,201011140sfo,ram,DarbKe00,pass_rating,,,,,,
player,201011140sfo,ram,DarbKe00,rush_att,0,,,,,
player,201011140sfo,ram,DarbKe00,rush_yds,0,,,,,
player,201011140sfo,ram,DarbKe00,rush_td,0,,,,,
player,201011140sfo,ram,DarbKe00,rush_long,0,,,,,
player,201011140sfo,ram,DarbKe00,targets,1,,,,,
player,201011140sfo,ram,DarbKe00,rec,1,,,,,
player,201011140sfo,ram,DarbKe00,rec_yds,6,,,,,
player,201011140sfo,ram,DarbKe00,rec_td,0,,,,,
player,201011140sfo,ram,DarbKe00,rec_long,6,,,,,
player,201011140sfo,ram,DarbKe00,fumbles,0,,,,,
player,201011140sfo,ram,DarbKe00,fumbles_lost,,,,,,
player,201011140sfo,ram,BajeBi00,pass_cmp,0,,,,,
player,201011140sfo,ram,BajeBi00,pass_att,0,,,,,
player,201011140sfo,ram,BajeBi00,pass_yds,0,,,,,
player,201011140sfo,ram,BajeBi00,pass_td,0,,,,,
player,201011140sfo,ram,BajeBi00,pass_int,0,,,,,
player,201011140sfo,ram,BajeBi00,pass_sacked,,,,,,
player,201011140sfo,ram,BajeBi00,pass_sacked_yds,,,,,,
player,201011140sfo,ram,BajeBi00,pass_long,0,,,,,
player,201011140sfo,ram,BajeBi00,pass_rating,,,,,,
player,201011140sfo,ram,BajeBi00,rush_att,0,,,,,
player,201011140sfo,ram,BajeBi00,rush_yds,0,,,,,
player,201011140sfo,ram,BajeBi00,rush_td,0,,,,,
player,201011140sfo,ram,BajeBi00,rush_long,0,,,,,
player,201011140sfo,ram,BajeBi00,targets,1,,,,,
player,201011140sfo,ram,BajeBi00,rec,0,,,,,
player,201011140sfo,ram,BajeBi00,rec_yds,0,,,,,
player,201011140sfo,ram,BajeBi00,rec_td,0,,,,,
player,201011140sfo,ram,BajeBi00,rec_long,0,,,,,
player,201011140sfo,ram,BajeBi00,fumbles,0,,,,,
player,201011140sfo,ram,BajeBi00,fumbles_lost,,,,,,
player,201011140sfo,sfo,SmitTr02,pass_cmp,17,,,,,
player,201011140sfo,sfo,SmitTr02,pass_att,28,,,,,
player,201011140sfo,sfo,SmitTr02,pass_yds,356,,,,,
player,201011140sfo,sfo,SmitTr02,pass_td,1,,,,,
player,201011140sfo,sfo,SmitTr02,pass_int,0,,,,,
